Distance (mm),T (C),P (atm),Ne,H4N2O2(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),HO2(39),NH2(85),H2NO(89),HNOH(94),N2H3(99),H3N2O(193),H2NO2(195),S(196),H2NO3(252),H2N2O(502),NNDO(506),NNO(515),S(566),X(1),HX(26),OX(27),CH3X(28),HOX(29),H2OX(30),CO2X(31),OCX(32),CX(33),CH2X(34),CHX(35),H2NX(212),SX(215),H2NOX(217),H3NOX(218),HNO3X(221),CH3OX(223),CH4OX(224),alpha
0.0,607.6990122778665,1.0,2.0672400198544653e-129,5.762656907426617e-07,0.31787205827738546,0.18634979299981413,0.19552643999402602,0.16901999382596133,0.00023686516756867004,3.3888157984247904e-06,6.481081576259383e-05,0.00492400591277606,1.7052959819034245e-06,1.0842034171063148e-20,3.0558712779227765e-08,1.640883215835791e-18,1.8831927250354802e-15,2.4834956340691994e-27,2.7877741618445517e-18,5.1696409958417106e-15,2.215471894739129e-41,1.1391272972371154e-08,2.1263627300719892e-29,2.6929178063872736e-19,2.252479304389509e-31,0.003884254648977861,2.4481306082091565e-28,2.7416598079704058e-06,0.003844380281926325,0.011820992353798295,0.02498600799623994,0.00011323783100343199,0.016623360236721212,4.415133347412628e-12,3.087400587410672e-10,9.56407626578542e-10,2.74314778385713e-06,0.05133372064117091,0.013387698209517818,1.1824027310598587e-06,2.9937084655409995e-07,6.663872707181847e-16,0.2651920648172807,2.504838102261895e-22,1.1045760160440257e-09,1.5689933954798254e-11,1.680239821314614e-29,5.012504176815266e-23,3.919003193977639e-28,4.2361478380563255e-28,4.094377400796936e-25,1.9904817727421764e-05,2.6760065559233034e-16,3.873181527313345e-07,3.129718708892751e-10,1.9943272782662793e-10,0.7347873420202229,2.2949884703819377e-11,5605497123333.871
0.0055000000000000005,639.0492988028623,0.9999999999999999,2.0597197686904663e-129,8.461475483011526e-10,0.3211293258932774,0.18551453281207944,0.19481514961461935,0.1730480937841047,0.0008461498226616062,3.5001339551336764e-06,0.0001859250368191771,0.008710070177991098,9.160834389254633e-06,2.1543913876282026e-20,1.08870653094895e-07,2.3149070820326952e-18,9.121832403111239e-15,1.508064664286897e-25,4.099422584712807e-18,4.108204247473827e-14,9.871482568727781e-40,3.509673816629143e-08,1.2789576643731995e-28,3.317011449491717e-19,1.994091899200789e-30,0.00022742835852549584,1.188389447433622e-27,1.2730550912446148e-06,0.0064354351828368175,0.013525998898883049,0.017638029687351245,0.0003389373154635815,0.005641039748515849,4.1935374328058616e-12,1.9962769686086658e-11,4.148875822098444e-09,6.82781812531655e-08,0.056443436553845434,0.015486281854958622,1.3969829310697949e-08,1.966116173115009e-06,1.473199314018061e-14,0.08820326263651479,4.347822510481319e-22,1.2935398805321422e-09,9.685049964427532e-11,6.830100198953639e-29,2.978209814996496e-22,1.504187419200493e-26,1.046769723804424e-27,8.045601032417614e-25,7.843744931690377e-05,1.942030529005603e-18,7.612704119058191e-07,1.479456946559272e-09,9.154161792171356e-10,0.9117155686174051,1.2475105188772974e-10,2314374220744.5596
0.011000000000000001,650.329311557965,1.0000000000000002,2.0549820961576356e-129,4.912469730118065e-11,0.322873003106321,0.18488468947139772,0.1943670447813818,0.17410543094408498,0.0016636774184798167,3.4420408712888666e-06,0.0003194607362283277,0.010697785819992164,2.3394641444477188e-05,3.5884437787590556e-20,2.0796978734453962e-07,2.744389670738461e-18,2.1614334670272526e-14,1.0634085068565245e-24,4.5387276915301616e-18,1.0452439546128441e-13,5.8334283524744433e-39,4.7259185553880505e-08,2.611890400072255e-28,2.804760518880534e-19,5.6111871672911165e-30,3.7105959564941555e-05,2.8012114003845146e-27,5.930527517563553e-07,0.007399121620698431,0.015197266058706877,0.012566070585340806,0.0005672035300086526,0.0023412564806529128,3.948411377834842e-12,3.28676662484444e-12,7.499958087636552e-09,9.900527173210398e-09,0.05673634572046157,0.016216834561283262,7.843849545075058e-10,5.137226631382333e-06,8.233132969725581e-14,0.04637543436522902,5.553695169622819e-22,1.4772131627253878e-09,2.4741414609283177e-10,1.1968612779596585e-28,7.74204194382549e-22,9.929252555274367e-26,1.5072182400960515e-27,1.0711219721958723e-24,0.0001657739426058386,2.6734913246497337e-19,1.0562244029651686e-06,3.46042867367069e-09,2.1117393623238184e-09,0.9534525906388197,3.0527998137721123e-10,1962969929712.3193
0.0165,657.4748628712854,1.0,2.0507801096340128e-129,1.5851208794302838e-11,0.3231425447647472,0.1842692523077593,0.19396960691340467,0.17519518586179736,0.0026190280371511526,3.382501018545751e-06,0.00045329770406459473,0.012091287932101045,4.4505298022097365e-05,5.378444571001688e-20,3.146862938451879e-07,3.088529404461408e-18,4.05716542732832e-14,4.0490045806019204e-24,5.378975618398732e-18,1.9251394282369694e-13,3.4354028794563767e-38,5.195954311954398e-08,8.528364955999557e-28,2.507561840815658e-19,1.138816442768806e-29,2.8563335242486492e-05,7.739332175706784e-27,2.864748361714419e-07,0.007908718377197477,0.016841714710293245,0.009313359982401794,0.0007865926952995554,0.001077842357736235,3.707620287053085e-12,2.488476697551519e-12,1.0034291126589426e-08,4.3170408696043704e-09,0.05565474098454219,0.0165997084948716,2.4806406934620234e-10,7.259474273846751e-06,1.4860060092109321e-13,0.04230823717464767,9.657521627330801e-22,1.738773600587612e-09,3.456494722047044e-10,2.043075558642143e-28,1.2414651625901787e-21,2.7404288315069095e-25,2.8204646316484164e-27,1.9092911655330347e-24,0.00020129720877890583,1.1478976912828277e-19,9.218168303791969e-07,4.55375594147347e-09,2.7588093865630868e-09,0.9574822745142015,4.1398080592330073e-10,1146842214414.7712
0.022000000000000002,663.199734945962,1.0000000000000002,2.0465573695618722e-129,7.662978858901759e-12,0.3227016793022875,0.18362177483713663,0.19357020610571662,0.17641291271829934,0.0036819714954982393,3.3410556054593247e-06,0.0005841616774666781,0.013236317007316109,7.24029437828498e-05,7.655170763107256e-20,4.2413594595148745e-07,3.4151016392860832e-18,6.798977519543878e-14,1.1319328342722332e-23,6.97441848102735e-18,3.0495709621125727e-13,1.6167411080112652e-37,5.361763596974152e-08,2.446672563343515e-27,2.496938787469244e-19,2.028458130785766e-29,3.0084785034919736e-05,2.16642056368742e-26,1.486040008507924e-07,0.008262197801647003,0.018326555962509535,0.007104909963869072,0.001001378019875102,0.0005327250676079436,3.4754746744864826e-12,2.550380565666011e-12,1.1684635149878046e-08,2.2726069726886443e-09,0.054034600994805206,0.01682213981454332,1.181117709000534e-10,8.788104530935263e-06,2.0182113592403316e-13,0.04303463569905538,1.6661745785734844e-21,2.000394128849061e-09,4.155170698258195e-10,3.439554771612009e-28,1.8189688176149266e-21,5.736483510027836e-25,5.155578191954284e-27,3.358633038464288e-24,0.00021426611232219672,6.406568584277254e-20,7.371350012218239e-07,5.20053602448914e-09,3.136180150335291e-09,0.9567415617112036,4.849137746268826e-10,725260492664.8048
0.027500000000000004,668.3715455277461,1.0000000000000002,2.042127696895778e-129,4.0825854163308015e-12,0.3218843629779213,0.1829259351383058,0.19315123292466904,0.1777442729772554,0.004839027651056925,3.3151609969582696e-06,0.0007119577668159053,0.014269874555191303,0.0001070143921492316,1.0644742305775151e-19,5.346626918455342e-07,3.764772259503489e-18,1.0635415177336009e-13,2.6317158131574237e-23,9.606296338833658e-18,4.441014298711266e-13,6.010322466518594e-37,5.4185397986402004e-08,5.893883869647254e-27,2.708291558792949e-19,3.4043809548161755e-29,3.2489150074732454e-05,5.53001718424093e-26,8.73643027978954e-08,0.00855750375183559,0.01962799603187392,0.005558713948289225,0.0012175185720419035,0.00028075520315288844,3.2533494783300257e-12,2.663495106913348e-12,1.2658260723598533e-08,1.285828836128507e-09,0.05214733712766001,0.016940002441605054,6.207280861369056e-11,1.0330461866891557e-05,2.6064417889729273e-13,0.04417954634864639,2.7045629677732213e-21,2.2725995864487513e-09,4.86064922774675e-10,5.7492931472297965e-28,2.656219410979981e-21,1.0847632651353568e-24,8.811701104358776e-27,5.547206663575413e-24,0.00022366737280229412,3.846046354459953e-20,5.961716800266754e-07,5.79573561807126e-09,3.4830984037807626e-09,0.9555858470537638,5.533417665537985e-10,519365784933.9399
0.033,673.3602329978293,0.9999999999999999,2.0374091762987793e-129,2.3621421474654886e-12,0.3208301217026427,0.18217302530454235,0.19270493954510545,0.17918440635128566,0.0060845821183609095,3.2998462829463693e-06,0.00083797436026874,0.015260274398035954,0.00014834847070073197,1.4673736810151674e-19,6.45776053204803e-07,4.171703798202209e-18,1.5863045655008437e-13,5.42632076423772e-23,1.3653009287762684e-17,6.144826154650212e-13,1.885781085618286e-36,5.441245069327978e-08,1.2657735070467082e-26,3.1180102588093596e-19,5.553553251991616e-29,3.541773568166106e-05,1.2836580071999613e-25,6.198986865395708e-08,0.008832439351128778,0.02076948008238697,0.004467391204174815,0.0014408831135970226,0.00015868053439860305,3.0416515907073227e-12,2.794670036608018e-12,1.3177492666111811e-08,7.794990023966194e-10,0.05008910527907519,0.016978854422552404,3.5443485630207445e-11,1.201236211108277e-05,3.304376809377116e-13,0.04552026972032445,4.199013325184787e-21,2.570556120018228e-09,5.630951488320443e-10,9.617364647698783e-28,3.8869022013869086e-21,1.9322776722048596e-24,1.4370983825101862e-26,8.756309517506375e-24,0.00023179047429013996,2.485323656436501e-20,4.928594773131326e-07,6.399528477431899e-09,3.834731266476105e-09,0.9542354205900946,6.253281824052735e-10,397599395808.62366
0.038500000000000006,678.3530210694106,0.9999999999999999,2.0323560295353795e-129,1.495772416039225e-12,0.31959745544141827,0.18135636926434917,0.19222699610917093,0.18073598271486174,0.0074168971942126655,3.291538023324577e-06,0.000964221920726067,0.016246725773638792,0.0001965171056698993,2.0229158351006433e-19,7.573678033252901e-07,4.675375812613017e-18,2.284193963152686e-13,1.0306105252656582e-22,1.965192622778496e-17,8.231959507699392e-13,5.2653836716056165e-36,5.456397168967594e-08,2.5260853743591824e-26,3.753885605873757e-19,8.95475161837681e-29,3.895774756816632e-05,2.7645253428258587e-25,5.423721869226077e-08,0.009102038866563925,0.0217897648596146,0.003703090794066779,0.0016771183742272306,9.719625539721509e-05,2.8404233716354954e-12,2.9453532524226157e-12,1.3410415556734974e-08,5.115141345672999e-10,0.047892857976755944,0.01695363794233282,2.214584285971321e-11,1.3911179104913188e-05,4.158235973890677e-13,0.0470594091008101,6.3141165123344816e-21,2.9073103885196944e-09,6.501259063675243e-10,1.6144360671251631e-27,5.694134203278412e-21,3.3084860045078794e-24,2.2689176710844643e-26,1.3385060226367808e-23,0.00023920798026241265,1.751286419736606e-20,4.1905599844055887e-07,7.036863486488337e-09,4.2052573051355214e-09,0.9526870371798294,7.038875899137541e-10,314244126257.10046
0.044000000000000004,683.4581527386978,1.0000000000000002,2.0269363930235332e-129,1.0437370226685263e-12,0.3182086652042055,0.18046952303580996,0.19171438885323203,0.18240567496531493,0.008836047909615053,3.2883035523548705e-06,0.0010931922091352343,0.01725401047762799,0.00025174322003565156,2.8080039179361328e-19,8.69404433897712e-07,5.331495695189519e-18,3.202269045895063e-13,1.8478479082536003e-22,2.8372103948406415e-17,1.0804806968786463e-12,1.3566388799260765e-35,5.471153245494312e-08,4.806405815446461e-26,4.700063723485647e-19,1.4440339654716034e-28,4.32154252656254e-05,5.632546011430894e-25,5.592018850571799e-08,0.00937134325181289,0.022729590330718124,0.0031803844762853983,0.001931796915036509,6.507727620612145e-05,2.6495807495505672e-12,3.1153887626010104e-12,1.3467909645995447e-08,3.668363163972371e-10,0.04556729081927403,0.016873773432522728,1.523949125409338e-11,1.6106334017981603e-05,5.227065437676132e-13,0.048802802284385216,9.273630861649874e-21,3.295778509865441e-09,7.507799319005103e-10,2.7226292476369097e-27,8.34357147976908e-21,5.515632643065237e-24,3.500809794097213e-26,1.998861626726158e-23,0.0002461719806842037,1.3589801976996192e-20,3.6857952294849605e-07,7.727742482749854e-09,4.606008871793579e-09,0.9509345336486509,7.917730754750648e-10,251662331957.33932
0.0495,688.7453883544463,1.0000000000000002,2.0211246199584032e-129,8.027613501940379e-13,0.3166685798569629,0.17950562017553506,0.19116469201712524,0.18420241899325723,0.010342650582357085,3.289471385212907e-06,0.0012278003401458906,0.01829871889741398,0.0003143647187193469,3.949442857516375e-19,9.817926991221713e-07,6.226409547273806e-18,4.398476355898274e-13,3.1813255206647766e-22,4.092317511144814e-17,1.4006723505443332e-12,3.3076219540037195e-35,5.48440174619113e-08,8.865602188755974e-26,6.114950457425034e-19,2.3518501703291226e-28,4.831171448353106e-05,1.1026447693375954e-24,6.351510696264905e-08,0.00964019584766525,0.023626678515662317,0.0028398343161336013,0.0022106163361374402,4.770682519773682e-05,2.469011937376054e-12,3.302767020095693e-12,1.3417684680927925e-08,2.8833695830227116e-10,0.04311242000959222,0.016744987504416338,1.1549315859104014e-11,1.8689565076647346e-05,6.590594606589173e-13,0.05075546169205268,1.3385645760849805e-20,3.750287522152823e-09,8.692579510189451e-10,4.617765446303668e-27,1.2228615304026435e-20,9.035058146218837e-24,5.314876368212305e-26,2.934830866387667e-23,0.0002527842216628769,1.1638645633385405e-20,3.368061403562994e-07,8.491284398210611e-09,5.047795206504403e-09,0.9489727086637414,8.919098037788748e-10,202119674834.139
