Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30)
0.0,0.05820194281292722,0.0,0.0014451542400449827,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6601930378655683e-23,0.05820194281292722,0.0,0.0014451542400449825,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.4815082780838606e-70,8.941297642586687e-24,4.9630161148197935e-70,0.0,-5.744340873450033e-150,2.2431812555788863e-69,1.0091194694730558e-112,3.49378815011522e-59,1.8131602481052711e-87,3.859143154102031e-77,5.672368011499489e-37,-2.4990003611329688e-132,1.9319181028754573e-48,4.816236511269217e-92,8.992737758195906e-114,-5.080114489566695e-145,8.941297642587257e-24,2.0436974921690306e-113,2.598076202046973e-19
4.648540506023591e-23,0.05820194281292722,0.0,0.001445154240044982,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,3.750055309819287e-69,2.503563339924272e-23,7.500109952673582e-69,0.0,1.4216199392674067e-148,1.3548815333993364e-68,2.8466883844426566e-111,2.110248042669592e-58,2.7400484254994954e-86,5.831937134462623e-76,1.5882630432198565e-36,-2.499000343019438e-132,5.4093706880512805e-48,7.278298979195548e-91,4.855617236249801e-112,-5.080114420850035e-145,2.5035633399244312e-23,5.763561490274156e-112,7.27461336570408e-19
1.0625235442339636e-22,0.05820194281292722,0.0,0.0014451542400449812,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,4.034138377491277e-68,5.722430491255478e-23,8.068276037492049e-68,0.0,1.75666762017029e-146,6.523171900945969e-68,6.192871028018121e-110,1.0159935940535056e-57,2.947619106126994e-85,6.273731842741851e-75,3.630315527359672e-36,-2.498999452244171e-132,1.2364275858402927e-47,7.829662077452486e-90,1.2572219086986958e-110,-5.0801075877639736e-145,5.722430491255843e-23,1.2537005987859382e-110,1.6627687692908517e-18
2.257862531497173e-22,0.05820194281292722,0.0,0.0014451542400449793,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,3.708068189752883e-67,1.2160164793917893e-22,7.41613572000838e-67,0.0,1.7873367798485387e-144,2.8488410239612126e-67,1.1482952332848509e-108,4.4371109506463285e-57,2.709369792405718e-84,5.766640432294265e-74,7.714420495639304e-36,-2.4989646542667338e-132,2.627408619910622e-47,7.196808394885928e-89,3.0216894394628225e-109,-5.079569223687564e-145,1.2160164793918664e-22,2.3241496321485657e-109,3.533383634687828e-18
4.648540506023592e-22,0.05820194281292722,0.0,0.0014451542400449756,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,3.1723304045840074e-66,2.503563339924272e-22,6.344660244954117e-66,0.0,1.8310184544349256e-142,1.1893354450017963e-66,1.974453884562419e-107,1.8524064771910888e-56,2.3179228997917466e-83,4.933482298471361e-73,1.5882630432198564e-35,-2.4977388141709202e-132,5.40937068805128e-47,6.157021101943491e-88,7.56385484866645e-108,-5.04146821147344e-145,2.503563339924431e-22,3.994619396671391e-108,7.274613365306134e-18
9.42989645507643e-22,0.05820194281292722,0.0,0.001445154240044968,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,2.6229441253651032e-65,5.078657060989237e-22,5.245887784227246e-65,0.0,1.9914682092516134e-140,4.858826607058041e-66,3.2752561556827817e-106,7.567684884675567e-56,1.91650347781566e-82,4.079098568569519e-72,3.221905030531709e-35,-2.4566177118490336e-132,1.0973294824332596e-46,5.090744112322537e-87,2.039303703445944e-106,-2.4793973563240305e-145,5.07865706098956e-22,6.620788698780275e-107,1.4757072825840167e-17
1.8992608353182104e-21,0.05820194281292722,0.0,0.001445154240044953,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,2.1329346019932518e-64,1.0228844503119168e-21,4.2658688246340435e-64,0.0,2.30303416932732e-138,1.9640180226674012e-65,5.341840100523884e-105,3.0589792272570787e-55,1.5584687996787407e-81,3.3170552120060895e-71,6.489189005155414e-35,-1.109638376486619e-132,2.210114309689522e-46,4.139708567213976e-86,5.878900681029649e-105,1.6556245008848156e-143,1.0228844503119818e-21,1.078023806856871e-105,2.9721991744097917e-17
3.811803214939345e-21,0.05820194281292722,0.0,0.001445154240044923,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,1.7202890273699677e-63,2.052921938737903e-21,3.440577748778432e-63,0.0,2.783578386452354e-136,7.89725117529111e-65,8.650592045330609e-104,1.2300020934006628e-54,1.2569615463507621e-80,2.6753251970603507e-70,1.3023756954402825e-34,4.249780921552591e-131,4.4356839642020455e-46,3.338824930701138e-85,1.7747160205792557e-103,1.1052304257782316e-141,2.0529219387380334e-21,1.7399347705330063e-104,5.965182956937213e-17
7.636887974181613e-21,0.05820194281292722,0.0,0.0014451542400448633,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070587,0.0,1.3818297001141497e-62,4.112996915589875e-21,2.7636591544633816e-62,0.0,3.4555982522958536e-134,3.167167847933357e-64,1.3993961230652972e-102,4.9328585264187715e-54,1.0096598705302365e-79,2.1489666887043892e-69,2.6092892852897647e-34,1.4460537112271692e-129,8.88682327322709e-46,2.6819257574281887e-84,5.506186284016365e-102,7.12059538055532e-140,4.1129969155901365e-21,2.7960284664381685e-103,1.1951150517495546e-16
