Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211)
0.0,0.05003979878925138,0.0,0.0012424882039371117,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7220885679225e-23,0.05003979878925138,0.0,0.0012424882039371113,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,4.440864609362698e-76,5.492251244719973e-26,8.88172916885502e-76,0.0,5.662374229649448e-162,3.494529543505954e-76,9.725707963041005e-124,1.4514377859522314e-64,2.2823172229124467e-96,7.515740579043937e-84,1.7175995979332816e-41,-5.512656554194683e-142,2.647948339021455e-54,7.813390370093677e-102,-7.399654649084464e-123,-1.4304483109013687e-154,5.492251244719974e-26,5.02274036807544e-125,2.498836360238869e-19,8.541170550566687e-20,3.445358549065841e-71,6.785437589650229e-20,5.620312549009874e-20
4.8218479901830003e-23,0.05003979878925138,0.0,0.0012424882039371104,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,6.711034597668804e-75,1.5378303485215927e-25,1.34220691199735e-74,0.0,1.7727337746724208e-160,2.1106959350815965e-75,2.7771086369878994e-122,8.766684227151478e-64,3.494291563364226e-95,1.1357787163051542e-82,4.809278874213187e-41,-5.5126565541934784e-142,7.414255349260073e-54,1.2180244664351048e-100,7.820425238002291e-122,-1.4304483109007868e-154,1.537830348521593e-25,1.4547130511395024e-123,6.996741808651789e-19,2.3915277541586707e-19,2.080996563635767e-70,1.899922525102063e-19,1.5736875137226663e-19
1.1021366834704e-22,0.05003979878925138,0.0,0.0012424882039371087,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,7.21942477814863e-74,3.5150407966207834e-25,1.4438849475223992e-73,0.0,4.214502724450778e-158,1.0162093248631317e-74,6.070546578775257e-121,4.2207810815490883e-63,3.775304925181874e-94,1.221818914454054e-81,1.0992637426773001e-40,-5.512656554134013e-142,1.6946869369737311e-53,1.3174705139878194e-99,4.1873865028919644e-120,-1.430448310842576e-154,3.515040796620784e-25,3.1837820760980864e-122,1.5992552705409457e-18,5.466349152362668e-19,1.0019102660683449e-69,4.342680057376137e-19,3.597000031365633e-19
2.3420404523746e-22,0.05003979878925138,0.0,0.0012424882039371054,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,6.635895168478381e-73,7.469461692819164e-25,1.3271790262436459e-72,0.0,6.986912802601759e-156,4.4380538887985644e-74,1.1355963962549597e-119,1.8433259881593337e-62,3.471524546256736e-93,1.1230620832454139e-80,2.3359354531892627e-40,-5.512656551809779e-142,3.6012097410691783e-53,1.211584774719111e-98,1.630938116406233e-118,-1.4304483062528435e-154,7.469461692819166e-25,5.906618751752261e-121,3.39841744986521e-18,1.1615991948770637e-18,4.3756053573136017e-69,9.228195121924259e-19,7.643625066649996e-19
4.821847990183001e-22,0.05003979878925138,0.0,0.0012424882039370987,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,5.677148026233865e-72,1.5378303485215926e-24,1.135429598871404e-71,0.0,1.0123630846092752e-153,1.852800790469459e-73,1.9868550369772485e-118,7.695523141118732e-62,2.9700885901479713e-92,9.608032567363132e-80,4.809278874213188e-40,-5.512656469928825e-142,7.414255349260072e-53,1.0365918415323976e-97,5.734887148721732e-117,-1.4304479813996014e-154,1.537830348521593e-24,1.0152889261074158e-119,6.996741808404662e-18,2.3915277541586458e-18,1.8267291027146933e-68,1.8999225251020405e-18,1.5736875137212452e-18
9.781463065799802e-22,0.05003979878925138,0.0,0.0012424882039370855,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,4.6939757733686866e-71,3.119598707000945e-24,9.387951494024588e-71,0.0,1.3772185733772831e-151,7.569301135357295e-73,3.4092562582819084e-117,3.143872301883971e-61,2.4557388278585375e-91,7.944107127828138e-79,9.755965716261039e-40,-5.51265372319533e-142,1.5040346565641855e-52,8.570795250885727e-97,1.9222346499896448e-115,-1.4304261366703366e-154,3.1195987070009457e-24,1.682785657005036e-118,1.4193390525047252e-17,4.851384872721767e-18,7.462784431618439e-68,3.85412855092123e-18,3.1923375278312263e-18
1.9700693217033405e-21,0.05003979878925138,0.0,0.001242488203937059,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,3.8170631433265786e-70,6.2831354239596504e-24,7.634126243788e-70,0.0,1.816895119975268e-149,3.059636868395601e-72,5.929455013760707e-116,1.270803450614904e-60,1.9969672227138692e-90,6.460015983957451e-78,1.9649339400356738e-39,-5.512563750022583e-142,3.0292528998405405e-52,6.969633602369515e-96,6.294206478565014e-114,-1.428993376202933e-154,6.283135423959651e-24,2.739983980774486e-117,2.8586687956587187e-17,9.771099109847834e-18,3.016576786917387e-67,7.762540602559448e-18,6.429637556041151e-18
3.953915351950061e-21,0.05003979878925138,0.0,0.001242488203937006,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,3.0785997077015894e-69,1.261020885787706e-23,6.157199380830876e-69,0.0,2.3608632340993782e-147,1.2302700075235382e-71,1.0791526562479708e-114,5.109844782956265e-60,1.6106265282915414e-89,5.210236921212348e-77,3.943608676854814e-39,-5.509650935642345e-142,6.079689386393245e-52,5.621262512191119e-95,2.037338308136163e-112,-1.3361706822885327e-154,1.2610208857877063e-23,4.4223459488696653e-116,5.737328281268613e-17,1.9610527584099266e-17,1.2129522586327352e-66,1.5579364705835253e-17,1.2904237612420847e-17
7.921607412443501e-21,0.05003979878925138,0.0,0.0012424882039369003,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070587,0.0,2.472898706660125e-68,2.5264355725711879e-23,4.945797385549896e-68,0.0,3.0446645683774985e-145,4.933960890612167e-71,2.1267084060944516e-113,2.0492763013592376e-59,1.2937428289036816e-88,4.1851456399565594e-76,7.900958150493095e-39,-5.415898650484074e-142,1.2180562359498629e-51,4.5153037988762334e-94,6.55683433308591e-111,4.640768142340899e-154,2.5264355725711884e-23,7.106591370443429e-115,1.1494647249696014e-16,3.9289384532599315e-17,4.864481063274038e-66,3.121301291238431e-17,2.5853437725019634e-17
1.5856991533430383e-20,0.05003979878925138,0.0,0.0012424882039366886,0.031075110263184432,0.3194096818763551,0.3504847921395395,0.20701222018021492,0.09201819554070576,0.0,1.982334396848705e-67,5.057264946138152e-23,3.964668771436033e-67,0.0,3.911803604010985e-143,1.9761802526653355e-70,4.668989511827077e-112,8.20779417386781e-59,1.0370950117788128e-87,3.35491224754299e-75,1.5815657097769657e-38,-2.4071221615282014e-142,2.4382308305709303e-51,3.61957488245924e-93,2.104182859018712e-109,3.883301708722433e-152,5.057264946138153e-23,1.1395272827292706e-113,2.3009285175381286e-16,7.864709842958818e-17,1.9483297251591956e-65,6.248030932547226e-17,5.1751837949574774e-17
3.172775977540415e-20,0.05003979878925138,0.0,0.0012424882039362654,0.031075110263184432,0.31940968187635504,0.3504847921395394,0.20701222018021487,0.09201819554070552,0.0,1.58747526141787e-66,1.011892369327208e-22,3.1749505050085843e-66,0.0,5.016495135283935e-141,7.910050050204151e-70,1.1511213397104084e-110,3.285256682441029e-58,8.305105191614389e-87,2.686650751593047e-74,3.1645054992322775e-38,9.401243420990961e-141,4.878580019813028e-51,2.8985724362221055e-92,6.742994242688977e-108,2.498163522989147e-150,1.011892369327208e-22,1.8252104168109026e-112,4.60385609820737e-16,1.5736252622352092e-16,7.798396394435365e-65,1.250149021516074e-16,1.035486383961153e-16
6.346929625935168e-20,0.05003979878925138,0.0,0.0012424882039354186,0.031075110263184432,0.3194096818763549,0.3504847921395393,0.20701222018021476,0.09201819554070506,0.0,1.2706236210026366e-65,2.0242241187539931e-22,2.5412472277363226e-65,0.0,6.4271280138881834e-139,3.1651935705684074e-69,3.133963469373064e-109,1.3145305974759624e-57,6.647470116281844e-86,2.1504095146085042e-73,6.330385078142899e-38,3.1816808474238833e-139,9.759278398297071e-51,2.3200396870599742e-91,2.1592968694523356e-106,1.6001550876084264e-148,2.0242241187539936e-22,2.9219286911718507e-111,9.209711241674597e-16,3.147933818112064e-16,3.120374345942571e-64,2.500840878037148e-16,2.0714223927891732e-16
1.2695236922724674e-19,0.05003979878925138,0.0,0.0012424882039337253,0.031075110263184432,0.31940968187635455,0.35048479213953904,0.20701222018021456,0.09201819554070415,0.0,1.0167563244106641e-64,4.048887617607561e-22,2.0335126374032777e-64,0.0,8.230575170569016e-137,1.2663981269089314e-68,9.148565851245773e-108,5.25897836082369e-57,5.319319567602156e-85,1.7207632834070598e-72,1.2662144235964139e-37,1.0202275727650958e-137,1.952067515526455e-50,1.8565006369523243e-90,6.9122129269154065e-105,1.0244976200378414e-146,4.048887617607562e-22,4.676352394075391e-110,1.842142145712404e-15,6.296550929858577e-16,1.248352924950598e-63,5.00222459107278e-16,4.1432944100340546e-16
2.539185151630368e-19,0.05003979878925138,0.0,0.0012424882039303387,0.031075110263184432,0.31940968187635393,0.35048479213953854,0.20701222018021415,0.0920181955407023,0.0,8.135080431444629e-64,8.098214615314693e-22,1.6270160771533288e-63,0.0,1.0537601762337643e-134,5.0669216081942835e-68,2.78666488978429e-106,2.1037625507054925e-56,4.255991985738853e-84,1.3767849166915252e-71,2.532566255160659e-37,3.2655074767815006e-136,3.9043468669197083e-50,1.4853876951691519e-89,2.2123022882389762e-103,6.558079022219133e-145,8.098214615314694e-22,7.483174563675462e-109,3.6844841602082896e-15,1.2593785153322813e-15,4.993818101881527e-63,1.0004992017117975e-15,8.28703844287918e-16
5.07850807034617e-19,0.05003979878925138,0.0,0.0012424882039235652,0.031075110263184432,0.31940968187635266,0.35048479213953754,0.2070122201802133,0.09201819554069861,0.0,6.508476304764699e-63,1.619686861072893e-21,1.3016952536439995e-62,0.0,1.3489708429217908e-132,2.0275846053979276e-67,8.691879809491447e-105,8.415392627765847e-56,3.405009714543872e-83,1.1014976535951679e-70,5.065269918289138e-37,1.0450619077350742e-134,7.808905569705243e-50,1.1883855864537997e-88,7.079998029355751e-102,4.197617662556193e-143,1.6196868610728935e-21,1.1973892895399327e-107,7.369168074824042e-15,2.518825360013612e-15,1.9976085240553247e-62,2.0010526869104104e-15,1.6574526501990873e-15
1.0157153907777773e-18,0.05003979878925138,0.0,0.0012424882039100184,0.031075110263184432,0.31940968187635016,0.35048479213953554,0.20701222018021165,0.09201819554069124,0.0,5.2069458326844144e-62,3.2394176601557317e-21,1.0413891606895453e-61,0.0,1.7267836892480237e-130,8.11637146135233e-67,2.745326209030489e-103,3.3662255373141366e-55,2.724094382660732e-82,8.812260118240323e-70,1.0130677244546056e-36,3.3443550078729547e-133,1.561802297527243e-49,9.507386973571202e-88,2.2657002876637784e-100,2.686658577063065e-141,3.239417660155733e-21,1.9158881067391284e-106,1.4738535446551516e-14,5.0377190493302085e-15,7.990596665663118e-62,4.00215965726593e-15,3.314950259390005e-15
2.0314445582640983e-18,0.05003979878925138,0.0,0.0012424882038829246,0.031075110263184432,0.3194096818763451,0.35048479213953154,0.20701222018020835,0.0920181955406765,0.0,4.1656225827023694e-61,6.4788792583213716e-21,8.3312451186253e-61,0.0,2.210347771141568e-128,3.2512760828544246e-66,8.727320400003637e-102,1.346503912288988e-54,2.1793100314640137e-81,7.049919652086015e-69,2.026149189705973e-36,1.0702186274944229e-131,3.123625778639127e-49,7.606030076049124e-87,7.25040239387707e-99,1.7195712215704542e-139,6.478879258321373e-21,3.065473024142449e-105,2.9477268359990556e-14,1.0075506427779145e-14,3.196271180396852e-61,8.00437359781014e-15,6.6299454672461525e-15
