Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204)
0.0,0.0945796191447709,0.0,0.002348411943364661,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.3941757442880475e-24,0.0945796191447709,0.0,0.0023484119433646606,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,3.6620409759682037e-59,1.8745504845141122e-19,7.323612833460392e-59,0.0,-1.2634651583459879e-123,1.7497778974857817e-50,4.264824304822713e-90,7.422473783956616e-48,3.3537883707153306e-69,1.0184800358337364e-63,3.346912505582436e-27,-7.379248629996728e-112,2.2619637654214416e-35,2.313311959334156e-71,8.589644466642613e-91,-2.357781541967782e-125,1.8745505179832374e-19,3.0948726573081444e-89,8.765985713636245e-20,2.9962657905633246e-20,9.588050529807079e-21,2.3803499067846235e-20,1.9716208830125155e-20,9.588050529807079e-21
1.2303692084006533e-23,0.0945796191447709,0.0,0.0023484119433646606,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,5.534076243558132e-58,5.248741356639514e-19,1.1067443555255539e-57,0.0,2.439140338721229e-122,2.644140220702609e-49,1.202748722095617e-88,4.483174165509795e-47,5.068244985825021e-68,1.5391270516288595e-62,9.371355015630818e-27,5.6627587710213345e-111,6.333525660423884e-35,3.495877032945785e-70,2.422420744537637e-89,3.5807602638460585e-124,5.248741450353064e-19,8.728036073234163e-88,2.4544759998118536e-19,8.389544213575791e-20,2.6846541483469357e-20,6.664979738996327e-20,5.520538472432471e-20,2.6846541483469357e-20
2.81227247634435e-23,0.0945796191447709,0.0,0.00234841194336466,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,5.953306682992939e-57,1.1997123100890318e-18,1.1905850729439182e-56,0.0,2.5754759223837165e-120,2.844396275694726e-48,2.6162412000060033e-87,2.1584553763745837e-46,5.4521866785045146e-67,1.655722649243067e-61,2.1420240035727583e-26,3.20431370134714e-109,1.4476757919404159e-34,3.7607049860503606e-69,5.269297315443731e-88,3.830918320589009e-122,1.1997123315092719e-18,1.898538490084122e-86,5.610230856683128e-19,1.9176101059594654e-19,6.136352339083205e-20,1.5234239403417255e-19,1.2618373651262094e-19,6.136352339083205e-20
5.976079012231745e-23,0.0945796191447709,0.0,0.002348411943364659,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,5.472114505630949e-56,2.549388658939193e-18,1.094352801688472e-55,0.0,2.0357011498184972e-118,2.6144710277764595e-47,4.8500703080148e-86,9.4265417056249e-46,5.011498886592517e-66,1.5218943706717204e-60,4.5518010075921114e-26,1.2616811177361775e-107,3.0763656313266263e-34,3.456735794593851e-68,9.768399717000505e-87,3.028394843776336e-120,2.5493887044572028e-18,3.519570395349363e-85,1.1921740570324942e-18,4.0749214751608087e-19,1.3039748720570992e-19,3.237275873224919e-19,2.6814044008880175e-19,1.3039748720570992e-19
1.2303692084006532e-22,0.0945796191447709,0.0,0.0023484119433646563,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,4.681509167332145e-55,5.2487413566395144e-18,9.362418619216227e-55,0.0,1.4428358218574394e-116,2.2367273966268667e-46,8.336031812110684e-85,3.9353956002537966e-45,4.287442807662042e-65,1.3020126755035607e-59,9.371355015630818e-26,4.457855326982113e-106,6.33391886045967e-34,2.9573102490692805e-67,1.6789419432360128e-85,2.1464223579892218e-118,5.2487414503530646e-18,6.0492422554833815e-84,2.454475999720563e-18,8.38954421355378e-19,2.6846541483607576e-19,6.664979738987337e-19,5.520538472395169e-19,2.6846541483607576e-19
2.495891822755611e-22,0.0945796191447709,0.0,0.002348411943364651,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,3.8707623110569337e-54,1.0647446752040157e-17,7.741028765784201e-54,0.0,9.709663203688195e-115,1.8493664311805758e-45,1.3816361892849314e-83,1.6077375115001385e-44,3.5449406243895617e-64,1.0765292585638804e-58,1.9010463031708231e-25,1.497653500051458e-104,1.2849719520168261e-33,2.445161302703416e-66,2.7827351268805424e-84,1.4444438800088593e-116,1.0647446942144788e-17,1.0026175408027895e-82,4.979079884935527e-18,1.7018789690300853e-18,5.446012700992478e-19,1.3520387470496298e-18,1.1198806615343612e-18,5.446012700992478e-19
5.0269370514655265e-22,0.0945796191447709,0.0,0.0023484119433646406,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,3.1476396273574587e-53,2.1444857542841443e-17,6.294876032582854e-53,0.0,6.370917093241682e-113,1.50387285632147e-44,2.2496365312326004e-82,6.498732076595646e-44,2.882686842869587e-63,8.754157145187787e-58,3.8288679063863056e-25,4.909515978091588e-103,2.5884097645355485e-33,1.9883645631471662e-65,4.5310018014534006e-83,9.477524631832656e-115,2.1444857925728235e-17,1.632502753562754e-81,1.0028287654720759e-17,3.427728064363954e-18,1.096872980635353e-18,2.7231202933450725e-18,2.255534290097707e-18,1.096872980635353e-18
1.0089027508885357e-21,0.0945796191447709,0.0,0.00234841194336462,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,2.538685390540153e-52,4.3039679124444016e-17,5.0770455678234734e-52,0.0,4.128326745603282e-111,1.2129274557063506e-43,3.6309229567420396e-81,2.6131115855370616e-43,2.3249913712769393e-62,7.0605448787158e-57,7.684511112817271e-25,1.5900287926596183e-101,5.1963961118810525e-33,1.6036880536312716e-64,7.313181145712781e-82,6.141294915841374e-113,4.303967989289513e-17,2.6348660260059557e-80,2.0126703191712434e-17,6.8794262549695075e-18,2.2014164017466082e-18,5.465283385910558e-18,4.526841547119026e-18,2.2014164017466082e-18
2.021320842372502e-21,0.0945796191447709,0.0,0.002348411943364578,0.031075110263184432,0.31940968187635516,0.3504847921395395,0.20701222018021495,0.09201819554070595,0.0,2.039210165315915e-51,8.622932228764916e-17,4.0781591016587304e-51,0.0,2.6586135132753663e-109,9.742891005907049e-43,5.834797405594899e-80,1.0479746200725637e-42,1.867559507864409e-61,5.671413615486677e-56,1.53957975256792e-24,5.118675170269764e-100,1.041681169580461e-32,1.288169456974257e-63,1.1752490635855462e-80,3.95482200971902e-111,8.62293238272289e-17,4.23415896890547e-79,4.032353425538062e-17,1.3782822635931879e-17,4.410503244125295e-18,1.0949609570939931e-17,9.069456060740167e-18,4.410503244125295e-18
