Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29)
0.0,0.05435919745378708,0.0,0.001349738872777533,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.688521184077526e-23,0.05435919745378708,0.0,0.0013497388727775324,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,8.357430716070552e-73,1.002608077746257e-24,1.671486098383241e-72,0.0,-1.5947446644489143e-156,2.6223549814122943e-50,1.8117918184604554e-117,1.6513601750529144e-61,2.6608401195420203e-91,4.967588128677308e-80,6.349514738004536e-39,-1.7046082746308873e-136,5.2701412580725754e-48,2.9061597410743124e-96,-6.323483656940389e-118,-3.875751095065214e-149,1.0026080777462634e-24,2.0375884396974366e-118,2.553686540056794e-19,8.728651711006724e-20,2.7931799331925494e-20,6.934379904508546e-20,5.743680032715262e-20,2.79316854752216e-20,1.1385670389491286e-25
4.727859315417073e-23,0.05435919745378708,0.0,0.0013497388727775317,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.2629749298136515e-71,2.80730261768952e-24,2.5259497918791563e-71,0.0,5.9006406024286464e-154,3.9629028178169984e-49,5.117007598089857e-116,9.974215457319605e-61,4.021001026054272e-90,7.50701918006032e-79,1.7778641266412701e-38,-1.7046082744925823e-136,3.1813423967479616e-47,4.391934018496376e-95,1.6145317064677574e-116,-3.8757510944783724e-149,2.807302617689537e-24,5.746166487084043e-117,7.150322312136606e-19,2.444022479081877e-19,7.820903812939158e-20,1.9416263732623896e-19,1.6082304091600913e-19,7.820871933062068e-20,3.187987709057559e-25
1.0806535578096168e-22,0.05435919745378708,0.0,0.0013497388727775298,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.3586507966513816e-70,6.416691697576045e-24,2.7173015204229846e-70,0.0,1.080223174063265e-151,4.2631100117286575e-48,1.1137078503346966e-114,4.802155389053876e-60,4.325605227542644e-89,8.075708669031758e-78,4.0636894323229035e-38,-1.7046082676911173e-136,1.5312810316579974e-46,4.7246522563948213e-94,6.456677959378388e-115,-3.875751036123747e-149,6.416691697576086e-24,1.249918048168917e-115,1.634359385620654e-18,5.586337095044265e-19,1.7876351572432436e-19,4.438003138885447e-19,3.675955220936495e-19,1.7876278704141938e-19,7.286829049274407e-25
2.2963888103454356e-22,0.05435919745378708,0.0,0.001349738872777526,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.2488341570421218e-69,1.3635469857349094e-23,2.49766824709625e-69,0.0,1.5672412355287345e-149,3.9185325697812667e-47,2.0668505029143993e-113,2.097227422317202e-59,3.9759760887131886e-88,7.422967588923287e-77,8.63534004368617e-38,-1.704608001993046e-136,6.686699166804674e-46,4.342770253650602e-93,2.209219193246689e-113,-3.8757464384878782e-149,1.3635469857349183e-23,2.3171379477011557e-114,3.4730136943987674e-18,1.1870966326968952e-18,3.798724709141923e-19,9.430756670131508e-19,7.811404844486393e-19,3.798709224630193e-19,1.5484511729708059e-24
4.727859315417073e-22,0.05435919745378708,0.0,0.0013497388727775185,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.0684039138265687e-68,2.8073026176895204e-23,2.136807770345346e-68,0.0,2.1200410999020376e-147,3.3523871127189075e-46,3.5600162710173586e-112,8.755511648130555e-59,3.401531220151376e-87,6.350505052646402e-76,1.7778641266412701e-37,-1.7045986421572151e-136,2.7914033641819377e-45,3.715331460876216e-92,7.269386688282773e-112,-3.8754210553615333e-149,2.8073026176895374e-23,3.9825682290565827e-113,7.150322311811497e-18,2.444022479081797e-18,7.8209038129393775e-19,1.941626373262342e-18,1.608230409157455e-18,7.820871933062287e-19,3.1879877090575184e-24
9.590800325560348e-22,0.05435919745378708,0.0,0.0013497388727775033,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,8.833770168577257e-68,5.694813881598739e-23,1.7667539863353168e-67,0.0,2.78483604183379e-145,2.77181849360499e-45,5.925750024060016e-111,3.576912193571616e-58,2.8124517888662017e-86,5.250720384254727e-75,3.606524371186577e-37,-1.7042846642010715e-136,1.1403469541073627e-44,3.0719079068079055e-91,2.3557426683454414e-110,-3.8535409376668607e-149,5.694813881598776e-23,6.600814799389791e-112,1.4504939546062965e-17,4.9578741718514585e-18,1.5865262020534672e-18,3.93872778576064e-18,3.262410258570431e-18,1.5865197349926859e-18,6.467060781230872e-24
1.93166823458469e-21,0.05435919745378708,0.0,0.001349738872777473,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,7.183475193544767e-67,1.1469836409417182e-22,1.4366950001851838e-66,0.0,3.6094560002235036e-143,2.253996765803106e-44,9.730884042559561e-110,1.4458450985472293e-57,2.2870390863826483e-85,4.269798614718599e-74,7.263844860277189e-37,-1.6939998762229318e-136,4.609399902241366e-44,2.4980244935956515e-90,7.583537806453106e-109,-2.4184614106181986e-149,1.1469836409417252e-22,1.0747715756908466e-110,2.9214174012269946e-17,9.985577557390211e-18,3.1953978435726806e-18,7.932930610756897e-18,6.570769957377764e-18,3.1953848183657545e-18,1.3025206925577297e-23
3.876844638642e-21,0.05435919745378708,0.0,0.0013497388727774125,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,5.793732982854257e-66,2.301988146505406e-22,1.1587465655080514e-65,0.0,4.648572822773265e-141,1.8179300482611043e-43,1.597146760198547e-108,5.813679550680785e-57,1.8445798768180325e-84,3.443747266848048e-73,1.4578485838458414e-36,-1.361037564928775e-136,1.8534064649533366e-43,2.0147472513097254e-89,2.4337829369348152e-107,9.055445440300926e-148,2.3019881465054194e-22,1.7346856564327478e-109,5.863264293550011e-17,2.0040984328465446e-17,6.413141126611725e-18,1.5921336260748056e-17,1.3187489354917953e-17,6.41311498511251e-18,2.614149921426901e-23
7.76719744675662e-21,0.05435919745378708,0.0,0.0013497388727772915,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070587,0.0,4.653841408544418e-65,4.611997157632783e-22,9.307682567704307e-65,0.0,5.9683110964930006e-139,1.460260278041111e-42,2.6519926752926483e-107,2.331545522996158e-56,1.4816668696141707e-83,2.766205083742684e-72,2.9207767794820868e-36,9.355737733151827e-136,7.432962954822397e-43,1.618354558914974e-88,7.799243912016392e-106,6.077165487475575e-146,4.611997157632807e-22,2.7875932810182175e-108,1.1746958074522518e-16,4.015179787060681e-17,1.2848627692692284e-17,3.189814756072496e-17,2.642092814970042e-17,1.284857531860849e-17,5.23740837916479e-23
1.554790306298586e-20,0.05435919745378708,0.0,0.0013497388727770495,0.031075110263184432,0.3194096818763551,0.3504847921395395,0.20701222018021492,0.09201819554070576,0.0,3.7306299189651234e-64,9.232015179887535e-22,7.461259638224134e-64,0.0,7.651019447051313e-137,1.1705793568168826e-41,4.526356251978613e-106,9.33834336885778e-56,1.1877393547967653e-82,2.217455762127391e-71,5.846633170754576e-36,3.5328741374520757e-134,2.977057009621166e-42,1.2973114531069823e-87,2.4975286723932356e-104,3.903873879668367e-144,9.232015179887572e-22,4.469848251631375e-107,2.3514345621773424e-16,8.037342495485314e-17,2.5719600824863272e-17,6.385177016065708e-17,5.288780573807368e-17,2.5719495985610322e-17,1.0483925294638747e-22
3.110931429544434e-20,0.05435919745378708,0.0,0.0013497388727765653,0.031075110263184432,0.319409681876355,0.3504847921395394,0.20701222018021487,0.09201819554070552,0.0,2.9875296091704155e-63,1.8472051224397033e-21,5.975059058744637e-63,0.0,9.800708143824296e-135,9.374128670878417e-41,8.127598595714081e-105,3.7377709900602834e-55,9.511547932995852e-82,1.775763045458773e-70,1.1698345953299555e-35,1.1375044627768664e-132,1.1915976102566287e-41,1.0389013397947244e-86,7.9949154649222495e-103,2.5023659414555373e-142,1.8472051224397082e-21,7.159525421989115e-106,4.704912065749884e-16,1.6081667912320018e-16,5.146154708924477e-17,1.2775901536043465e-16,1.0582156091005357e-16,5.14613373196535e-17,2.0976959125579395e-22
6.22321367603613e-20,0.05435919745378708,0.0,0.001349738872775597,0.031075110263184432,0.31940968187635477,0.3504847921395393,0.20701222018021476,0.09201819554070505,0.0,2.3912345484151017e-62,3.6952123313416034e-21,4.782468969617892e-62,0.0,1.2549641690317245e-132,7.503102319177707e-40,1.5820940040486713e-103,1.4955952632417964e-54,7.613093463891364e-81,1.421330162240276e-69,2.3401771518389506e-35,3.643265762528002e-131,4.767940494718006e-41,8.315421480642341e-86,2.5588239986755336e-101,1.602752030177983e-140,3.6952123313415974e-21,1.1461458805491739e-104,9.411867049384399e-16,3.2170318745931184e-16,1.0294543961816575e-16,2.55573505759643e-16,2.116890712349469e-16,1.0294501998789786e-16,4.1963026787431606e-22
1.2447778169019522e-19,0.05435919745378708,0.0,0.0013497388727736607,0.031075110263184432,0.3194096818763543,0.35048479213953904,0.20701222018021453,0.0920181955407041,0.0,1.9134721014644902e-61,7.3912267491454e-21,3.826944101980501e-61,0.0,1.6066571030586775e-130,6.004001979565514e-39,3.4313927185720143e-102,5.983354926116765e-54,6.0920171387733375e-80,1.137352090458601e-68,4.680862264856938e-35,1.1662861926464207e-129,1.9074862527173726e-40,6.654021839671986e-85,8.188957879483529e-100,1.0261582019059234e-138,7.39122674914533e-21,1.8343309853716194e-103,1.8825776922611175e-15,6.434762041292053e-16,2.0591322467663977e-16,5.112024865566729e-16,4.234240918084674e-16,2.0591238532501865e-16,8.39351621110197e-22
