Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2NO3(231),CH3OX(210),CH2OX(659),CHOX(675)
0.0,0.09466578726852673,0.0,0.0023505514978775185,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.956215449528276e-24,0.09466578726852673,0.0,0.0023505514978775185,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,5.471935559086854e-59,2.1466144556077792e-19,3.146733559757655e-56,0.0,1.1202351833086594e-95,4.153813519572171e-40,5.308925577227946e-66,2.1213041547999137e-47,5.121733112107248e-69,1.0893526664597953e-39,3.9030534943643035e-27,-1.4517793648140135e-111,2.5187065154598214e-23,3.568119593317401e-71,4.333808007279201e-62,1.0359096254549421e-103,2.14661449463899e-19,3.111201844056543e-87,9.891707330738739e-20,3.3810441008659226e-20,2.1504277205736657e-20,2.6860327397116118e-20,2.2248150269739675e-20,1.0819341122775318e-20,5.823953480081672e-24,6.672150988158003e-34,1.2772316634513557e-21,8.640933879487984e-47,6.6721509881579614e-34,1.11816079595808e-35,1.2520445983643283e-21,1.0679112129479904e-20,9.277882933382653e-49,4.235938973645103e-59
1.3877403258679172e-23,0.09466578726852673,0.0,0.0023505514978775176,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,8.26918890414559e-58,6.010520475701782e-19,4.755343723026879e-55,0.0,6.814937248445421e-94,2.508903366724903e-39,6.302756460311704e-65,1.281267709499148e-46,7.739963079016464e-68,6.579690105417161e-39,1.0928549784220049e-26,1.1515542467808097e-110,7.0523782432875e-23,5.3921423294212477e-70,5.145096866277754e-61,6.301943755266043e-102,6.010520584989171e-19,9.764452901392611e-86,2.7696780525988254e-19,9.466923482422637e-20,6.021197617607704e-20,7.520891671191719e-20,6.229482075523823e-20,3.029415514377878e-20,1.6307069746355103e-23,4.029979196848069e-33,3.576248657663825e-21,1.0258516701729582e-45,4.02997919684802e-33,6.753691208321668e-35,3.505724875420119e-21,2.990151396254372e-20,5.603841291516297e-48,5.028906749308621e-58
3.1719778876980965e-23,0.09466578726852673,0.0,0.0023505514978775168,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,8.895616070613122e-57,1.3738332515889788e-18,5.115581776241809e-54,0.0,3.076588434453251e-92,1.2079289728207458e-38,6.188083697727792e-64,6.168752482158149e-46,8.3262990856905e-67,3.167837554065082e-38,2.497954236393154e-26,6.492139696585245e-109,1.6119721698942853e-22,5.800620660464222e-69,5.051486613391893e-60,2.8449986502203845e-100,1.3738332765689534e-18,2.1775389530281546e-84,6.330692691616641e-19,2.1638682245528275e-19,1.376273741168155e-19,1.7190609534148753e-19,1.42388161726104e-19,6.92437831858173e-20,3.7273302287407653e-23,1.9402615073573008e-32,8.17428264608888e-21,1.0071872529935691e-44,1.940261507357253e-32,3.2516115957483938e-34,8.013085429531699e-21,6.834631762867131e-20,2.698008356657434e-47,4.9374104670519067e-57
6.740453011358455e-23,0.09466578726852673,0.0,0.002350551497877515,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,8.176603747928137e-56,2.91939565962658e-18,4.7021009893067e-53,0.0,1.1616612537265237e-90,5.275343183470859e-38,5.473290006058425e-63,2.6940562765958907e-45,7.653303354759606e-66,1.3834778864039376e-37,5.308152752335452e-26,2.5560789584636933e-107,3.4254408610253566e-22,5.331769745902316e-68,4.467982703406571e-59,1.0742173577262522e-98,2.9193957127090256e-18,4.0776521109785386e-83,1.3452721969523926e-18,4.598219977170841e-19,2.92458169998523e-19,3.6530045260050104e-19,3.025748436673101e-19,1.471430392700208e-19,7.92057674035355e-23,8.473631754970524e-32,1.7370350622939448e-20,8.908457192406384e-44,8.4736317549701e-32,1.4200642120058026e-33,1.7027806537754863e-20,1.452359249609264e-19,1.1782911321570126e-46,4.367083642948616e-56
1.387740325867917e-22,0.09466578726852673,0.0,0.002350551497877512,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,6.995256653382339e-55,6.010520475701783e-18,4.02274639257156e-52,0.0,4.030342535397133e-89,2.2023519402783283e-37,4.6006301300002625e-62,1.1247154628749144e-44,6.547562149720552e-65,5.7757478375698155e-37,1.0928549784220048e-25,9.031292714778137e-106,7.052378243287498e-22,4.561441270661837e-67,3.755608678580266e-58,3.7269590383749805e-97,6.0105205849891666e-18,7.042602575613915e-82,2.7696780524825107e-18,9.466923482394413e-19,6.021197617628607e-19,7.520891671180197e-19,6.2294820754762065e-19,3.029415514389334e-19,1.6307069777188231e-22,3.5375744539302507e-31,3.576248657664242e-20,7.488095045039372e-43,3.5375744539298942e-31,5.9284885504211145e-33,3.5057248754201185e-20,2.990151396254362e-19,4.9191335278362215e-46,3.670796937141431e-55
2.8151303753320603e-22,0.09466578726852673,0.0,0.0023505514978775055,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,5.783813476010854e-54,1.2192770107852187e-17,3.3260845096642944e-51,0.0,1.3422723380257505e-87,8.997326339023936e-37,3.771874685587133e-61,4.594829651462809e-44,5.4136510028262566e-64,2.3595814496585603e-36,2.216934384798924e-25,3.0341376120120416e-104,1.4306253007811777e-21,3.7714878522085447e-66,3.07907489936943e-57,1.2412329667340861e-95,1.2192770329549444e-17,1.1700953867249239e-80,5.618489763337391e-18,1.9204330492791727e-18,1.2214429452952265e-18,1.5256665961510228e-18,1.2636949352998347e-18,6.145385757787813e-19,3.308005590529401e-22,1.4452145926464931e-30,7.254675848405575e-20,6.139192729585322e-42,1.4452145926462006e-30,2.4219810191565377e-32,7.111613318709384e-20,6.065735689544541e-19,2.0096265519871246e-45,3.0095411071693874e-54
5.669910474260347e-22,0.09466578726852673,0.0,0.0023505514978774925,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,4.703301063548096e-53,2.4557269372152998e-17,2.7047166850452045e-50,0.0,4.381400472139338e-86,3.6368632041473576e-36,3.0545621503561415e-60,1.8573036101267584e-43,4.402291087857732e-63,9.537805484135287e-36,4.465093197552763e-25,9.946324076180773e-103,2.8814002536860324e-21,3.066911286130838e-65,2.493514684484291e-56,4.051591135731804e-94,2.455726981866997e-17,1.9075152693173067e-79,1.1316113184225732e-17,3.8679144513387036e-18,2.460089312374719e-18,3.0728214542088927e-18,2.5451883907706355e-18,1.237732624466567e-18,6.662602837925125e-22,5.841788453441598e-30,1.4611530229891184e-19,4.971677441762835e-41,5.841788453439231e-30,9.790034557190921e-32,1.4323390205287913e-19,1.2216904276124829e-18,8.123231822576785e-45,2.4372044127927924e-53
1.1379470672116921e-21,0.09466578726852673,0.0,0.0023505514978774665,0.031075110263184432,0.31940968187635516,0.3504847921395395,0.20701222018021495,0.09201819554070596,0.0,3.7933826965336855e-52,4.928626790075461e-17,2.1814519915798234e-49,0.0,1.4159929237335828e-84,1.462366733496141e-35,2.458577741846993e-59,7.468136129139321e-43,3.5506072463042237e-62,3.835109636378271e-35,8.96141082306044e-25,3.221283265429522e-101,5.782950159495736e-21,2.4735750587559218e-64,2.0069975498608672e-55,1.3094042451809082e-92,4.9286268796910885e-17,3.080613537418576e-78,2.2711360022716737e-17,7.762877255378042e-18,4.937382046592752e-18,6.167131170292086e-18,5.108175301577726e-18,2.4841207218745003e-18,1.3371797419814844e-21,2.3489574440351332e-29,2.932523899287419e-19,4.001638531332227e-40,2.348957444033227e-29,3.9365298665122437e-31,2.8746943978444966e-19,2.4519241449285135e-18,3.2663157787783967e-44,1.9616741379095942e-52
2.279859106783007e-21,0.09466578726852673,0.0,0.002350551497877415,0.031075110263184432,0.31940968187635516,0.3504847921395394,0.20701222018021495,0.09201819554070594,0.0,3.047051274856517e-51,9.874426495795782e-17,1.7522608720853462e-48,0.0,4.5536210404735144e-83,5.864744938461198e-35,1.9728544156196722e-58,2.995056608337096e-42,2.852040830536863e-61,1.5380504936585085e-34,1.7954046074075797e-24,1.0370065462498804e-99,1.1586049971115119e-20,1.9869100059750853e-63,1.6104891389380385e-54,4.2108478237429133e-91,9.874426675339222e-17,4.951973191314233e-77,4.550185368655601e-17,1.555280286313781e-17,9.891967515265002e-18,1.2355750602328287e-17,1.023414912265387e-17,4.9768969168198114e-18,2.679018693198737e-21,9.420369947678373e-29,5.875265651888733e-19,3.2110629070653435e-39,9.420369947663076e-29,1.578724565495615e-30,5.759405152475909e-19,4.912391579560465e-18,1.3099387089670575e-43,1.5741199449272508e-51
