Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2NO3(231),CH3OX(210),CH2OX(659),CHOX(675),HNOH(93)
0.0,0.06210963536780779,0.0,0.0015421822461826674,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7706448932824962e-23,0.06210963536780779,0.0,0.0015421822461826667,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,4.720427873304917e-68,6.608440679874844e-23,2.3838238033187523e-66,0.0,6.2221386431972624e-111,3.371139044019423e-47,1.084979907282593e-77,3.1187231886463086e-53,5.536878339917935e-84,8.815367964009277e-44,3.266134292718864e-35,-1.650871235620682e-128,1.1929354863385506e-30,3.2988399468267676e-88,1.4359536324659247e-74,4.816060285582696e-123,6.608440679878106e-23,1.870828831153722e-100,2.862434229652583e-19,9.783969584528991e-20,6.221214857327739e-20,7.772765407483056e-20,6.438106663424587e-20,3.130870267049265e-20,5.339183383248381e-25,4.490973938116012e-34,3.1020584184862427e-29,3.7019023465416308e-47,4.49097393811577e-34,3.4123552623643436e-36,2.983817523807374e-29,3.0902911984445526e-20,1.8810285007854224e-54,3.0681562740880516e-64,1.0526599064610254e-32
4.957805701190989e-23,0.06210963536780779,0.0,0.0015421822461826656,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,7.133510602074252e-67,1.8503633903649559e-22,3.602434531558512e-65,0.0,3.785253532744429e-109,2.0696900902912878e-46,1.288104343603468e-76,1.883708805942371e-52,8.367330537177263e-83,5.3244822502615995e-43,9.14517601961282e-35,-1.6508705466200868e-128,3.340219361747952e-30,4.985206910670524e-87,1.704767227644916e-73,2.9298622632083713e-121,1.8503633903658683e-22,5.8821850872720694e-99,8.01481584298884e-19,2.7395114836680855e-19,1.7419401600517964e-19,2.1763743140952386e-19,1.8026698657583755e-19,8.766436747737802e-20,1.4949713487535656e-24,2.7125482586219956e-33,8.685763574252601e-29,4.394898465813936e-46,2.7125482586217092e-33,2.061062580129273e-35,8.354689066660647e-29,8.652815355644741e-20,1.1361412143002665e-53,3.642515128086093e-63,2.947464529795578e-32
1.1332127317007975e-22,0.06210963536780779,0.0,0.0015421822461826632,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,7.673905185000904e-66,4.229402035119899e-22,3.875334680560034e-64,0.0,1.7088507146163514e-107,1.029652620116896e-45,1.2647009906036191e-75,9.069247032583467e-52,9.001192386792313e-82,2.5635090039338906e-42,2.090325947340073e-34,-1.650836663401705e-128,7.634787112566795e-30,5.3628581164803954e-86,1.6737567449251928e-72,1.3226847761799676e-119,4.229402035121979e-22,1.3122831343833004e-97,1.831957906950778e-18,6.261740534098333e-19,3.9815775086899557e-19,4.974569860789039e-19,4.1203882645881753e-19,2.0037569709114312e-19,3.417077375387095e-24,1.305975221204023e-32,1.9853173895749802e-28,4.314937375128033e-45,1.3059752212037416e-32,9.923129127873653e-35,1.909643215236719e-28,1.9777863670045077e-19,5.470030877682157e-53,3.5762429514980996e-62,6.737140943283511e-32
2.4080770548641946e-22,0.06210963536780779,0.0,0.0015421822461826585,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,7.053640962454203e-65,8.987479324629786e-22,3.562100232805445e-63,0.0,6.452341904843708e-106,4.786572624887379e-45,1.1186710887661142e-74,3.9607784495808125e-51,8.273646573862218e-81,1.1195517314291713e-41,4.441942638097655e-34,-1.6495130215030695e-128,1.622392261420465e-29,4.929390548974466e-85,1.480429780895236e-71,4.994242231743464e-118,8.98747932463418e-22,2.457761077374612e-96,3.8929105521931365e-18,1.3306198634958325e-18,8.460852205966736e-19,1.0570960954176372e-18,8.755825062239635e-19,4.257983563186508e-19,7.261289451758456e-24,5.703536901406164e-32,4.218799457860214e-28,3.8165132431886875e-44,5.703536901403676e-32,4.333691208951464e-34,4.057991832378028e-28,4.202796029884561e-19,2.388906193331656e-52,3.163146389045169e-61,1.4316762437534686e-31
4.957805701190989e-22,0.06210963536780779,0.0,0.0015421822461826492,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,6.034538348040427e-64,1.8503633903649557e-21,3.0474517442619724e-62,0.0,2.2386495583767472e-104,2.2401658060451792e-44,9.404068710177531e-74,1.6535470346202733e-50,7.078278834271454e-80,4.673908094517657e-41,9.14517601961282e-34,-1.6028846416073039e-128,3.3402193617481033e-29,4.217197396229539e-84,1.2444087383020427e-70,1.7327597215571353e-116,1.85036339036585e-21,4.2451710590745424e-95,8.014815842432135e-18,2.739511483667629e-18,1.7419401600522145e-18,2.176374314094997e-18,1.8026698657510002e-18,8.766436747735766e-19,1.4949713696918384e-23,2.381114381988056e-31,8.685763610373855e-28,3.2080093430720387e-43,2.381114381985966e-31,1.8092307832794496e-33,8.354689066660647e-28,8.652815355644616e-19,9.973213087588987e-52,2.658815130758076e-60,2.9477080095138285e-31
1.0057262993844577e-21,0.06210963536780779,0.0,0.0015421822461826305,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,4.989473002689531e-63,3.75359430616891e-21,2.5196920340944504e-61,0.0,7.45585354448363e-103,1.1127708500083642e-43,7.71160445808214e-73,6.755279175535451e-50,5.852457820680769e-79,1.9094439624762138e-40,1.855164278264315e-33,-3.872436711166407e-130,6.775873562403648e-29,3.486860359811537e-83,1.02027147890004e-69,5.770980390350365e-115,3.7535943061706816e-21,7.053415206496645e-94,1.625862642192726e-17,5.557294724010418e-18,3.533650038964038e-18,4.4149307514492895e-18,3.6568445847920536e-18,1.7783343116830693e-18,3.032656255690707e-23,9.727629188907894e-31,1.761969197917383e-27,2.6301198792082498e-42,9.72762918889076e-31,7.39129818869714e-33,1.694808353522588e-27,1.7552854007164505e-18,4.074382954590236e-51,2.1798572782190306e-59,5.980201408675046e-31
2.0256177579151758e-21,0.06210963536780779,0.0,0.001542182246182593,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,4.057356582716498e-62,7.560056137776818e-21,2.0489717161394848e-60,0.0,2.4338556795658115e-101,6.09531158080129e-43,6.247617438631523e-72,2.7305918503728986e-49,4.75912150443562e-78,7.718277790151971e-40,3.73645763087038e-33,5.119753750061244e-127,1.3647181963715814e-28,2.8354569361787555e-82,8.262909023818099e-69,1.8838531759466233e-113,7.560056137780217e-21,1.1498846976620566e-92,3.2746247576986014e-17,1.1192861204692773e-17,7.117069796790642e-18,8.892043626156167e-18,7.365194022822077e-18,3.5817155855006185e-18,6.108026175555974e-23,3.9320632495622674e-30,3.548754897186456e-27,2.129939268640759e-41,3.932063249548392e-30,2.9876809866474053e-32,3.413487247235636e-27,3.535293131020343e-18,1.6469307271384907e-50,1.765304933573744e-58,1.204690767755947e-30
4.065400674976612e-21,0.06210963536780779,0.0,0.001542182246182518,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,3.27240507179722e-61,1.5172979800992638e-20,1.6525699181647852e-59,0.0,7.866711732263003e-100,3.735429740408072e-42,5.03274738164906e-71,1.0979589734556876e-48,3.838403904473665e-77,3.1034855532009786e-39,7.499044336082511e-33,1.7099331584750855e-125,2.738979876634443e-28,2.2868987405872334e-81,6.651490488264382e-68,6.088992852842298e-112,1.5172979800998774e-20,1.8570668582180945e-91,6.572148987137757e-17,2.2463994166044602e-17,1.4283909312455684e-17,1.7846269375563086e-17,1.478189289867379e-17,7.188478133129975e-18,1.2258766606756625e-22,1.5810653388035498e-29,7.122326397760916e-27,1.7143604239227831e-40,1.5810653387923815e-29,1.2013334504455555e-31,6.85084503466173e-27,7.095308591627779e-18,6.622235978145787e-50,1.4208709801984646e-57,2.4187198097576274e-30
8.144966509099483e-21,0.06210963536780779,0.0,0.0015421822461823681,0.031075110263184432,0.3194096818763551,0.35048479213953954,0.20701222018021492,0.09201819554070585,0.0,2.6285737146895666e-60,3.039882712742428e-20,1.3274340288779017e-58,0.0,2.530402358867752e-98,2.528380912479577e-41,4.045077038766648e-70,4.4033065577105906e-48,3.0832147574157884e-76,1.2446365136174154e-38,1.502421774650677e-32,5.509824866973623e-124,5.487503237161885e-28,1.8369614353185153e-80,5.3386579509163984e-67,1.958582227521377e-110,3.039882712743382e-20,2.9851807368603022e-90,1.316719743972569e-16,4.5006260088696733e-17,2.8617588343833115e-17,3.5754720874349616e-17,2.96152906495439e-17,1.4402003228365717e-17,2.4560249835038407e-22,6.340779157334486e-29,1.4269469807055082e-26,1.3756662735372645e-39,6.340779157244866e-29,4.81788497528922e-31,1.3725560609513917e-26,1.421533951284127e-17,2.655812804072723e-49,1.1401594737202518e-56,4.849529046660169e-30
