Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2NO3(231),CH3OX(210),CH2OX(659),CHOX(675),HNOH(93),H2NX(201)
0.0,0.045450764422602166,0.0,0.0011285424806132117,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0787396372629207e-23,0.045450764422602166,0.0,0.001128542480613211,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,4.422426735032556e-80,1.524169113903477e-27,4.4556343564099003e-79,0.0,1.7700654055035889e-130,3.7627162033142916e-50,3.455046350735163e-92,1.8716173668626153e-63,0.0,3.0059463212605247e-49,1.0510489794808692e-44,-9.905697021847173e-149,5.499174405246259e-39,0.0,1.6812404669421377e-89,2.5341466286665324e-147,1.5241691139034758e-27,5.564189019344275e-117,2.8747180032793103e-19,9.825956249667333e-20,6.886888627884789e-20,7.80612124486001e-20,6.465734982000163e-20,3.14430599989354e-20,1.5721543536310656e-20,2.880499983308268e-35,8.58392001942329e-38,6.585091981851715e-49,3.0601745300877166e-35,1.1884674075323656e-31,8.034559080620991e-38,3.103552791360166e-20,1.775778723200029e-61,3.4004749076814915e-71,7.534343893712973e-42,2.2111814828697876e-20
5.820470984336178e-23,0.045450764422602166,0.0,0.0011285424806132098,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,6.683171283708299e-79,4.267673518929736e-27,6.733354639418046e-78,0.0,1.8588134017177904e-128,5.686212948657396e-49,4.25721302345752e-91,1.1304568895850192e-62,1.752759790608267e-101,1.8155915780413545e-48,2.9429371425464335e-44,-9.90569702184717e-149,1.539768833469734e-38,1.468305071736031e-107,2.278383347584864e-88,2.6612142945749618e-145,4.2676735189297264e-27,1.7494700461466417e-115,8.049210409165511e-19,2.75126774990685e-19,1.9283288158115894e-19,2.185713948560801e-19,1.8104057949599836e-19,8.804056799701878e-20,4.4020321901284806e-20,1.7398219899181853e-34,2.403503833867662e-37,7.817821200854181e-48,1.8483454161729374e-34,7.178343141720744e-31,2.249676542573877e-37,8.689947815808452e-20,1.072701102032154e-60,4.0374944980128226e-70,2.685393840833103e-41,6.191308152035395e-20
1.3303933678482693e-22,0.045450764422602166,0.0,0.0011285424806132072,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,7.189450696166907e-78,9.754682328982252e-27,7.243435660547017e-77,0.0,1.0543012236002386e-126,6.116967000837843e-48,4.491598681122917e-90,5.4426633028364835e-62,2.006731107206609e-100,8.741291902225568e-48,6.726713468677563e-44,-9.905697021847105e-149,3.5194716193630783e-38,1.6810594800896202e-106,2.803718382634534e-87,1.5094169417667035e-143,9.754682328982211e-27,3.902971434141165e-114,1.839819522087168e-18,6.288611999787074e-19,4.407608721873207e-19,4.995917596710393e-19,4.13807038847967e-19,2.0123558399318434e-19,1.0061787862969293e-19,8.376493951460315e-34,5.493752411434891e-37,7.675583214045826e-47,8.898987533494432e-34,3.45606322143407e-30,5.142117811597433e-37,1.9862737864704968e-19,5.165949746844242e-60,3.9650071747836567e-69,8.852422946130586e-41,1.4151561490366566e-19
2.8270859066775724e-22,0.045450764422602166,0.0,0.0011285424806132022,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,6.608343822907749e-77,2.0728699949087283e-26,6.657965306123791e-76,0.0,5.569566669262168e-125,5.622545987686026e-47,4.523252891331472e-89,2.3769540559155207e-61,1.8547060233273218e-99,3.8175518280008323e-47,1.4294266120939819e-43,-9.90569702184455e-149,7.478877191162276e-38,1.553706489173741e-105,3.480391088087348e-86,7.973819953421156e-142,2.0728699949087108e-26,7.309833545879451e-113,3.90961648440191e-18,1.3363300499547483e-18,9.36616853405803e-19,1.061632489300955e-18,8.793399575518054e-19,4.276256159855109e-19,2.1381299208034874e-19,3.658234978801374e-33,1.1674349221435605e-36,6.788966429608746e-46,3.8864216532107365e-33,1.5093536079033537e-29,1.0927000349644546e-36,4.2208317962497817e-19,2.2573980509821e-59,3.508871778513588e-68,3.0398921966220942e-40,3.0072068167028765e-19
5.8204709843361785e-22,0.045450764422602166,0.0,0.0011285424806131922,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,5.653577270037692e-76,4.267673518929735e-26,5.696029493663708e-75,0.0,3.033641960400594e-123,4.810206251177898e-46,4.726970679416469e-88,9.923315279105583e-61,1.587678434819351e-98,1.593752739532299e-46,2.942937142546433e-43,-9.905697021754522e-149,1.5397688334810713e-37,1.3300147063062035e-104,4.6065385317162834e-85,4.343199749526694e-140,4.26767351892966e-26,1.2625919623281584e-111,8.049210408925427e-18,2.7512677499068155e-18,1.9283288158674006e-18,2.1857139485607746e-18,1.810405794959086e-18,8.80405679970145e-19,4.402032189570182e-19,1.5272410911499315e-32,2.4035941460902054e-36,5.706535349999004e-45,1.6225045358519114e-32,6.301254197755985e-29,2.249676542573877e-36,8.68994781580827e-19,9.436781624521039e-59,2.9530659140906295e-67,1.1034168324438234e-39,6.191308152035255e-19
1.1807241139653389e-21,0.045450764422602166,0.0,0.001128542480613172,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,4.674487016516736e-75,8.657280566971748e-26,4.709587335801144e-74,0.0,1.7437609015005758e-121,3.977171462772053e-45,5.391856118433403e-87,4.053998081319097e-60,1.3128135061048055e-97,6.510999969702887e-46,5.969958203451336e-43,-9.905697018734307e-149,3.123531062230776e-37,1.0997575021893333e-103,6.53285251593705e-84,2.49650682685035e-138,8.657280566971444e-26,2.097815429068173e-110,1.6328398257548585e-17,5.581143149810889e-18,3.9117527408891325e-18,4.433876867080369e-18,3.672537469772063e-18,1.785965807939338e-18,8.929836726117886e-19,6.239278183844097e-32,4.876072041769503e-36,4.678562454271319e-44,6.628460439146158e-32,2.5742679459612583e-28,4.563629557792722e-36,1.762817985492493e-18,3.86846786466526e-58,2.428755307250809e-66,4.176262587526214e-39,1.2559510822699773e-18
2.378078145028781e-21,0.045450764422602166,0.0,0.001128542480613132,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,3.801215210597697e-74,1.7436494663055775e-25,3.8297582066746626e-73,0.0,1.047982903301298e-119,3.2341697483005715e-44,6.822439129228735e-86,1.6386908423218283e-59,1.0675669984968244e-96,2.631850289686798e-45,1.202400032526114e-42,-9.905696919802098e-149,6.29105551981025e-37,8.94311956897938e-103,9.754331218676852e-83,1.5003764361716895e-136,1.7436494663054542e-25,3.419968610656908e-109,3.2886773953099424e-17,1.1240893949618794e-17,7.878600591326738e-18,8.930202704119372e-18,7.396800819391681e-18,3.5970860638774215e-18,1.7985445795270554e-18,2.522015999384813e-31,9.821665624272132e-36,3.788821175389078e-43,2.6793296894650957e-31,1.0405602638249426e-27,9.191535588230412e-36,3.550464393315698e-18,1.5791648073273878e-57,1.984685078152458e-65,1.6217916215767116e-38,2.5295916164027836e-18
4.772786207155666e-21,0.045450764422602166,0.0,0.0011285424806130515,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,3.065817778062042e-73,3.4994922855223826e-25,3.088838736279946e-72,0.0,6.481607277476951e-118,2.608475054730674e-43,9.444831572795842e-85,6.58910380473451e-59,8.6103233710091e-96,1.0582554261848817e-44,2.4132084568880754e-42,-9.905693716942638e-149,1.2626104435289462e-36,7.212957270404142e-102,1.5036892242181893e-81,9.279591802500208e-135,3.4994922855218876e-25,5.523258441410046e-108,6.600352533741917e-17,2.2560395549233638e-17,1.5812296293778518e-17,1.792285437819665e-17,1.484532751860557e-17,7.219326575752382e-18,3.609666391780494e-18,1.0140915411229812e-30,1.9715403953853518e-35,3.0495729019412703e-42,1.0773466840121402e-30,4.1840470638943645e-27,1.8447347649105794e-35,7.125757208961598e-18,6.550852574600756e-57,1.643578923812813e-64,6.388507194454918e-38,5.0768726846680106e-18
9.562202331409434e-21,0.045450764422602166,0.0,0.0011285424806128908,0.031075110263184432,0.3194096818763551,0.35048479213953954,0.20701222018021492,0.09201819554070585,0.0,2.4626315728728237e-72,7.011177923955993e-25,2.4811232513616288e-71,0.0,4.0748067056471397e-116,2.09526901445087e-42,1.392380528872437e-83,2.6425253305691246e-58,6.56857371148027e-95,4.2440775753084287e-44,4.8348253056119974e-42,-9.905595811814174e-149,2.5296202267528937e-36,5.502562385511718e-101,2.359837825267285e-80,5.833822840602209e-133,7.011177923954005e-25,8.878476631603496e-107,1.3223702807893094e-16,4.5199398748459457e-17,3.1679687704988346e-17,3.590815772634827e-17,2.974238091693197e-17,1.446380759949747e-17,7.231910009978988e-18,4.0669606434279895e-30,3.951308527132082e-35,2.4470901984076235e-41,4.320642057956596e-30,1.6779900155640758e-26,3.695897177085655e-35,1.4276342840251356e-17,2.911536333055339e-56,1.4489209117862664e-63,2.5355477729128044e-37,1.0171434821196918e-17
