Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2NO3(231),CH3OX(210),CH2OX(659),CHOX(675),HNOH(93),H2NX(201),H3NX(202)
0.0,0.07782336798655136,0.0,0.0019323542271060701,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.601282081923247e-23,0.07782336798655136,0.0,0.0019323542271060693,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,9.267192165836801e-62,1.6680748621353964e-20,1.7056323126218993e-59,0.0,1.7549259483114782e-100,2.8046215226928112e-42,6.620136902556492e-70,9.917608920086276e-48,3.880595997674204e-74,8.342037099086556e-41,3.975704382518658e-30,-1.0042472220539299e-117,4.593529816314005e-26,3.1326929241929882e-77,2.2230878659904803e-66,4.0847631204198255e-110,1.668074862532966e-20,1.6485128650145105e-91,2.8976598992018517e-19,9.904373007582942e-20,6.942258788604525e-20,7.868418562736031e-20,6.517335249893738e-20,3.1693993624270414e-20,1.5851098912501145e-20,2.044253732813023e-33,1.7038700435952804e-24,5.825598858030847e-46,3.473438613129034e-33,9.426058381113853e-32,1.6593788131970104e-24,3.128320919951192e-20,1.4672886359444712e-50,2.1643825664087695e-60,1.4440677774236818e-27,2.228827977383494e-20,1.341933950353924e-20
4.483589829385092e-23,0.07782336798655136,0.0,0.0019323542271060682,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.4004580788033643e-60,4.6706096139791106e-20,2.5775515496266167e-58,0.0,1.0676071012174085e-98,1.693992779224513e-41,7.859427741797871e-69,5.990235787732111e-47,5.864356671684756e-73,5.038590407848277e-40,1.113197227105224e-29,-9.534658932301235e-118,1.2861883485679218e-25,4.7341255470394676e-76,2.639249921258174e-65,2.484960758262467e-108,4.670609615092304e-20,5.183166480300504e-90,8.113447717708148e-19,2.7732244421228974e-19,1.943832460812661e-19,2.2031571975659376e-19,1.8248538699687626e-19,8.874318214796284e-20,4.4383076954704393e-20,1.2347292546190549e-32,4.7708361220731484e-24,6.916150964253723e-45,2.0979569223297303e-32,5.693339262161675e-31,4.64626067695163e-24,8.75929857586333e-20,8.86242337252312e-50,2.5695549858722898e-59,4.043389817139419e-27,6.240718336673705e-20,3.757415060989611e-20
1.0248205324308782e-22,0.07782336798655136,0.0,0.0019323542271060656,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.5065488945298022e-59,1.0675679117666539e-19,2.7728123366005935e-57,0.0,4.819688806883873e-97,8.155859686612694e-41,7.716435193233545e-68,2.8840406739610897e-46,6.308607301498535e-72,2.4258643884143663e-39,2.544450804811941e-29,1.5438249074137858e-117,2.939859082440965e-25,5.092756233001026e-75,2.5912312367852877e-64,1.1218300757390464e-106,1.0675679120210967e-19,1.1563348756934437e-88,1.8545023354492577e-18,6.338798724850794e-19,4.443045624730654e-19,5.035787880150002e-19,4.1710945599216038e-19,2.0284155919537042e-19,1.0144703303791563e-19,5.9446898550201e-32,1.0904768279054337e-23,6.790318028919204e-44,1.0100759486976125e-31,2.7410977771812427e-30,1.0620024404460869e-23,2.0021253887687577e-19,4.266875370099073e-49,2.5228043286160044e-58,9.242034057983335e-27,1.4264499055253793e-19,8.588377282255482e-20
2.177743631415616e-22,0.07782336798655136,0.0,0.0019323542271060604,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.3847779895832795e-58,2.2685818125041397e-19,2.5486922508268183e-56,0.0,1.8198228065518906e-95,3.56189012512658e-40,6.825103833170741e-67,1.2595363328509573e-45,5.798696987404187e-71,1.0594387115839871e-38,5.406957960225374e-29,9.910004577954894e-116,6.247200550187054e-25,4.681120382762152e-74,2.291914708105457e-63,4.235816955624322e-105,2.268581813044825e-19,2.165686464467561e-87,3.94081746271488e-18,1.3469947290301347e-18,9.441471952620938e-19,1.0701049245315702e-18,8.86357593980354e-19,4.310383132902765e-19,2.1557494519955694e-19,2.5962022406723607e-31,2.3172632593118526e-23,6.005959398672219e-43,4.41126703867066e-31,1.1971094143532244e-29,2.2567551859479346e-23,4.2545164511335947e-19,1.8634565848265104e-48,2.231391869828889e-57,1.963932318532093e-26,3.0312060492412667e-19,1.8250301724765203e-19
4.483589829385092e-22,0.07782336798655136,0.0,0.00193235422710605,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.184706724674325e-57,4.670609613979111e-19,2.180459879774226e-55,0.0,6.313810838451419e-94,1.487028964678062e-39,5.736918224049647e-66,5.258316249429745e-45,4.960907356274361e-70,4.4229480699356425e-38,1.1131972271052239e-28,3.5357459638530515e-114,1.286188348567924e-24,4.00479704197241e-73,1.9264924505878922e-62,1.469601705603294e-103,4.670609615092266e-19,3.7406841507247176e-86,8.113447716881067e-18,2.7732244421181492e-18,1.9438324608618714e-18,2.2031571975637404e-18,1.8248538699472413e-18,8.87431821480452e-19,4.438307695037152e-19,1.0838633291373031e-30,4.7708361221654134e-23,5.0483707607818773e-42,1.8416171526781202e-30,4.997696153232396e-29,4.6462606769516303e-23,8.759298575863219e-19,7.779564501906093e-48,1.8756193365840593e-56,4.0433904022595167e-26,6.240718336672518e-19,3.7574150609696574e-19
9.095282225324045e-22,0.07782336798655136,0.0,0.0019323542271060294,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,9.795384299424271e-57,9.474665216929052e-19,1.80284639455703e-54,0.0,2.1027627078150384e-92,6.075079839516422e-39,4.7034839892436785e-65,2.1481937625263683e-44,4.1017741367096634e-69,1.806918603810502e-37,2.2582000892705974e-28,1.1881886398260475e-112,2.6091249356663654e-24,3.3112436394841867e-72,1.579454970679427e-61,4.894387464140558e-102,9.474665219187076e-19,6.215202127461623e-85,1.6458708223753215e-17,5.625683868285794e-18,3.943202992148308e-18,4.469261743624204e-18,3.70184642184302e-18,1.8002188378622575e-18,9.00342418035534e-19,4.42793535542095e-30,9.677981848035429e-23,4.1389593593980537e-41,7.523606973557514e-30,2.041721949215167e-28,9.425271658959021e-23,1.776886282532228e-18,3.1782060076368327e-47,1.5377460828292776e-55,8.202307602753984e-26,1.2659742911532927e-18,7.622184837920703e-19
1.831866701720195e-21,0.07782336798655136,0.0,0.0019323542271059882,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,7.965443834666156e-56,1.9082776422828936e-18,1.4660447471385642e-53,0.0,6.863768264171093e-91,2.455710136736889e-38,3.8090224229716965e-64,8.683342654763699e-44,3.335494607431349e-68,7.303853898030687e-37,4.548205813601344e-28,3.8950789571929005e-111,5.2549981098632646e-24,2.692648335885842e-71,1.2790836921500077e-60,1.5976097171452027e-100,1.9082776427376423e-18,1.0132347666962286e-83,3.314922923165661e-17,1.1330602720587551e-17,7.94194405506871e-18,9.001470835729616e-18,7.455831525482592e-18,3.625792870631687e-18,1.8133657147931818e-18,1.7898422672558503e-29,1.9492273300427043e-22,3.3518365990000884e-40,3.0411622308277467e-29,8.252966560443435e-28,1.8983293622973804e-22,3.5787991324239635e-18,1.284681738683827e-46,1.2453066965945212e-54,1.6520146135901403e-25,2.5497792061245373e-18,1.5351724391681881e-18
3.676543660095776e-21,0.07782336798655136,0.0,0.0019323542271059055,0.03107511026318443,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,6.424419020678108e-55,3.829899883462871e-18,1.1824181996855469e-52,0.0,2.2182516632542023e-89,9.87483107049426e-38,3.0658634382560514e-63,3.4915338907520536e-43,2.6901972374837953e-67,2.936847528881535e-36,9.128217262262836e-28,1.2614867244985869e-109,1.054674445825713e-23,2.1717184307768426e-70,1.0295180050643444e-59,5.1631993910842696e-99,3.829899884375402e-18,1.6363768193926975e-82,6.65302712240998e-17,2.2740440425056928e-17,1.5939426182299617e-17,1.8065889019878382e-17,1.496380173215379e-17,7.276940936193812e-18,3.639412307084514e-18,7.196877036508417e-29,3.912085620781659e-22,2.697849698055395e-39,1.2228379574901815e-28,3.3184815548517905e-27,3.809933755100337e-22,7.182624832207126e-18,5.16564922211586e-46,1.0023312506310053e-53,3.315583973083017e-25,5.1173890360636755e-18,3.081080349864057e-18
7.365897576846938e-21,0.07782336798655136,0.0,0.0019323542271057405,0.031075110263184425,0.3194096818763551,0.35048479213953954,0.20701222018021492,0.09201819554070585,0.0,5.160442732302607e-54,7.673144365822825e-18,9.497826006476222e-52,0.0,7.133567257099387e-88,3.960672918609138e-37,2.46021178164388e-62,1.4002612528616282e-42,2.1609127203487503e-66,1.1778072127975427e-35,1.8288240159585806e-27,4.0610213183825936e-108,2.1130237155045113e-23,1.7444423467146516e-69,8.261236380912955e-59,1.6604080919509146e-97,7.673144367650484e-18,2.6304279165533804e-81,1.3329235511553172e-16,4.5560115833459137e-17,3.1934390442321866e-17,3.6194725387927696e-17,2.99797421430644e-17,1.4579237067411143e-17,7.291505486771331e-18,2.8862695798289457e-28,7.837802203302092e-22,2.1648544780283188e-38,4.9041271371135235e-28,1.330859525218609e-26,7.63314254070625e-22,1.439027623177222e-17,2.07165675513792e-45,8.043078405695056e-53,6.6427293035223395e-25,1.0252608695928553e-17,6.172896171030331e-18
