Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2NO3(231),CH3OX(210),CH2OX(659),CHOX(675),HNOH(93),H2NX(201),H3NX(202),HNO2(94)
0.0,0.10054149576763871,0.0,0.002496445339910469,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0937662342489392e-24,0.10054149576763871,0.0,0.002496445339910469,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,5.419410077324654e-59,2.3715817994562037e-19,4.450544914834736e-56,0.0,1.3594381945698095e-95,1.4602830184162421e-39,1.1024740944271192e-65,1.223716418936616e-44,2.0094364712952254e-68,7.258717442247536e-40,1.3838450583132148e-26,-1.306348248289834e-110,8.039228888482708e-23,2.7010258737294255e-70,1.1967687992048785e-61,3.177525622409322e-103,2.3715819378474585e-19,5.040317891622299e-87,4.3065095871092287e-20,1.471990461095823e-20,1.0320719001800262e-20,1.1694063884093833e-20,9.686080393243404e-21,4.710369475507974e-21,2.358910546570549e-21,1.6640563235316433e-34,4.468309252960497e-21,1.964103950473102e-47,4.168309640581545e-34,1.942614683365219e-33,4.396759498741325e-21,4.649318588757908e-21,9.64267908911793e-49,1.8598440706184165e-59,8.842533991020298e-24,3.3124898664662887e-21,1.9943856848176366e-21,6.039841408467496e-36
5.86254545589703e-24,0.10054149576763871,0.0,0.002496445339910469,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,8.189813778691739e-58,6.640429038477375e-19,6.725663997715477e-55,0.0,8.270126250833184e-94,8.820109431340357e-39,1.308857245494734e-64,7.391247170377161e-44,3.036660395421304e-67,4.3842653351175113e-39,3.8747661632770013e-26,1.2083655266781739e-109,2.2509840887751583e-22,4.081790300379855e-69,1.4208039184171562e-60,1.933043892289274e-101,6.640429425972884e-19,1.5724738880818733e-85,1.2058226843890084e-19,4.121573291067734e-20,2.889801320505279e-20,3.27433788754605e-20,2.712102510107427e-20,1.3189034531424853e-20,6.604949530391783e-21,1.0050900194132388e-33,1.2511265908289425e-20,2.33178421000179e-46,2.5176590229113245e-33,1.173339268751743e-32,1.2310926596475712e-20,1.3018092048522143e-20,5.824178169747816e-48,2.2080068806106134e-58,2.4759095174954943e-23,9.274971626105542e-21,5.5842799174877204e-21,3.6480642107143677e-35
1.340010389919321e-23,0.10054149576763871,0.0,0.0024964453399104686,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,8.810228028340901e-57,1.5178123516519716e-18,7.235162455262948e-54,0.0,3.733530312191604e-92,4.2465030177107775e-38,1.2850438062301738e-63,3.5585673462676793e-43,3.266700682655175e-66,2.1108350322055832e-38,8.856608373204574e-26,6.705684443277067e-108,5.145106488628933e-22,4.39100374240439e-68,1.3949537123565678e-59,8.726684143565317e-100,1.5178124402223732e-18,3.5021449586315884e-84,2.7561661357388767e-19,9.420738951009275e-20,6.605260161160605e-20,7.48420088581849e-20,6.199091451670698e-20,3.01463646432687e-20,1.5097027498011228e-20,4.839075788831911e-33,2.8597179218947416e-20,2.289359564671828e-45,1.2121444434812198e-32,5.649123499213315e-32,2.813926079194448e-20,2.9755638968050605e-20,2.8040910789955445e-47,2.1678342486267811e-57,5.659221754321667e-23,2.1199935145383776e-20,1.2764068382821239e-20,1.7563858815823477e-34
2.847522078578557e-23,0.10054149576763871,0.0,0.0024964453399104677,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,8.098117434041367e-56,3.225351247260439e-18,6.650360808141962e-53,0.0,1.4097100069279313e-90,1.8545594335487674e-37,1.136606696045808e-62,1.5541198520495025e-42,3.0026607303269868e-65,9.218571151654367e-38,1.882029279305972e-25,2.6394159587980377e-106,1.093335128833648e-21,4.0360889425963495e-67,1.233820761235219e-58,3.295029887431363e-98,3.225351435472542e-18,6.554697920333447e-83,5.8568530384134025e-19,2.0019070270883234e-19,1.4036177842490536e-19,1.5903926882359793e-19,1.3173069334785626e-19,6.406102486699675e-20,3.208118343315803e-20,2.1133515308871404e-32,6.076900584026395e-20,2.0249126087805442e-44,5.293753243539658e-32,2.467120647860659e-31,5.979592918288203e-20,6.323073280710752e-20,1.2246202441936424e-46,1.9174248428634922e-56,1.2025846228130984e-22,4.504986218393916e-20,2.7123645313461684e-20,7.6705985887537166e-34
5.86254545589703e-23,0.10054149576763871,0.0,0.002496445339910466,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,6.928109960171554e-55,6.640429038477374e-18,5.689523685799798e-52,0.0,4.89093889030966e-89,7.742420565078102e-37,9.553864172345281e-62,6.488144453201939e-42,2.568839471666124e-64,3.8485719878796395e-37,3.8747661632770014e-25,9.325677865665565e-105,2.2509840887751577e-21,3.452959064665165e-66,1.037100693102703e-57,1.143198937509442e-96,6.640429425972877e-18,1.131794318120843e-81,1.205822684366161e-18,4.121573291059466e-19,2.8898013205227507e-19,3.27433788754281e-19,2.7121025100969025e-19,1.318903453146143e-19,6.604949530308328e-20,8.822826627382358e-32,1.2511265908289915e-19,1.7020610578182246e-43,2.210037771437322e-31,1.0299743051083869e-30,1.2310926596475713e-19,1.3018092048522123e-19,5.1125484519296826e-46,1.6117111137634113e-55,2.4759095176377515e-22,9.274971626104558e-20,5.584279917463619e-20,3.202323914769465e-33
1.1892592210533975e-22,0.10054149576763871,0.0,0.002496445339910463,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,5.728295291645648e-54,1.347058462091124e-17,4.704208208046493e-51,0.0,1.6288868554291423e-87,3.163031430422932e-36,7.832835126312275e-61,2.6506187120734685e-41,2.123966151658221e-63,1.5722672328605814e-36,7.86023993121906e-25,3.133038114145902e-103,4.566282008658175e-21,2.854973328346399e-65,8.502778072012387e-57,3.807329766763369e-95,1.3470585406973531e-17,1.8801902523541185e-80,2.4460974453754658e-18,8.360905818987152e-19,5.862168393100991e-19,6.642228286150751e-19,5.501693663314999e-19,2.675489862104952e-19,1.3398611904146047e-19,3.60441255903737e-31,2.537999655681782e-19,1.3954524893983646e-42,9.028725413893608e-31,4.2077811086560505e-30,2.4973593952850723e-19,2.640812958414484e-19,2.0886428604698582e-45,1.3213781462569654e-54,5.022559307538216e-22,1.881494244152411e-19,1.1328110689655974e-19,1.3082538084396925e-32
2.395268571980787e-22,0.10054149576763871,0.0,0.002496445339910457,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,4.658154598051962e-53,2.713089578577895e-17,3.8253839892732297e-50,0.0,5.316957992681892e-86,1.2785478772047568e-35,6.343233058643688e-60,1.0714224631671163e-40,1.7271740005912886e-62,6.355355539124909e-36,1.5831187467103177e-24,1.0270533583276227e-101,9.196877848424204e-21,2.3216168964141553e-64,6.885770132301803e-56,1.2427758482239469e-93,2.713089736897479e-17,3.0649375955266404e-79,4.9266469672327254e-18,1.6839570874784134e-18,1.1806902538380862e-18,1.3378009083343753e-18,1.1080875969676862e-18,5.388662680048402e-19,2.6985936651232124e-19,1.4569611859677312e-30,5.111745785387706e-19,1.1300736054658341e-41,3.6495551691987654e-30,1.7008524007085047e-29,5.029892866560076e-19,5.318820465539013e-19,8.442628383307212e-45,1.0700862814107093e-53,1.0115858888343775e-21,3.789488407235626e-19,2.2815772233870487e-19,5.288171065500892e-32
4.807287273835565e-22,0.10054149576763871,0.0,0.0024964453399104448,0.031075110263184432,0.31940968187635516,0.3504847921395395,0.20701222018021495,0.09201819554070598,0.0,3.756970436568701e-52,5.445151811551428e-17,3.085310771401162e-49,0.0,1.7183489476278264e-84,5.140984785733345e-35,5.105585964738622e-59,4.308142601523114e-40,1.3930284026520207e-61,2.555460510412986e-35,3.177308253887141e-24,3.326283931573444e-100,1.8458069527956248e-20,1.8724681333059573e-63,5.542266851225352e-55,4.0164367931289134e-92,5.445152129297709e-17,4.949682708002876e-78,9.887746010301845e-18,3.3796900986144537e-18,2.369637082943415e-18,2.6849570677638237e-18,2.2239240582103266e-18,1.0815008316038631e-18,5.416058614304691e-19,5.858376849345437e-30,1.0259238044800925e-18,9.09581551863936e-41,1.4674700822108723e-29,6.839052696705049e-29,1.009495980911008e-18,1.067483547978802e-18,3.394743737704423e-44,8.612985339252631e-53,2.0302458053973422e-21,7.605476733399282e-19,4.579109532161873e-19,2.126350327216609e-31
9.631324677545121e-22,0.10054149576763871,0.0,0.00249644533991042,0.031075110263184432,0.31940968187635516,0.3504847921395394,0.20701222018021495,0.09201819554070596,0.0,3.0178029674690454e-51,1.0909276277498461e-16,2.4782893979869303e-48,0.0,5.525952697523244e-83,2.0617648385092386e-34,4.0969114394033e-58,1.7277578695980944e-39,1.1189561691444522e-60,1.0248539604404415e-34,6.365687268240786e-24,1.0708087204644343e-98,3.698045288702024e-20,1.5040682338567374e-62,4.4473201087930817e-54,1.291625880881804e-90,1.0909276914098086e-16,7.956309779550636e-77,1.9809944093858487e-17,6.77115612079311e-18,4.747530741351493e-18,5.379269386586113e-18,4.455596980576679e-18,2.1667699588432406e-18,1.0850988511724695e-18,2.3494711389364108e-29,2.0554222563632866e-18,7.298819119308642e-40,5.885211371724165e-29,2.742766015215931e-28,2.022509369421008e-18,2.1386865508285823e-18,1.3614440698833812e-43,6.91137829574666e-52,4.067565640130679e-21,1.5237453385715484e-18,9.174174149439207e-19,8.52761584556675e-31
