Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2NO3(231),CH3OX(210),CH2OX(659),CHOX(675),HNOH(93),H2NX(201),H3NX(202),HNO2(94),HONO(92),H2X(216),HNO(87),N2O2(378),NO3(95)
0.0,0.1496765275186108,0.0,0.0037164681782871052,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5063099418859546e-27,0.1496765275186108,0.0,0.0037164681782871052,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,1.0452467121503685e-132,5.837036264668088e-63,1.6824696074785973e-20,6.319243744745635e-59,1.2663586778517476e-100,2.6063139450435136e-101,8.891026301530435e-41,8.651051048292342e-68,9.60354789044565e-46,1.213833279059991e-69,3.570859384551922e-43,4.368658849371626e-25,-6.512340171352759e-112,2.4113914021284592e-21,1.1661582901675327e-69,6.692538948967274e-63,4.176820009212081e-107,1.6825142756410933e-20,2.6921160798632103e-89,3.7802084421408045e-23,1.2920976153021187e-23,9.081188272173655e-24,1.0264925254052821e-23,8.502338641799866e-24,4.1347123689667865e-24,2.0923972505064456e-24,5.261568801127425e-40,2.524209356561892e-19,1.875487738922661e-55,2.4013613577702973e-39,1.398879018735592e-39,2.5141558221532116e-19,4.081122548063937e-24,6.07401881591192e-51,8.428321715672664e-65,1.3794987391726622e-21,2.9076684736032564e-24,1.750650602333049e-24,1.1481713062157453e-39,6.819251464248214e-41,1.4593710050856536e-62,2.738623452745746e-42,4.2692736634382846e-105,2.6529406347744253e-23
4.2176678372806735e-27,0.1496765275186108,0.0,0.0037164681782871052,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,1.6406861556412315e-131,8.820929088869505e-62,4.7109149009400737e-20,9.057427003123742e-58,9.062123651363427e-92,1.5855479554350482e-99,5.370179886124383e-40,1.027052780453277e-66,5.800542925829174e-45,1.834344851314501e-68,2.1567990682693616e-42,1.2232244778240555e-24,6.42082473535686e-111,6.7518959259596874e-21,1.762298408100257e-68,7.945382240213949e-62,2.540963440420323e-105,4.711039971795062e-20,7.60944129139627e-88,1.0584583637994241e-22,3.6178733228459276e-23,2.5427327162086285e-23,2.8741790711347885e-23,2.380654819703962e-23,1.1577194633107024e-23,5.858712301418046e-24,3.17798755588097e-39,7.067786198373299e-19,2.226579043648985e-54,1.4504222600932606e-38,8.449229273162973e-39,7.039636302028994e-19,1.1427143134579026e-23,3.6687073648107525e-50,1.000610354084647e-63,3.862596469683455e-21,8.141471726089118e-24,4.901821686532529e-24,6.934954689543104e-39,4.118827884405923e-40,1.733701513969184e-61,1.6541285654584683e-41,3.343884948835036e-104,7.428233777368391e-23
9.640383628070111e-27,0.1496765275186108,0.0,0.0037164681782871052,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,6.48427585792501e-130,9.48915298388732e-61,1.0767805487863025e-19,9.574124101872548e-57,8.155911276097386e-91,7.157921378183727e-98,2.5855104484850513e-39,1.008366510188985e-65,2.7927117265415953e-44,1.9733044851011502e-67,1.0384059090276995e-41,2.7959416635978414e-24,3.5420588025229056e-109,1.5432904973622142e-20,1.8958002091585033e-67,7.800823398916257e-61,1.147112357595021e-103,1.0768091364103e-19,1.6561521727609906e-86,2.419333402970106e-22,8.269424737933531e-23,5.811960494191173e-23,6.569552162593797e-23,5.44149673075191e-23,2.6462159161387572e-23,1.3391342403241233e-23,1.5300642073678617e-38,1.615493988199611e-18,2.186068508488258e-53,6.983158828396032e-38,4.0679401864830974e-38,1.609059726178056e-18,2.6119184307609203e-23,1.7663246716671142e-49,9.824051791787686e-63,8.828791930705038e-21,1.8609078231060842e-23,1.1204163854931454e-23,3.338882158475388e-38,1.983038325803382e-39,1.702656328086567e-60,7.963917000585179e-41,5.924351662566161e-103,1.6978820062556324e-22
2.0485815209648987e-26,0.1496765275186108,0.0,0.0037164681782871052,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,2.2435586437753655e-128,8.72216642862344e-60,2.288158666170893e-19,8.738853337754874e-56,6.6153502563817115e-90,2.702694916524179e-96,1.1291603402943655e-38,8.918887588748084e-65,1.2196505820865979e-43,1.8138067922327507e-66,4.534991418380943e-41,5.941376035145413e-24,1.3940367204872324e-107,3.279492306894705e-20,1.7425670098305696e-66,6.899739954827303e-60,4.331277997837766e-102,2.2882194148718874e-19,3.0709384569239534e-85,5.141083481311451e-22,1.7572527568108667e-22,1.2350416050156345e-22,1.3960298345511794e-22,1.1563180552847786e-22,5.623208821794895e-23,2.8456602606887564e-23,6.682192377431892e-38,3.4329247249241736e-18,1.9335528393197147e-52,3.0497289243682837e-37,1.7765763537941976e-37,3.419251918128369e-18,5.550326665366956e-23,7.714003896207384e-49,8.6892625559891e-62,1.876118285274821e-20,3.9544291241004293e-23,2.380884819172916e-23,1.458177558893997e-37,8.660449359595241e-39,1.5061779785291512e-59,3.4780517849876573e-40,1.027464105946768e-101,3.6079992632932187e-22
4.217667837280674e-26,0.1496765275186108,0.0,0.0037164681782871052,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,7.413591601480216e-127,7.461997012784501e-59,4.710914900940074e-19,7.452841215730149e-55,5.301342328664823e-89,9.376904193641706e-95,4.71402214507144e-38,7.496862421634467e-64,5.0918010915142844e-43,1.5517498979500764e-65,1.8932696456894302e-40,1.2232244778240555e-23,4.925446575426481e-106,6.751895925959688e-20,1.4908027642498598e-65,5.799647172551859e-59,1.502721545574453e-100,4.711039971795062e-19,5.278753344879615e-84,1.058458363799406e-21,3.617873322845868e-22,2.5427327162087e-22,2.8741790711347712e-22,2.380654819703947e-22,1.1577194633107285e-22,5.858712301418003e-23,2.789683778357815e-37,7.067786198373298e-18,1.62526766674657e-51,1.273201791889817e-36,7.416856557336065e-37,7.039636302028995e-18,1.1427143134579027e-22,3.22044477619582e-48,7.303848745653043e-61,3.862596469683455e-20,8.141471726089121e-23,4.901821686532402e-23,6.087604265555884e-37,3.61556712634441e-38,1.266111745376884e-58,1.452018154646295e-39,1.7109605395008314e-100,7.428233777368392e-22
8.555840469912224e-26,0.1496765275186108,0.0,0.0037164681782871052,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,2.408055023680569e-125,6.169723431038058e-58,9.556427370478435e-19,6.152991846571753e-54,4.241980075315291e-88,3.1229005980240373e-93,1.9258318610166995e-37,6.146380754606418e-63,2.0801668872620895e-42,1.2830168235259149e-64,7.73462426131485e-40,2.4813982264430838e-23,1.6547441263888513e-104,1.369670316408965e-19,1.2326245547805702e-64,4.754901151981257e-58,5.004690158314936e-99,9.556681085641412e-19,8.74964025853066e-83,2.1471583951358964e-21,7.339114454915764e-22,5.158114938594955e-22,5.830477544301923e-22,4.829328348542258e-22,2.348516625573253e-22,1.1884816382876426e-22,1.1396768485994498e-36,1.4337509145271546e-17,1.3324926277352995e-50,5.201444755384818e-36,3.030027909742003e-36,1.4280405069830247e-17,2.318077607300317e-22,1.315656771601209e-47,5.988136481639498e-60,7.835552838500722e-20,1.6515556930066505e-22,9.943695421251147e-23,2.4869849761155537e-36,1.4770771441620258e-37,1.0380661027759056e-57,5.931967943589623e-39,2.7914876089902533e-99,1.5068702805518737e-21
1.7232185735175322e-25,0.1496765275186108,0.0,0.0037164681782871052,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,7.762142849406246e-124,5.0171166299458684e-57,1.924745230955516e-18,4.999886925125495e-53,3.393674681576045e-87,1.0193667681245027e-91,7.784520296252375e-37,4.977498490764139e-62,8.408367148383913e-42,1.0433279730871015e-63,3.126458792425669e-39,4.997745723681141e-23,5.42448079597593e-103,2.7586317640349576e-19,1.0023498170370075e-63,3.8506422320117993e-57,1.633614222423206e-97,1.924796331333411e-18,1.4246924595710563e-81,4.324558457808748e-21,1.4781596719055125e-21,1.038887938336797e-21,1.174307449063611e-21,9.726675406218777e-22,4.730110950098486e-22,2.3937024545792984e-22,4.6067560406898806e-36,2.8876955039068047e-17,1.0790870771444034e-49,2.1025071340731037e-35,1.2247857270958777e-35,2.876194260543275e-17,4.6688041949851455e-22,5.318095026229302e-47,4.849348175752087e-59,1.578146557613526e-19,3.326372733802129e-22,2.0027442890687739e-22,1.0052790908145834e-35,5.970581981019641e-37,8.40665289323784e-57,2.3977962868081047e-38,4.5095744079840895e-98,3.0349640861819428e-21
3.458487626570152e-25,0.1496765275186108,0.0,0.0037164681782871052,0.031075110263184432,0.3194096818763551,0.3504847921395395,0.20701222018021495,0.09201819554070598,2.4928729239156355e-122,4.046486319583113e-56,3.8629502187708605e-18,4.0311483796145905e-52,2.7149488076627498e-86,3.294417250569509e-90,3.1301213735589995e-36,4.006323817951406e-61,3.3809674490229563e-41,8.414818074462313e-63,1.257135329769043e-38,1.0030440718157256e-22,1.756808754017957e-101,5.536554659286944e-19,8.084314400561795e-63,3.0993318666261445e-56,5.279558882450626e-96,3.863052776871951e-18,2.299492040130378e-80,8.679358583153941e-21,2.966656124733215e-21,2.085040827291601e-21,2.3568268383303985e-21,1.952136952157139e-21,9.493299599149684e-22,4.804144087162494e-22,1.852356342712409e-35,5.795584682666104e-17,8.685431581398574e-49,8.454088714484924e-35,4.924809540619134e-35,5.772501767663775e-17,9.370257370354802e-22,2.1383826202132017e-46,3.903177295598466e-58,3.167329105140434e-19,6.67600681539309e-22,4.019493782955733e-22,4.042183010384779e-35,2.4007447549944766e-36,6.76645532425182e-56,9.641433410357655e-38,7.249877803314447e-97,6.091151697442081e-21
6.929025732675391e-25,0.1496765275186108,0.0,0.0037164681782871052,0.031075110263184432,0.31940968187635504,0.3504847921395394,0.20701222018021495,0.09201819554070598,7.991560127919037e-121,3.2503578692553076e-55,7.739360194401549e-18,3.2374625596429197e-51,2.1719599532265443e-85,1.0594352163355586e-88,1.255318668897304e-35,3.2148225544489896e-60,1.3559191645232892e-40,6.759239494846051e-62,5.041674939892554e-38,2.0095830707109483e-22,5.655578936392225e-100,1.1092400449790916e-18,6.493760970408334e-62,2.4870186338643773e-55,1.6978270150262447e-94,7.73956566794903e-18,3.695248266409184e-79,1.7388958833842282e-20,5.943649030387936e-21,4.177346605202012e-21,4.721865616863776e-21,3.911075775227495e-21,1.9019676897255018e-21,9.625027352328415e-22,7.42877742090137e-35,1.1611363040184702e-16,6.969511854697931e-48,3.390467692867962e-34,1.9750688932784537e-34,1.1565116781904777e-16,1.8773163721094116e-21,8.575870722042099e-46,3.132053966192519e-57,6.34569420019425e-19,1.3375274978575033e-21,8.052992770728214e-22,1.6210961782181724e-34,9.628060226863553e-36,5.429674132738217e-55,3.8666460212136644e-37,1.1627451821983634e-95,1.2203526919962356e-20
