Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2NO3(231),CH3OX(210),CH2OX(659),CHOX(675),HNOH(93),H2NX(201),H3NX(202),HNO2(94),HONO(92),H2X(216),HNO(87),N2O2(378),NO3(95),H3NO3(626)
0.0,0.1547348997255798,0.0,0.003842067560186146,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.130834383437303e-28,0.1547348997255798,0.0,0.003842067560186146,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,9.834951797115046e-134,1.3266797066549294e-63,1.0386379260436533e-20,1.7502802598055936e-59,-4.606047631132833e-102,2.6964885112844488e-102,4.360051957230519e-41,2.682417109285727e-68,4.5897201293958916e-46,3.8280779251518915e-70,1.2550730916829654e-43,4.029951350095637e-25,-1.2187988698957728e-112,2.3171944323964086e-21,5.262222944713678e-70,2.4493699780096686e-63,5.359450411100043e-108,1.0386796639978431e-20,6.545197691514669e-90,1.819529262251922e-23,6.2192586909221075e-24,4.372810218196487e-24,4.940820634747992e-24,4.092434105979884e-24,1.9901627810950775e-24,1.0088926019272923e-24,1.3353050941478573e-40,2.55124081564713e-19,2.4897687868466455e-56,6.376807005068942e-40,3.2312323306196796e-40,2.5433899773269406e-19,1.964368370870345e-24,2.572463423023569e-51,1.6898189942946827e-65,1.4979389310031527e-21,1.3995492453988444e-24,8.426413642735548e-25,3.852920139810401e-40,2.502749288180741e-41,3.4422974046035845e-63,1.0338856838122203e-42,4.2051986216832777e-106,3.4157284967336916e-23,3.083875976972947e-39
1.996633627362445e-27,0.1547348997255798,0.0,0.003842067560186146,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,1.5437569734844752e-132,2.0048783907061633e-62,2.9081861929222296e-20,2.5017501634599347e-58,1.611626803924133e-92,1.6404055539914408e-100,2.633471382167233e-40,3.18456559214403e-67,2.7721909581551188e-45,5.784991360489177e-69,7.58064147376511e-43,1.1283863780267785e-24,1.2014551905398946e-111,6.488144410709945e-21,7.952271314050817e-69,2.9078920378930786e-62,3.260415226257377e-106,2.908303059193961e-20,1.8489646236878017e-88,5.094681934305379e-23,1.741392433458189e-23,1.2243868610950176e-23,1.3834297777294375e-23,1.1458815496743672e-23,5.572455787066222e-24,2.8248992853964183e-24,8.065242768653063e-40,7.143474283811965e-19,2.9558535037443394e-55,3.8515914310616433e-39,1.951664327694287e-39,7.121491936515434e-19,5.500231438436966e-24,1.5537679075062257e-50,2.006153110026636e-64,4.1942290068088275e-21,3.918737887116765e-24,2.359395819965951e-24,2.327163764445482e-39,1.5116605700611676e-40,4.088605788995012e-62,6.244669530226132e-42,3.3307164375908884e-105,9.56403979085434e-23,1.8626610900916596e-38
4.563734005399874e-27,0.1547348997255798,0.0,0.003842067560186146,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,6.101194944400894e-131,2.1567566861335215e-61,6.647282726679384e-20,2.641947432116456e-57,1.4504641239004835e-91,7.405574801240086e-99,1.2679031091626347e-39,3.126625382583487e-66,1.3346906136283254e-44,6.223229721360515e-68,3.649752550614064e-42,2.579168864061208e-24,6.627955755273014e-110,1.4830044367337017e-20,8.55469059676157e-68,2.85498564636807e-61,1.471907284235549e-104,6.647549849586197e-20,4.023585996669806e-87,1.164498727841228e-22,3.9803255621901415e-23,2.798598539645761e-23,3.1621252062387126e-23,2.619157827827124e-23,1.2737041799008528e-23,6.456912652334668e-24,3.8830672137819764e-39,1.6327941220141635e-18,2.902074497948453e-54,1.8543754770740494e-38,9.396423617442029e-39,1.627769585489242e-18,1.2571957573570209e-23,7.480723634152392e-50,1.9696530197498467e-63,9.586809158420177e-21,8.957115170552605e-24,5.3929047313507346e-24,1.1204291766568647e-38,7.277994930029599e-40,4.015054495360421e-61,3.0065395685264124e-41,5.906828196731803e-104,2.1860662379095634e-22,8.967911341037328e-38
9.697934761474732e-27,0.1547348997255798,0.0,0.003842067560186146,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,2.1110126954998497e-129,1.9824309711170373e-60,1.4125475794193686e-19,2.4105278715811834e-56,1.1764875671970343e-90,2.796204136901534e-97,5.5372659856827584e-39,2.7654647429893028e-65,5.828944564332783e-44,5.720220281995587e-67,1.5939428264373657e-41,5.480733836130067e-24,2.6085440492764267e-108,3.151384428059115e-20,7.863234501826236e-67,2.5252024725288475e-60,5.557641841146742e-103,1.4126043430370666e-19,7.46033521258525e-86,2.4745597966626043e-22,8.458191819654028e-23,5.947021896747267e-23,6.719516063257259e-23,5.565710384132633e-23,2.7066213822893205e-23,1.3720939386211157e-23,1.6958374695677862e-38,3.469687509280097e-18,2.5668520284874227e-53,8.098544896437566e-38,4.10366505988699e-38,3.4590103691646395e-18,2.671540984383669e-23,3.26702854723978e-49,1.7421357903579707e-62,2.0371969461642876e-20,1.903386973742429e-23,1.1459922554120266e-23,4.893208577559208e-38,3.1784915959895437e-39,3.551602675907091e-60,1.313034818442006e-40,1.0242646932085622e-102,4.645390755557823e-22,3.916522490755643e-37
1.996633627362445e-26,0.1547348997255798,0.0,0.003842067560186146,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,6.975608163295293e-128,1.6960114331442399e-59,2.9081861929222295e-19,2.05543683084279e-55,9.428016805664157e-90,9.701331118538462e-96,2.3116995477236212e-38,2.324539748233423e-64,2.4334696126057023e-43,4.89376888257875e-66,6.654397532103083e-41,1.1283863780267785e-23,9.216575331834682e-107,6.488144410709945e-20,6.727162665846184e-66,2.1225848330235302e-59,1.9282041331557365e-101,2.9083030591939605e-19,1.2823484262947204e-84,5.094681934305338e-22,1.7413924334581727e-22,1.2243868610950366e-22,1.3834297777294328e-22,1.1458815496743638e-22,5.572455787066285e-23,2.82489928539641e-23,7.079787609172005e-38,7.143474283811966e-18,2.157593794380723e-52,3.38098307408756e-37,1.7131993816945504e-37,7.121491936515434e-18,5.500231438436966e-23,1.3639201068869593e-48,1.4643701033517267e-61,4.1942290068088275e-20,3.9187378871167657e-23,2.3593958199659175e-23,2.0428182581274747e-37,1.3269576725934308e-38,2.9854678583982813e-59,5.4816618955767516e-40,1.7054570175190365e-101,9.564039790854347e-22,1.6350710429910566e-36
4.0503139297923886e-26,0.1547348997255798,0.0,0.003842067560186146,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,2.265790885689024e-126,1.4022950505699364e-58,5.899463419927951e-19,1.6968082269653427e-54,7.544025071366772e-89,3.2309483093851313e-94,9.444046941439596e-38,1.9057981283780086e-63,9.941517389076681e-43,4.0462627483273436e-65,2.7185385195089705e-40,2.289012366854322e-23,3.0963839857814367e-105,1.31616643760116e-19,5.562148182692373e-65,1.7402232872867548e-58,6.421724821106306e-100,5.899700491507748e-19,2.1254876393089074e-83,1.0334926209590731e-21,3.5325389364436844e-22,2.483756203935689e-22,2.806386120536839e-22,2.3245025721965585e-22,1.1304124596620328e-22,5.730509978946981e-23,2.8923242461280813e-37,1.4491047832875703e-17,1.768925748959744e-51,1.381241904525959e-36,6.998978477415414e-37,1.4446455071217022e-17,1.115761234654356e-22,5.572058672804811e-48,1.2005790842427448e-60,8.508293128097907e-20,7.949439713865441e-23,4.7862029490736397e-23,8.345579139634917e-37,5.421055068171025e-38,2.4477193768561396e-58,2.239437746568305e-39,2.782367611037787e-100,1.9401337861447416e-21,6.679798721162483e-36
8.157674534652275e-26,0.1547348997255798,0.0,0.003842067560186146,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,7.303567546595603e-125,1.1403230463967272e-57,1.1882017873939395e-18,1.378761439882507e-53,6.03538121984748e-88,1.0546353406826866e-92,3.817434771049269e-37,1.54336473551394e-62,4.0185202798523175e-42,3.290353668308656e-64,1.098876735276837e-39,4.610264344509409e-23,1.0150376242517996e-103,2.650870430661492e-19,4.523046528346107e-64,1.409277936380367e-57,2.0961579375334465e-98,1.1882495356135324e-18,3.4608785203052805e-82,2.0815414760161225e-21,7.1148319424145925e-22,5.00249488961713e-22,5.65229880615162e-22,4.681744617240922e-22,2.2767462215728867e-22,1.1541731366048063e-22,1.169123704571015e-36,2.9186194931003175e-17,1.4325219340047392e-50,5.58320061967415e-36,2.8290990046093666e-36,2.9096381340620204e-17,2.2472374162756745e-22,2.2523152051004856e-47,9.72260069534345e-60,1.713642137067607e-19,1.6010843367362796e-22,9.639817207288848e-23,3.3734165225707156e-36,2.1912771337680824e-37,1.9822475367439587e-57,9.052165426934485e-39,4.494730241693165e-99,3.907593400263362e-21,2.7000814438867114e-35
1.637239574437205e-25,0.1547348997255798,0.0,0.003842067560186146,0.031075110263184432,0.3194096818763551,0.3504847921395395,0.20701222018021495,0.09201819554070598,2.3455978763955866e-123,9.197118479582948e-57,2.3847126781962284e-18,1.1116014422714321e-52,4.828321092355371e-87,3.4083991827570947e-91,1.5349737317508343e-36,1.2422342088394101e-61,1.6158293304343424e-41,2.6537894347385196e-63,4.418535022193546e-39,9.252768299819583e-23,3.2873689685957608e-102,5.320278416782155e-19,3.6480008837243525e-63,1.134309487608461e-56,6.774420243298492e-97,2.3848085085390475e-18,5.585930881137113e-81,4.1776391861301046e-21,1.427941795435595e-21,1.003997226098054e-21,1.1344124177381053e-21,9.396228707329551e-22,4.569413745394774e-22,2.316417414024996e-22,4.7009949961516763e-36,5.857648912725812e-17,1.1530182790786683e-49,2.244980413362579e-35,1.1375682669239529e-35,5.839623387942656e-17,4.510189779518312e-22,9.056460379283659e-47,7.825594886753172e-59,3.4392677855832385e-19,3.2133650674357515e-22,1.9347045723718314e-22,1.3564359469008104e-35,8.811028979011918e-37,1.5954936271986282e-56,3.6398359053128125e-38,7.225925333688108e-98,7.84251262850063e-21,1.0856908731972354e-34
3.28018381638116e-25,0.1547348997255798,0.0,0.003842067560186146,0.031075110263184432,0.31940968187635504,0.3504847921395394,0.20701222018021495,0.09201819554070598,7.519431207598548e-122,7.387625723560025e-56,4.777734459800806e-18,8.927313470084765e-52,3.862658486140471e-86,1.0960900975485028e-89,6.155931198102035e-36,9.96814719416387e-61,6.480198312373291e-41,2.1316679932424983e-62,1.7720301677086288e-38,1.853777621043993e-22,1.058281082241789e-100,1.0659094389023477e-18,2.930272696605923e-62,9.102119274894947e-56,2.178552026087837e-95,4.777926454390078e-18,8.976488446802561e-80,8.3698346063576e-21,2.8608589978236833e-21,2.0114927003709502e-21,2.2727774919839406e-21,1.8825196887506412e-21,9.154748793039275e-22,4.640905968865275e-22,1.8853092505971e-35,1.1735707751976797e-16,9.252245544058389e-49,9.003375549615106e-35,4.562157540207717e-35,1.169959389570392e-16,9.036094506003587e-22,3.632045672180207e-46,6.279547057863012e-58,6.890519082614503e-19,6.437926528834703e-22,3.876150275657345e-22,5.439914827877461e-35,3.533616703486731e-36,1.2802864960061601e-55,1.4597369936801316e-37,1.1588966421028134e-96,1.5712351084975268e-20,4.354105988632252e-34
