Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2NO3(231),CH3OX(210),CH2OX(659),CHOX(675),HNOH(93),H2NX(201),H3NX(202),HNO2(94),HONO(92),H2X(216),HNO(87),N2O2(378),NO3(95),H3NO3(626),HNO(549)
0.0,0.12990822726252158,0.0,0.00322562128292841,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.476402998901319e-26,0.12990822726252158,0.0,0.00322562128292841,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,4.248316474060212e-128,3.8369252813076016e-60,1.337524962058601e-19,1.804909939683934e-56,3.614031603163558e-97,5.585839531638177e-97,2.0612527801985017e-39,1.3828457753847624e-65,2.3045298370826755e-44,1.3983267103109037e-67,3.8198295844478764e-41,5.288105323316826e-25,-7.397886945270546e-109,2.6337774221240373e-21,2.9552710846157805e-68,5.26945868321915e-61,2.8374144359391817e-103,1.337530265399115e-19,1.0266510479463912e-86,1.0465791099911806e-21,3.577269330362151e-22,2.510940625895127e-22,2.841921682611988e-22,2.353936335727397e-22,1.1447261857159294e-22,5.760413209168449e-23,2.6215372877443523e-37,2.2077516185267707e-19,1.7546222635310036e-51,9.764898266145152e-37,1.0917944097569335e-36,2.1901956572225185e-19,1.129889441149161e-22,2.812155652877677e-49,1.1596292530088928e-61,8.706382357904853e-22,8.050098638290502e-23,4.846807728564434e-23,1.6597012546405553e-37,7.618965317899397e-39,9.452220613059279e-60,2.283260262352145e-40,1.16842986680267e-100,7.541532389299266e-24,1.200938545818579e-37,6.186309001707214e-41
1.2533928396923694e-25,0.12990822726252158,0.0,0.00322562128292841,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,6.668429526424576e-127,5.798360607314111e-59,3.745069893764085e-19,2.5985443110838146e-55,2.2673384120310866e-88,3.3981386401155856e-95,1.2449966792398952e-38,1.6417145045377482e-64,1.3919360215979362e-43,2.1131513246222064e-66,2.307177069006517e-40,1.4806694905287118e-24,7.296645436531814e-108,7.374576781947304e-21,4.466005663072146e-67,6.255901348717774e-60,1.726137667151254e-101,3.7450847431175227e-19,2.926898094274658e-85,2.9304215079752076e-21,1.0016354125013862e-21,7.0306337525065585e-22,7.957380711313516e-22,6.591021740036645e-22,3.205233320004682e-22,1.612915698567139e-22,1.5834085217976183e-36,6.18170453187496e-19,2.0830875512640255e-50,5.897998552751698e-36,6.594438234931787e-36,6.132547840223053e-19,3.1636904352176504e-22,1.698542014337451e-48,1.3767118491716634e-60,2.43778706021336e-21,2.254027618721341e-22,1.3571061639980047e-22,1.0024595578028961e-36,4.6018550520112434e-38,1.1256574832655362e-58,1.3790891984607458e-39,8.992500804966342e-100,2.1116290690038248e-23,7.2536688167442165e-37,3.736530637031304e-40
2.864897919296844e-25,0.12990822726252158,0.0,0.00322562128292841,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,2.6354788475795153e-125,6.2376116863270796e-58,8.560159757175053e-19,2.750975497925448e-54,2.0406045679493016e-87,1.5340822155647895e-93,5.994123084817248e-38,1.6118450357913441e-63,6.7015727662364215e-43,2.2732317664186525e-65,1.1108064431574425e-39,3.38438740692277e-24,4.025071192527592e-106,1.6856175501593838e-20,4.804325096839075e-66,6.142081041160243e-59,7.792610540554925e-100,8.560193698554339e-19,6.383719402416676e-84,6.698106303942868e-21,2.2894523714316644e-21,1.6070020005730231e-21,1.818829876871636e-21,1.5065192548654873e-21,7.3262475885825155e-22,3.68666445386762e-22,7.623430432761026e-36,1.4129610358571337e-18,2.0451877103717933e-49,2.8396324157950493e-35,3.1749381435730255e-35,1.401725220622412e-18,7.23129242335463e-22,8.1777486385583e-48,1.351663857305634e-59,5.572084709059119e-21,5.15206312850592e-22,3.101956946280981e-22,4.826411248494738e-36,2.2155951144451526e-37,1.1067064246167306e-57,6.639720842920788e-39,1.5907020445024204e-98,4.826580729151743e-23,3.4923292912404276e-36,1.798978657696674e-39
6.087908078505794e-25,0.12990822726252158,0.0,0.00322562128292841,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,9.118753548701877e-124,5.733439780498797e-57,1.819033948399699e-18,2.5125199916532225e-53,1.655157038238301e-86,5.792402551555449e-92,2.617791030852101e-37,1.425658680596605e-62,2.926752893094999e-42,2.089491636683768e-64,4.8511835722488035e-39,7.191823239710886e-24,1.584133397299999e-104,3.581937294088691e-20,4.4160024763204955e-65,5.432601124051621e-58,2.94234146782156e-98,1.8190411609427973e-18,1.1847368741787053e-82,1.423347589587662e-20,4.865086289291964e-21,3.414879251218081e-21,3.8650134883521224e-21,3.201353416589023e-21,1.5568276125739479e-21,7.834161964468152e-22,3.3293523554357917e-35,3.002542201196409e-18,1.8089453688100405e-48,1.240142079800475e-34,1.3865789003911637e-34,2.9786660938226254e-18,1.5366496399628587e-21,3.5714376791443306e-47,1.1955313746788317e-58,1.184068000675067e-20,1.0948134148075074e-21,6.591658510846346e-22,2.1078205933935062e-35,9.676085953732301e-37,9.79476624803505e-57,2.899740533187998e-38,2.7594540018462594e-97,1.025648404944807e-22,1.5251919531895955e-35,7.856612432170374e-39
1.2533928396923695e-24,0.12990822726252158,0.0,0.00322562128292841,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,3.01319133868008e-122,4.905078441396565e-56,3.745069893764086e-18,2.143371032648162e-52,1.3263929691372872e-85,2.0096535293289516e-90,1.0928762240612488e-36,1.1983520234267206e-61,1.2218617196212355e-41,1.7876040865412703e-63,2.0252736456742642e-38,1.480669490528712e-23,5.597100981834934e-103,7.374576781947304e-20,3.777983091320505e-64,4.566428583538793e-57,1.0208349407126274e-96,3.745084743117524e-18,2.0373491927767448e-81,2.9304215079737836e-20,1.001635412501154e-20,7.03063375250949e-21,7.957380711312763e-21,6.591021740035661e-21,3.2052333200058606e-21,1.6129156985667494e-21,1.3899390699624735e-34,6.1817045318749596e-18,1.5205275796199637e-47,5.177349060710527e-34,5.788693960529985e-34,6.132547840223052e-18,3.163690435217651e-21,1.4910049271464572e-46,1.0049161565836223e-57,2.4377870602133894e-20,2.2540276187213364e-21,1.357106163997472e-21,8.799736052104229e-35,4.039575411550315e-36,8.235499167730568e-56,1.2105845910998018e-37,4.595871906957038e-96,2.1116290690042675e-22,6.367376169930106e-35,3.279981032707145e-38
2.5425969033759494e-24,0.12990822726252158,0.0,0.00322562128292841,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,9.787335119094325e-121,4.05561371021813e-55,7.59714178449286e-18,1.769778930975202e-51,1.061341109688987e-84,6.69298531685761e-89,4.4647559720211916e-36,9.824813901942742e-61,4.991703808314562e-41,1.4780256276259236e-62,8.273903673097477e-38,3.0036438236439583e-23,1.8803919256145942e-101,1.4959855757664531e-19,3.123709478933439e-63,3.743834044779495e-56,3.399806568352274e-95,7.597171907466976e-18,3.37766102603628e-80,5.944569344743514e-20,2.0318889796446585e-20,1.426214275509749e-20,1.6142115157232714e-20,1.3370358386927193e-20,6.502044734871766e-21,3.27191470280593e-21,5.678354626749319e-34,1.254002919323206e-17,1.2466203761795601e-46,2.115116024040415e-33,2.364870363308827e-33,1.2440311333023907e-17,6.417772025727234e-21,6.0912416302805294e-46,8.238909796389897e-57,4.945225179290086e-20,4.572456026548986e-21,2.752986789822206e-21,3.5949793056016285e-34,1.650298363718324e-35,6.752918008582471e-55,4.945633058671115e-37,7.498919545264382e-95,4.283590397123971e-22,2.601280927784877e-34,1.339979275007462e-37
5.1210050307431094e-24,0.12990822726252158,0.0,0.00322562128292841,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,3.154857040808653e-119,3.2979577152169634e-54,1.5301285565950405e-17,1.4382048294209087e-50,8.490955628938489e-84,2.184701881278836e-87,1.8047257491972616e-35,7.95638902344672e-60,2.017726489798065e-40,1.2019058939569696e-61,3.3444441530041694e-37,6.049592489874452e-23,6.164185584107632e-100,3.013041370909898e-19,2.540148671014495e-62,3.031853874914864e-55,1.1097534887990212e-93,1.5301346236165883e-17,5.500384557790759e-79,1.197286501827292e-19,4.092396113930025e-20,2.872516076029421e-20,3.2511584049067295e-20,2.6929031680703294e-20,1.3095667564611894e-20,6.589912711281539e-21,2.295281729212905e-33,2.5256678515946263e-17,1.0095455014463789e-45,8.549637147129408e-33,9.55918411872974e-33,2.5055838318625618e-17,1.2925935206746402e-20,2.4621772575010602e-45,6.67208276119471e-56,9.960101417443687e-20,9.209312842204256e-21,5.5447480414679095e-21,1.4531481140980274e-33,6.670769846156524e-35,5.469070334051157e-54,1.9991039561867252e-36,1.2114783673564486e-93,8.627513053366507e-22,1.0514793419143667e-33,5.416410473840494e-37
1.0277821285477429e-23,0.12990822726252158,0.0,0.0032256212829284096,0.031075110263184432,0.31940968187635516,0.3504847921395395,0.20701222018021495,0.09201819554070598,1.0132070372556343e-117,2.6599223740451515e-53,3.0709573128865505e-17,1.1595863884201709e-49,6.792787233267311e-83,7.060578969313281e-86,7.256722862800223e-35,6.403994076515025e-59,8.113189472643062e-40,9.69380645507484e-61,1.3447862845232127e-36,1.2141489822335437e-22,1.9963745108252333e-98,6.047152961196789e-19,2.0487219263783444e-61,2.4402997638573852e-54,3.5865315131920085e-92,3.070969489356368e-17,8.878241080313093e-78,2.402945636529151e-19,8.213410382494191e-20,5.765119677077048e-20,6.525052183271515e-20,5.404637826822764e-20,2.6282913224125428e-20,1.322590872822175e-20,9.22922688301913e-33,5.068997716137468e-17,8.12570048038189e-45,3.4377714941915354e-32,3.8437058913184575e-32,5.028689228982903e-17,2.594226156878473e-20,9.900306461657306e-45,5.370272664157123e-55,1.998985389375171e-19,1.8483026473514668e-20,1.112827054474426e-20,5.8430446550122424e-33,2.682287216028029e-34,4.402136291209428e-53,8.038309084060385e-36,1.9476873068774052e-92,1.7315358365864093e-21,4.2279521880961535e-33,2.177914829298174e-36
2.059145379494607e-23,0.12990822726252158,0.0,0.003225621282928409,0.031075110263184432,0.3194096818763551,0.3504847921395394,0.20701222018021495,0.09201819554070598,3.248101876562992e-116,2.1365943036170934e-52,6.152614825469566e-17,9.312920991440945e-49,5.434232236217171e-82,2.27057638388571e-84,2.9102704328457347e-34,5.138801937335229e-58,3.2537518497980193e-39,7.786592516525937e-60,5.393194471304448e-36,2.432528448725741e-22,6.426797229209375e-97,1.2115376141770566e-18,1.645644865544931e-60,1.9581868757845828e-53,1.153374785454415e-90,6.152639220835928e-17,1.4267576517848994e-76,4.814263905916782e-19,1.6455438919596255e-19,1.1550326879205445e-19,1.3072839739992575e-19,1.0828107144316489e-19,5.265740454328558e-20,2.6497900762058128e-20,3.7013327673615565e-32,1.0155657445223148e-16,6.520362896772793e-44,1.3787001272597418e-31,1.5414979763635409e-31,1.0074900023223582e-16,5.1974914292861375e-20,3.970465692941443e-44,4.3093056048121643e-54,4.004935884637105e-19,3.7030453736135e-20,2.2295315551236723e-20,2.343322243219454e-32,1.0757171418552448e-33,3.5324981693350375e-52,3.2237214648849623e-35,3.123757315654831e-91,3.469104899090931e-21,1.6955979272099862e-32,8.734412561746135e-36
