Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2NO3(231),CH3OX(210),CH2OX(659),CHOX(675),HNOH(93),H2NX(201),H3NX(202),HNO2(94),HONO(92),H2X(216),HNO(87),N2O2(378),NO3(95),H3NO3(626),HNO(549),NO(1009),S(567),H2NOX(203),H2N2X(602),CX(33)
0.0,0.06868207798099925,0.0,0.0017053759962682112,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.916916481974346e-23,0.06868207798099925,0.0,0.0017053759962682104,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,9.508784161564233e-134,7.229153784171014e-65,1.0738002197752664e-21,1.7295088893134094e-61,-5.203771257061733e-96,1.1162851244659713e-105,9.267526684892755e-45,8.189035221220186e-74,1.686458912295728e-50,4.2730366355840584e-79,2.9450286834396693e-42,9.920627417504428e-33,-3.888719273674129e-123,2.021647376719794e-28,8.387625952408906e-83,1.6194320964972013e-70,1.3544935857687738e-116,1.0738002197851864e-21,5.613902546705208e-96,3.2587381154847896e-19,1.1138559718022512e-19,9.589202677050628e-20,8.848904416294574e-20,7.329462231253623e-20,3.564339109767269e-20,1.782328391654341e-20,1.1836958392901814e-33,6.1640125860802546e-27,2.1881978788403073e-46,1.7105283213179297e-33,1.244881270954749e-31,5.965065155015239e-27,3.518141871003363e-20,1.680918039011296e-52,2.968249194458586e-62,3.2171840010893604e-30,2.5065628594840588e-20,1.5091527179173256e-20,5.410264508046235e-38,9.841040919479283e-40,6.337664804489852e-60,3.829839699732469e-42,4.155974125238757e-102,1.2371761630444898e-34,6.950896581178097e-43,6.002412635733914e-56,4.0744937119365815e-85,8.960266658570614e-104,1.7821695548836782e-20,3.8826497805096787e-79,2.3786931227444077e-79
5.367366149528168e-23,0.06868207798099925,0.0,0.0017053759962682088,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,1.4925595621764605e-132,1.0924697191711238e-63,3.0066406153707454e-21,2.0781957743508736e-60,1.264936354274553e-87,6.790909241747741e-104,5.599212115752599e-44,9.722039772092165e-73,1.0186211830266194e-49,6.457412963668235e-78,1.7787973247975574e-41,2.77777567690124e-32,-3.888226312120786e-123,5.66061265481543e-28,1.2675380339393923e-81,1.9225899668227078e-69,8.240048003197161e-115,3.006640615398519e-21,1.7651007014298007e-94,9.124466723297367e-19,3.118796721046181e-19,2.684976749578342e-19,2.4776932365624204e-19,2.0522494247499146e-19,9.980149507348175e-20,4.9905194965921984e-20,7.149522869312354e-33,1.72592352416612e-26,2.597828521758967e-45,1.0331591060759113e-32,7.5190828765204445e-31,1.6702182434042663e-26,9.850797238809402e-20,1.0152745096278824e-51,3.5239054883674445e-61,9.00811816256817e-30,7.01837600655532e-20,4.2256276101678754e-20,3.2677997628599252e-37,5.943988715365487e-39,9.573244208889673e-59,2.3132231786383756e-41,3.9168380134188893e-100,3.4641657154554114e-34,4.198341535031568e-42,3.6254680288137934e-55,4.837262688381239e-84,8.513282593591627e-102,4.990074753674353e-20,2.3620053061200306e-77,5.3210414323422535e-78
1.2268265484635813e-22,0.06868207798099925,0.0,0.0017053759962682058,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,5.898853913264541e-131,1.1752290715921254e-62,6.872321406561703e-21,2.0513059671560136e-59,1.138442723010175e-86,3.0657416390172397e-102,2.697389300078198e-43,9.545190733069722e-72,4.904222516955975e-49,6.946590197662657e-77,8.564143411442527e-41,6.349201547202832e-32,-3.863983772968247e-123,1.293854321100673e-27,1.363559575835693e-80,1.8876105952133893e-68,3.719952273164322e-113,6.872321406625176e-21,3.937842535860589e-93,2.085592393868236e-18,7.128678219533553e-19,6.137089713341561e-19,5.663298826428103e-19,4.690855827994621e-19,2.281177030250929e-19,1.1406901706308088e-19,3.442187500655336e-32,3.944968055536903e-26,2.5505634475755025e-44,4.974216358390772e-32,3.6201147358669375e-30,3.81764169920975e-26,2.251610797442144e-19,4.8881098645235954e-51,3.4597913971727445e-60,2.0589998323597636e-29,1.6042002300697662e-19,9.658577394666429e-20,1.5733049189398445e-36,2.861774699384576e-38,1.0297008278588418e-57,1.1137173846821504e-40,7.502822953887011e-99,7.918434656000616e-34,2.0213207258065885e-41,1.745517502415942e-54,4.749301629597083e-83,3.886132048687449e-100,1.1405885151255922e-19,1.0663221011825502e-75,1.0513481469847206e-76
2.6070064154851106e-22,0.06868207798099925,0.0,0.0017053759962681997,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,2.0410027245652245e-129,1.0802379909285643e-61,1.4603682988943613e-20,1.8186941185126363e-58,9.234035423675333e-86,1.1575661499840726e-100,1.1794265004839133e-42,8.442673892714188e-71,2.1418028186155737e-48,6.385113183749067e-76,3.740186427968352e-40,1.3492053287806019e-31,-2.916953293596183e-123,2.7494404323389446e-27,1.2533461708200284e-79,1.6695708392513304e-67,1.4045837314128212e-111,1.4603682989078458e-20,7.375143238111651e-92,4.431883836849168e-18,1.514844121650635e-18,1.3041315640934647e-18,1.2034510006158496e-18,9.968068634466447e-19,4.84750118928287e-19,2.4239666125100567e-19,1.5032937158980036e-31,8.383057119296849e-26,2.2559444851676105e-43,2.1723709680719465e-31,1.5809992140406914e-29,8.112488610820713e-26,4.784672944564533e-19,2.1347661219762145e-50,3.060146473218622e-59,4.3753805997943953e-29,3.408925488898165e-19,2.0524476963653367e-19,6.871035925218714e-36,1.2498121967738693e-37,9.464210372424889e-57,4.863896418659702e-40,1.2856623246216822e-97,1.6828131879984468e-33,8.82763865809617e-41,7.623227088736312e-54,4.2007890784425184e-82,1.471101752087521e-98,2.4237505946419943e-19,4.026229361804108e-74,1.8708179509048403e-75
5.367366149528169e-22,0.06868207798099925,0.0,0.0017053759962681876,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,6.744267951555502e-128,9.241663441574448e-61,3.0066406153707427e-20,1.5304416367902413e-57,7.399877702913035e-85,4.016137767045572e-99,4.9356052377816554e-42,7.096678245067353e-70,8.941605152991947e-48,5.462598758429531e-75,1.5614542079596882e-39,2.7777756769012395e-31,3.044440902783656e-122,5.660612654815533e-27,1.0722640366077209e-78,1.403375972100863e-66,4.873157158697845e-110,3.006640615398489e-20,1.2738725857063406e-90,9.124466722426766e-18,3.1187967210444167e-18,2.6849767496387423e-18,2.477693236561541e-18,2.052249424733974e-18,9.980149507345628e-19,4.990519496012831e-19,6.275955339911804e-31,1.7259235250890259e-25,1.896257270634061e-42,9.069221159611256e-31,6.600360497955296e-29,1.6702182434042622e-25,9.85079723880924e-19,8.912229352852003e-50,2.5722377739836123e-58,9.008161075578612e-29,7.018376006554682e-19,4.2256276101586554e-19,2.8685222421661107e-35,5.217719895507923e-37,8.0966543317701625e-56,2.0305810087976762e-39,2.1238504055953707e-96,3.465216369952594e-33,3.685365367340617e-40,3.182625342082483e-53,3.5311600900364243e-81,5.10985742951626e-97,4.990074753675148e-19,1.3968860027965562e-72,3.1554082458560124e-74
1.0888085617614286e-21,0.06868207798099925,0.0,0.0017053759962681633,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,2.1906478256423246e-126,7.641186049752036e-60,6.099185248323501e-20,1.255432835329388e-56,5.921167098774406e-84,1.3375435875619964e-97,2.0259399379713408e-41,5.818453031183476e-69,3.6529374623890377e-47,4.5165822897719916e-74,6.379049929477459e-39,5.634916373142515e-31,1.149559372120691e-120,1.1482957099768888e-26,8.865686410206325e-78,1.1505741851486586e-65,1.6229672601670028e-108,6.099185248379719e-20,2.116558352026152e-89,1.8509632492044892e-17,6.326701919828864e-18,5.4466671208359366e-18,5.02617770845137e-18,4.163134547280489e-18,2.024544614346664e-18,1.0123625261995497e-18,2.5639325357320942e-30,3.501159153037114e-25,1.5546662775019656e-41,3.7050727650936e-30,2.69646262759112e-28,3.388157008048637e-25,1.998304582729836e-18,3.64093733360156e-49,2.108876391229141e-57,1.827379779080686e-28,1.423727704186659e-18,8.571987437729013e-19,1.1718849335008441e-34,2.1316088273228974e-36,6.694432575974247e-55,8.29558598320447e-39,3.451417504215862e-95,7.0318776824904e-33,1.5055920030694932e-39,1.3002701000633961e-52,2.895294060855018e-80,1.702752931693701e-95,1.0122723071742861e-18,4.652213612733005e-71,5.182768603287993e-73
2.1929524553786518e-21,0.06868207798099925,0.0,0.0017053759962681147,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,7.061350836385941e-125,6.213685594069083e-59,1.2284274514228999e-19,1.0169550432726237e-55,4.737060172819639e-83,4.3659782981197715e-96,8.266651258864693e-41,4.712205309750763e-68,1.4765757277426995e-46,3.6728097085417383e-73,2.5785139737280696e-38,1.1349197765625064e-30,3.7807738361989475e-119,2.3127645989676323e-26,7.209428951185157e-77,9.317676802897452e-65,5.2976515315959025e-107,1.2284274514341962e-19,3.4505243043239834e-88,3.727996402513289e-17,1.2742512317385303e-17,1.0970047863656881e-17,1.0123146652224815e-17,8.384904792260947e-18,4.0776039415690675e-18,2.0389836789869304e-18,1.0363825246955414e-29,7.0516304154509145e-25,1.2590090589621732e-40,1.497649650661847e-29,1.0899533065713198e-27,6.824034537337359e-25,4.024754300427545e-18,1.4717257794728157e-48,1.7078235304678228e-56,3.680537427590261e-28,2.8675079112485913e-18,1.7264707092804617e-18,4.736946269490847e-34,8.616303694968308e-36,5.443836997066617e-54,3.353208489418035e-38,5.564734613040454e-94,1.4172620102084042e-32,6.085843599857263e-39,5.256415411311609e-52,2.3450659125533503e-79,5.559609557145897e-94,2.0388019707883895e-18,1.5185600073266944e-69,8.40149482719081e-72
4.401240242613099e-21,0.06868207798099925,0.0,0.0017053759962680178,0.03107511026318443,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070591,2.267808084498417e-123,5.0115625378639015e-58,2.4654453046039917e-19,8.186429342346995e-55,3.7896607881440684e-82,1.4110173111333584e-94,3.386290647540749e-40,3.7932293402342463e-67,5.9372460590935995e-46,2.962254086608186e-72,1.036809128119535e-37,2.2777760550590156e-30,1.2245888397132674e-117,4.6417023769494073e-26,5.81466562863092e-76,7.499723183299587e-64,1.7121198289214628e-105,2.465445304626558e-19,5.572605967311511e-87,7.482062706671584e-17,2.5574133112448354e-17,2.2016809351004993e-17,2.0317084539746868e-17,1.6828445281771575e-17,8.183722596006681e-18,4.0922259829250796e-18,4.167248550027907e-29,1.4152572966349022e-24,1.0133600219587992e-39,6.02198337623997e-29,4.382654305992267e-27,1.369578959591469e-24,8.077653735822501e-18,5.917750438637835e-48,1.3746062108841748e-55,7.386973946465111e-28,5.7550683253706575e-18,3.465014640269538e-18,1.904705261115695e-33,3.4645778198664074e-35,4.39074710366503e-53,1.3483103856469155e-37,8.937146630741842e-93,2.848378411934349e-32,2.4470909449900275e-38,2.1139962933445782e-51,1.8881276086501587e-78,1.7970169240946672e-92,4.091861298018843e-18,4.907723540294646e-68,1.353036036889095e-70
8.817815817081992e-21,0.06868207798099925,0.0,0.001705375996267824,0.031075110263184425,0.3194096818763551,0.35048479213953954,0.20701222018021492,0.09201819554070584,7.270055563071775e-122,4.0255595709191956e-57,4.939481010966147e-19,6.569529848252626e-54,3.031729897146861e-81,4.537675319822858e-93,1.4080292804771227e-39,3.0445282700063426e-66,2.381101219516862e-45,2.379443576651479e-71,4.15806832797529e-37,4.563488612052033e-30,3.9422504819148125e-116,9.299577932914112e-26,4.670655647998098e-75,6.01812980038122e-63,5.5059876484919596e-104,4.939481011010934e-19,8.957801337444783e-86,1.4990195305150957e-16,5.123737470237513e-17,4.411033233252613e-17,4.070496031469158e-17,3.3715526258991665e-17,1.6395959904853122e-17,8.198710584254931e-18,1.671253053297227e-28,2.8354458172427238e-24,8.131575984262958e-39,2.4150846736242253e-28,1.7576403942293668e-26,2.7439299713068902e-24,1.6183452606610576e-17,2.373287605624612e-47,1.1030370747713809e-54,1.480033187163761e-27,1.1530189153607598e-17,6.942102502143513e-18,7.638719997323321e-33,1.3894506627967673e-34,3.5270550194536505e-52,5.407327692992336e-37,1.4325009592738054e-91,5.722482886615096e-32,9.813929177585497e-38,8.481397502832698e-51,1.5160900075518214e-77,5.779333112203758e-91,8.197979952488731e-18,1.5782503414339138e-66,2.1719265991735158e-69
1.7650966966019776e-20,0.06868207798099925,0.0,0.0017053759962674362,0.031075110263184415,0.319409681876355,0.3504847921395395,0.20701222018021487,0.09201819554070569,2.3285084675885724e-120,3.226984260487993e-56,9.887552423690337e-19,5.263792583201801e-53,2.4253840496632367e-80,1.4556804286702337e-91,6.039784625086782e-39,2.4404501702271295e-65,9.53682463608115e-45,1.907418542722132e-70,1.665396168113315e-36,9.134913726038064e-30,1.2653018651802732e-114,1.8615329044848132e-25,3.744108613072748e-74,4.821946264754086e-62,1.7663137806095789e-102,9.88755242377829e-19,1.4365875063008366e-84,3.0006460462760835e-16,1.0256385788143145e-16,8.829737832286804e-17,8.148071186418351e-17,6.748968820622723e-17,3.282043452243088e-17,1.6411679760728852e-17,6.6937294227410154e-28,5.675822900171169e-24,6.515156051572379e-38,9.672935708965854e-28,7.039729368692154e-26,5.492631994737551e-24,3.239505034817935e-17,9.505574989884247e-47,8.837758620693916e-54,2.9628987271673812e-27,2.3080430810052707e-17,1.3896278225474748e-17,3.0594723341235875e-32,5.565049987361967e-34,2.82764673259161e-51,2.165751524336653e-36,2.2936374988315918e-90,1.151817852089201e-31,3.930690589312292e-37,3.3996478303980735e-50,1.2162985326623532e-76,1.8540209760385343e-89,1.6410217261464442e-17,5.062883901180069e-65,3.4807606481781308e-68
3.531726926389535e-20,0.06868207798099925,0.0,0.0017053759962666606,0.031075110263184394,0.3194096818763548,0.3504847921395394,0.20701222018021476,0.09201819554070538,7.454572065790129e-119,2.584204607900644e-55,1.978369524913825e-18,4.214304379337563e-52,1.94030726987058e-79,4.664154879267979e-90,2.737955071378616e-38,1.9556416981596704e-64,3.817215222660682e-44,1.527481818685416e-69,6.665924820121148e-36,1.8277763954010105e-29,4.0550268843729825e-113,3.724683126873464e-25,2.9983234961584526e-73,3.8606795057117416e-61,5.6594571535931764e-101,1.9783695249307433e-18,2.3012149484253305e-83,6.003899062058511e-16,2.0521682423635512e-16,1.766714704127503e-16,1.630322149615773e-16,1.3503801207187975e-16,6.566938375712583e-17,3.283761800893355e-17,2.6792362052592736e-27,1.1356577232879266e-23,5.2160863347835525e-37,3.871695123143581e-27,2.8177263444177386e-25,1.0990036041598152e-23,6.481824583128737e-17,3.804752498253591e-46,7.075658237717139e-53,5.9294056270510955e-27,4.618091412282786e-17,2.780462967047035e-17,1.224586255150479e-31,2.2274702888272985e-33,2.264854448633052e-50,8.668650208638876e-36,3.669817738162741e-89,2.3299516529107405e-31,1.57330060325576e-36,1.362878459348119e-49,9.763134026301478e-76,5.940292829493714e-88,3.283469187955958e-17,1.6221230389673916e-63,5.5738109398134653e-67
7.064987385964649e-20,0.06868207798099925,0.0,0.0017053759962651095,0.031075110263184352,0.3194096818763545,0.35048479213953926,0.20701222018021456,0.09201819554070478,2.385998322264532e-117,2.0684110778901296e-54,3.95759809000322e-18,3.372752194763589e-51,1.5522458732016232e-78,1.4935955221047908e-88,1.3519959056079018e-37,1.5679850726681102e-63,1.5273833043724622e-43,1.2226045511665144e-68,2.6672382049623657e-35,3.656346440995411e-29,1.2985791771098442e-111,7.450983571658152e-25,2.3998740328232837e-72,3.0900219303364755e-60,1.8123197094106922e-99,3.9575980900343436e-18,3.684085270923037e-82,1.2010405030665177e-15,4.1052275693344657e-16,3.5341965502930884e-16,3.2613522115000476e-16,2.701346596879105e-16,1.3136728222467364e-16,6.568949408637042e-17,1.0720434687250868e-26,2.2718086565700305e-23,4.1744543425121864e-36,1.5491823607089877e-26,1.1274575560338435e-24,2.1984844135316464e-23,1.2966463679738543e-16,1.5224469136090234e-45,5.662848574254611e-52,1.1865522706324381e-26,9.238188074791786e-17,5.562133255379414e-17,4.899940118066011e-31,8.912782569722414e-33,1.813512809336335e-49,3.468589227378523e-35,5.867518145736269e-88,4.762197950418362e-31,6.295251731959328e-36,5.470361453803524e-49,7.854130826251362e-75,1.902082472963128e-86,6.568364111632477e-17,5.19399638377659e-62,8.921986701564348e-66
