Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2NO3(231),CH3OX(210),CH2OX(659),CHOX(675),HNOH(93),H2NX(201),H3NX(202),HNO2(94),HONO(92),H2X(216),HNO(87),N2O2(378),NO3(95),H3NO3(626),HNO(549),NO(1009),S(567),H2NOX(203),H2N2X(602),CX(33),SX(1186),CHX(35),ONONO(331),SX(540)
0.0,0.1081582643956193,0.0,0.002685569704943227,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.466681776137967e-25,0.1081582643956193,0.0,0.002685569704943227,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,6.322665966256488e-126,6.253466955232567e-59,2.7727615748754663e-19,1.0752888032617282e-55,3.882345088818029e-96,2.3223536306813922e-95,2.93004290868172e-39,3.0146310888007894e-65,2.7921667987877885e-44,1.0469699478532697e-67,5.256689623503404e-40,6.052679139423375e-26,-2.2682559297960194e-109,3.2034782190059236e-22,3.1092750517415966e-69,4.651940164402913e-61,1.496500445880833e-102,2.7727621802427374e-19,1.3709966910840077e-86,1.8062075252500933e-20,6.173724205524659e-21,5.317298639122737e-21,4.904646271174498e-21,4.0624712293252166e-21,1.9755917457682835e-21,9.902141717194923e-22,3.9872107491276095e-35,2.0012928021991652e-20,2.5615998470105563e-48,1.1206621274097577e-34,3.36276761479931e-34,1.9741612292095593e-20,1.9499861900763254e-21,1.1702673395247223e-48,9.127439243642366e-60,4.8907226401524374e-23,1.389302404441743e-21,8.364719407451167e-22,3.6445067566901884e-36,1.3040294991382544e-37,2.6365052020183423e-58,2.2192017206311334e-39,5.3905118475305336e-98,1.248556672707499e-25,1.5609596224747792e-37,5.4399704359003794e-43,7.1340535996671804e-65,-4.2087425936848956e-92,9.877958728840375e-22,1.1797068780309261e-81,3.344374695055629e-70,2.8900533115918376e-93,5.148217841689733e-60,-1.1662301249966337e-90,7.966177818308283e-68
2.3706708973186308e-24,0.1081582643956193,0.0,0.002685569704943227,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,9.924461159314277e-125,9.450238955858537e-58,7.763732409651306e-19,1.5326709268342694e-54,4.095642641152786e-86,1.4128010325796e-93,1.769745916845152e-38,3.5789700288886946e-64,1.6864687464678247e-43,1.5821809851960258e-66,3.1750405325960556e-39,1.6947501590385452e-25,2.206943600203048e-108,8.969739013216587e-22,4.69873645819239e-68,5.522783363179527e-60,9.103942506157827e-101,7.7637341046796665e-19,4.180844290046573e-85,5.0573810706974023e-20,1.7286427775467405e-20,1.488843618954642e-20,1.3733009559287983e-20,1.1374919442109104e-20,5.5316568881519454e-21,2.772599680813618e-21,2.408275292473302e-34,5.603619846157666e-20,3.0411313383710583e-47,6.768799249555092e-34,2.0311116393381975e-33,5.527651441786766e-20,5.45996133221371e-21,7.06841473065199e-48,1.083609586994364e-58,1.369402339243208e-22,3.890046732436866e-21,2.3421214340858866e-21,2.2012820810408733e-35,7.876338174795075e-37,3.241541529912543e-57,1.340397839261361e-38,4.3188122253510535e-97,3.495958683585891e-25,9.428196119747667e-37,3.28574214330994e-42,8.469548433593939e-64,5.774227637908699e-91,2.7658284440753415e-21,7.176732625585549e-80,7.481232417369533e-69,3.287227096129974e-91,6.111964221241744e-59,1.600021396279504e-89,2.5046939117331365e-66
5.418676336728298e-24,0.1081582643956193,0.0,0.002685569704943227,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,3.922318945859852e-123,1.0166135808425982e-56,1.7745674079202985e-18,1.6170016791638824e-53,3.686078376944358e-85,6.378059193191703e-92,8.520564778466934e-38,3.5138539978964213e-63,8.11962105087489e-43,1.7020381048262918e-65,1.5286453425147899e-38,3.8737146492309603e-25,1.2189324480184252e-106,2.0502260601637916e-21,5.054686266115839e-67,5.422301455629198e-59,4.1099548248333146e-99,1.7745677953553526e-18,9.264278980177756e-84,1.155972816158059e-19,3.951183491534635e-20,3.403071129040479e-20,3.1389736135512525e-20,2.5999815867670876e-20,1.2643787172922271e-20,6.337370698998029e-21,1.1594808858466476e-33,1.2808273934074672e-19,2.9858007816758956e-46,3.25888546650781e-33,9.77892822382761e-33,1.2634631866941177e-19,1.247991161648848e-20,3.403137423221725e-47,1.0638943182052484e-57,3.130062489701237e-22,8.891535388427054e-21,5.353420420765664e-21,1.0598225648455062e-34,3.792117783494072e-36,3.2314156899932296e-56,6.453438603597669e-38,7.666801048243663e-96,7.990762705362253e-25,4.5392705821566583e-36,1.5819434027982712e-41,8.315452875981915e-63,3.045613969367969e-89,6.3218935864580955e-21,3.239920162097061e-78,1.4781654559151893e-67,2.9759141967315552e-89,6.0007627149951335e-58,8.439306212427027e-88,5.587834136249026e-65
1.1514687215547633e-23,0.1081582643956193,0.0,0.0026855697049432267,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,1.3571218700413038e-121,9.344430277126345e-56,3.770955741830634e-18,1.4747856772042497e-52,2.9898191287680346e-84,2.408233794135052e-90,3.7211544940467736e-37,3.107964068945716e-62,3.5460518344604925e-42,1.5644662536783583e-64,6.675995821849323e-38,8.231643629615791e-25,4.797417309674635e-105,4.356730377848057e-21,4.6461275243169505e-66,4.7959642318952324e-58,1.551840740538733e-97,3.7709565651301234e-18,1.7304137252065417e-82,2.456442234330123e-19,8.396264919507802e-20,7.231526149216557e-20,6.670318928795183e-20,5.524960871877039e-20,2.686804774247494e-20,1.3466912735351484e-20,5.063757651395565e-33,2.7217582109908716e-19,2.640906978274825e-45,1.4232409018106356e-32,4.270714870786048e-32,2.6848592717250005e-19,2.651981218503802e-20,1.4862395210762778e-46,9.410024761917235e-57,6.651382790625702e-22,1.8894512700407202e-20,1.1376018394118173e-20,4.628523580996535e-34,1.6561174639056138e-35,2.8775514550458636e-55,2.8183861852039487e-37,1.3292393500641722e-94,1.6980370748993278e-24,1.9824187205429695e-35,6.908762453987324e-41,7.354923899549469e-62,1.188618146630641e-87,1.3434023871224191e-20,1.2233322062937928e-76,2.630316449978199e-66,2.255478132169273e-87,5.307606663383494e-57,3.293625723321101e-86,1.0465394777668437e-63
2.3706708973186303e-23,0.1081582643956193,0.0,0.002685569704943226,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,4.484459248588536e-120,7.994356835980867e-55,7.763732409651306e-18,1.2573160032710097e-51,2.395950948515697e-83,8.355281769112075e-89,1.5535087502018582e-36,2.6124310704060402e-61,1.4804068367172855e-41,1.3384338176963949e-63,2.7870968383815037e-37,1.694750159038545e-24,1.6950368154124717e-103,8.969739013216586e-21,3.97485991484628e-65,4.0312969154332707e-57,5.38405643155034e-96,7.763734104679664e-18,2.984984082509872e-81,5.05738107065596e-19,1.7286427775443652e-19,1.4888436189586325e-19,1.3733009559279143e-19,1.137491944208734e-19,5.531656888162831e-20,2.772599680799693e-20,2.1140191391906083e-32,5.603619846157692e-19,2.2198414418232863e-44,5.941750599528721e-32,1.782939389358426e-31,5.527651441786765e-19,5.459961332213708e-20,6.204757433078668e-46,7.9096928082271025e-56,1.3694023392508246e-21,3.890046732436657e-20,2.3421214340794994e-20,1.9323174823971347e-33,6.913964404431304e-35,2.426447549878557e-54,1.1766207522807942e-36,2.2130253984356543e-93,3.495958683656855e-24,8.27620791836128e-35,2.8842723254673914e-40,6.1822567054025306e-61,4.1845490329378536e-86,2.7658284440758717e-20,4.244307718670669e-75,4.436413145506578e-65,1.5683196489351923e-85,4.461363205251349e-56,1.1595261594026628e-84,1.8076366818175764e-62
4.8090752488463643e-23,0.1081582643956193,0.0,0.0026855697049432245,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,1.4566252438294832e-118,6.609888827676486e-54,1.5749285745292647e-17,1.0378551384316521e-50,1.917170332559405e-82,2.7826576762021177e-87,6.346590142079881e-36,2.1418288305363686e-60,6.047944972846303e-41,1.1066429632436423e-62,1.1386199992093304e-36,3.437921751192478e-24,5.694615127552587e-102,1.8195756283953645e-20,3.286491043849023e-64,3.3051007719767925e-56,1.7931155851313816e-94,1.5749289183778738e-17,4.956394651079517e-80,1.0259258743234468e-18,3.50667534872734e-19,3.0202256270396303e-19,2.7858390820231448e-19,2.3074836582469504e-19,1.1221361116012722e-19,5.624416495304196e-20,8.636457971067031e-32,1.1367343116491384e-18,1.8199601311789105e-43,2.4273989944564804e-31,7.283889164290739e-31,1.1213235781910292e-18,1.1075921559633516e-19,2.5348458671883996e-45,6.484844046563751e-55,2.7779304596407807e-21,7.891237657228157e-20,4.751160623403589e-20,7.894147415261188e-33,2.8245800563136613e-34,1.9924093233069716e-53,4.806879694974208e-36,3.6102546930456946e-92,7.091801901297196e-24,3.38110098066527e-34,1.1783193565960488e-39,5.068587563997619e-60,1.4034361397247057e-84,5.610680557983713e-20,1.4135316773127737e-73,7.286821904942627e-64,1.0457607039247636e-83,3.657695095588855e-55,3.888880036206521e-83,3.00341537485706e-61
9.685883951901832e-23,0.1081582643956193,0.0,0.002685569704943222,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,4.695296964268939e-117,5.375051820409365e-53,3.1720392416575313e-17,8.432869758759286e-50,1.5337772533334202e-81,9.083058115868901e-86,2.565393208741059e-35,1.7345085218098768e-59,2.444676056345052e-40,8.999036790485017e-62,4.602484086479149e-36,6.924264935500343e-24,1.8667738366022122e-100,3.664779082542774e-20,2.672519936196033e-63,2.6765562956771288e-55,5.85302791913941e-93,3.172039934197686e-17,8.077563671408309e-79,2.0663014088098814e-18,7.062740491076511e-19,6.082989643229807e-19,5.61091533420736e-19,4.647467086308011e-19,2.2600769571789367e-19,1.1328050124214866e-19,3.49099439699911e-31,2.2894789657158958e-18,1.4738508998836407e-42,9.811934843308792e-31,2.944264459545419e-30,2.2584404462157344e-18,2.2307842014473106e-19,1.0246252278328784e-44,5.251594838010009e-54,5.594986700474483e-21,1.5893619506809676e-19,9.569239002006663e-20,3.1909406018065577e-32,1.1417404199116954e-33,1.6147258142566046e-52,1.9430176281102396e-35,5.831980621845428e-91,1.4283488337079025e-23,1.3666950755385477e-33,4.762955237662891e-39,4.1046736224513035e-59,4.59683320371516e-83,1.1300384785803141e-19,4.614002823069997e-72,1.1812252291583182e-62,6.830812790097484e-82,2.962096313612291e-54,1.2737688892745854e-81,4.896325078172023e-60
1.9439501358012768e-22,0.1081582643956193,0.0,0.0026855697049432167,0.031075110263184432,0.31940968187635516,0.3504847921395395,0.20701222018021495,0.09201819554070598,1.5079314855805085e-115,4.3351740177846135e-52,6.366260575914059e-17,6.798711589706251e-49,1.2270259978821934e-80,2.9354874301066604e-84,1.0315333262789084e-34,1.3960833639109942e-58,9.82993490180437e-40,7.258049184022292e-61,1.8506386087128594e-35,1.3896951304116073e-23,6.04585902561127e-99,7.355185990837589e-20,2.1554841472256576e-62,2.1543253619059275e-54,1.891597484626841e-91,6.3662619658373e-17,1.3043176763926274e-77,4.147052477665683e-18,1.4174870775707737e-18,1.2208517675722885e-18,1.1261067838550811e-18,9.327433942368651e-19,4.535958648365011e-19,2.273531738164283e-19,1.403713493091158e-30,4.594968273849489e-18,1.1862834263601742e-41,3.945335846043482e-30,1.1838757898144134e-29,4.532674182265141e-18,4.47716829241522e-19,4.1199729733800275e-44,4.2269404011049005e-53,1.1229099182357043e-20,3.189838320596678e-19,1.9205395759032399e-19,1.2830631817197897e-31,4.5908880128977726e-33,1.3001595717777036e-51,7.812788425673134e-35,9.375631217930101e-90,2.8666861210647274e-23,5.495420789307355e-33,1.9151633538276752e-38,3.3037984316850025e-58,1.4881500099626493e-81,2.267979324145696e-19,1.491165983612292e-70,1.9023268077820304e-61,4.4164170651225835e-80,2.3841527985706225e-53,4.123619701844807e-80,7.907578075548947e-59
3.8946736170234645e-22,0.1081582643956193,0.0,0.002685569704943206,0.031075110263184432,0.31940968187635516,0.3504847921395394,0.20701222018021495,0.09201819554070598,4.834072708002734e-114,3.4822475279612823e-51,1.2754703244427093e-16,5.460016495344105e-48,9.816215278189725e-80,9.440087651483362e-83,4.136910003362879e-34,1.1202689880760077e-57,3.94224355020769e-39,5.830059814253724e-60,7.421888539286648e-35,2.7842324041347535e-23,1.9463036531129014e-97,1.47359998074272e-19,1.731402087308129e-61,1.7287104282731443e-53,6.0830940282901875e-90,1.2754706029116487e-16,2.09648285487206e-76,8.308554614909019e-18,2.8399131344701736e-18,2.445957374115993e-18,2.2561372847137793e-18,1.8687367654243986e-18,9.08772203086014e-19,4.554985189492529e-19,5.629518933572046e-30,9.205946890116987e-18,9.519177401388973e-41,1.5822561337270065e-29,4.7478714183577686e-29,9.081141654363948e-18,8.969936474351003e-19,1.6522934301490364e-43,3.391853463743171e-52,2.2497324146982788e-20,6.390791060425723e-19,3.8477709272362203e-19,5.145657222730193e-31,1.841151425657582e-32,1.043491142219816e-50,3.1332775942473683e-34,1.5036578646718624e-88,5.743360696580214e-23,2.2039095252144027e-32,7.680661634628345e-38,2.6510901783610367e-57,4.789726091640033e-80,4.5438610152824495e-19,4.795366331244349e-69,3.0536558006128005e-60,2.840899154316954e-78,1.913132454212289e-52,1.3272189617788369e-78,1.2711200803437937e-57
