Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2NO3(231),CH3OX(210),CH2OX(659),CHOX(675),HNOH(93),H2NX(201),H3NX(202),HNO2(94),HONO(92),H2X(216),HNO(87),N2O2(378),NO3(95),H3NO3(626),HNO(549),NO(1009),S(567),H2NOX(203),H2N2X(602),CX(33),SX(1186),CHX(35),ONONO(331),SX(540),SX(1325),S(1330),NO2NO(328),SX(1341),S(1436),CH2OH(45),S(1677)
0.0,0.11229247039749245,0.0,0.0027882220399697375,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.365297350762583e-25,0.11229247039749245,0.0,0.0027882220399697375,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,5.4785322278156966e-126,6.216432373845701e-59,2.906949980522981e-19,1.2970031133236545e-55,1.762607553288142e-95,2.724446631891754e-95,6.62324370834021e-39,4.6028726260649885e-65,4.3986955289059086e-44,2.1162264097150605e-67,4.3385559250638e-40,1.2028036927629282e-25,-1.3112520802052105e-107,6.166117036948451e-22,1.5336404496641525e-67,8.528437100532167e-61,2.6951140143063806e-102,2.9069511836889507e-19,6.271520727875734e-67,1.1662554058976594e-20,3.986329991741285e-21,3.433711226268537e-21,3.1668953582618436e-21,2.623108898767091e-21,1.2756255973574242e-21,6.397434338993599e-22,1.9297821794383418e-35,4.0912800745853323e-20,9.09822733709397e-49,5.752530134245034e-35,1.391291057343495e-34,4.0407736264405125e-20,1.2590922714083029e-21,1.24760880889267e-48,6.166274552307616e-60,1.1090360764010936e-22,8.970627222816918e-22,5.401040075062752e-22,2.733193520569571e-36,1.035130591800374e-37,3.524940988844693e-58,1.9763864912406342e-39,3.131185532160213e-98,3.7052046702280917e-25,2.1324182904026243e-37,2.2434706057851674e-42,6.691153393648715e-64,-6.574526501326101e-92,6.378127986786543e-22,2.2939810872287643e-82,1.7087374313668857e-70,5.316643008069283e-94,4.15081322848661e-60,-9.342709037537324e-91,1.690839005381596e-68,-1.3233444296085655e-134,3.187533711176512e-94,-8.57764357929729e-92,8.77703127965453e-102,1.2178247128212915e-138,2.730579117439856e-25,4.21385267018664e-59
1.5022832582135234e-24,0.11229247039749245,0.0,0.0027882220399697375,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,8.599454870265682e-125,9.394272389875018e-58,8.139459945464347e-19,1.856422015528746e-54,2.3268108587924586e-86,1.6574138304367364e-93,4.0004391998378897e-38,5.4645303818298335e-64,2.656812099459169e-43,3.198041350361453e-66,2.620487778738537e-39,3.3678503397361993e-25,1.2949808737710516e-106,1.7265127703455664e-21,2.317637447584763e-66,1.012496052575201e-59,1.734323906320576e-100,8.139463314329064e-19,9.477522124193643e-66,3.265515136512242e-20,1.1161723976874734e-20,9.614391433553236e-21,8.867307003132848e-21,7.34470491654718e-21,3.571751672601196e-21,1.7912816149178194e-21,1.1655884363808529e-34,1.1455584208838934e-19,1.0801415494598359e-47,3.4745282010840717e-34,8.403397986353194e-34,1.1314166154033435e-19,3.525458359943249e-21,7.535557205654167e-48,7.320601148448388e-59,3.1053010139234357e-22,2.511775622388731e-21,1.5122912210173463e-21,1.65084888642402e-35,6.252188774474273e-37,4.2428076777911017e-57,1.1937374407094625e-38,2.4662167383299644e-97,1.0374573076644911e-24,1.2879806474031852e-36,1.3550562458978617e-41,7.943737308961277e-63,8.77604270582127e-91,1.78587583630025e-21,1.3955406416339984e-80,3.822377284312017e-69,6.047297770480973e-92,4.927845464645461e-59,1.2471166340701169e-89,5.316268849400109e-67,3.389039935442191e-132,8.535402101016244e-93,1.1449914522562603e-90,2.3502650642528397e-100,1.5611711590635557e-136,7.645621528875972e-25,6.3679740828955995e-58
3.433790304488054e-24,0.11229247039749245,0.0,0.0027882220399697375,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,3.3986535101823915e-123,1.0105929537099972e-56,1.860447987534708e-18,1.961387119087834e-53,2.0941297716131223e-85,7.482358290305182e-92,1.9260392703859255e-37,5.365108333435925e-63,1.2791406598058384e-42,3.44030694974564e-65,1.2616520630085553e-38,7.697943633682741e-25,7.142708811339633e-105,3.946314903647009e-21,2.4932086062953014e-65,9.94074628438095e-59,7.842819445966921e-99,1.860448757560929e-18,1.0195485817264572e-64,7.464034597736589e-20,2.551251194713817e-20,2.1975751848127968e-20,2.02681302928736e-20,1.6787896952104667e-20,8.164003823090381e-21,4.094357976953186e-21,5.611806577808116e-34,2.618419247734614e-19,1.0604893784117956e-46,1.6728357630385622e-33,4.045874394752609e-33,2.586095120921928e-19,8.05819053701314e-21,3.62804641617347e-47,7.187409618010863e-58,7.097830888969616e-22,5.7412014226027845e-21,3.456665648038592e-21,7.948126757816309e-35,3.01015976095551e-36,4.191028001490968e-56,5.747331916529557e-38,4.3715436885524536e-96,2.371330988950356e-24,6.20107238849083e-36,6.524012521676575e-41,7.799208395702355e-62,4.644048628517176e-89,4.082001911543516e-21,6.300137538695263e-79,7.552373387453143e-68,5.474595688578974e-90,4.838187898460994e-58,6.59940988041798e-88,1.1860302712417208e-65,3.836790393762164e-129,3.5802179364268646e-91,6.0589905519993005e-89,9.858306660675366e-99,1.30752426623344e-133,1.7475706351925708e-24,6.850375926178204e-57
7.296804397037114e-24,0.11229247039749245,0.0,0.002788222039969737,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,1.1759336939653984e-121,9.289090341692821e-56,3.9534519735112535e-18,1.7899248207434822e-52,1.6985719261583716e-84,2.82519612138295e-90,8.411519509598139e-37,4.7453775635916626e-62,5.586343321710505e-42,3.162234799509077e-64,5.509966024831045e-38,1.6358130221575826e-24,2.8111253813509884e-103,8.385919170249895e-21,2.2916882512510745e-64,8.792477513165997e-58,2.9624666045535496e-97,3.953453609816973e-18,9.371407993803135e-64,1.5861073520166012e-19,5.421408788765119e-20,4.669847267729875e-20,4.3069776872350084e-20,3.5674281023208864e-20,1.7348508124075305e-20,8.700510701017704e-21,2.4508233678881595e-33,5.564140901436056e-19,9.379908455452964e-46,7.305713270492289e-33,1.7669396428238878e-32,5.495452131959097e-19,1.7123654891152923e-20,1.5844631872043602e-46,6.357182412113247e-57,1.5082890639067948e-21,1.2200053023030786e-20,7.345414502077496e-21,3.4711557711233524e-34,1.3146158515864975e-35,3.717009924115385e-55,2.510010843877457e-37,7.581001511664791e-95,5.039078351532091e-24,2.708171228811333e-35,2.849207669401777e-40,6.898311502852175e-61,1.8135830537635928e-87,8.674254062030338e-21,2.378812060042225e-77,1.343904491876085e-66,4.149256343767446e-88,4.2793224046481685e-57,2.577186176241347e-86,2.2213033913572177e-64,2.8881768964435977e-126,1.3090628783412712e-89,2.3661428787978505e-87,3.604569197171706e-97,4.789128246485275e-131,3.713587599873519e-24,6.296675691720945e-56
1.5022832582135237e-23,0.11229247039749245,0.0,0.0027882220399697366,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,3.885742942706848e-120,7.947012356161647e-55,8.139459945464346e-18,1.526386069692038e-51,1.3611843532199991e-83,9.801917780838506e-89,3.5116438141674205e-36,3.988775773631396e-61,2.332188369425913e-41,2.705358447462864e-63,2.3003023514688424e-37,3.367850339736199e-24,9.932340181470763e-102,1.726512770345566e-20,1.9605875473565492e-63,7.390607136330007e-57,1.0280005267521618e-95,8.139463314329062e-18,8.017436841101036e-63,3.2655151364947776e-19,1.116172397686218e-19,9.614391433572564e-20,8.8673070031283e-20,7.344704916537417e-20,3.571751672607139e-20,1.79128161491219e-20,1.0231705115395275e-32,1.1455584208838952e-18,7.884378238692893e-45,3.049991477177703e-32,7.376625186014052e-32,1.1314166154033434e-18,3.525458359943248e-20,6.614821903944809e-46,5.343594866031189e-56,3.105301013928852e-21,2.5117756223886388e-20,1.5122912210140956e-20,1.4491392046059844e-33,5.488262397725785e-35,3.128372584137453e-54,1.0478801176574501e-36,1.2623433078555242e-93,1.0374573076735584e-23,1.1306081775714714e-34,1.1894881152362476e-39,5.798446472727488e-60,6.38648009967116e-86,1.785875836300516e-20,8.253204105769705e-76,2.2666913539321295e-65,2.8851355998059634e-86,3.5970283282685714e-56,9.075486343189463e-85,3.836749176780158e-63,1.7812424678972332e-123,4.466322057482724e-88,8.332303494858167e-86,1.2298238059793153e-95,1.4516558488416838e-128,7.645621529519417e-24,5.386938622273986e-55
3.047488895233148e-23,0.11229247039749245,0.0,0.0027882220399697358,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,1.262152456879238e-118,6.570743496214297e-54,1.6511475889370528e-17,1.2601170834089664e-50,1.0891801684583892e-82,3.264447867594716e-87,1.4346210802059199e-35,3.270239372519581e-60,9.527750463431354e-41,2.2368426808651065e-62,9.39748567592532e-37,6.831924974893432e-24,3.3368510437373665e-100,3.5023544769867186e-20,1.621051698336891e-62,6.059266252041058e-56,3.4239670984389285e-94,1.6511482723353236e-17,6.628971822844996e-62,6.624330705420299e-19,2.264235435303413e-19,1.950347976529206e-19,1.798796563490685e-19,1.4899258544953239e-19,7.245553393016841e-20,3.633742704523089e-20,4.1799853919617905e-32,2.3238470823644776e-18,6.464089634153569e-44,1.2460210371988452e-31,3.01359208183039e-31,2.295159419818211e-18,7.151644101599156e-20,2.702370583732989e-45,4.381001917042565e-55,6.299324913982526e-21,5.095316262559595e-20,3.067790762621049e-20,5.920206493294496e-33,2.2421342670634535e-34,2.5664213203692247e-53,4.280932195500968e-36,2.05950178740594e-92,2.1045562527302658e-23,4.6189033137437e-34,4.859447071368529e-39,4.753916745937432e-59,2.1422072851022575e-84,3.622776696495949e-20,2.7486615523926345e-74,3.723047352564976e-64,1.923817914945497e-84,2.9490611445889262e-55,3.04417655390372e-83,6.374816116329706e-62,9.991429346224569e-121,1.4748040912726792e-86,2.7948918637933675e-84,4.0609458011889106e-94,4.035637162910337e-126,1.550968938994723e-23,4.4540250264716224e-54
6.137900169272397e-23,0.11229247039749245,0.0,0.002788222039969734,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,4.06843188499882e-117,5.343219486973993e-53,3.325550777718288e-17,1.0239434772563851e-49,8.713674184886099e-82,1.065570154429117e-85,5.798967782387625e-35,2.64832463316329e-59,3.851269072942511e-40,1.818963319536372e-61,3.7986139630778626e-36,1.37600742452079e-23,1.0938660617728547e-98,7.054037890269022e-20,1.318212319564671e-61,4.906950907992615e-55,1.1176875520042008e-92,3.325552154140155e-17,5.390569796128612e-61,1.3341961843148004e-18,4.560361510528937e-19,3.928165642886755e-19,3.6229282898431836e-19,3.000836580171593e-19,1.459315683387821e-19,7.318664883705131e-20,1.6896169276520654e-31,4.680424405325656e-18,5.234787378585458e-43,5.036616253984831e-31,1.2181421026602466e-30,4.622645028647945e-18,1.4404015584910962e-19,1.0923413968482487e-44,3.54784893670245e-54,1.2687372714128122e-20,1.0262397542900859e-19,6.178789845811997e-20,2.393042120547631e-32,9.063065193897746e-34,2.0789897833463445e-52,1.7304212396443556e-35,3.327029422571413e-91,4.238754142907715e-23,1.867034569325437e-33,1.964266202293894e-38,3.8498450348239456e-58,7.017054877383475e-83,7.296578416888691e-20,8.972089105575396e-73,6.035220186702096e-63,1.2566201790198066e-82,2.38822617086014e-54,9.971562570181959e-82,1.0392559171404222e-60,5.352015179209603e-118,4.7932643377474986e-85,9.155000903034188e-83,1.3198489753105613e-92,1.0760905658455835e-123,3.1237825115346904e-23,3.621939181601739e-53
1.2318722717350893e-22,0.11229247039749245,0.0,0.0027882220399697306,0.031075110263184432,0.31940968187635516,0.3504847921395395,0.20701222018021495,0.09201819554070598,1.306608832163036e-115,4.3095000876635576e-52,6.674357155280755e-17,8.255440670090779e-49,6.9709631198111115e-81,3.4437386112820707e-84,2.3317394405266248e-34,2.131602068016225e-58,1.5485783557334413e-39,1.467059813677669e-60,1.527405967642494e-35,2.761637278583683e-23,3.542668037660131e-97,1.4157404716833616e-19,1.063185991608491e-60,3.949540985838964e-54,3.6122495240680387e-91,6.67435991774981e-17,4.3476898289427446e-60,2.677722411811009e-18,9.152613660944516e-19,7.883800975656449e-19,7.271191742535333e-19,6.022658031496549e-19,2.9288363715768777e-19,1.4688509241910192e-19,6.793875354074353e-31,9.393579051248071e-18,4.213412298505543e-42,2.0252012438870654e-30,4.898095818900545e-30,9.277616246307408e-18,2.890875855153455e-19,4.392256711515806e-44,2.85561747874949e-53,2.5463468314572285e-20,2.059656010358078e-19,1.2400788012102067e-19,9.622317116905871e-32,3.644218653658031e-33,1.6736055973502877e-51,6.957947697966395e-35,5.3487106634499415e-90,8.507149923518753e-23,7.507263888094055e-33,7.898228009246526e-38,3.098690213536391e-57,2.2717279474356434e-81,1.4644181857681682e-19,2.8996241634873532e-71,9.71953602684344e-62,8.124595099365794e-81,1.9222521874918425e-53,3.228231482404659e-80,1.678401080716743e-59,2.802513455920377e-115,1.5457440531948452e-83,2.9638747122685835e-81,4.2562824851193985e-91,2.8111648487977356e-121,6.26940965843225e-23,2.9212251647697378e-52
2.468036781350789e-22,0.11229247039749245,0.0,0.0027882220399697236,0.031075110263184432,0.31940968187635516,0.3504847921395394,0.20701222018021495,0.09201819554070598,4.188679615788612e-114,3.461624831079839e-51,1.3371969910405674e-16,6.630008455979782e-48,5.5767744414618244e-80,1.107454728154471e-82,9.351318052589885e-34,1.7104764227310884e-57,6.210491825089083e-39,1.1784222244810935e-59,6.125581079262693e-35,5.532896986709469e-23,1.1404678340715029e-95,2.836413836996277e-19,8.540088075708572e-60,3.169257907741538e-53,1.1616575688044953e-89,1.3371975444969086e-16,3.4923009106337007e-59,5.3647748666060946e-18,1.83371179616338e-18,1.5795071641414224e-18,1.4567718647868242e-18,1.2066300934036137e-18,5.867877748022124e-19,2.9428197957684214e-19,2.7246478805159237e-30,1.8819888343093128e-17,3.3809980181298574e-41,8.121962781404578e-30,1.9643554960206595e-29,1.8587558681626322e-17,5.791824448478155e-19,1.7614913879631097e-43,2.2914531839580837e-52,5.101565951607252e-20,4.1264885224930195e-19,2.4844784344314896e-19,3.858979532530953e-31,1.461494671780317e-32,1.3430645216001344e-50,2.790448228739495e-34,8.57830778261777e-89,1.704394148576539e-22,3.0107485897097215e-32,3.167542689703575e-37,2.4865037485710727e-56,7.311845212932678e-80,2.9339388739297677e-19,9.32475676058974e-70,1.560200778453794e-60,5.226217334261678e-79,1.5424863119436753e-52,1.039047353495045e-78,2.6979807165478796e-58,1.4510604542593142e-112,4.9654816009581294e-82,9.539607658579762e-80,1.3672698481518418e-89,7.269632312083396e-119,1.2560663959497855e-22,2.3464869170696668e-51
