Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88)
0.0,0.054791484931128634,0.0,0.01360472570839924,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7320624679359587e-24,0.054791484931128634,0.0,0.013604725708399238,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.797989402065214e-75,1.3405598108004294e-25,4.567125821764859e-74,0.0,-7.08787669217318e-161,3.904806804652818e-52,7.507824054570939e-121,5.735055777234983e-63,8.338065587706805e-94,1.1988432331857228e-82,1.1179404166998252e-39,-6.00727829807499e-140,1.0069306459295134e-34,1.0115438412848134e-98,7.857594872271284e-122,-1.3859499903145834e-153,1.3405598108004404e-25,9.057478160218865e-122,2.6299327423073543e-19,8.989265742226724e-20,2.876577873620725e-20,7.141421812097326e-20,5.915170849043813e-20,2.876565037512552e-20,1.2836108169446593e-25,1.3971021189655867e-35,1.0069306605317712e-34
4.849774910220685e-24,0.054791484931128634,0.0,0.013604725708399238,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.7171215844011905e-74,3.753567470241202e-25,6.901840541851616e-73,0.0,1.620274164076307e-159,5.119222690767659e-51,2.1175877373836682e-119,3.4639736894499295e-62,1.258834778417761e-92,1.811691893990344e-81,3.1302331667595104e-39,-6.007278297989162e-140,2.819405808602663e-34,1.527679581291702e-97,3.3408772439508254e-120,-1.3859499902776284e-153,3.753567470241234e-25,2.551325330343434e-120,7.363811678458165e-19,2.5169944078234826e-19,8.054418046138039e-20,1.9995981073872517e-19,1.656247837732248e-19,8.054382105035144e-20,3.594110287445046e-25,8.438496798552142e-35,2.8194058968003e-34
1.1085199794790137e-23,0.054791484931128634,0.0,0.013604725708399237,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.922955411149651e-73,8.579582789122748e-25,7.424685105927457e-72,0.0,1.9167924210096095e-157,5.197719211291967e-50,4.6064422592852465e-118,1.6677542200199327e-61,1.353998254505495e-91,1.948935467325457e-80,7.15481866687888e-39,-6.0072782937689e-140,6.444356133949065e-34,1.6432018596518786e-96,8.242030057950539e-119,-1.3859499866035017e-153,8.579582789122822e-25,5.548794800107494e-119,1.6831569550750074e-18,5.7531300750251e-19,1.8410098391172684e-19,4.570509959742289e-19,3.7857093433879e-19,1.8410016240080317e-19,8.215109228445818e-25,4.062772961951922e-34,6.4443565585827205e-34
2.355604956392904e-23,0.054791484931128634,0.0,0.013604725708399233,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.6866996037182604e-72,1.8231613426885838e-24,6.824564772947717e-71,0.0,1.836450883117821e-155,4.6567089841646755e-49,8.540345844377313e-117,7.283520837088428e-61,1.244540983124971e-90,1.7914074664848463e-79,1.5203989667117624e-38,-6.007278128907e-140,1.3694256784642278e-33,1.5103683032778845e-95,1.8630569429428878e-117,-1.385949697132244e-153,1.8231613426885996e-24,1.0286343267593485e-117,3.576708529529506e-18,1.2225401409428326e-18,3.912145908124209e-19,9.712333664452356e-19,8.0446323546988785e-19,3.9121284510170625e-19,1.7457107110447357e-24,1.7743196910862912e-33,1.3694258639129011e-33
4.8497749102206846e-23,0.054791484931128634,0.0,0.013604725708399226,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.2985280757275606e-71,3.753567470241202e-24,5.838558845035503e-70,0.0,1.7562620396925126e-153,3.93597598768501e-48,1.4681341962843689e-115,3.040726573089988e-60,1.064729474195657e-89,1.532586803185902e-78,3.130233166759511e-38,-6.007272321268374e-140,2.8194058086030347e-33,1.2921502861811124e-94,4.3516757677063226e-116,-1.385929210764771e-153,3.753567470241233e-24,1.7679558066083415e-116,7.36381167842297e-18,2.5169944078234735e-18,8.05441804613813e-19,1.9995981073872467e-18,1.6562478377319535e-18,8.054382105035106e-19,3.594110287445042e-24,7.407435434755503e-33,2.8194065828147387e-33
9.838114817876246e-23,0.054791484931128634,0.0,0.01360472570839921,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,1.9004674621863498e-70,7.614379725346439e-24,4.827433359733696e-69,0.0,1.7937147820410664e-151,3.2352309727464177e-47,2.434209576399881e-114,1.2422360215722068e-59,8.803387710647921e-89,1.267172406196977e-77,6.349901566855008e-38,-6.007077502654862e-140,5.7193660688813044e-33,1.0683746908151085e-93,1.1022790407173608e-114,-1.384551622395424e-153,7.614379725346499e-24,2.9302563339548007e-115,1.4938017976147754e-17,5.105902941584739e-18,1.6338962322166142e-18,4.05632758927126e-18,3.359817042255566e-18,1.6338889413071128e-18,7.290909440245646e-24,3.0261790737641875e-32,5.719369231788734e-33
1.9814794633187369e-22,0.054791484931128634,0.0,0.01360472570839918,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,1.5454285780850653e-69,1.5336004235556913e-23,3.925588636152118e-68,0.0,1.9797955379806274e-149,2.623202942887689e-46,3.9663606114411364e-113,5.021316615646536e-59,7.158768538063892e-88,1.0304435560526327e-76,1.2789238367046002e-37,-6.000695946053087e-140,1.1519286589440468e-32,8.687845403874577e-93,3.035546904562955e-113,-1.2941979596211684e-153,1.5336004235557025e-23,4.771162668259755e-114,3.0086430571348794e-17,1.0283720009107206e-17,3.290805087422281e-18,8.169786553039247e-18,6.766955451300709e-18,3.29079040291429e-18,1.4684507745846818e-23,1.2232299660560552e-31,1.1519299374418005e-32
3.9768154263809616e-22,0.054791484931128634,0.0,0.013604725708399117,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,1.246444135220664e-68,3.077925325597786e-23,3.166129449273004e-67,0.0,2.3233742746152748e-147,2.112656914432719e-45,6.411022996818048e-112,2.0190493265986846e-58,5.7738061557570845e-87,8.310900583378693e-76,2.566791196742799e-37,-5.794097828941227e-140,2.311912763056929e-32,7.00706204211366e-92,8.904594746313645e-112,4.559445041493852e-153,3.077925325597805e-23,7.700675751985961e-113,6.038325576075666e-17,2.063935414415187e-17,6.604622797833877e-18,1.6396704480575064e-17,1.3581232269382679e-17,6.604593326128536e-18,2.947170435704903e-23,4.918553893902888e-31,2.3119179038401663e-32
7.967487352505411e-22,0.054791484931128634,0.0,0.013604725708398992,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070587,0.0,1.0012117139491553e-67,6.166575129681975e-23,2.5432073551644687e-66,0.0,2.836287650306149e-145,1.695780782036288e-44,1.033223467733083e-110,8.097290841543409e-58,4.637835095920131e-86,6.6757673147320785e-75,5.142525916819197e-37,8.555004060494377e-141,4.631880971286891e-32,5.628453291120825e-91,2.7181966888008565e-110,3.814808486663701e-151,6.166575129682e-23,1.237477919713013e-111,1.209769061355956e-16,4.135062241424016e-17,1.3232258218658118e-17,3.2850540335646074e-17,2.7209785905513346e-17,1.3232199172556593e-17,5.904609757945292e-23,1.972560099154621e-30,4.6319015881269447e-32
