Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2NO3(231),CH3OX(210)
0.0,0.08478463093452131,0.0,0.021052023861041637,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4605400451781644e-24,0.08478463093452131,0.0,0.021052023861041637,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,7.221455167008022e-63,8.751580467262673e-21,2.183295003186541e-60,0.0,2.860693466249044e-101,4.677784867386773e-43,1.679355704152042e-69,9.335195996962653e-51,3.86899471687351e-74,6.746775235774662e-41,1.5454487181649457e-29,-2.088597508106402e-118,1.323082613463388e-25,8.050487415358453e-77,8.250113239657103e-66,3.810665747237493e-110,8.751580482717198e-21,9.58259096227119e-92,2.7586499249946666e-19,9.429228689628977e-20,5.99635247659712e-20,7.490945463882863e-20,6.204677920673137e-20,3.0173531806813933e-20,7.538939922899411e-24,2.9872902901964784e-34,5.629958176970177e-24,7.460711201375107e-48,2.9872902901964634e-34,4.158788198321839e-36,5.4976499156606e-24,2.978245401923376e-20
4.08951212649886e-24,0.08478463093452131,0.0,0.021052023861041637,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.0913062913136083e-61,2.4504425308335484e-20,3.2993953882353436e-59,0.0,1.740299418217629e-99,2.8253821972117285e-42,1.993731098973141e-68,5.638458382165443e-50,5.846824816139296e-73,4.0750522424078964e-40,4.327256410861848e-29,-1.6834902363999125e-118,3.704631317697487e-25,1.2165896582090356e-75,9.794534438384575e-65,2.3182139165983885e-108,2.4504425351608156e-20,3.0128975110406566e-90,7.724219789979374e-19,2.6401840330960506e-19,1.6789786934472417e-19,2.0974647298871741e-19,1.7373098177882954e-19,8.448588905908087e-20,2.1109031785072855e-23,1.8043233352786885e-33,1.5763882895516816e-23,8.857356338272573e-47,1.8043233352786707e-33,2.511908071881169e-35,1.5393419763849684e-23,8.339087125385454e-20
9.347456289140252e-24,0.08478463093452131,0.0,0.021052023861041633,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.1739775081058228e-60,5.60101149904811e-20,3.5493389972181154e-58,0.0,7.856543453341519e-98,1.3603000414781013e-41,1.9574570296922813e-67,2.7146749959167395e-49,6.289747331327004e-72,1.9619622385632716e-39,9.890871796255651e-29,1.823860881730381e-117,8.467728726165685e-25,1.308751638140073e-74,9.616331992932341e-64,1.0465525748161669e-106,5.601011508939008e-20,6.721597747930709e-89,1.7655359519926013e-18,6.034706361362103e-19,3.837665585022491e-19,4.794205096884839e-19,3.970993869229526e-19,1.931106035636222e-19,4.824921551323776e-23,8.687040163891598e-33,3.6031732332611375e-23,8.696204976322967e-46,8.687040163891418e-33,1.2093756082141573e-34,3.518495946022785e-23,1.9060770572309605e-19
1.9863344614423035e-23,0.08478463093452131,0.0,0.02105202386104163,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.079087588384393e-59,1.1902149435477236e-19,3.262454035584419e-57,0.0,2.9664813195284716e-96,5.940788851040797e-41,1.7313486000803686e-66,1.1855698916142569e-48,5.7813614255298204e-71,8.568404549433818e-39,2.101810256704326e-28,7.964918643126397e-116,1.799392354310209e-24,1.2029682335022572e-73,8.505536747187989e-63,3.9515833922865e-105,1.190214945649539e-19,1.2588800610599745e-87,3.7517638979728206e-18,1.28237510178932e-18,8.155039368173754e-19,1.0187685830879727e-18,8.438361972109057e-19,4.1036003257273457e-19,1.0252958298483968e-22,3.793858668549773e-32,7.656743120680563e-23,7.69169482016998e-45,3.7938586685496133e-32,5.281661013337793e-34,7.476803885298417e-23,4.05041374661579e-19
4.08951212649886e-23,0.08478463093452131,0.0,0.02105202386104162,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,9.231821505532617e-59,2.450442530833548e-19,2.7910981138917953e-56,0.0,1.029210176901094e-94,2.4801633913558064e-40,1.4553028616365177e-65,4.949520917589598e-48,4.946076418114553e-70,3.577140230007723e-38,4.327256410861847e-28,2.8212281957606436e-114,3.7046313176974906e-24,1.0291646505945898e-72,7.149416134615498e-62,1.3709878486141972e-103,2.450442535160815e-19,2.1744015757121058e-86,7.724219789896824e-18,2.640184033095135e-18,1.678978693447933e-18,2.097464729886773e-18,1.7373098177856403e-18,8.448588905910783e-19,2.1109031798913186e-22,1.5838613118623933e-31,1.5763882895521471e-22,6.46533295573299e-44,1.5838613118622595e-31,2.20498950407239e-33,1.5393419763849684e-22,8.339087125385445e-19
8.295867456611973e-23,0.08478463093452131,0.0,0.021052023861041602,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,7.633048546691093e-58,4.970897705405199e-19,2.307733895110069e-55,0.0,3.427699603143195e-93,1.0132284804573234e-39,1.193145280016737e-64,2.0220407937260981e-47,4.0895116302369047e-69,1.4613785031697323e-37,8.77814871917689e-28,9.478815875095292e-113,7.51510924447206e-24,8.509332352045753e-72,5.861523299259972e-61,4.565961948372939e-102,4.970897714183366e-19,3.612800186860502e-85,1.5669131573599085e-17,5.35580189570515e-18,3.4059282067102696e-18,4.254857023483665e-18,3.524257058930422e-18,1.7138566066282417e-18,4.282117882420698e-22,6.470590260179045e-31,3.19781624452115e-22,5.300670576074612e-43,6.470590260177948e-31,9.008101600287254e-33,3.122665152095222e-22,1.6916433882924741e-18
1.67085781168382e-22,0.08478463093452131,0.0,0.021052023861041567,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,6.207068311706302e-57,1.0011808054548498e-18,1.8766108776287832e-54,0.0,1.1188582408893115e-91,4.0956380620721745e-39,9.662400928408731e-64,8.173412184748656e-47,3.3255229408182557e-68,5.907125564132011e-37,1.7679933335806974e-27,3.107293855327667e-111,1.513606509802122e-23,6.919647749268247e-71,4.7468135421622574e-60,1.4904060288242465e-100,1.0011808072228464e-18,5.889775678006752e-84,3.1558955140420636e-17,1.0787037620918716e-17,6.8598272332398285e-18,8.569641610674613e-18,7.098151541201235e-18,3.4518520387044735e-18,8.6245472972536e-22,2.615516039002483e-30,6.44067215446244e-22,4.292620461671243e-42,2.6155160390015937e-30,3.641218698672438e-32,6.289311503515728e-22,3.4071127398003275e-18
3.353399943729065e-22,0.08478463093452131,0.0,0.021052023861041495,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,5.006225459883005e-56,2.00936287528351e-18,1.513554657705405e-53,0.0,3.6159565049194497e-90,1.6468433130673547e-38,7.777142659122083e-63,3.2864930915146885e-46,2.6821547271119053e-67,2.3752292088553955e-36,3.548350256906714e-27,1.0063491052712773e-109,3.037797680511963e-23,5.5809465912397055e-70,3.820648508885833e-59,4.816734755077232e-99,2.0093628788318642e-18,9.512003088415952e-83,6.333860227173187e-17,2.1649509071319992e-17,1.376762528631849e-17,1.719921078504517e-17,1.4245940505667866e-17,6.927842902864553e-18,1.7309406166015964e-21,1.051687495826077e-29,1.2926383974358168e-21,3.4550743970942816e-41,1.0516874958253612e-29,1.4641180278408292e-31,1.2622604206356741e-21,6.838051442816012e-18
6.718484207819557e-22,0.08478463093452131,0.0,0.02105202386104135,0.031075110263184432,0.3194096818763551,0.35048479213953954,0.20701222018021492,0.09201819554070585,0.0,4.021272539597615e-55,4.025727014940829e-18,1.2157694117022652e-52,0.0,1.1628374258390273e-88,6.604620456525264e-38,6.240670056580299e-62,1.318030721693558e-45,2.1544525386475748e-66,9.525731474738683e-36,7.109064103558748e-27,3.2396735277265703e-108,6.086180021931679e-23,4.482919806979223e-69,3.0658298231089357e-58,1.5489897170828502e-97,4.025727022049892e-18,1.5290266863179434e-81,1.2689789652502675e-16,4.337445197201913e-17,2.7583221392553978e-17,3.445834913374092e-17,2.854151843430113e-17,1.3879824631215176e-17,3.4679124059926924e-21,4.217737236996703e-29,2.5897807614202186e-21,2.7724796106850543e-40,4.217737236990959e-29,5.871768164643739e-31,2.5289189612038764e-21,1.3699928848847284e-17
1.3448652736000538e-21,0.08478463093452131,0.0,0.02105202386104106,0.031075110263184432,0.31940968187635504,0.3504847921395395,0.20701222018021487,0.09201819554070573,0.0,3.2235476741842543e-54,8.058455294255471e-18,9.745896655463723e-52,0.0,3.7302769841493326e-87,2.6453269403103387e-37,5.000134860825676e-61,5.2789976985142315e-45,1.7270603774577025e-65,3.815261185050047e-35,1.4230491796862816e-26,1.0398031744853459e-106,1.2182944704771249e-22,3.5936150994601362e-68,2.456394665018105e-57,4.969018507587238e-96,8.058455308485922e-18,2.452142585755711e-80,2.540164849943062e-16,8.682433777300374e-17,5.5214413605337616e-17,6.897662583095097e-17,5.713267429036769e-17,2.77837880880383e-17,6.941856047329385e-21,1.6892948548640361e-28,5.184065489410054e-21,2.221357501777242e-39,1.6892948548594347e-28,2.351769988068349e-30,5.062236042340281e-21,2.7423683660909442e-17
2.6908989792362503e-21,0.08478463093452131,0.0,0.02105202386104048,0.031075110263184432,0.31940968187635493,0.3504847921395394,0.20701222018021478,0.09201819554070548,0.0,2.5814525515490903e-53,1.612391185288475e-17,7.804621594358107e-51,0.0,1.1951623698887647e-85,1.0588472306060293e-36,4.003155522949469e-60,2.1129748259101542e-44,1.3830490095654426e-64,1.5270987597800167e-34,2.8473347183470936e-26,3.3323509041438766e-105,2.437647407045094e-22,2.8778066296581942e-67,1.9666093527562884e-56,1.592049051790475e-94,1.612391188135787e-17,3.9279940291602765e-79,5.082536617836244e-16,1.7372410937331829e-16,1.1047679803215555e-16,1.3801317922464525e-16,1.1431498599770088e-16,5.5591715002172e-17,1.3889743580220764e-20,6.761581848934952e-28,1.0372634945473843e-20,1.7784366818861186e-38,6.761581848898112e-28,9.413209035458643e-30,1.0128870204613087e-20,5.487119328503224e-17
5.382966390508643e-21,0.08478463093452131,0.0,0.021052023861039326,0.031075110263184432,0.3194096818763547,0.35048479213953926,0.20701222018021462,0.09201819554070496,0.0,2.0662083172031186e-52,3.22548249701433e-17,6.246860528662339e-50,0.0,3.8268793739038313e-84,4.236984704385296e-36,3.2037528046804155e-59,8.454651580805987e-44,1.1069997645119642e-63,6.110384177368894e-34,5.695905795668717e-26,1.067149890231074e-103,4.876353280181253e-22,2.303411693518768e-66,1.5738852191522392e-55,5.097700389504045e-93,3.225482502710131e-17,6.288445554608279e-78,1.0167280147652971e-15,3.4752365256732865e-16,2.2100156689079406e-16,2.7608628600913054e-16,2.286796093931677e-16,1.1120756883238928e-16,2.7785519646875497e-20,2.70551347642153e-27,2.074977385793789e-20,1.4232898487309931e-37,2.705513476392047e-27,3.7665098964638813e-29,2.0262138529158686e-20,1.097662125332718e-16
1.0767101213053428e-20,0.08478463093452131,0.0,0.021052023861037016,0.031075110263184432,0.31940968187635427,0.3504847921395389,0.20701222018021428,0.09201819554070395,0.0,1.6533852663690004e-51,6.451665120466038e-17,4.99875403324988e-49,0.0,1.2249791557610863e-82,1.6952430614905527e-35,2.5635078023936517e-58,3.382411166171103e-43,8.858240891197157e-63,2.4445515552700036e-33,1.1393047950311955e-25,3.416156355669755e-102,9.753765026454457e-22,1.8431960246879635e-65,1.2593473742760765e-54,1.631767325085671e-91,6.451665131858642e-17,1.0064437931822211e-76,2.0336767183407882e-15,6.951227389288745e-16,4.4205110462808167e-16,5.52232499566488e-16,4.574088561073027e-16,2.224392765006235e-16,5.557707578367288e-20,1.0823815630468841e-26,4.1504051684211874e-20,1.1388481264892232e-36,1.082381563023293e-26,1.5068493430195915e-28,4.0528675178249835e-20,2.1955625102972664e-16
2.1535370858143e-20,0.08478463093452131,0.0,0.02105202386103239,0.031075110263184432,0.3194096818763533,0.3504847921395383,0.20701222018021362,0.09201819554070191,0.0,1.3228756785824262e-50,1.290403036736944e-16,3.999509532539737e-48,0.0,3.920538144617985e-81,6.782910517135337e-35,2.0510310463599393e-57,1.3530745810797368e-42,7.087489932533203e-62,9.779002046395963e-33,2.278733225959839e-25,1.0933743505705072e-100,1.950858851900441e-21,1.4747435104912408e-64,1.007573674150737e-53,5.222461142211865e-90,1.290403039015495e-16,1.6105441109773522e-75,4.067574115940352e-15,1.390320911546067e-15,8.84150180182699e-16,1.104524926634751e-15,9.148673492283788e-16,4.4490269186828985e-16,1.1116020407121914e-19,4.329878622361502e-26,8.301260734214342e-20,9.111650094501087e-36,4.3298786221727524e-26,6.027888920233304e-28,8.106174847643196e-20,4.3913632802253914e-16
4.3071910148322145e-20,0.08478463093452131,0.0,0.021052023861023145,0.031075110263184432,0.3194096818763515,0.3504847921395371,0.20701222018021226,0.09201819554069784,0.0,1.0583675331497963e-49,2.58087608611762e-16,3.199810160771157e-47,0.0,1.2546691987547256e-79,2.714383762944248e-34,1.6409508593208884e-56,5.4125185613830175e-42,5.6703508557639345e-61,3.911759989287382e-32,4.557590087817111e-25,3.4991248635568598e-99,3.901823550411848e-21,1.1798694892477198e-63,8.06097387143162e-53,1.671316766933723e-88,2.580876090674469e-16,2.57705782640485e-74,8.135368872933807e-15,2.7807172563568542e-15,1.7683483316121023e-15,2.209109780585469e-15,1.829784334241755e-15,8.89829522728416e-16,2.2232652470211717e-19,1.7320219255880746e-25,1.660297186795408e-19,7.289666127371801e-35,1.732021925437064e-25,2.4112544767001412e-27,1.621278950727955e-19,8.782964820077753e-16
