Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2NO3(231),CH3OX(210),CH2OX(659),CHOX(675),CH2X(34)
0.0,0.06210963536780779,0.0,0.015421822461826672,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.770644979004402e-24,0.06210963536780779,0.0,0.01542182246182667,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,4.720431571353803e-71,6.60844310852213e-24,2.381922019499341e-69,0.0,6.22216396560311e-115,1.7886192910223624e-49,1.084972865413046e-79,8.659896887256657e-59,5.536878309236101e-87,8.815370847291183e-45,3.266134501743686e-36,-1.6508715497798284e-132,1.1919439979735415e-31,3.2988402464540543e-91,1.4359532490891532e-76,4.816079268432849e-127,6.608443108525396e-24,1.870828606385715e-103,2.8624343682417486e-19,9.783970058198593e-20,6.221215158514187e-20,7.77276578378456e-20,6.43810697511287e-20,3.130870418623549e-20,5.339183637724623e-25,4.4909743729575265e-35,3.1020599133350945e-30,3.701902884200451e-49,4.490974372957502e-35,3.4123615518178304e-37,2.9828655134608682e-30,3.090291348054253e-20,1.881024700517526e-55,3.068150223987283e-66,3.8111756034692694e-38
4.957805941212325e-24,0.06210963536780779,0.0,0.01542182246182667,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,7.133516190650939e-70,1.8503640703861964e-23,3.599560555872972e-68,0.0,3.7852482959239677e-113,1.1138481531029143e-48,1.2880814055873462e-78,5.230577719903021e-58,8.367331930419755e-86,5.324483991763874e-44,9.14517660488232e-36,-1.6508714808797482e-132,3.3374431943259263e-31,4.985207772547039e-90,1.7047640048370114e-75,2.929857834726619e-125,1.850364070387111e-23,5.882184490254444e-102,8.014816231073059e-19,2.7395116162956025e-19,1.7419402443839758e-19,2.176374419459675e-19,1.8026699530315532e-19,8.766437172145923e-20,1.49497141870742e-24,2.7125485212663376e-34,8.685767757587379e-30,4.3948991041227447e-48,2.712548521266309e-34,2.0610663774642334e-36,8.352023437690432e-30,8.65281577455191e-20,1.1361389190950858e-54,3.6425079458663225e-65,2.3019500644954387e-37
1.1332127865628172e-23,0.06210963536780779,0.0,0.015421822461826669,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,7.673911196942575e-69,4.229403589454163e-23,3.872242988666085e-67,0.0,1.708842652668486e-111,5.694558667374557e-48,1.2646492129965648e-77,2.5182980148142357e-57,9.001193966393049e-85,2.563509842392276e-43,2.0903260811159591e-35,-1.6508680925569328e-132,7.6284415870307395e-31,5.362859060776409e-89,1.6737480262312949e-74,1.3226783668537983e-123,4.2294035894562534e-23,1.3122830020486217e-100,1.831957995672032e-18,6.261740837247077e-19,3.9815777014491016e-19,4.974570101622108e-19,4.1203884640718817e-19,2.0037570679190614e-19,3.417077529155437e-24,1.305975347656037e-33,1.9853183447088396e-29,4.3149380018239557e-47,1.3059753476560091e-33,9.923147395180202e-36,1.9090339286149557e-29,1.9777864627547219e-19,5.470019828842461e-54,3.576235900920297e-64,1.1082898654888635e-36
2.4080771714459864e-23,0.06210963536780779,0.0,0.015421822461826664,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,7.053646488464859e-68,8.987482627590096e-23,3.559258435303428e-66,0.0,6.452269385427304e-110,2.7767724448883134e-47,1.1185736456891006e-76,1.0998069046815952e-56,8.273648032571993e-84,1.1195520976059797e-42,4.441942922371413e-35,-1.6507357283288448e-132,1.6210438372440532e-30,4.929391418383181e-88,1.4804122640791872e-73,4.994185462151562e-122,8.987482627594537e-23,2.4577608296662743e-99,3.892910740795342e-18,1.3306199279149978e-18,8.460852615579399e-19,1.0570961465946947e-18,8.755825486151727e-19,4.2579837693279777e-19,7.261289752363875e-24,5.703537453655941e-33,4.2188014830076215e-29,3.816513797495109e-46,5.703537453655693e-33,4.3336991733857263e-35,4.0566970983067807e-29,4.2027962333537827e-19,2.3889013693861844e-53,3.1631401545876516e-63,4.8401930164059705e-36
4.9578059412123255e-23,0.06210963536780779,0.0,0.015421822461826655,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,6.034543075658932e-67,1.8503640703861961e-22,3.0450205266688916e-65,0.0,2.238595228917106e-108,1.401113749268354e-46,9.40238189919052e-76,4.59147732962348e-56,7.078280082854116e-83,4.673909623233781e-42,9.145176604882321e-35,-1.6460728889925735e-132,3.3374431943260806e-30,4.217198140159625e-87,1.2443775399777456e-72,1.7327174486454278e-120,1.8503640703871104e-22,4.24517063128967e-98,8.014816231017389e-18,2.7395116162955576e-18,1.7419402443840175e-18,2.1763744194596516e-18,1.8026699530308158e-18,8.76643717214572e-19,1.4949714208030378e-23,2.3811146125419757e-32,8.685767761199505e-29,3.208009809001624e-45,2.3811146125417663e-32,1.8092340970931872e-34,8.352023437690431e-29,8.652815774551898e-19,9.97319295970823e-53,2.6588098930982707e-62,2.0206853049594034e-35
1.0057263480745002e-22,0.06210963536780779,0.0,0.015421822461826636,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,4.98947691157594e-66,3.7535956856405694e-22,2.5176818563733568e-64,0.0,7.455478347646166e-107,7.699906707670848e-46,7.708798825018891e-75,1.875768305367341e-55,5.852458853093258e-82,1.9094445870066547e-41,1.8551643969904137e-34,-1.4896568163672418e-132,6.770241908490407e-30,3.4868609749200775e-86,1.020218890523346e-71,5.770689248841376e-119,3.753595685642422e-22,7.053414495779101e-97,1.6258627211363195e-17,5.557294993056596e-18,3.5336502100362464e-18,4.4149309651895225e-18,3.656844761860801e-18,1.7783343977780848e-18,3.0326563156361883e-23,9.727630130800029e-32,1.7619700323960543e-28,2.6301202612081607e-44,9.727630130798316e-32,7.391311635336856e-34,1.694267611645773e-28,1.7552854856948106e-18,4.074374740253769e-52,2.179852988360008e-61,8.255158804138544e-35
2.0256178559810358e-22,0.06210963536780779,0.0,0.015421822461826598,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,4.057359761358009e-65,7.560058916149316e-22,2.0473370730008804e-63,0.0,2.4336063964120527e-105,4.7097389957820044e-45,6.2430411739597636e-74,7.58215539984379e-55,4.7591223441657305e-81,7.718280314604059e-41,3.736457869994777e-34,3.633970850400583e-132,1.3635839336820146e-29,2.835457436485392e-85,8.262045691547962e-71,1.8836599894446166e-117,7.560058916153044e-22,1.1498845818014977e-95,3.274624917166166e-17,1.1192861746578351e-17,7.117070141341003e-18,8.892044056649096e-18,7.365194379515561e-18,3.581715758904966e-18,6.108026120101887e-23,3.932063630293483e-31,3.548756547499171e-28,2.1299395779985424e-43,3.9320636302920946e-31,2.987686348124312e-33,3.412398147399233e-28,3.535293302174043e-18,1.6469274128097902e-51,1.7653014656301032e-60,3.3368671772662815e-34
4.0654008717941066e-22,0.06210963536780779,0.0,0.015421822461826523,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,3.272407635486753e-64,1.517298537716681e-21,1.6512515192544902e-62,0.0,7.865086426259806e-104,3.178296860952912e-44,5.0253548030766186e-73,3.048751338746254e-54,3.8384045816173464e-80,3.1034865682722154e-40,7.4990448160035035e-34,1.6950758085599749e-130,2.736703419348398e-29,2.2868991440255364e-84,6.650091399251974e-70,6.087734085584493e-116,1.5172985377174271e-21,1.8570666711065525e-94,6.572149309068598e-17,2.2463995253620575e-17,1.4283910003951694e-17,1.7846270239567556e-17,1.4781893614804252e-17,7.188478481158153e-18,1.2258765788230878e-22,1.581065491896594e-30,7.12232958790904e-28,1.7143606729278457e-42,1.5810654918954773e-30,1.2013355468658071e-32,6.848659218906153e-28,7.095308935132473e-18,6.622222685731435e-51,1.4208681959566042e-59,1.3417396159037446e-33
8.144966903420249e-22,0.06210963536780779,0.0,0.015421822461826374,0.031075110263184432,0.3194096818763551,0.35048479213953954,0.20701222018021492,0.09201819554070585,0.0,2.6285757739844183e-63,3.0398838299201797e-21,1.3263750191755512e-61,0.0,2.5293525013831258e-102,2.3049455193498114e-43,4.0331921658048433e-72,1.2226856455736339e-53,3.0832153010573146e-79,1.2446369207065058e-39,1.5024218708020954e-33,5.5083406734811666e-129,5.482942390682906e-29,1.8369617592169814e-83,5.336405112897793e-69,1.9577693865773816e-114,3.039883829921668e-21,2.98518043608705e-93,1.3167198092244416e-16,4.500626226769987e-17,2.8617589729177814e-17,3.575472260540174e-17,2.96152920852983e-17,1.440200392566223e-17,2.456024536127924e-22,6.340779771327704e-30,1.4269475709543319e-27,1.3756664733593867e-41,6.340779771318742e-30,4.8178929063815115e-32,1.3721181361919995e-27,1.4215340201049193e-17,2.6558074780010277e-50,1.1401572420419494e-58,5.380975967484433e-33
