Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2NO3(231),CH3OX(210),CH2OX(659),CHOX(675),CH2X(34),CHX(35)
0.0,0.045450764422602166,0.0,0.011285424806132118,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0937876194623664e-24,0.045450764422602166,0.0,0.011285424806132116,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,4.519165839917647e-83,1.5352026368381908e-28,4.552520543450545e-82,0.0,2.4822150814507255e-134,3.1645747242150273e-52,3.457660091225443e-94,4.036630491019945e-70,0.0,3.049624086642015e-50,1.0586575125536623e-45,-1.0195655640675326e-152,5.538103837895194e-40,0.0,1.5854012209777765e-91,3.5537169177889674e-151,1.5352026368381908e-28,5.7270633008306044e-120,2.895528067500894e-19,9.89708628061831e-20,6.293088362356488e-20,7.862629703848194e-20,6.512540393881347e-20,3.1670676097978583e-20,1.363495572988699e-26,2.9223547700785757e-36,8.646043007977849e-39,6.349877082271006e-51,2.92235477007857e-36,1.03819412097881e-38,8.092230673901224e-39,3.126019389063056e-20,1.801435877048085e-62,3.474577991884107e-73,2.2425612441904494e-41,2.3515204611194618e-46
5.862605334494626e-24,0.045450764422602166,0.0,0.011285424806132116,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,6.8293634172835e-82,4.298567383146935e-28,6.879769045273104e-81,0.0,1.5917107651032497e-132,4.782303196680708e-51,4.120927094380406e-93,2.438124816576046e-69,1.7911006426339406e-104,1.8419729483317763e-49,2.964241035150254e-45,-1.0195655640675326e-152,1.5506690746113737e-39,1.500423601488725e-110,1.9112564808445118e-90,2.278807919006882e-149,4.298567383146935e-28,1.800680308577079e-118,8.107478589000825e-19,2.7711841585731266e-19,1.7620647414598163e-19,2.2015363170774938e-19,1.823511310286771e-19,8.867789307434003e-20,3.8177876053118436e-26,1.765102281127459e-35,2.420892674126892e-38,7.538574072072122e-50,1.7651022811274523e-35,6.270692492005113e-38,2.2658245886923425e-38,8.752854289376553e-20,1.0880672698031474e-61,4.125018992194312e-72,1.354493277682544e-40,2.7916992072238536e-45
1.3400240764559145e-23,0.045450764422602166,0.0,0.011285424806132115,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,7.3467175226372625e-81,9.825296875764422e-28,7.400941597094012e-80,0.0,7.41040259219618e-131,5.144582705140853e-50,4.07804765079633e-92,1.1738521467885999e-68,2.0506274704441662e-103,8.868306843954973e-49,6.775408080343438e-45,-1.019565564067532e-152,3.5443864562579616e-39,1.7178319192554601e-109,1.9348208602059464e-89,1.0609268767485706e-147,9.82529687576442e-28,4.017218711314843e-117,1.853137963199397e-18,6.334135219595719e-19,4.027576551908152e-19,5.032083010462842e-19,4.168025852084019e-19,2.0269232702706285e-19,8.726371673732077e-26,8.498207671388491e-35,5.533471948357482e-38,7.40141672709504e-49,8.498207671388424e-35,3.0190685057460318e-37,5.179027631296782e-38,2.0006524090003546e-19,5.238575532300312e-61,4.049968108643801e-71,6.5211623951198355e-40,2.740852009970926e-44
2.847551162468818e-23,0.045450764422602166,0.0,0.01128542480613211,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,6.752899131272088e-80,2.0878755860999395e-27,6.802740397693047e-79,0.0,2.9639261890494743e-129,4.7287575091368735e-49,3.663646817375401e-91,5.126520723595329e-68,1.8952769045014283e-102,3.873022590035355e-48,1.4397742170729806e-44,-1.0195655640675055e-152,7.531821219562651e-39,1.5876931374936843e-108,1.8143092981811948e-88,4.243372720051261e-146,2.0878755860999395e-27,7.523806051931824e-116,3.9379181717953385e-18,1.3460037341640895e-18,8.558600172804821e-19,1.0693176397233537e-18,8.857054935678414e-19,4.307211949325079e-19,1.854353982566832e-25,3.711390557999782e-34,1.1758640607108175e-37,6.546469276738018e-48,3.7113905579997235e-34,1.3185065356473963e-36,1.1005433716505663e-37,4.251386369125751e-19,2.287823567538208e-60,3.5821509317636226e-70,2.847840228927904e-39,2.4241550381904223e-43
5.862605334494625e-23,0.045450764422602166,0.0,0.0112854248061321,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,5.777247379760595e-79,4.298567383146934e-27,5.819887632539462e-78,0.0,1.1433245481919626e-127,4.045551475473422e-48,3.1747136906731707e-90,2.1402214863387747e-67,1.6224082045573016e-101,1.6169106907375932e-47,2.964241035150254e-44,-1.0195655640665721e-152,1.550669074621809e-38,1.3591081949403538e-107,1.6980631002518716e-87,1.6368676809211833e-144,4.2985673831469334e-27,1.2995503916273476e-114,8.10747858897647e-18,2.7711841585731237e-18,1.7620647414598153e-18,2.2015363170774916e-18,1.82351131028668e-18,8.867789307433963e-19,3.817787618992391e-25,1.5494324990956512e-33,2.420901836576759e-37,5.502701881462552e-47,1.549432499095602e-33,5.5045052474684185e-36,2.265824588692342e-37,8.752854289376538e-19,9.551213085457717e-60,3.0110137131942455e-69,1.1888146909982098e-38,2.037484330478464e-42
1.1892713678546242e-22,0.045450764422602166,0.0,0.011285424806132082,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,4.776739854596287e-78,8.719950977240923e-27,4.811995640203214e-77,0.0,4.5736176313203196e-126,3.344940140972461e-47,2.75890089801961e-89,8.743503108768839e-67,1.3415307260253989e-100,6.6056077566300465e-47,6.013174671304801e-44,-1.019565564035261e-152,3.1456429799713205e-38,1.1238142154260815e-106,1.6758558757777333e-86,6.547933692838444e-143,8.719950977240918e-27,2.159222412108786e-113,1.6446599423295726e-17,5.621545007391187e-18,3.574474189818478e-18,4.4659736717857625e-18,3.699122943724197e-18,1.7988944023651653e-18,7.744654915996749e-25,6.32993732618091e-33,4.910993564771856e-37,4.511447461667253e-46,6.329937326180507e-33,2.2487700090777638e-35,4.5963870227758944e-37,1.775579012987808e-18,3.90198227705529e-59,2.4686110074863238e-68,4.855858108443582e-38,1.670183796465066e-41
2.395293036664947e-22,0.045450764422602166,0.0,0.011285424806132044,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,3.884365519669788e-77,1.7562718165428905e-26,3.91303493905715e-76,0.0,1.9928711133288536e-124,2.7200497504108113e-46,2.4870160358479203e-88,3.534263753151529e-66,1.0909195585773221e-99,2.6700922698112227e-46,1.2111041943613895e-43,-1.0195655630096082e-152,6.335590790744037e-38,9.138746388968877e-106,1.8166039415738364e-85,2.8531466714877297e-141,1.7562718165428882e-26,3.520077491335494e-112,3.312484109176224e-17,1.1322266705027287e-17,7.199293086535789e-18,8.994848381202287e-18,7.450346210598589e-18,3.623125345608674e-18,1.5598389606618425e-24,2.5586618742326815e-32,9.891241727014907e-37,3.653487121632076e-45,2.558661874232355e-32,9.089887987978827e-35,9.257511890942999e-37,3.576166181088104e-18,1.577243759921922e-58,1.999145352944083e-67,1.9621384782020427e-37,1.352122716757943e-40
4.807336374285593e-22,0.045450764422602166,0.0,0.011285424806131967,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,3.13288151241841e-76,3.524825254180486e-26,3.156004437848079e-75,0.0,9.672194804560536e-123,2.1938186559338173e-45,2.408693583079366e-87,1.421111910885535e-65,8.798670420062811e-99,1.0736323581986513e-45,2.4306776488232086e-43,-1.019565529804834e-152,1.2715486412584247e-37,7.370737548599652e-105,2.2017708491295944e-84,1.3847468505639228e-139,3.524825254180477e-26,5.6849345511107396e-111,6.64813244280072e-17,2.2723710100299396e-17,1.4448930879970363e-17,1.8052597800035264e-17,1.4952792744344807e-17,7.271587232095572e-18,3.130585937431361e-24,1.0288266862251812e-31,1.985199687491243e-36,2.94064428168515e-44,1.0288266862249187e-31,3.6550040325716616e-34,1.8579761627277208e-36,7.177340517288648e-18,6.3420300032809126e-58,1.6090866092736716e-66,7.884233291730069e-37,1.0876057110409335e-39
9.631423049526886e-22,0.045450764422602166,0.0,0.011285424806131816,0.031075110263184432,0.3194096818763551,0.35048479213953954,0.20701222018021492,0.09201819554070585,0.0,2.516500804179851e-75,7.061932129455679e-26,2.535074395480413e-74,0.0,5.188883687716169e-121,1.7621944460868038e-44,2.5858900571421517e-86,5.699294370488108e-65,3.5399768333859905e-98,4.305745950185209e-45,4.869824557746846e-43,-1.0195649945016302e-152,2.5475277657443775e-37,2.96547534131012e-104,2.953761507510619e-83,7.428816969785665e-138,7.061932129455642e-26,9.138366256016386e-110,1.3319429109774498e-16,4.552659689084324e-17,2.8948206466839303e-17,3.6168096637700947e-17,2.9957685811826965e-17,1.4568511005068884e-17,6.272080045551134e-24,4.126055165744821e-31,3.977454246435318e-36,2.3596818407435476e-43,4.126055165742714e-31,1.4658201323276512e-33,3.722426109994562e-36,1.437968918968954e-17,2.5434412904020742e-57,1.2911923197514834e-65,3.1575758331116344e-36,8.716133169526376e-39
