Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2NO3(231),CH3OX(210),CH2OX(659),CHOX(675),CH2X(34),CHX(35),CX(33)
0.0,0.07782336798655136,0.0,0.0193235422710607,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6181401984067045e-24,0.07782336798655136,0.0,0.0193235422710607,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,9.562985221376507e-65,1.6856369558830429e-21,1.7564067665043916e-62,0.0,1.8492720393363865e-104,1.3886346621913612e-44,6.831435437529386e-72,1.1785778409770965e-52,4.0044545572965206e-77,8.518612204085293e-42,4.017560284384363e-31,-1.0428352500212917e-121,4.632116325399297e-27,3.232680357448539e-80,2.294044420387936e-68,4.3043622447528296e-114,1.6856369562847985e-21,1.718974651936419e-94,2.928166134603628e-19,1.0008645125371446e-19,6.364436497260979e-20,7.95125638261132e-20,6.58594901760614e-20,3.202766440118913e-20,4.145286908506251e-24,2.087523654291966e-34,1.7218090684173831e-25,4.097866135834962e-48,2.0875236542919524e-34,2.4910049289235292e-36,1.6754879051650747e-25,3.161255528451173e-20,1.4983436176697239e-51,2.233460100011567e-62,2.3402106920487397e-36,1.897167811452039e-43,3.3649561823392205e-51
4.530792555538772e-24,0.07782336798655136,0.0,0.0193235422710607,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.4451583258003213e-63,4.71978347647252e-21,2.654281904748564e-61,0.0,1.1250024214824135e-102,8.387367024730292e-44,8.110280277724425e-71,7.118610159501665e-52,6.051531726980362e-76,5.145241771267518e-41,1.1249168796276218e-30,-1.037484118566501e-121,1.2969925711118034e-26,4.8852265561780893e-79,2.723489536588882e-67,2.6185535962438155e-112,4.7197834775974366e-21,5.404729051777456e-93,8.198865176884335e-19,2.8024206351039715e-19,1.782042219233101e-19,2.2263517871311544e-19,1.8440657249295684e-19,8.967746032333017e-20,1.1606803344493393e-23,1.2608642871923467e-33,4.821065391569323e-25,4.864986676463244e-47,1.2608642871923303e-33,1.504566977142921e-35,4.691366134462209e-25,8.851515479663284e-20,9.04999545058418e-51,2.6515638306959136e-61,1.4134871473546265e-35,2.2523174640554626e-42,4.019601307338217e-50
1.0356097269802909e-23,0.07782336798655136,0.0,0.019323542271060697,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.5546353804908818e-62,1.0788076517651473e-20,2.855355351263102e-60,0.0,5.0787986952529384e-101,4.038169760540178e-43,7.962721523431064e-70,3.4273043615613974e-51,6.50996168469985e-75,2.4772124289480032e-40,2.5712385820059926e-30,-7.743296942021128e-122,2.964554448255552e-26,5.255303803499933e-78,2.67393817850922e-66,1.1821402633570922e-110,1.0788076520222713e-20,1.2057652100536155e-91,1.874026326142245e-18,6.405532880237492e-19,4.0732393582472113e-19,5.088804084871137e-19,4.215007371266871e-19,2.0497705216761457e-19,2.652983621917123e-23,6.070518786681023e-33,1.1019578037875804e-24,4.776472767929161e-46,6.070518786680862e-33,7.243842334406254e-35,1.0723122593056477e-24,2.02320353820875e-19,4.357183239972114e-50,2.603321092456236e-60,6.805331032835802e-35,2.2113382997573374e-41,3.998841430333139e-49
2.2006706698331183e-23,0.07782336798655136,0.0,0.019323542271060694,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.4289777547560745e-61,2.292466260000938e-20,2.6245635022131963e-59,0.0,1.9176577535204484e-99,1.763586699747668e-42,7.04293745993917e-69,1.496793858040913e-50,5.983776355871622e-74,1.0818637499188314e-39,5.463881986762734e-30,9.50575107979219e-121,6.299678202543053e-26,4.830529604531036e-77,2.3650680400002976e-65,4.463536709761927e-109,2.2924662605473265e-20,2.2582647120782296e-90,3.98230594304055e-18,1.3611757370503997e-18,8.6556336362758485e-19,1.0813708680350859e-18,8.95689066393905e-19,4.355762358561927e-19,5.637590197934112e-23,2.65115504095078e-32,2.3416603330499157e-24,4.2247360714002614e-45,2.651155040950638e-32,3.1635762608660635e-34,2.278663551024502e-24,4.299307518693591e-19,1.902896394222054e-49,2.3026080244617003e-59,2.972065863939102e-34,1.955903074225476e-40,3.630097035995767e-48
4.530792555538773e-23,0.07782336798655136,0.0,0.019323542271060683,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.2225205543448519e-60,4.7197834764725194e-20,2.245369332699824e-58,0.0,6.653245602506889e-98,7.362726418296004e-42,5.9200140556279e-68,6.248819712860567e-50,5.119246652588551e-73,4.516568190606014e-39,1.1249168796276218e-29,3.716456260521786e-119,1.296992571111807e-25,4.132619776800355e-76,1.98798219785236e-64,1.548608239990975e-107,4.719783477597436e-20,3.900590631722137e-89,8.19886517679988e-18,2.802420635103487e-18,1.7820422192334795e-18,2.2263517871309306e-18,1.844065724927371e-18,8.96774603233386e-19,1.1606803354293775e-22,1.1068050415055843e-31,4.821065391578745e-24,3.5511452274561296e-44,1.106805041505465e-31,1.3207308143351172e-33,4.6913661344622086e-24,8.851515479663261e-19,7.944217858918412e-49,1.9354807868616994e-58,1.2407781654586846e-33,1.644053360877962e-39,3.208047724977145e-47
9.191036326950082e-23,0.07782336798655136,0.0,0.019323542271060663,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,1.0108036355618092e-59,9.574417909415682e-20,1.8565147854616836e-57,0.0,2.2158085790408805e-96,3.007994952257171e-41,4.8535864274693515e-67,2.5528467466700308e-49,4.232692128883998e-72,1.8451654778536831e-38,2.2819742415303186e-29,1.251971526749513e-117,2.631042072826817e-25,3.4169299484892585e-75,1.6298679214983645e-63,5.157512030595384e-106,9.574417911697651e-20,6.480889617018909e-88,1.6631983644169427e-17,5.684910431208805e-18,3.614999930445937e-18,4.516313625322224e-18,3.740819041990424e-18,1.8191713379879227e-18,2.3545229684315853e-22,4.521659736142435e-31,9.77987550865304e-24,2.9114434086259948e-43,4.521659736141457e-31,5.395616324880355e-33,9.516771301337626e-24,1.795593140160257e-18,3.245472207952416e-48,1.5868240854997903e-57,5.0689768994131395e-33,1.347892593844943e-38,2.887178382483684e-46
1.85115238697727e-22,0.07782336798655136,0.0,0.019323542271060624,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,8.21968729436905e-59,1.9283686775302007e-19,1.5096869913201538e-56,0.0,7.232768312189016e-95,1.215945110571367e-40,3.930562122828243e-66,1.0319014715118152e-48,3.441954944436527e-71,7.458453878062405e-38,4.5960889653357116e-29,4.104467611777098e-116,5.2991410762568605e-25,2.7785906871749643e-74,1.3199093111414239e-62,1.6834978408076023e-104,1.9283686779898075e-19,1.0565485722271346e-86,3.3498220578312064e-17,1.1449890023416017e-17,7.28091535287353e-18,9.096237301703229e-18,7.534325676101006e-18,3.663964807497592e-18,4.742208241357099e-22,1.8277271604679105e-30,1.969749574286816e-23,2.3577623565727406e-42,1.8277271604671188e-30,2.1809943906119838e-32,1.9167581635088454e-23,3.616476324548103e-18,1.3118717563940226e-47,1.2850512849936315e-56,2.0489560415512764e-32,1.0915556464052214e-37,2.754414728030348e-45
3.7152498955417935e-22,0.07782336798655136,0.0,0.019323542271060548,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,6.629475581530344e-58,3.8702224507074655e-19,1.217617250666875e-55,0.0,2.3375057768953075e-93,4.889788206409934e-40,3.163661560939165e-65,4.149230432273507e-48,2.7760613560690395e-70,2.9990115008969894e-37,9.224318412946499e-29,1.3293036972035739e-114,1.0635339083117046e-24,2.2410340505670095e-73,1.0623778610422858e-61,5.440774207626851e-103,3.870222451629889e-19,1.7063287626492542e-85,6.723069444421153e-17,2.297984920781675e-17,1.461274619773942e-17,1.8256084654458905e-17,1.51213389442601e-17,7.353551746519317e-18,9.517578814892522e-22,7.349210525880126e-30,3.953273621156456e-23,1.897732265258297e-41,7.349210525873752e-30,8.769682550084409e-32,3.846920230259012e-23,7.258242693323737e-18,5.274978628644035e-47,1.0343210700730727e-55,8.238718160231234e-32,8.785745647140518e-37,2.8871448545596935e-44
7.443444912670841e-22,0.07782336798655136,0.0,0.019323542271060395,0.031075110263184432,0.3194096818763551,0.35048479213953954,0.20701222018021492,0.09201819554070585,0.0,5.325155313433281e-57,7.753929997061996e-19,9.78056392602342e-55,0.0,7.517068520191706e-92,1.961445986789699e-39,2.5386443191590555e-64,1.6640269822085157e-47,2.2298834498875015e-69,1.2027377459274353e-36,1.8480777308168069e-28,4.279340334553595e-113,2.1307735096837815e-24,1.8001204220752262e-72,8.524913560263382e-61,1.7496715056578176e-101,7.753929998910037e-19,2.7428736477506857e-84,1.3469564216646721e-16,4.603976757656344e-17,2.9276407887514e-17,3.657577935994491e-17,3.0295365480329963e-17,1.473272562457231e-17,1.9068320072700946e-21,2.947362122352165e-29,7.920321715002193e-23,1.5228106278653021e-40,2.94736212234705e-29,3.5170349595246758e-31,7.707244363759343e-23,1.454177543087476e-17,2.115502354781011e-46,8.29977517823481e-55,3.3040592033235045e-31,7.049937238880565e-36,3.3922476960484074e-43
