Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2NO3(231),CH3OX(210),CH2OX(659),CHOX(675),CH2X(34),CHX(35),CX(33),SX(708)
0.0,0.10054149576763871,0.0,0.024964453399104688,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1902481860636555e-24,0.10054149576763871,0.0,0.024964453399104688,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,9.955897799994705e-60,1.348179188768848e-19,8.135567296958203e-57,0.0,8.070613843155386e-96,2.119165794850203e-40,2.0253333108805815e-65,1.684620172103059e-47,3.691495355029004e-69,2.34573348243842e-39,7.866776683143004e-27,-8.096672252652878e-112,4.547418256993855e-23,4.962000346424697e-71,2.1985609146228984e-61,1.8864099997187296e-103,1.34817926744045e-19,4.9074379599790095e-87,2.4481315728943804e-19,8.367858586901291e-20,5.3228417745498484e-20,6.647751834983815e-20,5.506268765606201e-20,2.6777147478088537e-20,2.1180192495678345e-23,5.377577708999069e-34,2.5401112709169512e-21,2.0892824451824318e-47,5.377577708999076e-34,9.915513182935913e-36,2.4946370887305452e-21,2.643009007491318e-20,3.11613175806724e-48,3.41667736018477e-59,5.97374452792651e-35,8.896034603175375e-43,6.564908470399922e-49,1.3818281517737325e-71
3.332694920978236e-24,0.10054149576763871,0.0,0.024964453399104688,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.5045353197049424e-58,3.7749017285527747e-19,1.2294469480501966e-55,0.0,4.90974832915697e-94,1.2799761440783682e-39,2.4044757072944696e-64,1.0175105839502478e-46,5.578587780519831e-68,1.416823023392803e-38,2.2026974712800412e-26,7.139606066607021e-111,1.273277111958279e-22,7.498574923517007e-70,2.6101315178414753e-60,1.1475952700257563e-101,3.7749019488332606e-19,1.541694309909216e-85,6.854768404099174e-19,2.343000404332178e-19,1.4903956968740936e-19,1.8613705137953962e-19,1.5417552543695017e-19,7.497601293865625e-20,5.930453898980448e-23,3.248056936235676e-33,7.112311558567469e-21,2.4803961189207516e-46,3.2480569362356845e-33,5.988969962653829e-35,6.984983848445527e-21,7.40042522097567e-20,1.8821435818448914e-47,4.056279361956647e-58,3.6081416429858943e-34,1.0561372140965957e-41,7.794712057022177e-48,8.407239801338611e-70
7.617588390807395e-24,0.10054149576763871,0.0,0.024964453399104684,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.618510444119387e-57,8.628346808120627e-19,1.3225829250933352e-54,0.0,2.2164950872633455e-92,6.162534191211171e-39,2.3607285090065894e-63,4.898875460475697e-46,6.001190168763553e-67,6.821392966930878e-38,5.034737077211523e-26,3.980637414407576e-109,2.9103476844760664e-22,8.06662472317571e-69,2.562642602087945e-59,5.180793611663741e-100,8.628347311618881e-19,3.4388130093984824e-84,1.5668042066488389e-18,5.355429495615538e-19,3.4066187357128553e-19,4.2545611743891364e-19,3.5240120099863267e-19,1.7137374385982509e-19,1.3555323198567723e-22,1.5637995977772873e-32,1.625671213386852e-20,2.4352676181051647e-45,1.5637995977772958e-32,2.8834312338385713e-34,1.596567736787549e-20,1.6915257647944296e-19,9.061711152043702e-47,3.9824791308617556e-57,1.737164830898453e-33,1.0369217499697281e-40,7.654700748011046e-47,3.796312548766106e-68
1.6187375330465715e-23,0.10054149576763871,0.0,0.02496445339910468,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.4876899431964069e-56,1.8335236967256333e-18,1.2156815692384684e-53,0.0,8.369063710534855e-91,2.691340621218007e-38,2.088037634002656e-62,2.139467618570886e-45,5.516127679112743e-66,2.979081522696745e-37,1.0698816289074487e-25,1.5669445546465513e-107,6.184488829511642e-22,7.414617877655503e-68,2.266628360546856e-58,1.9561690912908165e-98,1.833523803719012e-18,6.440053339654998e-83,3.329458939118535e-18,1.1380287678179308e-18,7.239064813392555e-19,9.040942495575463e-19,7.488525521216224e-19,3.641692057022963e-19,2.8805061800790465e-22,6.829523690432518e-32,3.4545513284470695e-20,2.1539666296863754e-44,6.82952369043259e-32,1.2592701744816953e-33,3.3927064406735415e-20,3.5944922501881235e-19,3.957487332315701e-46,3.5224576908999018e-56,7.586654746300095e-33,9.171454923585457e-40,6.77370924965149e-46,1.434084987908574e-66
3.3326949209782356e-23,0.10054149576763871,0.0,0.024964453399104674,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.2727500676836367e-55,3.774901728552775e-18,1.0400411769883385e-52,0.0,2.903616983354925e-89,1.123581760002815e-37,1.755121448757658e-61,8.931856152490427e-45,4.71916336392482e-65,1.2437078923888064e-36,2.2026974712800416e-25,5.536395665125885e-106,1.273277111958279e-21,6.343361698865182e-67,1.9052377116506077e-57,6.786859309764478e-97,3.77490194883326e-18,1.1123207615014686e-81,6.854768404025339e-18,2.3430004043295062e-18,1.4903956968760666e-18,1.8613705137943493e-18,1.5417552543661006e-18,7.497601293877732e-19,5.930453901742872e-22,2.851191701314637e-31,7.112311558567535e-20,1.8105387384779605e-43,2.8511917013146985e-31,5.2572050918321335e-33,6.984983848445527e-20,7.400425220975385e-19,1.6521730577405256e-45,2.960837932852129e-55,3.1672786249568025e-32,7.709159597917784e-39,5.699116127248834e-45,4.980155840554949e-65
6.760609696841563e-23,0.10054149576763871,0.0,0.024964453399104657,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,1.0523343685361849e-54,7.657657792207057e-18,8.599261575592587e-52,0.0,9.670256863630689e-88,4.590198348759359e-37,1.438954609684872e-60,3.6489546775821156e-44,3.901895528964611e-64,5.0809525523005425e-36,4.4683291560252275e-25,1.8599977311038175e-104,2.5829335699725087e-21,5.244814121209498e-66,1.5620289856366721e-56,2.2603075129734832e-95,7.657658239061753e-18,1.8481059450653768e-80,1.3905387333708595e-17,4.752943677347939e-18,3.023374127953171e-18,3.775923042266108e-18,3.127560658849051e-18,1.5209419767608646e-18,1.2030349349947627e-21,1.1648048420828545e-30,1.4427832018808582e-19,1.4843890459491075e-42,1.1648048420829046e-30,2.147739819372772e-32,1.4169538663989498e-19,1.5012291162549401e-18,6.749666029969691e-45,2.4274738230765726e-54,1.2939363469522754e-31,6.3204333516241e-38,4.681344036297678e-44,1.6616965811946752e-63
1.361643924856822e-22,0.10054149576763871,0.0,0.024964453399104625,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,8.557408317669366e-54,1.5423169919515624e-17,6.992776700350699e-51,0.0,3.156532901621006e-86,1.8554317603433196e-36,1.1653027600934446e-59,1.474965822444493e-43,3.172956643112984e-63,2.0538022590816874e-35,8.999592525515597e-25,6.097330610133884e-103,5.202246486000967e-21,4.264995739698954e-65,1.2649715709233498e-55,7.378020184050372e-94,1.5423170819518735e-17,3.0128533280320816e-79,2.8006625192553676e-17,9.572830223365936e-18,6.089330990121312e-18,7.605028099202232e-18,6.299171467790933e-18,3.063305671515597e-18,2.4230140265865555e-21,4.7083274079819116e-30,2.9058872939291135e-19,1.2020967347973447e-41,4.708327407982318e-30,8.681507751890298e-32,2.853864829507744e-19,3.0236023045695416e-18,2.728322925818902e-44,1.9658312375151208e-53,5.230295033373073e-31,5.118448440520353e-37,3.805431202961027e-43,5.444271364186494e-62
2.7328098352021528e-22,0.10054149576763871,0.0,0.024964453399104563,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,6.901859821606546e-53,3.0954194174132754e-17,5.639927739565979e-50,0.0,1.020136889740113e-84,7.460611086286812e-36,9.379370560721722e-59,5.930772700695735e-43,2.559104480918905e-62,8.258248554261271e-35,1.806211926449634e-24,1.9747224105380544e-101,1.044087231805788e-20,3.439873574148609e-64,1.0181591703483384e-54,2.384448633224002e-92,3.095419598043267e-17,4.865745317721051e-78,5.620910090815817e-17,1.921260331532645e-17,1.2221244714513322e-17,1.5263238213044907e-17,1.2642393085578616e-17,6.148033061059264e-18,4.86297221757351e-21,1.8931977427827724e-29,5.832095478025811e-19,9.675520322218279e-41,1.8931977427830997e-29,3.4907960907563232e-31,5.727686755725332e-19,6.068348681197937e-18,1.0970466477699962e-43,1.5822720019216222e-52,2.103076567580973e-30,4.1197688073580146e-36,3.0860544102801715e-42,1.7725620021070345e-60
5.475141655892815e-22,0.10054149576763871,0.0,0.024964453399104435,0.031075110263184432,0.31940968187635516,0.3504847921395395,0.20701222018021492,0.09201819554070587,0.0,5.543949147952931e-52,6.2016242683367e-17,4.530296672847334e-49,0.0,3.2806073558200497e-83,2.9920399991336553e-35,7.526354434819636e-58,2.3785051132713014e-42,2.055611889145903e-61,3.3119270294519096e-34,3.618717274245782e-24,6.357094046099621e-100,2.091812398217169e-20,2.763093523106047e-63,8.170086128274573e-54,7.668029461930633e-91,6.201624630226045e-17,7.821526715453416e-77,1.1261405233102442e-16,3.849214949894558e-17,2.448507216352024e-17,3.0579658440611954e-17,2.5328836320769655e-17,1.2317487840283398e-17,9.74288863076089e-21,7.592569702021081e-29,1.1684511846219947e-18,7.763995715667512e-40,7.592569702023706e-29,1.3999653671813442e-30,1.1475330608160508e-18,1.2157841434451491e-17,4.399647714827333e-43,1.2696736311520617e-51,8.434261123595364e-30,3.3058489274141476e-35,2.5134566117496545e-41,5.784340310982151e-59
