Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2NO3(231),CH3OX(210),CH2OX(659),CHOX(675),CH2X(34),CHX(35),CX(33),SX(708),HNOH(93)
0.0,0.0521079599565058,0.0,0.01293840645720039,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0210346650879613e-24,0.0521079599565058,0.0,0.012938406457200388,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,3.2327789036053605e-77,2.792246812782194e-26,6.315249886256757e-76,0.0,6.094513632343321e-125,1.19935715665804e-51,3.5001289149864004e-87,1.6134834126381072e-60,1.3167214747571808e-96,1.34795421753767e-47,3.920960969977043e-41,-6.080871090814137e-143,5.3845743603518784e-36,8.148249957383406e-102,2.4471843743592934e-84,1.6385613468742115e-139,2.7922468127821974e-26,5.37845489279871e-112,2.99261159064492e-19,1.0228923507744628e-19,6.50409465670618e-20,8.126254084283824e-20,6.73089792705608e-20,3.27325552247828e-20,8.129240950128203e-26,1.16669864157233e-35,1.0544184659841538e-34,4.87967042377e-50,1.166698641572326e-35,5.91608327032785e-38,1.0007252633453676e-34,3.230831004986948e-20,4.266826695364244e-59,7.943820010114412e-70,8.444016743834194e-40,2.0214848430825464e-45,3.2146111269286e-55,9.86442251243891e-77,1.5265749079507365e-38
5.658897062246292e-24,0.0521079599565058,0.0,0.012938406457200388,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,4.88537547912833e-76,7.818291075790142e-26,9.543605628112738e-75,0.0,3.7085598547756985e-123,1.805551546118178e-50,4.155718446464565e-86,9.745439812334169e-60,1.9969258893074882e-95,8.141643473927527e-47,1.097869071593572e-40,-6.0808710908110825e-143,1.5076808208985945e-35,1.2296446641295313e-100,2.9055227368753265e-83,9.970775677627487e-138,7.818291075790153e-26,1.69107225889584e-110,8.379312453803031e-19,2.8640985821684954e-19,1.821146503877731e-19,2.275351143599471e-19,1.8846514195756845e-19,9.165115462939178e-20,2.2761874664120185e-25,7.046859795096869e-35,2.952371716102134e-34,5.793144727099722e-49,7.046859795096819e-35,3.573314295770724e-37,2.8020307373670294e-34,9.046326813963454e-20,2.57716332396189e-58,9.430903115880107e-69,5.100174324027049e-39,2.3999017251875306e-44,7.10692935184266e-54,1.1090113773316714e-74,4.2780717217162745e-38
1.2934621856562953e-23,0.0521079599565058,0.0,0.012938406457200386,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,5.255464008013059e-75,1.7870379601806038e-25,1.0266575435092417e-73,0.0,1.6744880129084746e-121,1.9395932300055222e-49,4.080842345330794e-85,4.692009763951616e-59,2.1433051879821805e-94,3.919850864599544e-46,2.5094150207853075e-40,-6.080871090661215e-143,3.4461275906256813e-35,1.3193606449795718e-99,2.8531119115110806e-82,4.502002125647649e-136,1.787037960180606e-25,3.7726891828140977e-109,1.9152714180108263e-18,6.546511044956559e-19,4.162620580291958e-19,5.200802613941647e-19,4.307774673315763e-19,2.0948835343860945e-19,5.202714210714896e-25,3.392759649692326e-34,6.7482782617241075e-34,5.687743845946245e-48,3.392759649692279e-34,1.7203970157503916e-36,6.404641685410353e-34,2.0677318431916463e-19,1.2407932029577173e-57,9.259316603413291e-68,2.4555023853150585e-38,2.3562269835548567e-43,1.3947588720595366e-52,9.971989121248387e-73,9.7957132670642e-38
2.7486071445196274e-23,0.0521079599565058,0.0,0.012938406457200381,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,4.830676860079321e-74,3.797455665383783e-25,9.436751600039566e-73,0.0,6.324518466617549e-120,1.781750734479654e-48,3.6107533683721808e-84,2.0491239340503966e-58,1.969655647316542e-93,1.71190185627284e-45,5.332506919168779e-40,-6.080871084808003e-143,7.323021130080949e-35,1.2124313632659347e-98,2.5243438873648183e-81,1.7004000836831258e-134,3.797455665383786e-25,7.065829307724341e-108,4.069951763267477e-18,1.391133597053268e-18,8.845568733120418e-19,1.1051705554625995e-18,9.15402118079562e-19,4.451627510570436e-19,1.1055767705338581e-24,1.481707274796848e-33,1.4340091534512106e-33,5.030745020089775e-47,1.4817072747968063e-33,7.513425760953242e-36,1.3609863581497e-33,4.393930166782247e-19,5.418869902616788e-57,8.18976067692536e-67,1.0723718533832673e-37,2.0840369400800803e-42,2.47352846876913e-51,7.532162156522451e-71,2.0889588029027427e-37
5.658897062246292e-23,0.0521079599565058,0.0,0.01293840645720037,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,4.1327457570221664e-73,7.818291075790142e-25,8.073339671597816e-72,0.0,2.1956350937622098e-118,1.5239011403648114e-47,3.0372307884006758e-83,8.554689053807245e-58,1.6850439608804066e-92,7.146853261384716e-45,1.097869071593572e-39,-6.080870878620236e-143,1.5076808208995864e-34,1.0372339605416609e-97,2.1232051069926423e-80,5.9031499629175364e-133,7.818291075790141e-25,1.2204462981434069e-106,8.379312453763196e-18,2.8640985821684887e-18,1.8211465038777354e-18,2.275351143599467e-18,1.8846514195754126e-18,9.165115462939075e-19,2.2761874718657667e-24,6.185836197616392e-33,2.9523718806264314e-33,4.228644314512039e-46,6.185836197616042e-33,3.1367073568010095e-35,2.8020307373670296e-33,9.046326813963439e-19,2.2622715135529558e-56,6.88398731869243e-66,4.476853222851392e-37,1.751726417103657e-41,4.1649124028114475e-50,5.228434093073996e-69,4.331170423802343e-37
1.1479476897699622e-22,0.0521079599565058,0.0,0.012938406457200352,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,3.4170341113728724e-72,1.585996189660286e-24,6.675193363562876e-71,0.0,7.32147760246918e-117,1.2598218539851794e-46,2.4936712906094084e-82,3.4948696111106463e-57,1.393223285065324e-91,2.9197227533552856e-44,2.2271058309469605e-39,-6.080863962022396e-143,3.0584382366843208e-34,8.576025380734567e-97,1.742932008117368e-79,1.96844094512964e-131,1.5859961896602834e-24,2.027789777683491e-105,1.6998033834684297e-17,5.810028552398916e-18,3.6943257650091324e-18,4.6157123198731935e-18,3.823150022566634e-18,1.8592091367676177e-18,4.617408884158273e-24,2.527115925591243e-32,5.989097625447357e-33,3.466898092965183e-45,2.5271159255909565e-32,1.2814473065053889e-34,5.6841194958016884e-33,1.8351120108325797e-18,9.242117294429615e-56,5.643908717118733e-65,1.8288685695634793e-36,1.436118343192406e-40,6.8349328069010056e-49,3.4832652320022855e-67,8.909340339629363e-37
2.312063656860628e-22,0.0521079599565058,0.0,0.012938406457200312,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,2.7786753907020245e-71,3.1943303538228295e-24,5.428156384450278e-70,0.0,2.3957901939454677e-115,1.0243986739770922e-45,2.0252151692067435e-81,1.4126821749684693e-56,1.1329456794566007e-90,1.180198619256664e-43,4.485579349653737e-39,-6.0806373992484985e-143,6.1599530682607925e-34,6.973878901950652e-96,1.4150349634008305e-78,6.441283795026475e-130,3.1943303538228144e-24,3.3058091253381485e-104,3.4235476596245156e-17,1.1701888492859718e-17,7.440684287271958e-18,9.296434672420612e-18,7.700147228547153e-18,3.744604317714965e-18,9.299851747258037e-24,1.0215006622312981e-31,1.2062550276971144e-32,2.8075839610858276e-44,1.0215006622310663e-31,5.179814923037405e-34,1.1448297012671006e-32,3.69607066970504e-18,3.735811582101738e-55,4.570583610533556e-64,7.39199675074545e-36,1.162920344047112e-39,1.107432019998576e-47,2.2741147632764807e-65,1.8440666867394658e-36
4.640295591041959e-22,0.0521079599565058,0.0,0.012938406457200234,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,2.24110236703018e-70,6.4109986821479165e-24,4.378004772539739e-69,0.0,7.781160520273567e-114,8.261876449818843e-45,1.6393665585997232e-80,5.680332893528961e-56,9.13761698801997e-90,4.745526741010004e-43,9.002526387067291e-39,-6.073302599379794e-143,1.2362982731441758e-33,5.624685731812755e-95,1.1446795327703031e-77,2.0920305576078604e-128,6.410998682147847e-24,5.338890567685194e-103,6.871036211824153e-17,2.3485608373781112e-17,1.493340133179774e-17,1.865787937751531e-17,1.54541416405005e-17,7.515394679609373e-18,1.8664737627516573e-23,4.107409235600464e-31,2.4209460227546462e-32,2.2597878261656115e-43,4.107409235598598e-31,2.0827808184785884e-33,2.297665204640964e-32,7.417987987449913e-18,1.5021534129013205e-54,3.6788033356978646e-63,2.971821105615402e-35,9.358818187523362e-39,1.7828604794287196e-46,1.4697958445906394e-63,3.900326670737017e-36
9.296759459404623e-22,0.0521079599565058,0.0,0.012938406457200078,0.031075110263184432,0.3194096818763551,0.35048479213953954,0.20701222018021492,0.09201819554070585,0.0,1.800175297573655e-69,1.284433533879809e-23,3.516651519434694e-68,0.0,2.5269898106228353e-112,6.636280503294682e-44,1.3304092335473399e-79,2.278067549403267e-55,7.33978861853927e-89,1.9031684720160788e-42,1.8036420461894395e-38,-5.837224981494e-143,2.4769042057915763e-33,4.5180274401550803e-94,9.277392432901766e-77,6.794024933297847e-127,1.2844335338797791e-23,8.582110659262758e-102,1.3766013315773287e-16,4.705304813562305e-17,2.991883542084984e-17,3.7380768787704186e-17,3.0962130464376414e-17,1.5056975403397038e-17,3.739451000426969e-23,1.64725481184365e-30,4.850329871880807e-32,1.8133374140306845e-42,1.6472548118421523e-30,8.352882785629016e-33,4.603336211388691e-32,1.4861822622939487e-17,6.024307157873884e-54,2.9520080460403144e-62,1.1914577463361614e-34,7.507654093987805e-38,2.86077422017179e-45,9.450924195641934e-62,8.612825352510006e-36
