Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2NO3(231),CH3OX(210),CH2OX(659),CHOX(675),CH2X(34),CHX(35),CX(33),SX(708),HNOH(93),H2NX(201),H3NX(202),HNO2(94),HONO(92),H2X(216),NO3(95),HNO(87)
0.0,0.13399411829887187,0.0,0.03327073957360988,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.198952832119042e-26,0.13399411829887187,0.0,0.03327073957360988,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,5.250118121984969e-128,1.088182348761873e-60,9.006547483315163e-20,1.7895644201141451e-56,6.301359808652513e-98,8.16567749587539e-97,1.1517932813987253e-39,5.400416302500987e-65,1.2921436150163264e-44,6.082420989286775e-68,1.5040245725521178e-40,5.508155211493489e-25,-2.182128513789321e-109,2.7767477720141537e-21,1.7878252528948007e-68,2.4020149798578752e-60,5.509664880461605e-103,9.006602816377127e-20,5.679032396770103e-87,5.221356384718893e-21,1.784690510218834e-21,1.2529910343008213e-21,1.4178274514290684e-21,1.1743728112321569e-21,5.711009632700387e-22,2.876747248704409e-22,7.213509710151947e-37,2.445126434538779e-19,2.6346283990827116e-51,2.8126237657475876e-36,2.704958372303482e-36,2.4278538925124626e-19,5.6369894939143745e-22,1.3379041681150626e-48,2.710138898688427e-61,5.614849279767254e-37,4.910713319345559e-47,7.835224582243891e-52,2.4195372386529903e-78,1.0386693147377662e-21,4.0161736003892313e-22,2.418059966748039e-22,6.06345313692083e-38,2.9142021501959626e-39,2.6259716937091988e-59,1.0821739546327459e-23,9.471691257275912e-40
6.157067929933317e-26,0.13399411829887187,0.0,0.03327073957360988,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,8.240921419457078e-127,1.644461270920838e-59,2.521833295328246e-19,2.2791655252046207e-55,4.617939792960044e-88,4.967580192787981e-95,6.956831419652874e-39,6.411374234330615e-64,7.804547434698614e-44,9.191754599014105e-67,9.084308418214787e-40,1.5422834592181774e-24,2.1524179161789524e-108,7.774893761639632e-21,2.7017615221757794e-67,2.851672184087269e-59,3.351798020433589e-101,2.5218487885855963e-19,1.676950551518072e-85,1.4619797877212657e-20,4.9971334286126886e-21,3.508374896042358e-21,3.969916864001377e-21,3.2882438714500225e-21,1.5990826971561317e-21,8.054892296372299e-22,4.356959864931824e-36,6.846354016708581e-19,3.1278308353910116e-50,1.6988247545115476e-35,1.633794856871296e-35,6.797990899034896e-19,1.5783570582960234e-21,8.080941175411169e-48,3.217476900521511e-60,3.3913689646930225e-36,5.829998852267483e-46,9.301979493053104e-51,1.4719227117352442e-76,2.908274081265751e-21,1.1245286081089852e-21,6.770567906894408e-22,3.662325694700181e-37,1.760178098718363e-38,3.1243419583475417e-58,3.0300870729716887e-23,5.720901519394727e-39
1.4073298125561868e-25,0.13399411829887187,0.0,0.03327073957360988,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,3.2569548808754563e-125,1.7690364014897598e-58,5.764190389321706e-19,2.30544067877797e-54,4.156145813264074e-87,2.242603154958968e-93,3.349414862314353e-38,6.294725242199451e-63,3.757553632467478e-43,9.888070153868226e-66,4.373703456981547e-39,3.525219335355834e-24,1.1873373913537608e-106,1.7771185740890585e-20,2.9064317571273443e-66,2.799788660522334e-58,1.5131618457302213e-99,5.764225802481364e-19,3.6884938279195766e-84,3.3416680862199214e-20,1.142201926540021e-20,8.019142619525662e-21,9.074095689145936e-21,7.515985991885685e-21,3.6550461649284104e-21,1.8411182391707896e-21,2.097688623712258e-35,1.5648809181048185e-18,3.0709228619708578e-49,8.179109910794052e-35,7.866018946658413e-35,1.5538264912079762e-18,3.607673276105188e-21,3.8906253208728856e-47,3.1589379003069214e-59,1.6327981701267176e-35,5.723927443604525e-45,9.13274046700425e-50,6.644964034212201e-75,6.647483614321742e-21,2.5703511042491086e-21,1.547558378718672e-21,1.763252172216577e-36,8.474499852769876e-38,3.070472082460353e-57,6.925913309649574e-23,2.754367817615949e-38
2.990575851681897e-25,0.13399411829887187,0.0,0.03327073957360988,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,1.126905985687707e-123,1.6260492317143782e-57,1.2248904577308626e-18,2.0660396695572172e-53,3.37109604889003e-86,8.467642806482449e-92,1.462777467383469e-37,5.567613191235317e-62,1.6410223910707358e-42,9.088840035875605e-65,1.9101112071411768e-38,7.491091087631147e-24,4.672962313353825e-105,3.77637696993925e-20,2.671511518896867e-65,2.476381363634261e-57,5.7134112157251205e-98,1.2248979830272897e-18,6.868944168359387e-83,7.101044683216842e-20,2.4271790938974506e-20,1.7040678066493194e-20,1.9282453339434817e-20,1.5971470232756727e-20,7.766973100473345e-21,3.912376258237835e-21,9.161157331893717e-35,3.3253719509727395e-18,2.716196494318415e-48,3.572032182499504e-34,3.4352971328253027e-34,3.3018812938169497e-18,7.666305711723487e-21,1.6991382935002216e-46,2.794044798982769e-58,7.130858580865206e-35,5.062749000720708e-44,8.077808792585763e-49,2.5090129847690283e-73,1.4125902680433807e-20,5.461996096529355e-21,3.2885615547769665e-21,7.700585483889451e-36,3.7010367307488882e-37,2.7169791372585853e-56,1.4717565783005347e-22,1.2029047896741591e-37
6.1570679299333175e-25,0.13399411829887187,0.0,0.03327073957360988,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,3.723736296630246e-122,1.3911193520071592e-56,2.5218332953282468e-18,1.747297679927148e-52,2.701494780276465e-85,2.9378186511888617e-90,6.10680797803983e-37,4.679914361102552e-61,6.850945446816566e-42,7.775694003655903e-64,7.97433828367121e-38,1.5422834592181775e-23,1.651063093581861e-103,7.774893761639631e-20,2.285534349398726e-64,2.08154774930513e-56,1.982247765413104e-96,2.5218487885855962e-18,1.1831958065655144e-81,1.4619797877209124e-19,4.99713342861201e-20,3.5083748960431963e-20,3.969916864001163e-20,3.288243871449768e-20,1.5990826971564704e-20,8.054892296371631e-21,3.82460284832323e-34,6.846354016708581e-18,2.283126816590877e-47,1.4912531205994311e-33,1.4341689289951983e-33,6.797990899034896e-18,1.578357058295997e-20,7.093567899292886e-46,2.348563007364587e-57,2.9769930841373105e-34,4.255545585703785e-43,6.789890523293532e-48,8.70493854859066e-72,2.908274081265828e-20,1.1245286081089845e-20,6.7705679068928824e-21,3.214842853195423e-35,1.5451099800339125e-36,2.2842530643352272e-55,3.0300870729716892e-22,5.021890704608753e-37
1.2490052086436158e-24,0.13399411829887187,0.0,0.03327073957360988,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,1.2095300626766485e-120,1.150204381855552e-55,5.115718970523015e-18,1.4367849732928415e-51,2.1616576227613594e-84,9.784162697220305e-89,2.494830319294902e-36,3.8368765417621724e-60,2.798834755869965e-41,6.429094169401429e-63,3.2577773851306874e-37,3.128632160128302e-23,5.5468817155020616e-102,1.5771927345040395e-19,1.8897239979836388e-63,1.706578606698217e-55,6.601712680649837e-95,5.11575039970221e-18,1.9632183767990144e-80,2.965730426518745e-19,1.0137042098039928e-19,7.116989074832428e-20,8.053259924116147e-20,6.67043756779751e-20,3.2438534713753403e-20,1.6339924372638045e-20,1.562475057258317e-33,1.3888318148180265e-17,1.871845304953528e-46,6.0922555815604125e-33,5.859048032743316e-33,1.3790210109470789e-17,3.2018100325432466e-20,2.897953944258926e-45,1.9254938476233206e-56,1.2161988100120291e-33,3.488953375617383e-42,5.566771512579778e-47,2.8991126125381605e-70,5.89964170771086e-20,2.281186605021082e-20,1.373458061112202e-20,1.3133682032695985e-34,6.312278425410569e-36,1.8729550617958552e-54,6.146748062314e-22,2.0516062130918925e-36
2.515602039944184e-24,0.13399411829887187,0.0,0.03327073957360988,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,3.898808421436909e-119,9.353271012145073e-55,1.030349032091255e-17,1.1652390239931441e-50,1.7293722924541602e-83,3.193713662798023e-87,1.0084503039865156e-35,3.1072021012837846e-59,1.1313337578403155e-40,5.22803260686333e-62,1.316845706448777e-36,6.301329561948554e-23,1.818344773852867e-100,3.1765994511841925e-19,1.5366921714183592e-62,1.3820316017424782e-54,2.1549089726449813e-93,1.0303553621935435e-17,3.198356524419219e-79,5.973231704111916e-19,2.0416859436890976e-19,1.4334217432416812e-19,1.6219946044344598e-19,1.3434824960491193e-19,6.533395019815473e-20,3.290998852516615e-20,6.315773999708761e-33,2.7972246411123636e-17,1.515868858818438e-45,2.4625871128531847e-32,2.368320892952813e-32,2.7774648530342575e-17,6.448715981037559e-20,1.1713993185477698e-44,1.5593148395811542e-55,4.916070029376408e-33,2.8254448930619103e-41,4.508130530948879e-46,9.463216650744887e-69,1.1882376960601463e-19,4.5945025988452724e-20,2.766260601956954e-20,5.308844267124751e-34,2.55152386419986e-35,1.5168419228219373e-53,1.2380070040998626e-21,8.292920336932823e-36
5.0487957025453204e-24,0.13399411829887187,0.0,0.03327073957360988,0.031075110263184432,0.3194096818763551,0.3504847921395395,0.20701222018021495,0.09201819554070598,1.2521328794844229e-117,7.543751916807619e-54,2.067903302169162e-17,9.385621223911364e-50,1.383502499815448e-82,1.0321530692489355e-85,4.0549343192557973e-35,2.500946571623202e-58,4.549043282409584e-40,4.216597695923096e-61,5.294978668651947e-36,1.2646724365589054e-22,5.889013412851979e-99,6.375412884544498e-19,1.2393979067458985e-61,1.1123792671142812e-53,6.964293436747746e-92,2.0679160066401887e-17,5.16358822314333e-78,1.1988234259288272e-18,4.097649411457389e-19,2.876867414760924e-19,3.2553318284795435e-19,2.6963599745871367e-19,1.3112478116705304e-19,6.60501168302035e-20,2.5395449475016006e-32,5.614010293701037e-17,1.2201031351877158e-44,9.901954472268385e-32,9.522914148023167e-32,5.574352537208614e-17,1.2942527878025443e-19,4.710145139715391e-44,1.2550722401823342e-54,1.97673012576981e-32,2.2741638456302518e-40,3.628559203761156e-45,3.0583676371117785e-67,2.3847847466384844e-19,9.221134586493641e-20,5.551865683642149e-20,2.1346629306655202e-33,1.0259565237851583e-34,1.2209160422488276e-52,2.4846713998367883e-21,3.334546793895024e-35
1.0115183027747594e-23,0.13399411829887187,0.0,0.03327073957360988,0.031075110263184432,0.31940968187635504,0.3504847921395394,0.20701222018021495,0.09201819554070598,4.014041972872222e-116,6.059551786408077e-53,4.143011842324976e-17,7.534073584356202e-49,1.1068026156079828e-81,3.3192495881388274e-84,1.6262100235374205e-34,2.0068521196727878e-57,1.8243698171798657e-39,3.387000577785088e-60,2.1235232698383453e-35,2.533751397287006e-22,1.8958113760353018e-97,1.2773039751265107e-18,9.955518000478816e-61,8.926143066598546e-53,2.239612399585638e-90,4.143037295533478e-17,8.298896804081053e-77,2.4018239369601063e-18,8.209576346986297e-19,5.763758757808878e-19,6.522006276567285e-19,5.402114931660293e-19,2.627064431052324e-19,1.323303734402027e-19,1.0184711078735613e-31,1.1247581598878382e-16,9.790559265773272e-44,3.971126619119137e-31,3.8191144961001097e-31,1.1168127905557327e-16,2.5930151671998217e-19,1.888978867294662e-43,1.0071164309970249e-53,7.927571827208756e-32,1.82487324429116e-39,2.9117280435311426e-44,9.835377641831115e-66,4.777878847796027e-19,1.8474398561790314e-19,1.1123075846995312e-19,8.560953103299652e-33,4.11454453064933e-34,9.797201052516384e-52,4.9780001913106454e-21,1.3373024056048733e-34
