Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2NO3(231),CH3OX(210),CH2OX(659),CHOX(675),CH2X(34),CHX(35),CX(33),SX(708),HNOH(93),H2NX(201),H3NX(202),HNO2(94),HONO(92),H2X(216),NO3(95),HNO(87),H3NO3(626),H2NOX(203),H2N2X(602),N2O2(378),OCX(32),S(567),HNO(549),NO(1160),SX(540)
0.0,0.1081582643956193,0.0,0.026855697049432272,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.530351486606239e-25,0.1081582643956193,0.0,0.026855697049432272,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,3.518912682434354e-125,4.399741267716942e-59,2.4661227831341355e-19,2.171095471531267e-55,-5.393243869502098e-95,1.2925244616349428e-94,2.3178111894583394e-39,2.1209982039686747e-64,2.2087440756784131e-44,7.366145344728952e-68,4.158306064222151e-39,5.38331360698357e-26,-1.2645926720043505e-109,2.8492059280229536e-22,2.1875863767465167e-69,3.2729575375719377e-60,8.328892080872284e-102,2.466123321553865e-19,6.3231350765793514e-86,1.6064590452921623e-19,5.49097208070294e-20,4.729258612824715e-20,4.362241467904076e-20,3.613202559149318e-20,1.757111065825252e-20,8.807063920935582e-21,3.1540836938893646e-34,1.7799705335104665e-20,1.8022594908379474e-47,8.864999531805246e-34,2.660122157138984e-33,1.7558394386072916e-20,1.734337228391842e-20,9.257389793218355e-48,6.42176527711356e-59,6.078229678188652e-35,4.127398780793559e-43,7.355519425562381e-49,5.02813661725718e-72,4.349858700882194e-23,1.23565945942587e-20,7.439665135693493e-21,2.8829886796591473e-36,1.031552769882362e-37,1.8549602315022066e-57,1.1104792484999059e-25,1.7554923702538052e-38,1.234797840478686e-37,8.785555329125434e-21,6.565748037863798e-81,3.373170109973292e-98,9.754991092579611e-81,-1.4449940095013301e-92,4.303292205416077e-43,5.019296336469074e-65,4.9849644174834473e-67
2.108498416249747e-24,0.1081582643956193,0.0,0.026855697049432272,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,5.5235105479754076e-124,6.648889775959694e-58,6.905143792775582e-19,2.7577000249567906e-54,2.8815504828298626e-85,7.863057178533597e-93,1.3999579588715948e-38,2.5180490679170544e-63,1.334081421709762e-43,1.1131718844954591e-66,2.5116168627901717e-38,1.5073278099553998e-25,1.2280734420835687e-108,7.97777659846427e-22,3.305880532539395e-68,3.8856551886056386e-59,5.066871429193203e-100,6.905145300350825e-19,1.9799731526039193e-84,4.498085326815794e-19,1.537472182596694e-19,1.324192411591138e-19,1.221427611013093e-19,1.0116967165616903e-19,4.9199109843113003e-20,2.4659778978612225e-20,1.905066551109335e-33,4.983917493829308e-20,2.1396424675228897e-46,5.354459717210477e-33,1.606713782911545e-32,4.916350428100416e-20,4.856144239497139e-20,5.59146343504946e-47,7.623919736921254e-58,3.671250701554902e-34,4.9000478028861487e-42,8.732722941898672e-48,3.0589470652457166e-70,1.217960436249869e-22,3.4598464863924245e-20,2.0831062379938295e-20,1.7413251625141246e-35,6.230578730089489e-37,2.280644181962468e-56,3.1093418958036087e-25,1.0603173916334051e-37,7.458178956491266e-37,2.4599554921551506e-20,3.9942649426778464e-79,6.205408592638908e-97,2.182152487435169e-79,8.673107794053952e-91,2.5991884920930076e-42,5.958908610706285e-64,1.5673525890692828e-65
4.8194249514279935e-24,0.1081582643956193,0.0,0.026855697049432272,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,2.1829870390534652e-122,7.152572268176086e-57,1.5783185812058473e-18,2.78647805131019e-53,2.5933954361815013e-84,3.549759873306972e-91,6.740194945523418e-38,2.4722355070403534e-62,6.4230277720728265e-43,1.1974995164019187e-65,1.2092354034757892e-37,3.445320708469485e-25,6.784039242654457e-107,1.82349179393469e-21,3.5563154209493434e-67,3.814959305794544e-58,2.2874279641085107e-98,1.5783189257944744e-18,4.413271732303893e-83,1.0281337889854012e-18,3.514222131648975e-19,3.0267255122093423e-19,2.791834539458271e-19,2.3124496378547325e-19,1.124551082128577e-19,5.636520909393593e-20,9.172075381832655e-33,1.1391811414466998e-19,2.1007136625209563e-45,2.5779418638491306e-32,7.73563523295415e-32,1.1237372407086666e-19,1.1099758261707651e-19,2.6920489517861375e-46,7.485209606792576e-57,1.7675491543106936e-33,4.810895926909882e-41,8.574369310025775e-47,1.381039058269819e-68,2.783909568584587e-22,7.908220540325489e-20,4.7613856868413964e-20,8.383731080448795e-35,2.999755454817934e-36,2.2735199090812186e-55,7.1070671904265e-25,5.104971812699668e-37,3.590792120112019e-36,5.622755410640482e-20,1.8032021249971076e-77,1.1553109364941554e-95,4.3115655910037503e-78,4.159701814359427e-89,1.25139737336703e-41,5.850491809941315e-63,3.496677392803576e-64
1.0241278021784485e-23,0.1081582643956193,0.0,0.02685569704943227,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,7.553132468890232e-121,6.5744461986227755e-56,3.3539269850624248e-18,2.4959635070718435e-52,2.1035318584356795e-83,1.340321785843987e-89,2.943620217408637e-37,2.186664309387024e-61,2.805104976111585e-42,1.1007083665721783e-64,5.281048701562003e-37,7.321306505497655e-25,2.6700387835701076e-105,3.8749200621112165e-21,3.268866571044846e-66,3.3742883029365947e-57,8.636892756786364e-97,3.3539277173132574e-18,8.26263896921708e-82,2.184784301589428e-18,7.467722029751462e-19,6.431791713449235e-19,5.932648396347856e-19,4.913955480438916e-19,2.389671049524422e-19,1.1977606932446493e-19,4.005686291241955e-32,2.4207599255742406e-19,1.8580574446748044e-44,1.1258549405394373e-31,3.3783551395602913e-31,2.3879416365059164e-19,2.358698630612837e-19,1.17568850365419e-45,6.6205831296496215e-56,7.719351318198413e-33,4.255182853882443e-40,7.58487562887588e-46,5.215178980139074e-67,5.9158078332997e-22,1.6804968648191438e-19,1.0117944584530958e-19,3.661395623167115e-34,1.3100720177506238e-35,2.0245524197681107e-54,1.5102517779734222e-24,2.2294753102239876e-36,1.5681932574079314e-35,1.1948355247611603e-19,6.808548123421201e-76,1.988231809035204e-94,7.672200603186593e-77,1.5921364827937095e-87,5.465181101207068e-41,5.174693751364819e-62,6.548889761991295e-63
2.108498416249747e-23,0.1081582643956193,0.0,0.02685569704943226,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,2.495849177319137e-119,5.6245771392126815e-55,6.9051437927755806e-18,2.110439616668352e-51,1.6857070531518906e-82,4.650198917264922e-88,1.2289034987671428e-36,1.838023109433078e-60,1.1710761089246948e-41,9.416791814957533e-64,2.2047338752504668e-36,1.5073278099553996e-24,9.433855975530965e-104,7.977776598464269e-21,2.7965841729962783e-65,2.836292634741815e-56,2.9965393214017693e-95,6.905145300350823e-18,1.426922903488437e-80,4.49808532678301e-18,1.537472182594814e-18,1.324192411594295e-18,1.2214276110123937e-18,1.0116967165599688e-18,4.91991098431991e-19,2.4659778978504934e-19,1.6722951745023564e-31,4.983917493829333e-19,1.5618092386092434e-43,4.700222751764678e-31,1.4103967677094923e-30,4.916350428100415e-19,4.856144239496853e-19,4.9082680676032637e-45,5.564999040097505e-55,3.22267703958458e-32,3.576737394599656e-39,6.377131501174763e-45,1.8098309864268082e-65,1.2179604362912624e-21,3.4598464863922595e-19,2.0831062379887778e-19,1.5285605979552771e-33,5.469292785916489e-35,1.7071702518988637e-53,3.1093418958597445e-24,9.307620547100565e-36,6.546898150217992e-35,2.4599554921555696e-19,2.3622016329256443e-74,3.2939361108366234e-93,1.2940287710890534e-75,5.557633304333507e-86,2.2816055276063695e-40,4.3496418970186346e-61,1.1311578462928032e-61
4.277239644392344e-23,0.1081582643956193,0.0,0.02685569704943225,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,8.106924015107862e-118,4.650509147398072e-54,1.400757740820189e-17,1.7352130560508653e-50,1.3488538503177176e-81,1.5487103930867117e-86,5.0204718005969604e-36,1.5069223954067014e-59,4.78422801768247e-41,7.78598557550564e-63,9.007057267346743e-36,3.0577221287666677e-24,3.1693812536251252e-102,1.6183489671170368e-20,2.312269874868694e-64,2.325364063546793e-55,9.979727045907557e-94,1.4007580466425948e-17,2.3706534368466408e-79,9.1246873771123e-18,3.118872141830832e-18,2.6862188920986116e-18,2.4777531537663753e-18,2.0522990535890827e-18,9.98039085392609e-19,5.002412307043237e-19,6.831871444330877e-31,1.0110232630339561e-18,1.2804655743523884e-42,1.920194358588444e-30,5.7619309972019334e-30,9.973168011289412e-19,9.851035457264374e-19,2.0051876581257672e-44,4.5625224354437107e-54,1.3165685769113196e-31,2.9324251050143675e-38,5.230959435480057e-44,6.030444671301077e-64,2.4707197422869294e-21,7.018545729538198e-19,4.2257297970512225e-19,6.244668799688878e-33,2.234384561676162e-34,1.401794953935274e-52,6.307522131731496e-24,3.802466693677159e-35,2.674621514390452e-34,4.990195426945131e-19,7.867117696607607e-73,5.3606076687863366e-92,2.1254461432885785e-74,1.85638187114792e-84,9.321103051110911e-40,3.5660992219753775e-60,1.8794356789900888e-60
8.614722100677539e-23,0.1081582643956193,0.0,0.026855697049432227,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,2.613192449088626e-116,3.781716804966638e-53,2.821244463905449e-17,1.407194013730491e-49,1.079112067459504e-80,5.0552486658190026e-85,2.0293549939023007e-35,1.2203448280168073e-58,1.9338614579720834e-40,6.331434163625079e-62,3.640796557916746e-35,6.158510766389204e-24,1.038967141827159e-100,3.259491581658255e-20,1.8802994610369516e-63,1.8831401077984963e-54,3.2575491234039424e-92,2.821245079857618e-17,3.864600066932455e-78,1.8377891477539363e-17,6.281672060289596e-18,5.4102718531295356e-18,4.990404239269398e-18,4.133503727635151e-18,2.0101350593199246e-18,1.0075281125352949e-18,2.7615516700328735e-30,2.036286290336019e-18,1.0369542204237811e-41,7.761732610083719e-30,2.329064634399739e-29,2.0086803177667397e-18,1.9840817892797385e-18,8.105289113370835e-44,3.694848958457209e-53,5.3217794996573e-31,2.3747533787025908e-37,4.2403805869332244e-43,1.9703646765344285e-62,4.976238354570587e-21,1.4135944215828901e-18,8.510976915140431e-19,2.524194972498191e-32,9.03173964565101e-34,1.136069023286908e-51,1.2703882603871436e-23,1.5370178338013483e-34,1.081124779635432e-33,1.005067529652721e-18,2.567958245589184e-71,8.649229768034875e-91,3.445439797620097e-73,6.068324259072626e-83,3.767738885915359e-39,2.887919608139551e-59,3.0639545014355752e-59
1.7289687013247928e-22,0.1081582643956193,0.0,0.02685569704943218,0.031075110263184432,0.31940968187635516,0.3504847921395395,0.20701222018021495,0.09201819554070595,8.392477321568695e-115,3.0500916053056506e-52,5.662217910075965e-17,1.1334204689179612e-48,8.632930896149292e-80,1.6337690153758297e-83,8.159947350419889e-35,9.822396893980517e-58,7.775971868188882e-40,5.1065310249179586e-61,1.4639482831329906e-34,1.2360088041634278e-23,3.364868710167451e-99,6.541776810740689e-20,1.5165296338522084e-62,1.5157149882488438e-53,1.0527835870601655e-90,5.662219146287655e-17,6.241207386695485e-77,3.6884299677467424e-17,1.2607271897154032e-17,1.0858377775280553e-17,1.0015706410255682e-17,8.295913075678652e-18,4.034327007198878e-18,2.0221018761669266e-18,1.1104077807810401e-29,4.086812344940212e-18,8.346309695775143e-41,3.120958545178842e-29,9.365066458777869e-29,4.031407351042336e-18,3.982038276385526e-18,3.259101101961156e-43,2.973935884513887e-52,2.1398631742439994e-30,1.911407313818733e-36,3.4198108446145375e-42,6.38033428307565e-61,9.9872755803072e-21,2.8370741188405608e-18,1.7081471151176133e-18,1.0149676966287085e-31,3.6316227884827695e-33,9.147503711316494e-51,2.5496603549737044e-23,6.180281109257437e-34,4.3471551893188305e-33,2.0171635035703213e-18,8.299197313041125e-70,1.3896573987268881e-89,5.548774629231448e-72,1.9625872696020239e-81,1.5149912357457922e-38,2.3244489452750643e-58,4.9482947037854955e-58
3.46396168383887e-22,0.1081582643956193,0.0,0.02685569704943208,0.03107511026318443,0.31940968187635516,0.3504847921395394,0.20701222018021495,0.09201819554070591,2.690436215020554e-113,2.4499994484786474e-51,1.1344164802416982e-16,9.098136469496433e-48,6.906365404062258e-79,5.2539563103641503e-82,3.2725039898189673e-34,7.881854982027689e-57,3.118512507985899e-39,4.101843424284329e-60,5.871087382233429e-34,2.4763242592124422e-23,1.083230064594911e-97,1.3106347268905537e-19,1.2181590743295132e-61,1.2162658216833956e-52,3.385594241674444e-89,1.1344167279147695e-16,1.0032452391204994e-75,7.389711607361928e-17,2.5258471570670535e-17,2.1754589619939264e-17,2.0066310752149205e-17,1.6620731771571094e-17,8.082710903054067e-18,4.051249403308947e-18,4.453231843001028e-29,8.187864454148875e-18,6.697387898669295e-40,1.251643964902853e-28,3.7558105126768764e-28,8.076861417593518e-18,7.977951250593846e-18,1.3070453070065234e-42,2.38639625241837e-51,8.581800733668507e-30,1.5337827024142909e-35,2.755069724813433e-41,2.059831288526445e-59,2.0009350036457614e-20,5.6840335133540236e-18,3.4222459622676655e-18,4.070474418878568e-31,1.4564431664811867e-32,7.341667600001052e-50,5.10820454478112e-23,2.4785691446748727e-33,1.743403662184811e-32,4.041355451410259e-18,2.6688974808082522e-68,2.228076158732375e-88,8.907012493204413e-71,6.3136453914398556e-80,6.075792458444391e-38,1.8652238920150386e-57,7.954239215737312e-57
