Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2NO3(231),CH3OX(210),CH2OX(659),CHOX(675),CH2X(34),CHX(35),CX(33),SX(708),HNOH(93),H2NX(201),H3NX(202),HNO2(94),HONO(92),H2X(216),NO3(95),HNO(87),H3NO3(626),H2NOX(203),H2N2X(602),N2O2(378),OCX(32),S(567),HNO(549),NO(1160),SX(540),SX(1251),S(1268),ONONO(331),SX(1279),NOX(214),CH2OH(45),S(1443),S(1482),S(1458),CNOX(1420),NH2(85),NH(86),N2OX(1412),S(1414),S(1422),CH3NX(699),CH2NX(707),CH3O(46),H3NO(550),CHNO2(385),S(1654),S(2008),NO2X(206)
0.0,0.11869709560727104,0.0,0.029472488839285396,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.799030196704746e-25,0.11869709560727104,0.0,0.029472488839285396,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,-2.2345375124880685e-94,5.842570209965116e-59,3.0389295740417244e-19,4.702896281997696e-55,1.4210633791687298e-58,3.219063041987442e-94,1.0532161715525374e-38,8.024206030871753e-64,7.505475893206694e-44,5.2638433978018044e-67,3.252679445373599e-39,3.0941873915726306e-25,-8.337486933729275e-107,1.5419421796355458e-21,7.922829970671555e-67,1.9530495857509759e-59,6.388477448036332e-101,3.041601562810685e-19,2.6565646118138216e-66,6.255358227187266e-20,2.1381184587887044e-20,1.842076087583345e-20,1.6986043394751927e-20,1.4069376011234415e-20,6.841979068124719e-21,6.152728543716219e-21,6.844384641153294e-35,1.1184935856266416e-19,2.0758575936047028e-48,2.223672140721961e-34,7.0937396316531184e-34,1.106616793229989e-19,6.753300485392811e-21,1.3510859646234228e-47,3.48370358464202e-59,2.511584405648629e-35,4.335940856499336e-44,2.1429254852243673e-49,1.541330437802372e-73,3.514708851901442e-22,4.8115092558202335e-21,2.896916086995866e-21,1.7765922525291873e-36,7.271294157067315e-38,2.9242599725251284e-57,1.7162002044511678e-24,1.6501305237881697e-38,3.3331104285704703e-37,3.420989534062119e-21,2.2033137212410166e-82,1.3661886828551998e-98,7.848404689656559e-81,4.021219075736947e-58,1.64321820330518e-41,1.5532953361073468e-62,1.91146901778222e-68,-8.592848190272686e-115,4.3312477549463405e-95,-4.101754554270321e-91,2.0215614841161708e-102,5.3300004617063624e-55,1.0004499247547915e-24,1.955083799348786e-57,2.3755591967252594e-68,6.142835841654653e-60,3.354815490137806e-111,2.6689219006078413e-22,6.130454959895607e-42,4.387638250671068e-116,-6.783428161362895e-96,4.391954797547463e-91,5.4636354513929916e-73,9.657048109784316e-78,7.222437627465298e-26,1.2746212393946305e-49,3.044084124130174e-130,-3.3579811798488433e-138,5.801369973889355e-143,2.7177669431603677e-21
7.837284550773289e-25,0.11869709560727104,0.0,0.029472488839285396,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,1.20282118289165e-92,8.829291824468845e-58,8.509002807316829e-19,5.995987497820877e-54,2.1475109446593628e-57,1.958313124726254e-92,6.361425676302985e-38,9.526337399933115e-63,4.533307439496843e-43,7.95472014275718e-66,1.9646183850056477e-38,8.663724696403366e-25,8.236632132271962e-106,4.317438102979529e-21,1.1972980651722303e-65,2.318660468203561e-58,3.9130744339603564e-99,8.5164843758699185e-19,4.014600441388467e-65,1.7515003036120844e-19,5.986731684608025e-20,5.157813045233953e-20,4.756092150530419e-20,3.939425283145424e-20,1.9157541390750912e-20,1.7227639922403425e-20,4.1340083232568556e-34,3.131782039754597e-19,2.464458135127575e-47,1.343097972996086e-33,4.284618737518073e-33,3.098527021043969e-19,1.890924135909979e-20,8.160559226289003e-47,4.135852895670076e-58,1.5169969784830333e-34,5.147628976880262e-43,2.5440909071609418e-48,9.376700660658044e-72,9.841184785325681e-22,1.3472225916296638e-20,8.11136504358757e-21,1.0730617205276292e-35,4.391861670868669e-37,3.4945118586548797e-56,4.8053605724641785e-24,9.966788363681284e-38,2.013198698856564e-36,9.578770695374002e-21,1.3403832688939429e-80,2.3950053164825576e-97,1.755656735451951e-79,6.076866170949685e-57,9.925037947970281e-41,1.844072223027927e-61,6.009964586260267e-67,1.7459704643613325e-112,1.1597973462172157e-93,2.2178475355709288e-89,5.413224495913268e-101,6.327776548138166e-54,2.801259789315947e-24,2.9545226331401556e-56,6.699457014535232e-67,7.194968741494879e-59,3.5748239634099314e-109,7.4729813217019785e-22,3.702794795777475e-41,4.675369073436843e-114,4.73890574146995e-93,2.7692323770539874e-89,3.3237960681832444e-71,5.874876526471412e-76,2.0222825356947607e-25,7.698731763648904e-49,1.1074989535581877e-127,2.5374933723172633e-136,3.8049802506889742e-140,7.60974744084903e-21
1.7913793258910377e-24,0.11869709560727104,0.0,0.029472488839285396,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,5.788457370178866e-91,9.498149221993486e-57,1.9449149273867037e-18,6.067742739938708e-53,2.310194275388715e-56,8.840761537207004e-91,3.0627526270632445e-37,9.3530145498297e-62,2.1825923897445067e-42,8.557324934937395e-65,9.45879182714633e-38,1.9802799306064832e-24,4.542938566852901e-104,9.868429949667495e-21,1.2879986226791676e-64,2.2764745971513428e-57,1.766921599343028e-97,1.9466250001988386e-18,4.3187239581584454e-64,4.003429265397401e-19,1.3683958136245275e-19,1.1789286960537516e-19,1.0871067772640387e-19,9.004400647188534e-20,4.378866603601008e-20,3.9377462679769844e-20,1.990347053647776e-33,7.158358948010507e-19,2.419619611105864e-46,6.466438585219783e-33,2.0628594848841088e-32,7.08234747667193e-19,4.322112310651343e-20,3.9289579850701625e-46,4.060604898206214e-57,7.303687413695134e-34,5.0539726376728024e-42,2.4978242359954e-47,4.2331254542524065e-70,2.2494136652180734e-21,3.0793659237249357e-20,1.8540262956767558e-20,5.166330270354876e-35,2.1144923408751885e-36,3.440936619936206e-55,1.0983681308493835e-23,4.798579563177111e-37,9.692685126282927e-36,2.1894333017998047e-20,6.05113079315069e-79,4.451074052762094e-96,3.4688818557666216e-78,6.537215316183503e-56,4.7784785352217835e-40,1.8105210437706374e-60,1.340790025988916e-65,9.68063175930419e-110,4.864829338813558e-92,1.0671601412334872e-87,2.2706047251474047e-99,6.2126485381660845e-53,6.4028795184483795e-24,3.17834062577541e-55,1.4572782348682859e-65,5.151389552917437e-58,8.135516556779638e-107,1.7081100163890348e-21,1.7827363023384356e-40,1.064004610982119e-111,2.2114181756511957e-91,1.2515259845129008e-87,1.5005204210253514e-69,2.652222448046884e-74,4.622360081609132e-25,3.706627223424122e-48,2.2999143598149597e-125,2.2097374477910437e-134,1.5817362343055075e-137,1.7393708436226354e-20
3.8066810675184546e-24,0.11869709560727104,0.0,0.029472488839285396,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,2.2171731611747897e-89,8.730435520414879e-56,4.132944220696746e-18,5.438671877817965e-52,2.1234665503097807e-55,3.338103340671636e-89,1.3375845380664608e-36,8.272635450095871e-61,9.531954384372504e-42,7.865655912466319e-64,4.130902895624369e-37,4.2080948525387776e-24,1.7879439982651196e-102,2.0970413643043425e-20,1.1838926368679106e-63,2.0135160009258351e-56,6.671888065620347e-96,4.136578125422532e-18,3.969651368178037e-63,8.507287188962436e-19,2.9078411039514223e-19,2.505223479115403e-19,2.31010190168584e-19,1.913435137527134e-19,9.305091532655554e-20,8.367710819447077e-20,8.692368494268798e-33,1.521151276452233e-18,2.140126144703172e-45,2.824063618717221e-32,9.009049332193064e-32,1.5049988387927852e-18,9.184488660133941e-20,1.7158791750151507e-45,3.591559047512195e-56,3.1897121559783104e-33,4.470181533624625e-41,2.2093340681240416e-46,1.59837384568204e-68,4.780004038591713e-21,6.543652587915448e-20,3.9398058783113847e-20,2.2562721607120665e-34,9.23454357947563e-36,3.047442561808935e-54,2.3340322780567686e-23,2.0956657652121257e-36,4.233050244284498e-35,4.652545766324721e-20,2.2847918508556127e-77,7.662149196120775e-95,6.1726899206108775e-77,6.00882713688754e-55,2.0868871182081637e-39,1.601385359721382e-59,2.5111513213637068e-64,3.549359394113461e-107,1.778765342647691e-90,4.087451310753122e-86,8.302188444171527e-98,5.495017276003202e-52,1.3606118976753734e-23,2.921442614795543e-54,2.7015482486716175e-64,2.812003237518165e-57,1.3748848121803553e-104,3.6297337848267455e-21,7.785677799075613e-40,1.7981207545623842e-109,8.413352612211355e-90,4.7267236834248016e-86,5.665679563858594e-68,1.0014456931764848e-72,9.822515173509521e-25,1.6187983285339767e-47,3.6847187056928874e-123,1.6201807348517153e-132,5.0718602391578335e-135,3.6961630426981e-20
7.83728455077329e-24,0.11869709560727104,0.0,0.029472488839285393,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,7.741952811723179e-88,7.46907139481936e-55,8.509002807316827e-18,4.600007862305993e-51,1.816670340425042e-54,1.158143119394594e-87,5.584152143324158e-36,6.953648559973362e-60,3.97940331857819e-41,6.729234233628229e-63,1.7245706419369887e-36,8.663724696403365e-24,6.317209435862022e-101,4.317438102979529e-20,1.012845076070291e-62,1.692481522218437e-55,2.3148394510799385e-94,8.516484375869919e-18,3.396120321022757e-62,1.7515003036070106e-18,5.986731684602987e-19,5.1578130452424585e-19,4.756092150528668e-19,3.93942528314233e-19,1.9157541390775495e-19,1.7227639922374486e-19,3.628892736743178e-32,3.1317820397545984e-18,1.7989049768971847e-44,1.1789909690110802e-31,3.7611007526967234e-31,3.098527021043969e-18,1.890924135909861e-19,7.163457783923933e-45,3.0189217869931915e-55,1.3316420165989998e-32,3.75745687722326e-40,1.857140345177534e-45,5.545683419939541e-67,9.841184785349512e-21,1.3472225916296347e-19,8.11136504357517e-20,9.41949212290974e-34,3.8552401620772157e-35,2.56313436822355e-53,4.805360572477356e-23,8.74899203713523e-36,1.7672151492280638e-34,9.578770695374991e-20,7.927004323316331e-76,1.2696301098743591e-93,1.0411143770194254e-75,5.140678121141593e-54,8.71234291401899e-39,1.3460608855599806e-58,4.337389421894401e-63,1.0796150542291394e-104,6.0688749646436455e-89,1.42724126407077e-84,2.8325795647610293e-96,4.6188931201117167e-51,2.8012597893526405e-23,2.499355663658386e-53,4.6432711904791844e-63,1.3211412752247666e-56,2.013188443726259e-102,7.472981321702315e-21,3.250367219744022e-39,2.632844869703595e-107,2.928945242055121e-88,1.6401083657312327e-84,1.9656874119854836e-66,3.4745980839085506e-71,2.0222825357596858e-24,6.758304887201791e-47,5.2512536753710186e-121,1.1065749791419422e-130,1.4461893978512677e-132,7.609747440849029e-20
1.589849151728296e-23,0.11869709560727104,0.0,0.02947248883928539,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,2.586401180910819e-86,6.175572666901246e-54,1.726111998055699e-17,3.7826962877968803e-50,1.5020581684215885e-53,3.857100131840189e-86,2.281308357713512e-35,5.701021212018447e-59,1.6257161003721432e-40,5.563860994994764e-62,7.045433785856236e-36,1.757498438413254e-23,2.1223182558387175e-99,8.758231580329898e-20,8.374398954093445e-62,1.3875986073412364e-54,7.709465151684503e-93,1.7276296876764687e-17,2.8079779559886067e-61,3.553043473019586e-18,1.214451284589722e-18,1.0462992177511585e-18,9.64807264821123e-19,7.991405574367259e-19,3.8862441107058765e-19,3.4947498128178217e-19,1.4825210908155014e-31,6.353043566359331e-18,1.4748509853219138e-43,4.816562803691906e-31,1.5365323791697137e-30,6.285583385546337e-18,3.835874675702586e-19,2.926506242381544e-44,2.475094476372587e-54,5.440191987341848e-32,3.0805900812275587e-39,1.5226974324848647e-44,1.8470653775776769e-65,1.9963546278907185e-20,2.7329372573057623e-19,1.6454483374080843e-19,3.8481698826683116e-33,1.574991399597514e-34,2.102039277967736e-52,9.7480171613418e-23,3.574248719754894e-35,7.219650512700784e-34,1.9431220553477274e-19,2.64002340544527e-74,2.066402340953238e-92,1.710033490462894e-74,4.250412078274237e-53,3.559276357167382e-38,1.1035820395682437e-57,7.2066373907623044e-62,3.0073712075271634e-102,2.0039758743123839e-87,4.7680393229165695e-83,9.35333343163233e-95,3.786847641639601e-50,5.682555572771957e-23,2.0665155951266467e-52,7.695881475431833e-62,5.732002977798665e-56,2.7530132396570205e-100,1.5159476395454047e-20,1.3278810661394683e-38,3.60019265714281e-105,9.770710783340947e-87,5.4625500102249515e-83,6.546559616069523e-65,1.1572646739211841e-69,4.102344572691781e-24,2.761102866292056e-46,7.083849192339735e-119,7.310667987358501e-129,3.902546506138825e-130,1.5436916237150885e-19
3.2020905450302296e-23,0.11869709560727104,0.0,0.02947248883928538,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,8.45533270023131e-85,5.0218731314073525e-53,3.476535432703731e-17,3.0678459998898695e-49,1.2214487570096125e-52,1.2590217242951526e-84,9.221413137910637e-35,4.616834787747748e-58,6.571404407345338e-40,4.5244393588647444e-61,2.847876983037309e-35,3.5397503759590896e-23,6.957253654908048e-98,1.7639818535030632e-19,6.809922151150911e-61,1.1237133281482916e-53,2.5165112356793696e-91,3.4795921878554213e-17,2.283401040156081e-60,7.156129811808901e-18,2.4460075168450092e-18,2.107335044210989e-18,1.9432033643563985e-18,1.6095366156795268e-18,7.827224053979891e-19,7.038721453958133e-19,5.992587283818259e-31,1.2795566619568809e-17,1.1943725660088963e-42,1.9469316954668965e-30,6.210909546974493e-30,1.2659696114551072e-17,7.7257757552872e-19,1.1829406137992546e-43,2.0043956778387994e-53,2.1990124575172656e-31,2.4947415835168355e-38,1.2332843775840623e-43,6.029920646429227e-64,4.0208269266190816e-20,5.504366588657814e-19,3.314072003500461e-19,1.5554917935174167e-32,6.366367056632838e-34,1.7025359728873346e-51,1.9633330339163747e-22,1.4447684798488957e-34,2.9182981695140206e-33,3.913612026968881e-19,8.617476099900074e-73,3.3342435829320363e-91,2.7720379782957027e-73,3.456364507711468e-52,1.4387164115333814e-37,8.937093479598408e-57,1.1748637804587526e-60,8.027962319692939e-100,6.513126835334685e-86,1.5587382721473088e-81,3.0399291606127292e-93,3.0666874008612022e-49,1.144514713986972e-22,1.6804561615075967e-51,1.2530747951147468e-60,2.3880040438304715e-55,3.641515937147868e-98,3.053246654295988e-20,5.367507579278008e-38,4.761599435092879e-103,3.1919140986928555e-85,1.7831162943468345e-81,2.1369059805445456e-63,3.778016743084834e-68,8.262468647014478e-24,1.1161747303253224e-45,9.305625880617342e-117,4.752863139039922e-127,1.0254110459268817e-127,3.109125382975459e-19
6.426573331634098e-23,0.11869709560727104,0.0,0.029472488839285358,0.031075110263184432,0.31940968187635516,0.3504847921395395,0.20701222018021495,0.09201819554070596,2.734685730385663e-83,4.05032261032783e-52,6.97738230199979e-17,2.4710750418455898e-48,9.851426725484457e-52,4.06894065714064e-83,3.7078896704978236e-34,3.716030294819035e-57,2.6423328101069922e-39,3.649124251996384e-60,1.145118809461025e-34,7.10425425105076e-23,2.253222858590349e-96,3.540299244443209e-19,5.492448921566176e-60,9.044622473438755e-53,8.132950981325114e-90,6.98351718821332e-17,1.8416456608724101e-59,1.436230248924419e-17,4.909119981341349e-18,4.229406697154672e-18,3.8999955634220016e-18,3.230328732156388e-18,1.5709183940597353e-18,1.4126664736157013e-18,2.4095929904774868e-30,2.56806127259878e-17,9.613349491907688e-42,7.828526718314038e-30,2.4973794122494552e-29,2.5407921572560535e-17,1.5505577914453082e-18,4.756552179017027e-43,1.6133120195480267e-52,8.84213137072806e-31,2.0079848483922724e-37,9.9291939885543e-43,1.9492778344015173e-62,8.069771524143129e-20,1.1047225251361094e-18,6.651319335650181e-19,6.254564088719037e-32,2.559888193172878e-33,1.3704489575732122e-50,3.9403956695179894e-22,5.809350514275698e-34,1.1734348588199501e-32,7.854591970213979e-19,2.7850193676758744e-71,5.357190014257511e-90,4.464281707304575e-72,2.787683182350218e-51,5.785015413998616e-37,7.193350342278164e-56,1.8974081433797698e-59,2.0986907518628815e-97,2.100369679197725e-84,5.041377384091718e-80,9.803240743798107e-92,2.4683368159972712e-48,2.297033027510178e-22,1.3553487719498464e-50,2.022467769872182e-59,9.748170668110008e-55,4.738733079892598e-96,6.127844683798102e-20,2.15825119049272e-37,6.194971409139503e-101,1.0319873365389262e-83,5.7628023639202816e-80,6.906110145274544e-62,1.221320733766289e-66,1.6582716797493906e-23,4.488835825005684e-45,1.206579112639152e-114,3.065664828571122e-125,2.6592555523755326e-125,6.2399929014961955e-19
1.2875538904841832e-22,0.11869709560727104,0.0,0.02947248883928532,0.031075110263184432,0.3194096818763551,0.35048479213953937,0.20701222018021495,0.09201819554070595,8.797653673071277e-82,3.253439386607918e-51,1.3979076040591904e-16,1.9836038670782086e-47,7.913201689479974e-51,1.3085103365729994e-81,1.4870296012927564e-33,2.98188028753413e-56,1.059693638076319e-38,2.931175047093407e-59,4.5924385928420225e-34,1.4233262001234102e-22,7.253652231766086e-95,7.09293402632349e-19,4.411833666455001e-59,7.257739924507876e-52,2.6154385993607124e-88,1.3991367188929095e-16,1.4793099479657204e-58,2.87746478435414e-17,9.835344910277087e-18,8.473550003138128e-18,7.813579961533414e-18,6.471912965075151e-18,3.1473103714110014e-18,2.83025513002278e-18,9.663545608704878e-30,5.1450704938825925e-17,7.714107539683374e-41,3.1395893534659787e-29,1.0015608423231032e-28,5.090437248857943e-17,3.106518223277146e-18,1.907590164617486e-42,1.2945812921076999e-51,3.546089347658299e-30,1.6112810362993332e-36,7.971803184912119e-42,6.271876343491662e-61,1.616766071946049e-19,2.2132942576764364e-18,1.3325813999809488e-18,2.5083599417923878e-31,1.0266296592604052e-32,1.0997389103835845e-49,7.894520940870122e-22,2.3298093858004918e-33,4.705998615436086e-32,1.5736551856715327e-18,8.95620491238684e-70,8.589424164788857e-89,7.166160835483957e-71,2.2392187190874167e-50,2.3200499223678944e-36,5.7722106288379255e-55,3.050028174358889e-58,5.430640279212034e-95,6.747137068859198e-83,1.6218410577052089e-78,3.1491508223006415e-90,1.9806848444310298e-47,4.602069654971199e-22,1.0886898390336995e-49,3.2500514068797126e-58,3.939074281358856e-54,6.117719132836003e-94,1.227704074280612e-19,8.655552575482195e-37,7.994282430335725e-99,3.3193829709446466e-82,1.8532434742093168e-78,2.2209010542847084e-60,3.9297133774871575e-65,3.322321310578887e-23,1.8008225516645507e-44,1.554381704231681e-112,1.9696743623644234e-123,6.851771829167298e-123,1.2501727938537649e-18
