Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2NO3(231),CH3OX(210),CH2OX(659),CHOX(675),CH2X(34),CHX(35),CX(33),SX(708),HNOH(93),H2NX(201),H3NX(202),HNO2(94),HONO(92),H2X(216),NO3(95),HNO(87),H3NO3(626),H2NOX(203),H2N2X(602),N2O2(378),OCX(32),S(567),HNO(549),NO(1160),SX(540),SX(1251),S(1268),ONONO(331),SX(1279),NOX(214),CH2OH(45),S(1443),S(1482),S(1458),CNOX(1420),NH2(85),NH(86),N2OX(1412),S(1414),S(1422),CH3NX(699),CH2NX(707),CH3O(46),H3NO(550),CHNO2(385),S(1654),S(2008),NO2X(206),SX(544)
0.0,0.11156171647114635,0.0,0.02770077419978564,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.192520559957719e-25,0.11156171647114635,0.0,0.02770077419978564,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,-3.9206420379344146e-94,7.577661535334994e-59,3.0797411979340905e-19,4.379359081116772e-55,2.560106723557538e-58,3.676352383467571e-94,7.374961058560272e-39,5.210159364816496e-64,4.923194875182903e-44,2.286824863212239e-67,5.1087750599543315e-39,1.142135012507455e-25,-1.4396654508464436e-107,5.883272786034645e-22,1.5208353476549366e-67,9.350234311397909e-60,3.5043442832073475e-101,3.0817181735335537e-19,6.366788346915015e-67,1.3416820411016716e-19,4.5859486119233504e-20,3.950126323509054e-20,3.643255676879751e-20,3.01767355892432e-20,1.4675035558157407e-20,1.3188144046929253e-20,2.4896584247299387e-34,3.862877175122761e-20,1.3209818479570936e-47,7.346097164826918e-34,3.304202488644479e-33,3.8143897426471727e-20,1.4484833082837983e-20,1.40576385784883e-47,8.019189194159868e-59,5.987436066872821e-35,2.9328792679819442e-43,7.43374823181e-49,3.1404979387713324e-72,1.0286252683720669e-22,1.031997740924336e-20,6.213457562843869e-21,3.27292081158359e-36,1.2293689313549961e-37,4.531884763995186e-57,3.2817579330262355e-25,2.2971841994203268e-38,2.3235947787240315e-37,7.337517779077977e-21,4.2075912304162243e-81,4.507186809809088e-98,1.6082040945849403e-80,7.234843730589982e-58,2.004645493092e-42,5.54347675351099e-64,2.9382906456132834e-67,-1.172722036881383e-112,5.780627815519996e-94,-8.586263568933486e-91,1.493672756775737e-101,2.4301956271089368e-54,2.487028248500265e-25,7.083193326373068e-57,7.176670275116908e-68,2.474672559061387e-60,1.2747611442254126e-109,1.975838481352956e-22,8.594940444039816e-43,1.53646905362749e-114,1.1295212823801805e-94,3.5019061349459195e-90,1.571658528878701e-71,1.6867620150268604e-76,1.2984749762349428e-26,4.326426409250155e-50,-3.3946245790432557e-131,-1.504066280488555e-137,-1.1625455737166716e-143,5.829209083007803e-21,2.5866546299468203e-61
1.7339057567881614e-24,0.11156171647114635,0.0,0.02770077419978564,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,2.2138348959493573e-92,1.1451361243014146e-57,8.623275354215454e-19,5.573993488628207e-54,3.868833134070697e-57,2.2365045307044537e-92,4.4544764798099926e-38,6.185501198143149e-63,2.9736097046104726e-43,3.455849733286336e-66,3.085700136212404e-38,3.197978035020874e-25,1.4217533533236115e-106,1.6473163800897005e-21,2.298286377446354e-66,1.1100598174491865e-58,2.1433638158174317e-99,8.628810885893952e-19,9.62149055017147e-66,3.7567097150830894e-19,1.2840656113384282e-19,1.1060353705827542e-19,1.0201115895262903e-19,8.449485964987216e-20,4.109009956284592e-20,3.69268033313922e-20,1.5037536885370165e-33,1.081605609034373e-19,1.5682696498947241e-46,4.437042687555557e-33,1.995738303140829e-32,1.0680291279412083e-19,4.055753263194615e-20,8.490813701336035e-47,9.520381411233789e-58,3.616411367286574e-34,3.481914251720577e-42,8.825492143222297e-48,1.910549302141106e-70,2.8801507514449427e-22,2.889593674588133e-20,1.739768117595997e-20,1.9768441701964884e-35,7.425388345384193e-37,5.459887172406633e-56,9.188922212480282e-25,1.3874992564500235e-37,1.4034512463493147e-36,2.054504978141857e-20,2.5596830575967898e-79,8.073456201999084e-97,3.5974882314058145e-79,1.0933295430624437e-56,1.2108058778324518e-41,6.581215601794821e-63,9.238455958827405e-66,2.3828485860431653e-110,1.5479041857318364e-92,4.861678508589189e-89,3.999673367874568e-100,2.885128248503963e-53,6.963679095855211e-25,1.0704121768163911e-55,2.0239358467418894e-66,2.374458354081058e-59,1.3583695660030994e-107,5.532347747788314e-22,5.191344028204914e-42,1.6372270014233797e-112,1.6946707613735328e-92,2.1549008739305144e-88,9.561165835420425e-70,1.0261568255582852e-74,3.63572993355504e-26,2.613166608396098e-49,3.28153354516954e-127,1.2113501457485921e-135,2.0227519526323302e-139,1.6321785432421847e-20,8.132856003036769e-60
3.96321315837294e-24,0.11156171647114635,0.0,0.02770077419978564,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,1.0637515578181637e-90,1.2318851809636295e-56,1.971034366677818e-18,5.636823073655944e-53,4.161914130546003e-56,1.0096650520869991e-90,2.1446386764885357e-37,6.072961756326504e-62,1.4316650697031879e-42,3.717645443626872e-65,1.4856317874347022e-37,7.309664080047711e-25,7.841969707212432e-105,3.7652945830621725e-21,2.472391608089986e-65,1.0898633113366209e-57,9.677777220384426e-98,1.972299631061475e-18,1.035036048032318e-64,8.586765063039559e-19,2.935007111630175e-19,2.5280808470473285e-19,2.3316836332027607e-19,1.9313110777109487e-19,9.39202275722437e-20,8.440412190027926e-20,7.239926699116668e-33,2.472241392078568e-19,1.5397364419789823e-45,2.1362450555318152e-32,9.608620836971602e-32,2.4412094352941903e-19,9.270293173016171e-20,4.0879612985178695e-46,9.34716692448667e-57,1.741146382589702e-33,3.418564027554233e-41,8.665230290487712e-47,8.625436626962818e-69,6.58320171760332e-22,6.60478554191569e-20,3.9766128402180707e-20,9.517653720085076e-35,3.575004852380357e-36,5.395444564982615e-55,2.1003250771415668e-24,6.680211651916508e-37,6.757013616529481e-36,4.69601137861007e-20,1.1555632874697814e-77,1.5016435061483106e-95,7.108030516590571e-78,1.176154027883447e-55,5.829509093983644e-41,6.461476503973391e-62,2.0610486940587272e-64,1.3212088192378227e-107,6.492763381897681e-91,2.335843944496153e-87,1.6776834782161238e-98,2.8326360229589015e-52,1.5916980790782981e-24,1.1515005741886483e-54,4.402502549997113e-65,1.4078728799361943e-58,3.0914192214576506e-105,1.2645366280659182e-21,2.499408681134076e-41,3.725945591023487e-110,7.791466092508014e-91,9.731682027910176e-87,4.3163672517342625e-68,4.632730093869032e-73,8.310239848584035e-26,1.2581322409769497e-48,7.783312176403086e-125,1.0548826508914807e-133,9.616115863532173e-137,3.730693813124993e-20,1.8143954353715935e-58
8.421827961542498e-24,0.11156171647114635,0.0,0.027700774199785637,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,4.0731744997712105e-89,1.1323147159281697e-55,4.188448029190364e-18,5.050934357330144e-52,3.825516119783296e-55,3.812303124724266e-89,9.366200551182564e-37,5.3714659001926654e-61,6.252457491482286e-42,3.417156656600784e-64,6.488144326141824e-37,1.5533036170101387e-24,3.086330670999917e-103,8.001250989007115e-21,2.272553843463687e-64,9.639717565680455e-57,3.6542861983168043e-96,4.191136716005633e-18,9.513764491786621e-64,1.8246875758927035e-18,6.236890112211905e-19,5.372171799979981e-19,4.95482772055506e-19,4.1040360401339943e-19,1.995804835911221e-19,1.793587590378981e-19,3.161866199409093e-32,5.253512958166962e-19,1.3618794459702518e-44,9.329543399331712e-32,4.196337160571729e-31,5.187570050000154e-19,1.9699372992658973e-19,1.7853200993578502e-45,8.267463291135934e-56,7.60404353980704e-33,3.023681110987074e-40,7.664849115178291e-46,3.257031240078295e-67,1.398930364997057e-21,1.4035169276570669e-19,8.450302285457627e-20,4.1566094307111565e-34,1.5612985428208745e-35,4.786067937325615e-54,4.463190788939562e-24,2.917423933266081e-36,2.950965368979519e-35,9.979024179546869e-20,4.363187101050762e-76,2.584635407210996e-94,1.2648360523620773e-76,1.0810881845120071e-54,2.545899776300814e-40,5.7151027939683986e-61,3.8601160964729923e-63,4.8443407727671695e-105,2.3739995168048708e-89,8.943933271487905e-86,6.134244438643821e-97,2.505434483725752e-51,3.3823584181510034e-24,1.0584274137251909e-53,8.161497763127192e-64,6.771517346028191e-58,5.224664780576777e-103,2.6871403346401517e-21,1.0915574364005976e-40,6.296683330538393e-108,2.95432031942279e-89,3.674800015431688e-85,1.6297781149667594e-66,1.749357929627745e-71,1.7659259680197233e-25,5.494637756789273e-48,1.33105770957159e-122,7.733468361624854e-132,3.2916844361348126e-134,7.927724352890609e-20,3.39816184740827e-57
1.7339057567881613e-23,0.11156171647114635,0.0,0.027700774199785633,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,1.4220671441919608e-87,9.687190787512695e-55,8.623275354215452e-18,4.271476704957933e-51,3.272809581350569e-54,1.3226650532808687e-87,3.9102043593782255e-36,4.515040745598733e-60,2.610277922821975e-41,2.9234494632321673e-63,2.708672536787628e-36,3.1979780350208737e-24,1.0904702573126852e-101,1.6473163800896998e-20,1.944217658673642e-63,8.102763450511448e-56,1.2678638804926475e-94,8.628810885893949e-18,8.139225822377869e-63,3.756709715060015e-18,1.2840656113368326e-18,1.106035370585931e-18,1.0201115895257099e-18,8.449485964974453e-19,4.1090099562921067e-19,3.6926803331251467e-19,1.3200168967936778e-31,1.0816056090343757e-18,1.144741733730788e-43,3.894900716792606e-31,1.7518881594732193e-30,1.0680291279412084e-18,4.055753263194333e-19,7.453359973322658e-45,6.949301047769495e-55,3.174538364046681e-32,2.541586067711844e-39,6.443694546796409e-45,1.1301754615466854e-65,2.880150751490706e-21,2.8895936745880074e-19,1.7397681175918392e-19,1.7353026143016166e-33,6.51811407404445e-35,4.028473110582962e-53,9.188922212579219e-24,1.2179670625346973e-35,1.2319699516794811e-34,2.0545049781421979e-19,1.5137922958063523e-74,4.282430613049123e-93,2.133330874719052e-75,9.24893702016194e-54,1.0628630405037236e-39,4.803888259269473e-60,6.667390608771482e-62,1.4736270520798423e-102,8.099722823045353e-88,3.12256906799715e-84,2.092910269411811e-95,2.1059686473253338e-50,6.96367909664502e-24,9.055069360987851e-53,1.402752938209492e-62,2.9603024283734147e-57,7.650949052282083e-101,5.532347747788861e-21,4.557037423497777e-40,9.219731411750413e-106,1.0269393701561512e-87,1.2750062559785729e-83,5.654457177216634e-65,6.070218375478011e-70,3.6357299349644457e-25,2.293939588227799e-47,1.958861962698078e-120,5.281483598983024e-130,9.693082208078059e-132,1.632178543242184e-19,5.869479528230744e-56
3.5173516780559847e-23,0.11156171647114635,0.0,0.027700774199785623,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,4.750450457854411e-86,8.009556674972924e-54,1.749293000426563e-17,3.5123062178263128e-50,2.706022251785197e-53,4.4050268623612094e-86,1.597446070317948e-35,3.7017031927877953e-59,1.0663837027441173e-40,2.417164550169894e-62,1.1065811130862139e-35,6.487326871042344e-24,3.6635241544710633e-100,3.3416989424676764e-20,1.607516757857073e-62,6.643135025079707e-55,4.222552018081033e-93,1.750415922567057e-17,6.729669307952005e-62,7.620753993353894e-18,2.604818811565299e-18,2.243671751767405e-18,2.069369224465092e-18,1.7140385814632833e-18,8.335420197067141e-19,7.4908658185926285e-19,5.392699734317815e-31,2.19411423546974e-18,9.385284356955657e-43,1.591194030291332e-30,7.157034758451978e-30,2.1665733738235936e-18,8.227385191050703e-19,3.044940745814972e-44,5.69745685728693e-54,1.2969023998064043e-31,2.083745656176818e-38,5.284450338762839e-44,3.76502210940444e-64,5.8425915245588e-21,5.861747168449666e-19,3.5292438956766526e-19,7.089277394722495e-33,2.6628622800723964e-34,3.3049721826540474e-52,1.8640385060033203e-23,4.97579286332967e-35,5.032999234507399e-34,4.16771009851782e-19,5.0415603788138034e-73,6.96964103439744e-92,3.5040023686567747e-74,7.647199974749883e-53,4.3421423244177666e-39,3.938517833920199e-59,1.1077969212173085e-60,4.1055710758278364e-100,2.6745730016219983e-86,1.0430977803303288e-82,6.910904760499023e-94,1.7266003343461482e-49,1.4126320455027473e-23,7.486906454378995e-52,2.324960121701518e-61,1.2368494645563212e-56,1.0464457421734156e-98,1.1222762574087246e-20,1.8616984799982602e-39,1.2607202844108996e-103,3.423285699133175e-86,4.2463798029858394e-82,1.8831701820491097e-63,2.022224399910379e-68,7.375337871342219e-25,9.371789788229617e-47,2.6848711168995957e-118,3.489107073605163e-128,2.6577917704681722e-129,3.310990759148428e-19,9.752228021658564e-55
7.084243520591631e-23,0.11156171647114635,0.0,0.027700774199785602,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,1.552939532315374e-84,6.513238468732641e-53,3.523223930436597e-17,2.84846208849157e-49,2.2004923546711873e-52,1.4378741350369723e-84,6.457132447588049e-35,2.997735222338803e-58,4.310493426576639e-40,1.9655980689452067e-61,4.4729777861917895e-35,1.3066024543085284e-23,1.2009540392332382e-98,6.730464067223625e-20,1.3072059308236047e-61,5.379782978220305e-54,1.3783170915411175e-91,3.525485590522378e-17,5.4724553190328666e-61,1.5348842549778696e-17,5.246325212010965e-18,4.5189445141527876e-18,4.167884494339755e-18,3.4522185513859447e-18,1.6788240678670269e-18,1.50872367894282e-18,2.1798154544684265e-30,4.419131488340488e-18,7.600446602202167e-42,6.431860680479439e-30,2.892987880485326e-29,4.363661865588364e-18,1.6570649046761446e-18,1.2308137335208765e-43,4.613948278345499e-53,5.242286011680497e-31,1.6874710007363004e-37,4.281947207393991e-43,1.229661826025618e-62,1.176747307101817e-20,1.180605415617209e-18,7.108195451816917e-19,2.8655992707403705e-32,1.0763715091101855e-33,2.677324408657024e-51,3.7543310755639865e-23,2.01129503144827e-34,2.0344187613222686e-33,8.394120339271473e-19,1.6456492764809009e-71,1.1245641232518231e-90,5.6801388446021e-73,6.218576001060354e-52,1.755163352646606e-38,3.189513855312119e-58,1.8059885748226448e-59,1.0962953707944488e-97,8.692636181713761e-85,3.4099179417812155e-81,2.2461148280018983e-92,1.3982457158940943e-48,2.845160317737007e-23,6.088227987420639e-51,3.785594850480391e-60,5.055245844219877e-56,1.3846679474623054e-96,2.2603592226687875e-20,7.525282916370824e-39,1.6674232647398435e-101,1.1179242786562532e-84,1.386101426926093e-80,6.146980201362985e-62,6.604717528731214e-67,1.485455375405109e-24,3.788468238651952e-46,3.555012835012464e-116,2.2683171806821403e-126,7.039223527312433e-127,6.668615190960912e-19,1.5898593010605295e-53
1.4218027205662925e-22,0.11156171647114635,0.0,0.02770077419978556,0.031075110263184432,0.31940968187635516,0.3504847921395395,0.20701222018021495,0.09201819554070595,5.0225446791767e-83,5.253162783300048e-52,7.071085790456661e-17,2.294330004990071e-48,1.7747768023530626e-51,4.64696074341942e-83,2.596384575134618e-34,2.4128381099371137e-57,1.7332304485876416e-39,1.5853260512844988e-60,1.7985646949562658e-34,2.6223419887171162e-23,3.8894903486486705e-97,1.3507994316735514e-19,1.0543089404752113e-60,4.330117371419919e-53,4.454491953530902e-90,7.075624926433011e-17,4.413733470247276e-60,3.0805019661976453e-17,1.0529338012857217e-17,9.069490039013284e-18,8.364915034072676e-18,6.92857849119521e-18,3.369388164208877e-18,3.0279978730701782e-18,8.764942070704001e-30,8.869165994082058e-18,6.117500649379612e-41,2.5862228912737297e-29,1.163257702902876e-28,8.757838849117902e-18,3.325717675817493e-18,4.949047886506532e-43,3.713706976861169e-52,2.1078994691845335e-30,1.3582230553195434e-36,3.450447423109379e-42,3.9785526216131984e-61,2.3617236165229644e-20,2.369466813161339e-18,1.4266098563980004e-18,1.1522448634012346e-31,4.328042497593988e-33,2.1552920313121113e-50,7.534916214964793e-23,8.087328861542424e-34,8.180308362289101e-33,1.6846940820788402e-18,5.3184540975464936e-70,1.8068399335438253e-89,9.14768855125203e-72,5.015506800946705e-51,7.057434647986888e-38,2.567198232886459e-57,2.9166763721902912e-58,2.867754262095669e-95,2.803223387358002e-83,1.1028406664627348e-79,7.243328129827329e-91,1.1254297967859556e-47,5.710216864436599e-23,4.910376430020165e-50,6.10996534738412e-59,2.043907041893449e-55,1.8031648207880679e-94,4.5365251531904576e-20,3.025883163469365e-38,2.1693633815317025e-99,3.613751410456774e-83,4.479660090908418e-79,1.9865971875137662e-60,2.1370128085731538e-65,2.9812985559282114e-24,1.5235201956244295e-45,4.627733560055771e-114,1.4630824669980923e-124,1.8327797729138667e-124,1.3383864054585862e-18,2.5676270179548328e-52
2.8485594575805507e-22,0.11156171647114635,0.0,0.027700774199785477,0.03107511026318443,0.31940968187635516,0.35048479213953937,0.20701222018021495,0.09201819554070592,1.6157699717609883e-81,4.2196260267939126e-51,1.416680951049677e-16,1.8417108408053867e-47,1.4255972441540842e-50,1.4943929338858524e-81,1.0412663547716128e-33,1.936150637502814e-56,6.951029305101493e-39,1.2734200981208048e-59,7.2130488544919415e-34,5.253821057534292e-23,1.2521180611422464e-95,2.7063054815759227e-19,8.46878277538968e-60,3.474646489308737e-52,1.4324993430142158e-88,1.4175903598254227e-16,3.5453507558612774e-59,6.171737388376459e-17,2.1095363614369425e-17,1.817058108909322e-17,1.675897611347289e-17,1.388129837066951e-17,6.750516356977475e-18,6.066546261165868e-18,3.515133792010443e-29,1.7769235005565505e-17,4.908909004420565e-40,1.0371910510498593e-28,4.665183668225374e-28,1.7546192816176962e-17,6.663023218096991e-18,1.9847895517990205e-42,2.980015964658305e-51,8.453614200695555e-30,1.0898878016102473e-35,2.7751281411651927e-41,1.2823359304501902e-59,4.7316762358823514e-20,4.747189608248176e-18,2.8581904787836402e-18,4.621017256349883e-31,1.7357386179677141e-32,1.7296254072603323e-49,1.5096086494884302e-22,3.2433805881491475e-33,3.2806695265117857e-32,3.3752581783860758e-18,1.7103351333073177e-68,2.8969736143031817e-88,1.468406637257491e-70,4.028727773631442e-50,2.8303469468330276e-37,2.060014906512671e-56,4.6884720834095977e-57,7.429954725501877e-93,9.004954040801789e-82,3.5478748119072895e-78,2.326815523527187e-89,9.030865348380001e-47,1.1440329966760083e-22,3.944281381433958e-49,9.818550275037217e-58,8.21948468874791e-55,2.33120873961338e-92,9.088857014239973e-20,1.2135144846385257e-37,2.79944852375879e-97,1.162258620093243e-81,1.4405947229981914e-77,6.388595006909266e-59,6.888277896385307e-64,5.9729849328997295e-24,6.111551672706684e-45,5.973484814930264e-112,9.400184827280837e-123,4.731664599094853e-122,2.6814361781835668e-18,4.127385440973621e-51
