Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27)
0.0,0.12058130662282415,0.0,0.29940338434447233,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.82279546019396e-26,0.12058130662282415,0.0,0.29940338434447233,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,4.204972250128922e-60,1.2857600569452346e-19,9.90709545145626e-57,0.0,-3.512694979036112e-124,4.970678382151756e-40,8.4146923909563e-89,1.1428752579360714e-46,4.91703493825019e-68,6.479256367463004e-64,1.6745877539704886e-25,-9.204913097182192e-110,8.24272099370289e-22,4.696478086427663e-69,1.9642930423407464e-89,-4.2270541737112233e-125,1.285761731533182e-19,1.8907890688345975e-87,2.212583397511883e-19,7.562740984630062e-20,2.425441901169003e-20,6.008135144250577e-20,4.976480426094509e-20,2.4200771150817496e-20,5.364786087234796e-23,9.066003232801171e-35,8.242720993509177e-22,5.4477433368679745e-49,9.066003232801186e-35,2.1808174388467578e-36
2.750382728854309e-25,0.12058130662282415,0.0,0.29940338434447233,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,6.354554070239678e-59,3.600128159446657e-19,1.4971602651018157e-55,0.0,6.781311096979406e-123,3.002289742820087e-39,2.3730778474997696e-87,6.9029665579338735e-46,7.430623198684465e-67,9.791452043430628e-63,4.688845711117369e-25,9.044373875575723e-109,2.307961878236809e-21,7.0973176842102294e-68,5.53962057215561e-88,8.11696981045627e-124,3.6001328482929104e-19,5.3323277003651196e-86,6.195233513032833e-19,2.1175674756963699e-19,6.791237323273566e-20,1.6822778403901457e-19,1.3934145193064354e-19,6.776215922229165e-20,1.5021401044286214e-22,5.475865952612068e-34,2.3079618781825695e-21,6.467560889529836e-48,5.475865952612082e-34,1.3172137330655482e-35
6.286589094524135e-25,0.12058130662282415,0.0,0.29940338434447233,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,6.835939294281345e-58,8.228864364449502e-19,1.6105766938993116e-54,0.0,7.160348297778062e-121,1.4454732735303595e-38,5.161962654401545e-86,3.3234812500780974e-45,7.99352535841546e-66,1.0533197286429546e-61,1.0717361625411128e-24,4.990899621514213e-107,5.275341435969849e-21,7.634970495544576e-67,1.2049884731075256e-86,8.572899489613746e-122,8.228875081812367e-19,1.1598977474360652e-84,1.4160533744072981e-18,4.840154230162907e-19,1.5522828167484112e-19,3.8452064923202557e-19,3.1849474727002944e-19,1.548849353652507e-19,3.4334630958504186e-22,2.636393740098821e-33,5.275341435845875e-21,6.349889633453861e-47,2.636393740098837e-33,6.341817112197966e-35
1.3359001825863785e-24,0.12058130662282415,0.0,0.29940338434447233,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,6.283405940107452e-57,1.748633677445519e-18,1.480397459625739e-53,0.0,5.659658573070388e-119,6.312761545339172e-38,9.56940880162853e-85,1.451451577578811e-44,7.347426967529317e-65,9.681823015277308e-61,2.277439345399865e-24,1.9642633691590995e-105,1.1210100551435929e-20,7.017853274987918e-66,2.2338455501961774e-85,6.776179253150071e-120,1.748635954885128e-18,2.1502549433841125e-83,3.0091134206146256e-18,1.028532773909522e-18,3.29860098559109e-19,8.171063796180215e-19,6.768013379487575e-19,3.291304876512115e-19,7.296109078740069e-22,1.1513824105659973e-32,1.1210100551172492e-20,5.616405470578558e-46,1.1513824105660113e-32,2.7696381473680287e-34
2.7503827288543087e-24,0.12058130662282415,0.0,0.29940338434447233,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,5.375586070192175e-56,3.600128159446657e-18,1.2665111944323763e-52,0.0,4.011365566828729e-117,2.635453678222635e-37,1.6447368735502393e-83,6.059524617577054e-44,6.285878460640488e-64,8.283003426875192e-60,4.6888457111173684e-24,6.940187096311169e-104,2.3079618782368083e-20,6.003921227952761e-65,3.83940975437369e-84,4.8027160299180615e-118,3.6001328482929104e-18,3.695738855165028e-82,6.1952335130264746e-18,2.1175674756956796e-18,6.791237323278725e-19,1.6822778403899085e-18,1.3934145193060384e-18,6.77621592223304e-19,1.5021401044703592e-21,4.8067949140334183e-32,2.3079618781825757e-20,4.7209272118384844e-45,4.8067949140335344e-32,1.1562694061059328e-33
5.5793478213901686e-24,0.12058130662282415,0.0,0.29940338434447233,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,4.444638516477272e-55,7.303117123448933e-18,1.0471759474818126e-51,0.0,2.6994651379289364e-115,1.076668820292477e-36,2.7260307487261584e-82,2.47551352369985e-43,5.197285868228485e-63,6.848547410912261e-59,9.511658442552377e-24,2.3316127185426722e-102,4.681865524423239e-20,4.9641581757240047e-64,6.363540111035214e-83,3.232007718231789e-116,7.303126635108475e-18,6.125416119772805e-81,1.2567473697838947e-17,4.295636879266777e-18,1.3776509998663108e-18,3.412620761933264e-18,2.8266408820198998e-18,1.3746038013681726e-18,3.0471984977367525e-21,1.9637325642395581e-31,4.681865524313239e-20,3.870501354675365e-44,1.963732564239654e-31,4.723737805488395e-33
1.1237278006461889e-23,0.12058130662282415,0.0,0.29940338434447233,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,3.614306226910879e-54,1.4709095051453483e-17,8.515460894341883e-51,0.0,1.7712178212489347e-113,4.3520675161762924e-36,4.438634397333501e-81,1.0006421463354124e-42,4.2263465537040455e-62,5.569125016755886e-58,1.9157283905422394e-23,7.643349938639458e-101,9.429672816796097e-20,4.036770985846139e-63,1.0361375470320323e-81,2.1206384805817372e-114,1.47091142087396e-17,9.973652240554266e-80,2.531195406741898e-17,8.651775686404095e-18,2.774705534946832e-18,6.8733066050183e-18,5.693093607444819e-18,2.768568219660645e-18,6.137315284564295e-21,7.937720998488173e-31,9.429672816574607e-20,3.1344323465432818e-43,7.937720998488947e-31,1.90941034715203e-32
2.2553138376605332e-23,0.12058130662282415,0.0,0.2994033843444723,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070594,0.0,2.9150689092386025e-53,2.9521050907462585e-17,6.86802770504294e-50,0.0,1.1477227969113932e-111,1.7499472071825526e-35,7.163973813766689e-80,4.0235380605742614e-42,3.408701605480799e-61,4.491701081422493e-57,3.844853483116243e-23,2.4754266052954975e-99,1.8925287401541802e-19,3.2558020421568143e-62,1.6723301910892841e-80,1.3741421758164922e-112,2.952108935600184e-17,1.6097514926993502e-78,5.0800914806399435e-17,1.7364053300659224e-17,5.5688146051224516e-18,1.3794678291181676e-17,1.1425999058283448e-17,5.5564970562565296e-18,1.23175488593984e-20,3.1917227021332145e-30,1.8925287401097514e-19,2.5228638419540436e-42,3.191722702133837e-30,7.67765502781733e-32
4.5184859116892214e-23,0.12058130662282415,0.0,0.29940338434447217,0.031075110263184432,0.31940968187635516,0.3504847921395395,0.20701222018021495,0.09201819554070588,0.0,2.3415418761483298e-52,5.914496261948079e-17,5.5167733520595875e-49,0.0,7.391013630552193e-110,7.018070983951484e-35,1.1512313600656902e-78,1.6136187194283941e-41,2.7380545026676864e-60,3.607978577782088e-56,7.70310366826425e-23,7.968978146014289e-98,3.7916516571033163e-19,2.6152372583709065e-61,2.6873897632640537e-79,8.849090942164776e-111,5.91450396505263e-17,2.586827433823543e-77,1.0177883628364181e-16,3.478860852909147e-17,1.1157032745532003e-17,2.7637421663481628e-17,2.289180995991586e-17,1.1132354729492053e-17,2.4678016013782693e-20,1.2800235568474316e-29,3.7916516570144e-19,2.0244393487607854e-41,1.2800235568479316e-29,3.0790830583400636e-31
