Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),HNOH(93),CH3OX(210)
0.0,0.08478463093452131,0.0,0.21052023861041638,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4616487505362156e-25,0.08478463093452131,0.0,0.21052023861041638,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,7.237906337366521e-66,8.758219746790346e-22,2.1945127000006351e-63,0.0,1.1505291209335123e-109,9.93105851686031e-45,1.6831825637920525e-71,5.025266214441947e-50,3.877812042515505e-77,6.757020276989746e-42,1.5466218182308425e-30,-2.0613386756400017e-122,1.327889612218404e-26,8.068834240391117e-80,3.1705808989158483e-72,1.4666911574930685e-118,8.75821976225656e-22,9.611101244566594e-95,2.7607440339273443e-19,9.436386477876722e-20,6.000904346394404e-20,7.496631888846155e-20,6.20938793165783e-20,3.019643672920564e-20,7.544662780498152e-24,2.9918273542110933e-35,1.3240867599966385e-26,7.477714523996539e-50,2.9918273542110917e-35,4.165095857672658e-37,3.8028522561702864e-29,2.980506207195786e-20
4.092616501501404e-25,0.08478463093452131,0.0,0.21052023861041638,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.0937924058282466e-64,2.4523015291012962e-21,3.3163475924323423e-62,0.0,6.999231692261471e-108,5.998359481806729e-44,1.998274340436437e-70,3.0352607935229367e-49,5.860149558649401e-76,4.0812402473018073e-41,4.33054109104636e-30,-2.0206739598157359e-122,3.718090914211531e-26,1.2193622304077808e-78,3.764113907658794e-71,8.922600175176155e-117,2.4523015334318377e-21,3.0218817655398745e-93,7.730083294995995e-19,2.642188213805476e-19,1.6802532169904384e-19,2.099056928876921e-19,1.7386286208641746e-19,8.455002284177596e-20,2.1125055785490423e-23,1.8070637219435016e-34,3.7074429279909087e-26,8.877542682888696e-49,1.8070637219435e-34,2.5157178980437858e-36,1.064798642921782e-28,8.345417380148202e-20
9.35455200343178e-25,0.08478463093452131,0.0,0.21052023861041638,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.1766519575965912e-63,5.60526063794582e-21,3.5675754063561466e-61,0.0,3.1597881926596536e-106,2.88795201920555e-43,1.9619175984556444e-69,1.461347415159719e-48,6.304081481276087e-75,1.9649414965486186e-40,9.898379636677393e-30,-2.0891301684075265e-124,8.498493518197787e-26,1.31173424479166e-77,3.6956298861965775e-70,4.0280888096026205e-115,5.6052606478442e-21,6.741650896443597e-92,1.7668761817131015e-18,6.039287345841059e-19,3.840578781692453e-19,4.797844408861521e-19,3.974008276260884e-19,1.9325719506691738e-19,4.8285841795857347e-23,8.700233946045883e-34,8.474155263980736e-26,8.71602404917038e-48,8.700233946045866e-34,1.2112098754254584e-35,2.433825522307697e-28,1.9075239726053036e-19
1.9878423007292532e-24,0.08478463093452131,0.0,0.21052023861041638,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.0815458683127174e-62,1.1911178855634868e-20,3.279216437559465e-60,0.0,1.1930762216425581e-104,1.2612446390589451e-42,1.7352939003129994e-68,6.382088092341275e-48,5.7945369788896225e-74,8.581415751776981e-40,2.103405672793946e-29,7.81002624873163e-121,1.80592987261703e-25,1.205709762872946e-76,3.268743719609389e-69,1.5209301201263672e-113,1.1911178876668924e-20,1.2626365205884729e-90,3.754611886139193e-18,1.2833485609912124e-18,8.16122991109656e-19,1.0195419368830677e-18,8.44476758705401e-19,4.1067153951720315e-19,1.0260741381812073e-22,3.799620739848113e-33,1.8007579935965535e-25,7.709224565659503e-47,3.799620739848097e-33,5.289671739391517e-35,5.1718794601851565e-28,4.0534884417862703e-19
4.092616501501404e-24,0.08478463093452131,0.0,0.21052023861041638,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,9.252852607949369e-62,2.4523015291012964e-20,2.805438701701772e-59,0.0,4.139337886859482e-103,5.2654490845343395e-42,1.4586190866958709e-67,2.6643961468971207e-47,4.9573483814069326e-73,3.582572150859965e-39,4.33054109104636e-29,2.830100513050989e-119,3.7180909142115344e-25,1.031510086690326e-75,2.747577627136618e-68,5.276816105458471e-112,2.4523015334318375e-20,2.180890526745839e-89,7.730083294987728e-18,2.642188213805385e-18,1.6802532169905079e-18,2.0990569288768813e-18,1.738628620863909e-18,8.455002284177867e-19,2.112505578687656e-22,1.586266863202744e-32,3.707442927995569e-25,6.4800677630630725e-46,1.5862668632027305e-32,2.20833382387056e-34,1.06479880523626e-27,8.345417380148204e-19
8.302164903045705e-24,0.08478463093452131,0.0,0.21052023861041635,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,7.650437468877936e-61,4.9746688161769156e-20,2.3195909704322054e-58,0.0,1.3785738286018884e-101,2.1511085695999227e-41,1.1958640601825415e-66,1.088492763112984e-46,4.0988315074654427e-72,1.4635976200770873e-38,8.784811927551187e-29,9.514661412444256e-118,7.542412997400549e-25,8.528724871248173e-75,2.2526327213435567e-67,1.7574020606996404e-110,4.974668824961726e-20,3.6235821727859734e-88,1.5681026112670197e-17,5.3598675194335676e-18,3.4085136687523333e-18,4.2580869128644365e-18,3.526932345180455e-18,1.715157606219001e-18,4.285368459945277e-22,6.480417722315581e-32,7.52081279680183e-25,5.3127510613629415e-45,6.480417722315472e-32,9.021764232675255e-34,2.160020810240757e-27,1.6929275256872065e-18
1.6721261706134308e-23,0.08478463093452131,0.0,0.21052023861041633,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,6.221208694441422e-60,1.0019403390328154e-19,1.886252854363526e-57,0.0,4.499904295994646e-100,8.695131328674259e-41,9.684417319092678e-66,4.39986178352222e-46,3.3331017101998983e-71,5.916095589477818e-38,1.7693353600560842e-28,3.1191033936270476e-116,1.51910571637786e-24,6.9354174238208456e-74,1.8242445613501793e-66,5.736465963380956e-109,1.00194034080215e-19,5.9073534413965945e-87,3.1582911747976754e-17,1.0795226130689285e-17,6.865034572276475e-18,8.576146880839265e-18,7.10353979381167e-18,3.4544723618216192e-18,8.63109422343942e-22,2.6194884563249665e-31,1.5147552534447258e-24,4.3024035518647623e-44,2.6194884563248776e-31,3.646741348916493e-33,4.350465966525787e-27,3.409699101031978e-18
3.3559455312311514e-23,0.08478463093452131,0.0,0.21052023861041624,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,5.017630190829491e-59,2.010887253863063e-19,1.521331261246581e-56,0.0,1.45429758964511e-98,3.4962793382554106e-40,7.794861762418179e-65,1.769165071859146e-45,2.6882672791779762e-70,2.3788360165953463e-37,3.551043694658015e-28,1.0101744030251825e-114,3.0488345496534803e-24,5.593665405062071e-73,1.468317457734086e-65,1.8539350361195635e-107,2.0108872574141042e-19,9.540391550690964e-86,6.338668301835628e-17,2.1665943353198132e-17,1.377807637932671e-17,1.7212266816787783e-17,1.425675469106659e-17,6.933101873027613e-18,1.732254575434329e-21,1.0532847873595554e-30,3.040103200986976e-24,3.4629486791905057e-43,1.0532847873594836e-30,1.4663386578256732e-32,8.731360864199985e-27,6.843242251721519e-18
6.723584252466593e-23,0.08478463093452131,0.0,0.2105202386104161,0.031075110263184432,0.3194096818763551,0.35048479213953954,0.20701222018021492,0.09201819554070585,0.0,4.0304334397097145e-58,4.028781083523558e-19,1.222016002576382e-55,0.0,4.6768434821252025e-97,1.402168619420844e-39,6.254885947960018e-64,7.0951432165733e-45,2.159362472881884e-69,9.540196386960148e-37,7.114460363861876e-28,3.251988115109012e-113,6.108292216204757e-24,4.493136249920113e-72,1.1782430877210166e-64,5.962031016249006e-106,4.0287810906380084e-19,1.5335900750531605e-84,1.269942255581812e-16,4.340737779820547e-17,2.7604159993435017e-17,3.448450668868028e-17,2.856318448554637e-17,1.3890360895442632e-17,3.47054488318134e-21,4.22414309044751e-30,6.09079909612413e-24,2.7787982261604973e-42,4.224143090446934e-30,5.880673856902809e-32,1.7493168999964942e-26,1.3710328553100593e-17
