Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),HNOH(93),CH3OX(210),CH2X(34)
0.0,0.06662394546715897,0.0,0.1654272565949557,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6693729729115108e-25,0.06662394546715897,0.0,0.1654272565949557,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,6.103578584915741e-72,4.269453194024571e-24,4.584674903524875e-70,0.0,1.7894703249246737e-119,1.4223986539058082e-49,4.3153009197967775e-79,2.1454071371273265e-55,1.1556591129476317e-86,8.409448932235211e-45,1.677576149485976e-35,-6.736848287808047e-133,4.027919742902375e-31,1.5917424557467636e-90,7.008829252570412e-80,9.436533670660595e-131,4.269453194041346e-24,1.758396201852752e-103,2.7950726952464195e-19,9.55372387369958e-20,6.074862079198372e-20,7.589849272994418e-20,6.28659899240264e-20,3.057191639583866e-20,1.0292326122878895e-24,7.082141319692164e-36,4.02335672427323e-31,7.478859565241299e-51,7.08214131969216e-36,6.23890012519251e-38,4.563032403762783e-34,3.017567516353277e-20,1.4306832235734967e-38
4.67424432415223e-25,0.06662394546715897,0.0,0.1654272565949557,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,9.223727957567372e-71,1.1954468943268799e-23,6.928360714223284e-69,0.0,1.0886983764772413e-117,8.596026050977357e-49,5.123125394835448e-78,1.295825910824905e-54,1.7464320929201515e-85,5.079307155070067e-44,4.6972132185607326e-35,-6.7368468436611236e-133,1.1278175280126663e-30,2.4054412570871352e-89,8.321061522224594e-79,5.741121183067157e-129,1.1954468943315769e-23,5.528679005680501e-102,7.826203546689555e-19,2.675042684635882e-19,1.7009613821755449e-19,2.1251577964384369e-19,1.7602477178727318e-19,8.560136590834823e-20,2.8818513144288805e-24,4.2776133570940667e-35,1.1265398828121503e-30,8.878902075854464e-50,4.2776133570940613e-35,3.768295675641142e-37,1.2776535203870996e-33,8.449189045789176e-20,8.641326670383921e-38
1.0683987026633669e-24,0.06662394546715897,0.0,0.1654272565949557,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,9.922465633974712e-70,2.7324500441757257e-23,7.453214297181215e-68,0.0,4.915114662633836e-116,4.143307181182343e-48,5.0299151790649876e-77,6.238843954766265e-54,1.878731947993301e-84,2.4454677494939987e-43,1.0736487356710246e-34,-6.7367758243533524e-133,2.5778686354575297e-30,2.587663933306657e-88,8.170027657401851e-78,2.5919313261841357e-127,2.7324500441864615e-23,1.2334178729503698e-100,1.788846524957415e-18,6.114383279167728e-19,3.887911730686963e-19,4.857503534716426e-19,4.02342335513764e-19,1.9566026493336735e-19,6.5870887188020254e-24,2.0594866957664797e-34,2.574948303644389e-30,8.717358709245241e-49,2.059486695766475e-34,1.814272156443282e-36,2.920371869742823e-33,1.9312432104660974e-19,4.1604268141517285e-37
2.2703472431596548e-24,0.06662394546715897,0.0,0.1654272565949557,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,9.12045540791308e-69,5.806456343873417e-23,6.850788014856649e-67,0.0,1.8560086886474677e-114,1.8135874069068788e-47,4.448903520002197e-76,2.724667064151704e-53,1.7268783391686485e-83,1.0680000143938717e-42,2.281503563300927e-34,-6.734001467726097e-133,5.47797085034728e-30,2.378508972638654e-87,7.226932634597448e-77,9.787487197963223e-126,5.806456343896231e-23,2.3100551710188757e-99,3.801298865533664e-18,1.2993064468231406e-18,8.261812427709808e-19,1.03221950112724e-18,8.549774629667345e-19,4.1577806298340534e-19,1.3997563527912958e-23,8.994319476009028e-34,5.471765145559201e-30,7.710405057381128e-48,8.994319476008985e-34,7.92340315937992e-36,6.205879725790595e-33,4.103891822240457e-19,1.816967693938341e-36
4.67424432415223e-24,0.06662394546715897,0.0,0.1654272565949557,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,7.802741620051946e-68,1.1954468943268799e-22,5.860993380582393e-66,0.0,6.440430199139388e-113,7.605556957999887e-47,3.7395723254323394e-75,1.1374948641049086e-52,1.4773807755212955e-82,4.458689823871108e-42,4.697213218560734e-34,-6.636268270511688e-133,1.1278175280126866e-29,2.0348645013833272e-86,6.07574040470119e-76,3.396321596314714e-124,1.1954468943315767e-22,3.9900458377700026e-98,7.826203546683482e-18,2.6750426846358724e-18,1.7009613821755532e-18,2.1251577964384325e-18,1.7602477178726307e-18,8.5601365908348065e-19,2.881851314759341e-23,3.754951327700766e-33,1.1265398830390168e-29,6.481060037484992e-47,3.7549513277007295e-33,3.3078648467239596e-35,1.2777180067231436e-32,8.449189045789177e-19,7.58548245138668e-36
9.48203848613738e-24,0.06662394546715897,0.0,0.16542725659495566,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,6.451457661687296e-67,2.425049414205956e-22,4.845982667564709e-65,0.0,2.145647308958607e-111,3.135046538807942e-46,3.0659287219573936e-74,4.647037675303274e-52,1.2215269952139641e-81,1.8215202765178752e-41,9.528632529080344e-34,-3.3577845454192777e-133,2.2878584139686395e-29,1.6824653205368425e-85,4.983010188036858e-75,1.131508225314197e-122,2.425049414215484e-22,6.629520835624948e-97,1.587601290897239e-17,5.426515160261319e-18,3.4505216609847125e-18,4.3110343870608085e-18,3.5707882276842446e-18,1.7364848512836278e-18,5.846041239278865e-23,1.534020138410584e-32,2.2852666204057465e-29,5.313564587884612e-46,1.5340201384105541e-32,1.3513707230108988e-34,2.5920919267494314e-32,1.7139783492886612e-18,3.098917089589135e-35
1.9097626810107682e-23,0.06662394546715897,0.0,0.16542725659495564,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,5.246218227386713e-66,4.884254453964109e-22,3.9406726252203154e-64,0.0,7.008418766101535e-110,1.2898131663045762e-45,2.4828708265470124e-73,1.8784069280975563e-51,9.933254657948928e-81,7.362876193720669e-41,1.9191471150119564e-33,1.0403354446052499e-131,4.607940185880686e-29,1.368152856837423e-84,4.038206978000457e-74,3.695985949759107e-121,4.884254453983297e-22,1.08077921667222e-95,3.1975631633507295e-17,1.0929460111512148e-17,6.949642218603088e-18,8.68278756830553e-18,7.191869247306757e-18,3.4974272356839115e-18,1.1774421090651644e-22,6.200754668173692e-32,4.602720096741352e-29,4.303062366733923e-45,6.200754668173451e-32,5.462456529227974e-34,5.221295173754484e-32,3.4520972387081473e-18,1.2526318350333268e-34
3.8328803458048286e-23,0.06662394546715897,0.0,0.16542725659495555,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,4.231265057694554e-65,9.802664533480415e-22,3.1782952329101284e-63,0.0,2.2680174268147495e-108,5.367844132092524e-45,1.99843408082911e-72,7.552991642542237e-51,8.011529738921313e-80,2.9605801343891308e-40,3.8517148392198006e-33,3.5807474247435012e-130,9.248103729705344e-29,1.1034648438386517e-83,3.254865799224296e-73,1.1961300134747529e-119,9.802664533518917e-22,1.7454613218325137e-94,6.41748690824055e-17,2.1935350014013536e-17,1.3947883333840068e-17,1.742629393079483e-17,1.443403128654892e-17,7.019312004484427e-18,2.3631180802732138e-22,2.493296180162789e-31,9.237627055821151e-29,3.4634789507125066e-44,2.493296180162594e-31,2.1964297466341052e-33,1.04815232955745e-31,6.928335017547115e-18,5.0367775159194275e-34
7.679115675392949e-23,0.06662394546715897,0.0,0.1654272565949554,0.031075110263184432,0.3194096818763551,0.35048479213953954,0.20701222018021492,0.09201819554070585,0.0,3.398782200405273e-64,1.9639484692513027e-21,2.5529795741832415e-62,0.0,7.313012313461215e-107,2.298374235264306e-44,1.6036233261807164e-71,3.0290874644672482e-50,6.435296371810349e-79,1.1873250490729271e-39,7.716850287635489e-33,1.1548278608115617e-128,1.8528430817356922e-28,8.86362971540471e-83,2.6191518728451656e-72,3.8571949974120157e-118,1.963948469259014e-21,2.80577809668817e-93,1.2857334397951548e-16,4.3947129819015245e-17,2.794436556431496e-17,3.49133066557729e-17,2.8918355365021814e-17,1.406308154208526e-17,4.734470026423286e-22,9.999232836424512e-31,1.850744099961508e-28,2.7792237356610893e-43,9.99923283642295e-31,8.808665669143219e-33,2.1009266050454166e-31,1.388081057522504e-17,2.0199730592640708e-33
