Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),HNOH(93),CH3OX(210),CH2X(34),CHX(35)
0.0,0.10125681075141572,0.0,0.2514206610957652,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3666253033939194e-25,0.10125681075141572,0.0,0.2514206610957652,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.013965569033099e-62,1.7244339083846055e-20,1.7239328345796782e-59,0.0,5.2756502944323983e-104,7.988727869610477e-42,4.462337988399562e-67,6.798557782790342e-47,8.710154337261529e-72,3.5915193786134495e-40,1.1488318106194469e-27,-5.377202222006271e-116,6.601636127907239e-24,1.264757310313983e-73,9.369403123937291e-68,1.3002563762987479e-111,1.7244340232677886e-20,1.3130573753240581e-89,2.8208898968815267e-19,9.641968596648451e-20,6.13341957993517e-20,7.659954307970692e-20,6.344666317113812e-20,3.0854299509275667e-20,2.5497967929147256e-23,7.365539007731999e-35,6.568200290342541e-24,3.3713792197171887e-49,7.365539007732e-35,1.3731096630077618e-36,3.3435837555708506e-26,3.045439832214676e-20,8.64740630098689e-36,1.4306108774111712e-44
3.8265508495029747e-25,0.10125681075141572,0.0,0.2514206610957652,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,3.0435047371882616e-61,4.828414943476896e-20,2.605207286422872e-58,0.0,3.2094354887272696e-102,4.825191633494817e-41,5.297687659970463e-66,4.106328900805368e-46,1.316278523446963e-70,2.1692777046825236e-39,3.216729069734452e-27,2.822489032032018e-115,1.848458115814027e-23,1.9113012473464924e-72,1.1123355415177395e-66,7.910093992754255e-110,4.8284152651498077e-20,4.1280535488136056e-88,7.898491711267597e-19,2.6997512070615413e-19,1.7173574823818673e-19,2.144787206231785e-19,1.7765065687918359e-19,8.6392038625973e-20,7.139431020187474e-23,4.448785560670167e-34,1.8390960812959185e-23,4.0025014096482793e-48,4.448785560670168e-34,8.293582364592321e-36,9.362034518558735e-26,8.52723153020109e-20,5.223033397452758e-35,1.6984212311779955e-43
8.746401941721084e-25,0.10125681075141572,0.0,0.2514206610957652,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,3.274063511077796e-60,1.1036377013661476e-19,2.8025631154137786e-57,0.0,1.4488926001063908e-100,2.3231220648507125e-40,5.201301159704434e-65,1.9770206032354324e-45,1.4159923702999332e-69,1.0444138353007904e-38,7.352523587964462e-27,1.6806865043022992e-113,4.225047121860633e-23,2.056090664231237e-71,1.092097636028077e-65,3.570994555173443e-108,1.1036377748913844e-19,9.2092620590131e-87,1.8053695340037025e-18,6.17085990185483e-19,3.925388531158644e-19,4.902370757101176e-19,4.060586442952619e-19,1.974675168593723e-19,1.6318699474837935e-22,2.1418987434485237e-33,4.2036481858192737e-23,3.929679618502456e-47,2.1418987434485258e-33,3.993002900064727e-35,2.139893605637591e-25,1.9490814926173906e-19,2.5146657398120018e-34,1.667520031008365e-42
1.8586104126157302e-24,0.10125681075141572,0.0,0.2514206610957652,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,3.0094284379726006e-59,2.345230115403064e-19,2.5760383420943816e-56,0.0,5.4707428225956404e-99,1.014568439817447e-39,4.600491973401977e-64,8.63416838414374e-45,1.3015409423083165e-68,4.5612296108390734e-38,1.5624112624424482e-26,6.623380549019876e-112,8.978225133953846e-23,1.8899015536559796e-70,9.659480008213999e-65,1.348339610535695e-106,2.3452302716441923e-19,1.7247781097256254e-85,3.836410259756502e-18,1.3113077291440996e-18,8.3414506287125e-19,1.0417537858839798e-18,8.628746191273679e-19,4.196184733261893e-19,3.4677236384558725e-22,9.354234539820244e-33,8.932752394866092e-23,3.4757571203598447e-46,9.35423453982026e-33,1.7438492720592845e-34,4.547273917937589e-25,4.14179817181195e-19,1.0982205872931832e-33,1.4749025740014184e-41
3.826550849502975e-24,0.10125681075141572,0.0,0.2514206610957652,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.5746293880252216e-58,4.828414943476896e-19,2.203855036581361e-55,0.0,1.8980548611968516e-97,4.2356235198454286e-39,3.8669907049284935e-63,3.604595336435441e-44,1.1134956782903097e-67,1.9042235745408435e-37,3.216729069734452e-26,2.340268314807278e-110,1.848458115814027e-22,1.6168505684176732e-69,8.11937513161293e-64,4.67801656501162e-105,4.828415265149807e-19,2.9791130545404423e-84,7.898491711257758e-18,2.6997512070611685e-18,1.7173574823821429e-18,2.14478720623164e-18,1.7765065687913765e-18,8.639203862598967e-19,7.139431020567973e-22,3.9052087819000516e-32,1.8390960812960157e-22,2.9215832897397856e-45,3.905208781900065e-32,7.280227433621995e-34,9.36203456148384e-25,8.527231530201049e-19,4.584854704393882e-33,1.2397444672454946e-40
7.762431723277462e-24,0.10125681075141572,0.0,0.2514206610957652,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,2.128753366468344e-57,9.794784599624561e-19,1.8221899626225224e-54,0.0,6.321315387032347e-96,1.7303904143232014e-38,3.170392615028773e-62,1.4725948099835204e-43,9.206597597055747e-67,7.779374634851809e-37,6.525364684318461e-26,7.862330560346514e-109,3.749729320651312e-22,1.3368433167920552e-68,6.656754542902769e-63,1.5579748906496718e-103,9.794785252161037e-19,4.949830812587413e-83,1.602265461424291e-17,5.476638162894649e-18,3.483782321404415e-18,4.350854046926705e-18,3.6037704681185846e-18,1.752524212127606e-18,1.4482845785463956e-21,1.5954052112312435e-31,3.730737764915e-22,2.3952904955565447e-44,1.595405211231254e-31,2.9742104547617637e-33,1.8991555924361353e-24,1.7298098246979179e-18,1.8730626958759692e-32,1.016417390625986e-39
1.5634193470826437e-23,0.10125681075141572,0.0,0.25142066109576516,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,1.7310668841706742e-56,1.972752391191989e-18,1.4817746154395079e-53,0.0,2.063382775639653e-94,6.994514732234922e-38,2.5674661398820562e-61,5.952463669606524e-43,7.486652266622235e-66,3.144547608906191e-36,1.3142635913486477e-25,2.5773810981813482e-107,7.55227173032588e-22,1.0870987834833489e-67,5.3908128347555705e-62,5.085489916858868e-102,1.9727525226183486e-18,8.069465273588502e-82,3.227098042014372e-17,1.1030412074558977e-17,7.0166319994509e-18,8.762987728315805e-18,7.258298266769755e-18,3.5297318638641986e-18,2.9169675317943013e-21,6.44888294714553e-31,7.514021132153654e-22,1.9397683454020733e-43,6.448882947145615e-31,1.2022234194742483e-32,3.825059895325643e-24,3.483983168053514e-18,7.571218481420899e-32,8.231211134964867e-39
3.137771696592439e-23,0.10125681075141572,0.0,0.2514206610957651,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,1.3961681542881727e-55,3.959300253651055e-18,1.1951049083238555e-52,0.0,6.668497551381313e-93,2.812463620421323e-37,2.0665201175089297e-60,2.393459461662473e-42,6.038256275634968e-65,1.2644087633183323e-35,2.637717837182251e-25,8.347279398557846e-106,1.5157356549675019e-21,8.767845517373073e-67,4.338995832243334e-61,1.6435427159137472e-100,3.959300517422838e-18,1.3032201324112255e-80,6.476763203166743e-17,2.21379598978771e-17,1.4082331355551646e-17,1.7587255091089905e-17,1.4567353864059128e-17,7.084147167342091e-18,5.854333439364958e-21,2.593067469831161e-30,1.5080587866633703e-21,1.5612943204125465e-42,2.5930674698312284e-30,4.834087495009829e-32,7.676868622360684e-24,6.99232985476459e-18,3.044353320404632e-31,6.625194147186184e-38
6.286476395612029e-23,0.10125681075141572,0.0,0.25142066109576494,0.031075110263184432,0.3194096818763551,0.35048479213953954,0.20701222018021492,0.09201819554070585,0.0,1.121478188405627e-54,7.932395978569187e-18,9.59973254958709e-52,0.0,2.1444894982629157e-91,1.1279237099852725e-36,1.65825225522881e-59,9.598842942174993e-42,4.850255815052997e-64,5.070844661547677e-35,5.284626328849457e-25,2.6871847852502766e-104,3.0367526188373272e-21,7.042810335447899e-66,3.4817719745836093e-60,5.2853886793976634e-99,7.932396507031808e-18,2.0948877662054317e-79,1.2976093525360317e-16,4.4353055544471236e-17,2.8213730067784223e-17,3.5235789816621684e-17,2.918546505858597e-17,1.4192977774316685e-17,1.1729065258805637e-20,1.0399360331807565e-29,3.0213721335604762e-21,1.252840365250691e-41,1.0399360331808106e-29,1.9386852961573157e-31,1.5380486561454855e-23,1.4009023228186275e-17,1.220921577582338e-30,5.316299982211243e-37
