Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),HNOH(93),CH3OX(210),CH2X(34),CHX(35),CX(33)
0.0,0.09466578726852673,0.0,0.23505514978775185,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4336875868206754e-25,0.09466578726852673,0.0,0.23505514978775185,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.3245062518449525e-63,6.209525251747508e-21,7.648219274258526e-61,0.0,5.876022744323812e-106,7.612899240105312e-43,1.2850489773348579e-68,5.500401292513156e-48,1.2397382128261585e-73,9.115430760528737e-41,1.1290387600280287e-28,-2.061889552697802e-118,7.316029630342262e-25,8.63679170887012e-76,2.58961866460395e-69,5.179605741056149e-114,6.209525364651384e-21,2.1406493183031374e-91,2.861380453896018e-19,9.78036771659502e-20,6.22055590750068e-20,7.769903943714425e-20,6.435736540568838e-20,3.129717669310443e-20,1.6846987171425438e-23,5.583089134393068e-35,7.285878313459935e-25,2.091576364957496e-49,5.583089134393067e-35,9.35648998473966e-37,3.0151316904470326e-27,3.0891535394730816e-20,3.813201815720213e-36,9.150996391895601e-45,3.081636968877515e-51
4.0143252430978914e-25,0.09466578726852673,0.0,0.23505514978775185,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.0015938434917723e-62,1.7386670704893017e-20,1.1557988954816478e-59,0.0,3.574671473592496e-104,4.598191161181635e-42,1.5256101459971583e-67,3.322242380677945e-47,1.8734923872228802e-72,5.505720179359356e-40,3.1613085280784794e-28,5.645779346269935e-119,2.048488296495833e-24,1.3051919630444366e-74,3.0743953037463286e-68,3.1510070206945105e-112,1.7386671021023876e-20,6.730420275821782e-90,8.01186527090818e-19,2.738502960646589e-19,1.7417556541002022e-19,2.175573104240032e-19,1.802006231359247e-19,8.763209474069304e-20,4.7171564080181517e-23,3.372185837173427e-34,2.0400459277688062e-24,2.4831194604775482e-48,3.372185837173426e-34,5.651319950801776e-36,8.44236874290325e-27,8.649629910524629e-20,2.3031738913581458e-35,1.086406289329927e-43,3.658625070817024e-50
9.175600555652323e-25,0.09466578726852673,0.0,0.23505514978775185,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.1532233185804543e-61,3.974096161118404e-20,1.2433557095530626e-58,0.0,1.613777601839092e-102,2.213831129197192e-41,1.4978530882959712e-66,1.5995166958628253e-46,2.015417617827218e-71,2.6507672651617565e-39,7.2258480641793815e-28,1.2972726914824482e-116,4.6822589634190466e-24,1.4040659545275797e-73,3.0184595905650184e-67,1.422515214280535e-110,3.9740962333768855e-20,1.5015137404266848e-88,1.831283490492982e-18,6.259435338620699e-19,3.981155780800519e-19,4.972738523977185e-19,4.118871385963864e-19,2.0030193083587287e-19,1.0782071789845484e-22,1.623562320281526e-33,4.662962120614527e-24,2.4379414109944867e-47,1.623562320281525e-33,2.7208672875908267e-35,1.929684288642192e-26,1.9770582652627719e-19,1.1088790800061435e-34,1.066640132260004e-42,3.592283601155643e-49
1.9498151180761186e-24,0.09466578726852673,0.0,0.23505514978775185,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.979183197460667e-60,8.444954342376608e-20,1.1428581083972298e-57,0.0,6.093317357112872e-101,9.668382346446078e-41,1.3248340943240356e-65,6.9855096414917045e-46,1.8525160166618615e-70,1.1576597065871488e-38,1.5354927136381187e-27,5.17544482403857e-115,9.949800297265477e-24,1.2905785114730278e-72,2.6697934139124315e-66,5.371146959316293e-109,8.444954495925882e-20,2.812164597358133e-87,3.8914774172962355e-18,1.3301300094568658e-18,8.459956034201345e-19,1.0567069363451382e-18,8.752601695172658e-19,4.25641603026243e-19,2.2911902553804603e-22,7.090523200679429e-33,9.908794506306355e-24,2.1563315692166442e-46,7.090523200679418e-33,1.1882742280914218e-34,4.1005791327884204e-26,4.2012488136833876e-19,4.842766223243293e-34,9.434311089422397e-42,3.1777323049150226e-48
4.014325243097891e-24,0.09466578726852673,0.0,0.23505514978775185,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.6932328943918877e-59,1.7386670704893016e-19,9.777391730309731e-57,0.0,2.114054986526858e-99,4.036359457339988e-40,1.1136028841481502e-64,2.916312765290474e-45,1.584866454418398e-69,4.833001389232328e-38,3.1613085280784795e-27,1.829226400694683e-113,2.0484882964958335e-23,1.1041170879118911e-71,2.2441223810905495e-65,1.8635005173325045e-107,1.7386671021023872e-19,4.857311313136251e-86,8.01186527089845e-18,2.7385029606463527e-18,1.741755654100377e-18,2.1755731042399355e-18,1.802006231358849e-18,8.763209474070248e-19,4.717156408294069e-22,2.9601538590554146e-32,2.040045927769155e-23,1.812526612650444e-45,2.9601538590554063e-32,4.960810990174334e-34,8.442368882850854e-26,8.649629910524611e-19,2.021759528245619e-33,7.930106783741334e-41,2.671745257388172e-47
8.143345493141437e-24,0.09466578726852673,0.0,0.23505514978775183,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,1.3999977009966721e-58,3.5270103429925833e-19,8.08413655883684e-56,0.0,7.040686639429392e-98,1.6489846642187282e-39,9.129989265038316e-64,1.1914089215635193e-44,1.3103982328253337e-68,1.974438764453559e-37,6.412940156959201e-27,6.145495269160057e-112,4.1555048300344067e-23,9.129053598165428e-71,1.83986735741506e-64,6.206235579668515e-106,3.527010407121985e-19,8.07049234367088e-85,1.625264097808569e-17,5.555248863024912e-18,3.533275755461172e-18,4.41330544002936e-18,3.655498355041311e-18,1.7776796361687554e-18,9.569088714608426e-22,1.2093194388662543e-31,4.13837888204681e-23,1.486018825296363e-44,1.2093194388662473e-31,2.0266531568792273e-33,1.7125948630055629e-25,1.7546392104207025e-18,8.259547030585748e-33,6.5015804174351995e-40,2.191556566562888e-46
1.6401385993228526e-23,0.09466578726852673,0.0,0.2350551497877518,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,1.1384548798770515e-57,7.103696887999147e-19,6.573885591703727e-55,0.0,2.298197958997389e-96,6.665460654950017e-39,7.39370203441507e-63,4.815865350857307e-44,1.0655940803904511e-67,7.980997171519349e-37,1.2916203414720645e-26,2.014579179296951e-110,8.369537897111553e-23,7.423594774542769e-70,1.489972684999662e-63,2.025819191537704e-104,7.103697017161178e-19,1.3156936919643192e-83,3.273419239239143e-17,1.1188740667780358e-17,7.116315958183993e-18,8.888770111607527e-18,7.362482602403423e-18,3.580397013692883e-18,1.927295332918569e-21,4.888262525441048e-31,8.335044790604587e-23,1.20341657236497e-43,4.888262525440991e-31,8.192056095007002e-33,3.4493109112784803e-25,3.5339916491571714e-18,3.3386407048473345e-32,5.26514799695832e-39,1.7765583706382818e-45
3.2917466993402704e-23,0.09466578726852673,0.0,0.23505514978775172,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,9.182051039811853e-57,1.4257069978012275e-18,5.302076885069552e-54,0.0,7.42738239692171e-95,2.680153211529234e-38,5.951094661607622e-62,1.936438276634426e-43,8.594402296315149e-67,3.20912386096713e-36,2.5922729930243533e-26,6.524551384648453e-109,1.6797604031265856e-22,5.987398123858351e-69,1.1992602809517057e-62,6.547101005698028e-103,1.4257070237239557e-18,2.1248486258389124e-82,6.569729522072797e-17,2.2455724277284584e-17,1.428239636363458e-17,1.7839699454761137e-17,1.477645109711639e-17,7.185831768743811e-18,3.868068256613443e-21,1.9655488621208072e-30,1.672837660773e-22,9.686143523152357e-43,1.9655488621207613e-30,3.2939897265866003e-32,6.922743403152168e-25,7.092696526630057e-18,1.3424525314681897e-31,4.237848537763062e-38,1.432792606083422e-44
6.594962899375106e-23,0.09466578726852673,0.0,0.23505514978775158,0.031075110263184432,0.3194096818763551,0.35048479213953954,0.20701222018021492,0.09201819554070585,0.0,7.375522736533344e-56,2.856381615803853e-18,4.2589164933981595e-53,0.0,2.388537259323337e-93,1.0748619506213462e-37,4.775378722053275e-61,7.765983582491566e-43,6.903491308047191e-66,1.2870021998205527e-35,5.193578296128931e-26,2.100405938096944e-107,3.3653736299574493e-22,4.80940378176108e-68,9.62331874796109e-62,2.105451775320524e-101,2.856381667739629e-18,3.4156319457214674e-81,1.3162350087630122e-16,4.498969149626635e-17,2.8614557174555523e-17,3.5741558141057466e-17,2.9604388086497303e-17,1.4396701278856337e-17,7.749614107120877e-21,7.88273005032435e-30,3.351504024202027e-22,7.772520165322422e-42,7.88273005032398e-30,1.3210372082589165e-31,1.3869609968210953e-24,1.4210106281575618e-17,5.383833376717821e-31,3.400605553776095e-37,1.154321990578987e-43
1.320139529944478e-22,0.09466578726852673,0.0,0.23505514978775127,0.031075110263184432,0.31940968187635504,0.3504847921395395,0.20701222018021487,0.09201819554070571,0.0,5.912394379920391e-55,5.717730851809103e-18,3.414048717576448e-52,0.0,7.662226151925227e-92,4.305059379452251e-37,3.826114175209376e-60,3.110444148524484e-42,5.534002764217896e-65,5.15472176711132e-35,1.0396188902338083e-25,6.741447072779735e-106,6.73660008361919e-22,3.8553324158576444e-67,7.710381997884499e-61,6.754112443279172e-100,5.717730955770964e-18,5.477743788357788e-80,2.6347591218304855e-16,9.005762593412312e-17,5.727887879647645e-17,7.154527551360654e-17,5.926026206507903e-17,2.8818440299124083e-17,1.5512705820606484e-20,3.157203630295733e-29,6.7088367510758595e-22,6.227474463800263e-41,3.1572036302954367e-29,5.291039331383234e-31,2.7763349423574152e-24,2.844492579146589e-17,2.156340180659708e-30,2.7246210045161863e-36,9.322273151158825e-43
2.641426009958412e-22,0.09466578726852673,0.0,0.23505514978775066,0.031075110263184432,0.31940968187635493,0.3504847921395394,0.20701222018021478,0.09201819554070545,0.0,4.7347106667725405e-54,1.1440429323819603e-17,2.7340078894074126e-51,0.0,2.454949306491941e-90,1.7231497867418984e-36,3.0632178916234088e-59,1.2449882645490728e-41,4.431690485106641e-64,2.063232066106428e-34,2.080141011475638e-25,2.1604922738668935e-104,1.3479052990942722e-21,3.087392744859638e-66,6.173020168923693e-60,2.1639934083152887e-98,1.144042953183359e-17,8.774589563886698e-79,5.271807347789464e-16,1.8019349480940966e-16,1.146075220406345e-16,1.4315271025853038e-16,1.185720100215221e-16,5.766191833983036e-17,3.103888929746064e-20,1.2637042431332946e-28,1.3423502204886636e-21,4.9857661421284695e-40,1.2637042431330572e-28,2.117794621085908e-30,5.555085363528308e-24,5.691456481124305e-17,8.630969399402687e-30,2.1813509050020035e-35,7.58141679982289e-42
5.283998969986282e-22,0.09466578726852673,0.0,0.23505514978774947,0.031075110263184432,0.3194096818763547,0.35048479213953926,0.20701222018021462,0.09201819554070492,0.0,3.789687535943737e-53,2.2885826267840595e-17,2.188314418950951e-50,0.0,7.860747670320271e-89,6.89487649695481e-36,2.451505464199019e-58,4.981574730508556e-41,3.547148574976678e-63,8.255615748644851e-34,4.161185253959298e-25,6.918746432240907e-103,2.6963958805590004e-21,2.4711655320077416e-65,4.940334383229031e-59,6.929109582649188e-97,2.2885826683958667e-17,1.4047508252872407e-77,1.0545903799003554e-15,3.6046523255827477e-16,2.2926480853021534e-16,2.8636757974768087e-16,2.3719550593152675e-16,1.1534887442192605e-16,6.20912564507007e-20,5.056463023561195e-28,2.685283311276064e-21,3.990128189833993e-39,5.056463023559295e-28,8.473937070697557e-30,1.1112596326263104e-23,1.1385384285078375e-16,3.4535032664331705e-29,1.7457395437963188e-34,6.256196524484237e-41
1.056914489004202e-21,0.09466578726852673,0.0,0.23505514978774708,0.031075110263184432,0.3194096818763542,0.3504847921395389,0.20701222018021426,0.09201819554070387,0.0,3.032517817251459e-52,4.5776620155882563e-17,1.7510948863926833e-49,0.0,2.516255346248002e-87,2.7584258450473974e-35,1.9615771231235134e-57,1.9929542728692423e-40,2.838437510225009e-62,3.3027838728707104e-33,8.323273738926607e-25,2.2148265969131358e-101,5.393377043488539e-21,1.9774330823095085e-64,3.953085554897307e-58,2.2180361635766584e-95,4.577662098820812e-17,2.248254730531325e-76,2.1094096698616253e-15,7.210087080491732e-16,4.585793815144362e-16,5.727973187231929e-16,4.744424977400101e-16,2.3072278658885005e-16,1.2419599155530803e-19,2.0229144665428522e-27,5.371149492951843e-21,3.19270879187656e-38,2.022914466541331e-27,3.390126642819158e-29,2.2227658733304744e-23,2.2773239892981085e-16,1.3816192007901386e-28,1.396850253056008e-33,5.307977335495456e-40
2.11394367301535e-21,0.09466578726852673,0.0,0.23505514978774228,0.031075110263184432,0.31940968187635327,0.3504847921395383,0.20701222018021356,0.09201819554070176,0.0,2.4263214066977838e-51,9.155820793196641e-17,1.401053271259792e-48,0.0,8.053516518062508e-86,1.1034811632895586e-34,1.5694111540312425e-56,7.97246589901195e-40,2.271037503375634e-61,1.32122107148726e-32,1.6647450708861192e-24,7.088769774858296e-100,1.0787339369347953e-20,1.5821467529805057e-63,3.1628766372358685e-57,7.099048480485314e-94,9.15582095967042e-17,3.597730382528875e-75,4.219048248657971e-15,1.4420956590036423e-15,9.172085275031143e-16,1.145656796663061e-15,9.48936481310873e-16,4.61470610933628e-16,2.484054649570312e-19,8.092316427424672e-27,1.0742881856707312e-20,2.5544095554461867e-37,8.092316427412504e-27,1.3561610428350077e-28,4.445794547367622e-23,4.554895110876476e-16,5.5268707111297705e-28,1.1175757145975122e-32,4.730135638427192e-39
4.228002041037645e-21,0.09466578726852673,0.0,0.23505514978773268,0.031075110263184432,0.3194096818763514,0.3504847921395371,0.20701222018021215,0.09201819554069754,0.0,1.9411799940165532e-50,1.8312138348413379e-16,1.1209135661967676e-47,0.0,2.577489008103921e-84,4.414272463346609e-34,1.255589250876804e-55,3.189116125732092e-39,1.816945007798454e-60,5.28509933827963e-32,3.329580464873024e-24,2.268618296953315e-98,2.1575264021068118e-20,1.2657975221279227e-62,2.530594100597415e-56,2.2720232032882354e-92,1.8312138681368512e-16,5.756786897236718e-74,8.438325401745894e-15,2.8842695608032694e-15,1.8344668195614156e-15,2.291375752498173e-15,1.897924448268183e-15,9.229662596669046e-16,4.968244245305116e-19,3.23705828800517e-26,2.1486346585833908e-20,2.0436246583710193e-36,3.2370582879954357e-26,5.4248650701331e-28,8.8919166659572e-23,9.11003735402452e-16,2.2107935403598847e-27,8.940860649890126e-32,4.5576644984037377e-38
8.456118777082234e-21,0.09466578726852673,0.0,0.2350551497877135,0.031075110263184432,0.31940968187634755,0.3504847921395346,0.20701222018020934,0.0920181955406891,0.0,1.5529931441765073e-49,3.6624773458846734e-16,8.96759233499216e-47,0.0,8.249339106376771e-83,1.7658794646516522e-33,1.0044964000075355e-54,1.2756724039803143e-38,1.45360200968187e-59,2.1140827465402072e-31,6.659251252846782e-24,7.259917718761924e-97,4.3151113324513806e-20,1.0126700665778085e-61,2.0247996093905943e-55,7.271730933457209e-91,3.662477412476018e-16,9.211193677417949e-73,1.6876879689902656e-14,5.76861736396528e-15,3.668983404001801e-15,4.5828136639899056e-15,3.79590038144514e-15,1.8459575573083405e-15,9.936623947576094e-19,1.2948496591539898e-25,4.297327605054972e-20,1.6349385334262463e-35,1.2948496591462047e-25,2.169990304212943e-27,1.7784419985197537e-22,1.8220321840285826e-15,8.842996463063772e-27,7.1525870896205515e-31,4.8835815552548704e-37
1.6912352249171413e-20,0.09466578726852673,0.0,0.23505514978767514,0.031075110263184432,0.31940968187633995,0.35048479213952966,0.20701222018020374,0.09201819554067223,0.0,1.2424141752264838e-48,7.325004367971291e-16,7.174187391894802e-46,0.0,2.640515478556951e-81,7.064666055515655e-33,8.03608508029702e-54,5.102741523758102e-38,1.1629000094034971e-58,8.45641700935557e-31,1.3318592828794104e-23,2.3232279384146568e-95,8.630281193142661e-20,8.101488730080264e-61,1.6203009574239726e-54,2.3276236837625617e-89,7.325004501152548e-16,1.4738177602773928e-71,3.375398819413987e-14,1.1537312968540333e-14,7.3380165741777e-15,9.165689486259397e-15,7.591852244848405e-15,3.691940153290743e-15,1.987338539532352e-18,5.179451325595819e-25,8.594713500583182e-20,1.3079663497800838e-34,5.179451325533651e-25,8.680050534878265e-27,3.5570462951923334e-22,3.644089081266935e-15,3.5369485034978837e-26,5.721703689179303e-30,5.8864986438195736e-36
