Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),HNOH(93),CH3OX(210),CH2X(34),CHX(35),CX(33),SX(680)
0.0,0.06210963536780779,0.0,0.15421822461826673,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.791115544084356e-25,0.06210963536780779,0.0,0.15421822461826673,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,4.8860483608681495e-74,6.684841703036373e-25,2.467462420668973e-72,0.0,8.021937836259897e-123,3.450017483406252e-51,1.123038929384557e-81,3.1912519469788753e-57,5.731173361135174e-90,9.02037740344972e-46,3.303894486663952e-37,-1.728549062154159e-136,1.2067271652136479e-32,3.4146016802627544e-94,1.7469870935490297e-82,5.993268098310575e-135,6.684841703039677e-25,1.9588562535971262e-106,2.8955271958378525e-19,9.897083301221092e-20,6.293139113507332e-20,7.862627336899331e-20,6.512538433360425e-20,3.167066656390751e-20,5.400910356916737e-25,4.595415641894553e-36,1.2057240214885734e-32,3.8317869434844966e-51,4.59541564189455e-36,3.4917127000721274e-38,1.0031655531291017e-35,3.1260184480130135e-20,3.8998074242449634e-39,1.737787977322199e-46,4.477775704323082e-56,7.362731241198155e-80
5.015123523436197e-25,0.06210963536780779,0.0,0.15421822461826673,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,7.3837962829443e-73,1.871755676850185e-24,3.728829210115088e-71,0.0,4.882601967429697e-121,2.1185335438865813e-50,1.3332719865635638e-80,1.9275161759752406e-56,8.660910623325998e-89,5.4483079516836314e-45,9.250904562659067e-37,-1.728549054856551e-136,3.378836062598225e-32,5.160120408836012e-93,2.0743450651514136e-81,3.647905915829036e-133,1.8717556768511098e-24,6.158957548278952e-105,8.107476148345595e-19,2.7711833243419053e-19,1.7620789517820533e-19,2.2015356543318137e-19,1.8235107613409143e-19,8.867786637894101e-20,1.5122548999514747e-24,2.7756310477043093e-35,3.3760272604229106e-32,4.549097459304793e-50,2.7756310477043066e-35,2.108994470860775e-37,2.8089340167651966e-35,8.752851654436438e-20,2.3554835828961707e-38,2.063101805361232e-45,5.566710062174757e-55,4.686864147721104e-78
1.1463139482139879e-24,0.06210963536780779,0.0,0.15421822461826673,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,7.943151099296536e-72,4.278298689943279e-24,4.011304308033313e-70,0.0,2.204918276456355e-119,1.0543581791804138e-49,1.309014682975906e-79,9.280160661814569e-56,9.3170071128097e-88,2.6231257489231787e-44,2.1144924714649294e-36,-1.7285486959798185e-136,7.723053857367421e-32,5.551018713870669e-92,2.0372504942797477e-80,1.6473641511496371e-131,4.278298689945394e-24,1.374029549131644e-103,1.8531374053359506e-18,6.3341333127814965e-19,4.027609032644695e-19,5.032081495615573e-19,4.168024597350637e-19,2.026922660090079e-19,3.456582628530232e-24,1.3363468686629346e-34,7.716633739311206e-32,4.46633086132552e-49,1.3363468686629319e-34,1.0153900532067892e-36,6.420752816052234e-35,2.0006518067283286e-19,1.134063846948768e-37,2.0255654142881592e-44,5.996449009200605e-54,2.3185804335988177e-76
2.4359171399547243e-24,0.06210963536780779,0.0,0.15421822461826673,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,7.301124344678428e-71,9.091384716129466e-24,3.68707974595744e-69,0.0,8.330361170055741e-118,4.904857744014719e-49,1.1578092638222893e-78,4.052889972663171e-55,8.563935225227967e-87,1.1455879302381142e-43,4.4932965018629754e-36,-1.7285346765232986e-136,1.641148944690599e-31,5.102342842424265e-91,1.803065723628907e-79,6.224010782443266e-130,9.091384716133961e-24,2.5734052787671435e-102,3.9379169863381046e-18,1.3460033289660674e-18,8.558669194369983e-19,1.0693173178183089e-18,8.857052269369999e-19,4.3072106526914157e-19,7.345238085924364e-24,5.83617786520607e-34,1.6397846701166287e-31,3.950419067254757e-48,5.836177865206044e-34,4.4344751293583516e-36,1.3645517902685696e-34,4.251385089297698e-19,4.952753857900811e-37,1.7915893637351306e-43,6.248430031100024e-53,1.0292343288710655e-74
5.015123523436196e-24,0.06210963536780779,0.0,0.15421822461826673,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,6.246265591953831e-70,1.8717556768501845e-23,3.154374349034421e-68,0.0,2.893661703740652e-116,2.2982184954038604e-48,9.732094590096087e-78,1.6920017822881992e-54,7.32662656790348e-86,4.78260409930904e-43,9.250904562659067e-36,-1.7280408084185457e-136,3.3788360625983822e-31,4.365161532920276e-90,1.5175020002477838e-78,2.1620861371799353e-128,1.8717556768511096e-23,4.444917658377052e-101,8.107476148339898e-18,2.7711833243419012e-18,1.7620789517820577e-18,2.2015356543318113e-18,1.823510761340839e-18,8.86778663789408e-19,1.5122549001659104e-23,2.4364893733324813e-33,3.3760272641190385e-31,3.3205652566325347e-47,2.4364893733324597e-33,1.851306073818317e-35,2.8099558028190173e-34,8.752851654436437e-19,2.067676482533901e-36,1.505938296120807e-42,6.84132270935429e-52,4.63854918993616e-73
1.0173536290399142e-23,0.06210963536780779,0.0,0.1542182246182667,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,5.164533182360585e-69,3.7969900873246596e-23,2.608097711400763e-67,0.0,9.660226913079117e-115,1.1435709903732923e-47,7.97897568473501e-77,6.912379367234122e-54,6.057796642247335e-85,1.9538498270968227e-42,1.876612068425125e-35,-1.711473883160161e-136,6.854210298414228e-31,3.609200036456677e-89,1.2472821573373066e-77,7.218548528550095e-127,3.7969900873265357e-23,7.385297168759785e-100,1.644659447233343e-17,5.621543315093561e-18,3.574503016472185e-18,4.465972327358813e-18,3.699121830148385e-18,1.798893860829937e-18,3.0677170836914474e-23,9.953854096969189e-33,6.848512458649438e-31,2.7224000174899637e-46,9.953854096969013e-33,7.563189378896865e-35,5.702567808814935e-34,1.7755784784713917e-18,8.447126903039829e-36,1.234658354817709e-41,8.214979111739898e-51,2.2560375831607207e-71
2.049036182432503e-23,0.06210963536780779,0.0,0.15421822461826667,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,4.199712613499108e-68,7.64745890827361e-23,2.1208617447206567e-66,0.0,3.168355342824669e-113,6.277075443835357e-47,6.461608185176951e-76,2.7940942596734593e-53,4.926099578342413e-84,7.897773394835589e-42,3.779655292743561e-35,-1.1688010337980235e-136,1.3804958770047034e-30,2.9349415022728325e-88,1.0151707796794132e-76,2.3679390762607937e-125,7.647458908277386e-23,1.2039898337839438e-98,3.3124831120280257e-17,1.1322263296596846e-17,7.19935114585247e-18,8.994845673412796e-18,7.450343967762941e-18,3.623124254910981e-18,6.178641452256878e-23,4.0235069744294174e-32,1.379348287381255e-30,2.204670117150227e-45,4.0235069744292734e-32,3.0571620727947553e-34,1.1495007744386853e-33,3.5761651045268845e-18,3.4144587442647206e-35,9.998569772862748e-41,1.0873688964359627e-49,1.200714279617155e-69
4.1124012892176807e-23,0.06210963536780779,0.0,0.1542182246182666,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,3.387220367824772e-67,1.534839655017151e-22,1.7105518306106564e-65,0.0,1.0337153929527656e-111,3.8545675286809755e-46,5.200907567202484e-75,1.1234930129417005e-52,3.973077788248057e-83,3.1756599463940835e-41,7.585741741380434e-35,1.639982628267046e-135,2.77064557133171e-30,2.367136657924546e-87,8.25290415061233e-76,7.7282945274384e-124,1.5348396550179078e-22,1.9444467975810187e-97,6.648130441601297e-17,2.2723703259603285e-17,1.444904740461316e-17,1.805259236552069e-17,1.495278824298992e-17,7.271585043073009e-18,1.2400490195445164e-22,1.6178344583914834e-31,2.7683423808548042e-30,1.7745103122477889e-44,1.6178344583913676e-31,1.2292714242673732e-33,2.310875130985104e-33,7.17733835663787e-18,1.3729348164178696e-34,8.047696769266191e-40,1.554693422503995e-48,6.881613219125946e-68
8.239131502788036e-23,0.06210963536780779,0.0,0.15421822461826645,0.031075110263184432,0.3194096818763551,0.35048479213953954,0.20701222018021492,0.09201819554070585,0.0,2.720799604382548e-66,3.0750271833967316e-22,1.3740082541461224e-64,0.0,3.387032219782554e-110,2.6130976817561403e-45,4.173470035290901e-74,4.505709476427791e-52,3.191392137527249e-82,1.273581673366621e-40,1.5197914638654182e-34,5.818663203340952e-134,5.550944959987506e-30,1.9014128897495263e-86,6.753917409427013e-75,2.5338787605903886e-122,3.075027183398243e-22,3.1256414373604e-96,1.3319425100683473e-16,4.5526583185615624e-17,2.894843992213502e-17,3.616808574973621e-17,2.995767679343536e-17,1.4568506619396827e-17,2.4844187706051443e-22,6.488239772296573e-31,5.546330609565605e-30,1.423932770822792e-43,6.4882397722956455e-31,4.9299282218798304e-33,4.6451693218060774e-33,1.4379684860859826e-17,5.506050371459303e-34,6.457734460157163e-39,2.338023079379217e-47,4.143235362811252e-66
