Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),HNOH(93),CH3OX(210),CH2X(34),CHX(35),CX(33),SX(680),CH2OX(648)
0.0,0.045450764422602166,0.0,0.11285424806132117,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1174469879272017e-25,0.045450764422602166,0.0,0.11285424806132117,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,4.6740999364636736e-86,1.5525500363172188e-29,4.7091973502303627e-85,0.0,-6.968642893617894e-141,3.273070555201042e-54,3.568604108530625e-96,1.9419675308355872e-67,0.0,3.118933527053087e-51,1.070620127634694e-46,-1.0664360959383613e-156,5.60157225644988e-41,0.0,2.0118431461902396e-96,-1.0009885239795012e-157,1.5525500363172188e-29,5.990342714973596e-123,2.9282469377499463e-19,1.0008921315301313e-19,6.364198963528633e-20,7.951475798617665e-20,6.58613075776962e-20,3.202854820896421e-20,1.3789027916128996e-26,2.9887719248587983e-37,5.600685157273547e-41,6.567575508651175e-53,2.988771924858798e-37,1.0617889302628178e-39,1.488834051171511e-44,3.161342763729419e-20,2.293550163375371e-42,2.4321625256052887e-48,3.973447723088179e-59,1.7450667814096466e-82,1.8423808011496673e-63
5.928851566196165e-25,0.045450764422602166,0.0,0.11285424806132117,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,7.063499823983855e-85,4.347140101688213e-29,7.116539035679361e-84,0.0,4.495965346377907e-139,4.946260685335889e-53,4.238319622577769e-95,1.1729483886246949e-66,1.1028556923261029e-104,1.883835850340064e-50,2.9977363573771433e-46,-1.06643609593836e-156,1.5684402318067026e-40,9.238736620455031e-111,5.428904412404365e-95,6.416706485226757e-156,4.347140101688213e-29,1.8834595906799296e-121,8.199091425699682e-19,2.802497968284368e-19,1.7819757097880172e-19,2.226413223612947e-19,1.8441166121754932e-19,8.967993498509982e-20,3.8609278166126115e-26,1.805218242614715e-36,1.5681924902908638e-40,7.797025643870681e-52,1.8052182426147146e-36,6.413205138921165e-39,6.111893802415576e-44,8.851759738442373e-20,1.3853028802442464e-41,2.8874606428716576e-47,8.86518906654084e-58,1.9797402261696535e-80,1.1127980038963939e-62
1.3551660722734092e-24,0.045450764422602166,0.0,0.11285424806132117,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,7.59859078471021e-84,9.936320232430201e-29,7.65564794834075e-83,0.0,4.432971247671764e-137,5.320960075447275e-52,4.1645645905698865e-94,5.64724157966989e-66,1.1222124953010183e-104,9.069858696670374e-50,6.851968816862042e-46,-1.0664360959383562e-156,3.585006244133075e-40,9.400890568377354e-111,1.1432106899955279e-93,6.3375351264302e-154,9.936320232430201e-29,4.201894737532177e-120,1.874078040159847e-18,6.405709641792841e-19,4.0730873366583248e-19,5.088944511115307e-19,4.2151236849725533e-19,2.04982708537371e-19,8.824977866998008e-26,8.691348757489387e-36,3.5844430244349635e-40,7.65516601288381e-51,8.691348757489381e-36,3.08768220940489e-38,2.3130647141445083e-43,2.0232593687868282e-19,6.669622598621736e-41,2.834920246528543e-46,1.7489952311879502e-56,1.7895626158472533e-78,5.3576433697817565e-62
2.8797279035809945e-24,0.045450764422602166,0.0,0.11285424806132117,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,6.984414053058888e-83,2.1114680493914177e-28,7.036859416529294e-82,0.0,3.44850031452109e-135,4.890878456377532e-51,3.6894366742064182e-93,2.4662987641611967e-65,1.2970286221682298e-104,3.9610455793574206e-49,1.456043373583184e-45,-1.0664360959383377e-156,7.618138268797597e-40,1.0865343410550885e-110,2.0883203790688496e-92,4.933729569688152e-152,2.1114680493914177e-28,7.869683810672211e-119,3.982415835339329e-18,1.3612132988809789e-18,8.65531059039894e-19,1.0814007086120029e-18,8.957137830566664e-19,4.355882556419133e-19,1.8753077969312687e-25,3.7957403445706744e-35,7.61695443279149e-40,6.770907646399008e-50,3.795740344570668e-35,1.3484719416410817e-37,8.825868916566959e-43,4.29942615867201e-19,2.9127867218866097e-40,2.507444651501823e-45,3.1099212709484917e-55,1.3553080520316125e-76,2.3398236175183515e-61
5.928851566196165e-24,0.045450764422602166,0.0,0.11285424806132116,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,5.97531326957588e-82,4.347140101688213e-28,6.020181382206984e-81,0.0,2.4266586326483857e-133,4.1842492624392174e-50,3.111151242208749e-92,1.0296311848490286e-64,2.779033849935251e-104,1.6536585560435463e-48,2.997736357377143e-45,-1.0664360959381743e-156,1.568440231817375e-39,2.328025504835421e-110,3.565169342661201e-91,3.4730136527467247e-150,4.347140101688211e-28,1.3592921730785213e-117,8.199091425697193e-18,2.8024979682843682e-18,1.7819757097880173e-18,2.226413223612947e-18,1.8441166121754843e-18,8.967993498509977e-19,3.860927818011759e-25,1.5846468745601342e-34,1.5682018609777853e-39,5.691355854588953e-49,1.5846468745601289e-34,5.629604910119181e-37,3.428769145987805e-42,8.851759738442373e-19,1.216020509742668e-39,2.1076411519294775e-44,5.243363831483955e-54,9.420384648659766e-75,9.768303008555171e-61
1.2027098891426506e-23,0.045450764422602166,0.0,0.11285424806132115,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,4.940504562514327e-81,8.818484206281802e-28,4.977602385730942e-80,0.0,1.6274621899412891e-131,3.45961811486046e-49,2.5670351460658105e-91,4.206379350491116e-64,1.4976239324504374e-103,6.755734776938067e-48,6.081122324965062e-45,-1.0664360959345994e-156,3.1816930417114476e-39,1.2545751148291232e-109,5.890163706570343e-90,2.3296113242488655e-148,8.818484206281797e-28,2.258484275503944e-116,1.663244260640852e-17,5.685067307091146e-18,3.6148650112842624e-18,4.5164382536148344e-18,3.740922270413103e-18,1.8192215382691654e-18,7.832167862642954e-25,6.473799540121142e-34,3.181231240484381e-39,4.6661173868293966e-48,6.473799540121101e-34,2.2998772960861163e-36,1.3495619310036497e-41,1.7956426897983094e-18,4.9677538696977887e-39,1.7279434102794646e-43,8.610526466521736e-53,6.280277460042349e-73,3.9906705118188186e-60
2.422359354188719e-23,0.045450764422602166,0.0,0.1128542480613211,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,4.017536260413294e-80,1.7761172415468983e-27,4.047703594195143e-79,0.0,1.0660660344574322e-129,2.813303958863093e-48,2.1052923561389777e-90,1.7002857876880372e-63,1.1393305533302112e-102,2.7307760117442737e-47,1.2247894260140898e-44,-1.0664360958250481e-156,6.408198661574963e-39,9.544290317488516e-109,9.575745995386892e-89,1.526137485442629e-146,1.7761172415468965e-27,3.681899381070381e-115,3.3499144967813583e-17,1.1450205984704701e-17,7.28064361427675e-18,9.096488313618607e-18,7.534533586888276e-18,3.664065915105498e-18,1.577464796178622e-24,2.616813281266263e-33,6.407356175934867e-39,3.778742837117236e-47,2.6168132812662295e-33,9.296471756131332e-36,5.352726225967972e-41,3.616576121706452e-18,2.007975459138817e-38,1.3992877905528798e-42,1.395631820551672e-51,4.101710442507726e-71,1.6130928276880876e-59
4.8616582842808554e-23,0.045450764422602166,0.0,0.11285424806132102,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,3.2402885392694424e-79,3.5646548833843345e-27,3.2646195869272844e-78,0.0,6.902300924398966e-128,2.2690315472600706e-47,1.737085796810552e-89,6.836774371007919e-63,9.11133307453484e-102,1.0980330239331458e-46,2.458143813049257e-44,-1.0664360923084297e-156,1.2861209901603468e-38,7.63265829995624e-108,1.544349879448948e-87,9.88147653647578e-145,3.564654883384327e-27,5.946277335280815e-114,6.723254969055333e-17,2.298048333993179e-17,1.461220082026172e-17,1.8256588433626145e-17,1.5121756219838357e-17,7.35375466877815e-18,3.165960819959622e-24,1.0522091112342327e-32,1.2859870752585016e-38,3.0414609785089663e-46,1.0522091112342056e-32,3.7380704110869025e-35,2.131823186451493e-40,7.258442985522733e-18,8.07341745951546e-38,1.1261951772544842e-41,2.247377693256478e-50,2.65164505221116e-69,6.4861753371340775e-59
9.740256144465128e-23,0.045450764422602166,0.0,0.11285424806132087,0.031075110263184432,0.3194096818763551,0.35048479213953954,0.20701222018021492,0.09201819554070585,0.0,2.602775969191291e-78,7.141730167059207e-27,2.6223199899713965e-77,0.0,4.443084668642008e-126,1.822609528182969e-46,1.46221067229314e-88,2.741852304981581e-62,-1.0727859904970586e-100,4.403603533245076e-46,4.924852587119592e-44,-1.0664362582183501e-156,2.5767232382866383e-38,-8.986839606741276e-107,2.4807891476462885e-86,6.36094617261267e-143,7.141730167059178e-27,9.558467148760578e-113,1.346993591357513e-16,4.6041038050385945e-17,2.927531523223164e-17,3.657678867364119e-17,3.029620148573747e-17,1.47331321761234e-17,6.342952883331013e-24,4.219829148076535e-32,2.576595872888201e-38,2.440580890731498e-45,4.219829148076316e-32,1.4991334283941354e-34,8.508595133608183e-40,1.4542176713155273e-17,3.237349565346798e-37,9.035829739588781e-41,3.607001793715038e-49,1.7054411528724942e-67,2.6012464487362447e-58
