Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),HNOH(93),CH3OX(210),CH2X(34),CHX(35),CX(33),SX(680),CH2OX(648),CHOX(678)
0.0,0.07782336798655136,0.0,0.193235422710607,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6360616522069911e-25,0.07782336798655136,0.0,0.193235422710607,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,9.884247967856924e-68,1.7043051600704762e-22,1.8192018065701396e-65,0.0,1.0836787285285258e-112,2.927776488502662e-46,7.060937938798651e-74,1.0353105067019427e-51,4.138985408186805e-80,8.708347672885026e-43,4.0620559951171833e-32,-1.0893453954256072e-125,4.693300490638347e-28,3.341283222879758e-83,1.2618980074998808e-74,2.4204583808456667e-122,1.7043051604766824e-22,1.796396220444292e-97,2.960596571814926e-19,1.0119494278859241e-19,6.434924799055044e-20,8.039319255071682e-20,6.658890646005819e-20,3.2382381692349616e-20,4.1911973726205045e-24,2.134019787430372e-35,4.683417831333766e-28,4.2355354639653706e-50,2.134019787430371e-35,2.546482428380978e-37,9.882659959175501e-31,3.1962675100828153e-20,2.3923351849189305e-37,1.960903566490033e-45,3.4561199194673154e-53,2.743079654172564e-77,1.5317193409955011e-52,2.3084979365067486e-64
4.580972626179576e-25,0.07782336798655136,0.0,0.193235422710607,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.4937075531878917e-66,4.772054448197336e-22,2.7491777703542512e-64,0.0,6.592557164885955e-111,1.7683784114740955e-45,8.38274553413955e-73,6.253275460479735e-51,6.254834748953182e-79,5.2598419944225575e-42,1.1373756786328113e-31,-1.0887799858391689e-125,1.3141241373787374e-27,5.0493472064103734e-82,1.4981260505518968e-73,1.472485422507643e-120,4.772054449334712e-22,5.648157027763894e-96,8.2896704010812e-19,2.8334583980805847e-19,1.8017789437354157e-19,2.25100939142007e-19,1.8644893808816137e-19,9.067066873857901e-20,1.1735352643406504e-23,1.2889479516079454e-34,1.3113569927741185e-27,5.028427702819689e-49,1.2889479516079437e-34,1.538075386749667e-36,2.7671450000538993e-30,8.949549028231884e-20,1.4449704402550453e-36,2.3279846972385896e-44,4.105689470878854e-52,1.6697828812451258e-75,9.251584819598261e-52,2.740648750216861e-63
1.0470794574124743e-24,0.07782336798655136,0.0,0.193235422710607,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.6068624239652646e-65,1.0907553024451053e-21,2.9574399932088654e-63,0.0,2.976198318507302e-109,8.513994868842387e-45,8.23022930090849e-72,3.0106829534892506e-50,6.728665798508042e-78,2.532387503274967e-41,2.5997158368749975e-31,-1.0609746449488394e-125,3.0037123140085443e-27,5.431857309773697e-81,1.4708705173993228e-72,6.647509770480488e-119,1.090755302705077e-21,1.260072751813788e-94,1.894781805961137e-18,6.476476338469891e-19,4.1183518713952476e-19,5.1451643232458665e-19,4.2616900134436165e-19,2.0724724283103806e-19,2.682366318525488e-23,6.2057295418475255e-34,2.9973874120582595e-27,4.936940136798033e-48,6.205729541847508e-34,7.40517090184523e-36,6.32490385426563e-30,2.0456112064530023e-19,6.956910546204412e-36,2.2856291447158087e-43,4.036463475719419e-51,7.548282974787321e-74,4.454239843593066e-51,2.690785194780016e-62
2.225043847001508e-24,0.07782336798655136,0.0,0.193235422710607,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.4769834056428751e-64,2.317855017695849e-21,2.7183968758025274e-62,0.0,1.123757984561359e-107,3.718297513883895e-44,7.279544659029217e-71,1.3148443435114677e-49,6.1848031158635446e-77,1.1059601544563986e-40,5.524396153359369e-31,2.523605050680028e-127,6.382888667268161e-27,4.9928126942878024e-80,1.3009709232196657e-71,2.509978158830707e-117,2.3178550182482888e-21,2.359976800726505e-93,4.026411337666217e-18,1.3762512219248453e-18,8.751497726714956e-19,1.0933474186897437e-18,9.056091278567373e-19,4.404003910159571e-19,5.700028427005715e-23,2.7102051300365733e-33,6.369448250637169e-27,4.366667641929728e-47,2.7102051300365586e-33,3.234032684160967e-35,1.344042494644524e-29,4.34692381371263e-19,3.038265507589213e-35,2.0216130309001208e-42,3.579942596596332e-50,2.857738898880408e-72,1.945283563041704e-50,2.3799690325952683e-61
4.580972626179576e-24,0.07782336798655136,0.0,0.193235422710607,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.2635903993717457e-63,4.772054448197336e-21,2.3256457593380484e-61,0.0,3.898853241194542e-106,1.5523262611407947e-43,6.118895989942944e-70,5.489216306533702e-49,5.291229278102347e-76,4.617165936163643e-40,1.1373756786328115e-30,3.828954681750677e-124,1.3141241373787414e-26,4.271456376733474e-79,1.093548831636237e-70,8.708314573480067e-116,4.7720544493347115e-21,4.07627303141299e-92,8.289670401072568e-18,2.8334583980805356e-18,1.8017789437354544e-18,2.251009391420047e-18,1.8644893808813898e-18,9.06706687385799e-19,1.173535264440837e-22,1.1314572912955826e-32,1.3113569927837504e-26,3.670447264504943e-46,1.1314572912955702e-32,1.3501449836330069e-34,2.767148066582901e-29,8.949549028231884e-19,1.26841595551198e-34,1.6992874566764632e-41,3.0255366933101256e-49,9.967941098780039e-71,8.121175945754895e-50,2.000507375763081e-60
9.29283018453571e-24,0.07782336798655136,0.0,0.19323542271060698,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,1.0447609776430353e-62,9.68045330920031e-21,1.9228888874001033e-60,0.0,1.2984907391036632e-104,6.34184297919015e-43,5.016640749479089e-69,2.2425239699366768e-48,4.3748906894767007e-75,1.8862629393375885e-39,2.3072478052265602e-30,1.3218751006446737e-122,2.6657946786825973e-26,3.5317227341505635e-78,8.965645848338328e-70,2.900255207942979e-114,9.680453311507554e-21,6.772788601676093e-91,1.6816188527870026e-17,5.747872750391828e-18,3.65503728586344e-18,4.566333336880614e-18,3.782249886930298e-18,1.8393192801254984e-18,2.38060010809825e-22,4.622372220365674e-32,2.6601813282408215e-26,3.009254426524307e-45,4.622372220365573e-32,5.515782800062824e-34,5.613364624469478e-29,1.8154799457270386e-18,5.181892353237386e-34,1.3931783479430095e-40,2.5073782826542512e-48,3.355124049104515e-69,3.3177653611978063e-49,1.6401368121742432e-59
1.871654530124798e-23,0.07782336798655136,0.0,0.19323542271060695,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,8.495822760680983e-62,1.949725103120626e-20,1.5636613087032936e-59,0.0,4.2385541859061557e-103,2.5635419858513088e-42,4.062605952727628e-68,9.06464043521873e-48,3.557588452336585e-74,7.624576388299137e-39,4.6469920584140584e-30,4.3367518785874834e-121,5.369135761290336e-26,2.871938274044401e-77,7.260728798105598e-69,9.467065331097482e-113,1.9497251035853242e-20,1.104135477955307e-89,3.386922478140397e-17,1.1576701455014065e-17,7.361553970119686e-18,9.196981227801587e-18,7.617770899026528e-18,3.704544465604957e-18,4.794729796120601e-22,1.868436756845078e-31,5.357829999222983e-26,2.436972254789035e-44,1.868436756844996e-31,2.229567597938254e-33,1.1305819396281928e-28,3.656530031534739e-18,2.0946031754223688e-33,1.1282316622306346e-39,2.0740456405338986e-47,1.1182682431568065e-67,1.3410938054283713e-48,1.3282253138506009e-58
3.756397553467252e-23,0.07782336798655136,0.0,0.19323542271060687,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,6.852188838805177e-61,3.913084647521816e-20,1.2611494929903072e-58,0.0,1.3698689328669603e-101,1.0308433658192555e-41,3.269939045289623e-67,3.6448520512644586e-47,2.869323969301941e-73,3.065808631629861e-38,9.326480564789055e-30,1.4045637564268473e-119,1.0775817926505919e-25,2.316322261125781e-76,5.844253485881734e-68,3.059688418571723e-111,3.913084648454459e-20,1.7831817458085142e-88,6.797529728822794e-17,2.323435886425714e-17,1.477458733863327e-17,1.8458277009642882e-17,1.5288812923212637e-17,7.434994836564115e-18,9.622989174995403e-22,7.512902022440032e-31,1.0753127341459384e-25,1.961487282448738e-43,7.512902022439373e-31,8.9649932543671e-33,2.2690815564064e-28,7.33863020315013e-18,8.42230269996332e-33,9.080985376820256e-39,1.7394070429616416e-46,3.7633597228311244e-66,5.392479207600112e-48,1.0690712854705759e-57
7.525883600152159e-23,0.07782336798655136,0.0,0.1932354227106067,0.031075110263184432,0.3194096818763551,0.35048479213953954,0.20701222018021492,0.09201819554070585,0.0,5.504050713342928e-60,7.839803736324196e-20,1.013023857021418e-57,0.0,4.4055598590866644e-100,4.1345793541479765e-41,2.6239206892000365e-66,1.461748692549433e-46,2.304797052674633e-72,1.2295263829260291e-37,1.8685457577539042e-29,4.521623168552793e-118,2.158918225693748e-25,1.8605960071445498e-75,4.689945924616957e-67,9.84012002376056e-110,7.83980373819272e-20,2.8664125762534866e-87,1.3618744230090025e-16,4.654967368273768e-17,2.9600654075664815e-17,3.698086857332288e-17,3.063089697155947e-17,1.4895895578483407e-17,1.9279507944065407e-21,3.0130097337541422e-30,2.154372202702048e-25,1.5739700140108027e-42,3.0130097337536132e-30,3.595363266533138e-32,4.546115439625683e-28,1.470283054638089e-17,3.377716434350129e-32,7.286911513813087e-38,1.5081614190652268e-45,1.3062717375626185e-64,2.1626253463106344e-47,8.578623786603693e-57
