Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),HNOH(93),CH3OX(210),CH2X(34),CHX(35),CX(33),SX(680),CH2OX(648),CHOX(678),H2X(216)
0.0,0.10504946994334764,0.0,0.2608378338693322,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4119442107403716e-25,0.10504946994334764,0.0,0.2608378338693322,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,9.572283303417391e-62,3.066275867994655e-20,1.015954062216011e-58,0.0,7.042238893631979e-103,3.033741920182477e-41,3.2842433745140547e-66,2.778055211882587e-46,8.958966167444414e-71,8.181842219743642e-40,3.999841697951738e-27,-1.9519252854480403e-114,2.1862186532333284e-23,1.9399797603698758e-72,7.051882136072395e-67,2.91295467936068e-110,3.066276267978834e-20,1.3790071802911865e-88,2.9685134799243637e-19,1.0146554739268687e-19,6.455063324418443e-20,8.060817135739067e-20,6.67669713333923e-20,3.246897516566068e-20,3.351183849467176e-23,9.548178769441449e-35,2.1738854439316155e-23,5.1523199841633635e-49,9.548178769441453e-35,1.8828313649989904e-36,1.2333209293734307e-25,3.204814624002886e-20,1.4839731969786072e-35,2.1465016179819673e-44,2.7136847425454666e-50,7.093491583586299e-75,1.486368109388566e-48,1.9332790512484402e-60,4.5348129272678685e-59
3.9534437900730405e-25,0.10504946994334764,0.0,0.2608378338693322,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.4465634547515645e-60,8.585572430385033e-20,1.5353097798702417e-57,0.0,4.284137605053175e-101,1.8323801214045468e-40,3.899053734291406e-65,1.677945347977083e-45,1.3538789672241963e-69,4.941832700725156e-39,1.1199556754264866e-26,1.5558593958506168e-113,6.12141222905332e-23,2.9316974138709496e-71,8.371994483067688e-66,1.7720924936735253e-108,8.585573550340735e-20,4.334830420452867e-87,8.3118377437874575e-19,2.841035326995196e-19,1.8074177308371908e-19,2.2570287980069246e-19,1.8694751973349466e-19,9.09131304638516e-20,9.383314778543262e-23,5.767099976742709e-34,6.086879243008535e-23,6.116834285198819e-48,5.767099976742714e-34,1.1372301444629474e-35,3.4532986028378413e-25,8.973480947208074e-20,8.963198097232372e-35,2.5483267175844604e-43,3.2217109325777213e-49,4.315349237231553e-73,8.977663380690155e-48,2.2951888896382184e-59,5.589100189350185e-58
9.036442948738378e-25,0.10504946994334764,0.0,0.2608378338693322,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.5561469542900625e-59,1.9624165555165787e-19,1.6516162010647875e-56,0.0,1.934064506037191e-99,8.822121528096544e-40,3.828114077537777e-64,8.078584556154564e-45,1.4564412119090992e-68,2.379279717501447e-38,2.559898686689112e-26,8.766793963335037e-112,1.3991799380693304e-22,3.1537862968380924e-70,8.219673851048389e-65,8.000072616330994e-107,1.9624168115064537e-19,9.670288587025641e-86,1.899848627151059e-18,6.493795033131703e-19,4.1312405276279917e-19,5.158922966872905e-19,4.2730861653368405e-19,2.0780144106024033e-19,2.1447576636836125e-22,2.776610386153685e-33,1.3912866841162425e-22,6.005544173541044e-47,2.77661038615369e-33,5.475273609470419e-35,7.893253952135604e-25,2.051081359361843e-19,4.315394038036164e-34,2.5019622757402143e-42,3.163146595216796e-48,1.9481862958915684e-71,4.3223584620767756e-47,2.2534300621230008e-58,5.577403754522064e-57
1.9202441266069054e-24,0.10504946994334764,0.0,0.2608378338693322,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.4303671515149683e-58,4.1701351804727295e-19,1.5181198371985833e-55,0.0,7.302659611678452e-98,3.852852263640278e-39,3.385923549811667e-63,3.5281301190908853e-44,1.3387203964688798e-67,1.039093961907439e-37,5.439784709214363e-26,3.4516210352209637e-110,2.9732573683973267e-22,2.898872956325491e-69,7.270208475812483e-64,3.0206752163143258e-105,4.1701357244512143e-19,1.8111023500490912e-84,4.037178332694463e-18,1.3799314445404134e-18,8.778886121210027e-19,1.0962711304604643e-18,9.080308101340018e-19,4.415780622530451e-19,4.55761003539846e-22,1.2126187037191792e-32,2.956484203747041e-22,5.311835810873539e-46,1.2126187037191838e-32,2.3911958336038517e-34,1.6773164660206896e-24,4.358547888643906e-19,1.8846459407592847e-33,2.2129572866976e-41,2.797859306715995e-47,7.356218771362373e-70,1.887687498897465e-46,1.993133370649511e-57,4.968890257386656e-56
3.9534437900730405e-24,0.10504946994334764,0.0,0.2608378338693322,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.223709212525409e-57,8.585572430385032e-19,1.2987834826387702e-54,0.0,2.5336318876526323e-96,1.6084899885866142e-38,2.846072761221838e-62,1.4729248733401478e-43,1.1453034840866892e-66,4.338012744908047e-37,1.1199556754264864e-25,1.2195473207407813e-108,6.121412229053318e-22,2.480046845899718e-68,6.111048353049242e-63,1.0480125682084007e-103,8.585573550340735e-19,3.1281993961907783e-83,8.311837743776382e-18,2.8410353269946658e-18,1.8074177308375824e-18,2.2570287980067234e-18,1.8694751973343934e-18,9.091313046387639e-19,9.383314779053254e-22,5.06244438355889e-32,6.086879243008719e-22,4.4649180611570894e-45,5.062444383558931e-32,9.982771897720845e-34,3.453298611425254e-24,8.973480947208004e-19,7.86802571574866e-33,1.8601239193331384e-40,2.351924040884438e-46,2.5523792612192127e-68,7.88072371574406e-46,1.6753486933006686e-56,4.190821993195875e-55
8.019843117005311e-24,0.10504946994334764,0.0,0.2608378338693322,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,1.0117864411320334e-56,1.7416446930209637e-18,1.073859299455752e-53,0.0,8.438052190757415e-95,6.571206539334212e-38,2.3333824027899824e-61,6.0173787111461585e-43,9.469590686406753e-66,1.7722197521653254e-36,2.271910084436587e-25,4.097170236131603e-107,1.2417721950365302e-21,2.050550691593531e-67,5.01020676236671e-62,3.4903194894494257e-102,1.7416449202119773e-18,5.197525695641219e-82,1.686115656592067e-17,5.763243091902235e-18,3.6664759682714334e-18,4.578544133098886e-18,3.792363971734201e-18,1.844237789410639e-18,1.903472426726324e-21,2.0681737141769703e-31,1.2347669321532397e-21,3.6606095855242883e-44,2.0681737141770036e-31,4.078288050262528e-33,7.005262917395612e-24,1.8203347064336075e-18,3.2143451557285227e-32,1.5250419388874154e-39,1.9285031367245316e-45,8.50158931976858e-67,3.21953277946179e-45,1.3735520790316684e-55,3.441528043424089e-54
1.615264177086985e-23,0.10504946994334764,0.0,0.2608378338693321,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,8.227679306046038e-56,3.507819592985885e-18,8.732445481135044e-53,0.0,2.754320885138998e-93,2.6561868274651685e-37,1.8896335678833638e-60,2.432320684653375e-42,7.700513879203779e-65,7.163595591811889e-36,4.575818902456788e-25,1.3431092510214377e-105,2.5010341392989264e-21,1.667473767719789e-66,4.0573955103502404e-61,1.1392984623487901e-100,3.507820050567783e-18,8.473258783141119e-81,3.3959794210131024e-17,1.1607658621713629e-17,7.384592443141898e-18,9.221574803281786e-18,7.638141520529911e-18,3.714450758956137e-18,3.8337543247284785e-21,8.359888825234113e-31,2.486924947858105e-21,2.964456550071397e-43,8.35988882523438e-31,1.6485092363077127e-32,1.4109191589981242e-23,3.666307929859172e-18,1.299289643045553e-31,1.2350184462044898e-38,1.5621627728692277e-44,2.775778947742578e-65,1.3013866252758877e-44,1.1123380852761864e-54,2.7892881559086787e-53
3.241823907859893e-23,0.10504946994334764,0.0,0.26083783386933207,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,6.635921428478356e-55,7.040169392915727e-18,7.04303363509811e-52,0.0,8.901489882143003e-92,1.0680411050947557e-36,1.5209414915759142e-59,9.780254495641122e-42,6.210743413850958e-64,2.880450280829453e-35,9.183636538497188e-25,4.3498837568479185e-104,5.019558027823717e-21,1.3448780020516946e-65,3.2657451751635443e-60,3.6820160764184456e-99,7.040170311279393e-18,1.3684319491789386e-79,6.815706949823886e-17,2.3296489681321448e-17,1.4820825392893892e-17,1.85076361436419e-17,1.5329696618105714e-17,7.454876698054128e-18,7.694318122173418e-21,3.3614745285027715e-30,4.991240979268353e-21,2.38605253339058e-42,3.3614745285029866e-30,6.628583136536552e-32,2.8317049177732143e-23,7.358254376710103e-18,5.224386012396144e-31,9.940502006788099e-38,1.2580260173590855e-43,8.975482689530175e-64,5.232818382504287e-44,8.95306462150111e-54,2.2459604076458973e-52
6.49494336940571e-23,0.10504946994334764,0.0,0.2608378338693319,0.031075110263184432,0.3194096818763551,0.35048479213953954,0.20701222018021492,0.09201819554070585,0.0,5.330332968242117e-54,1.410486899277541e-17,5.657347632310654e-51,0.0,2.862586208605868e-90,4.283323038670672e-36,1.220459764230142e-58,3.922319485325753e-41,4.988806864721053e-63,1.1551893939001316e-34,1.8399271810577992e-24,1.4003294834970023e-102,1.005660580487329e-20,1.080279148851155e-64,2.6205552878033113e-59,1.1840813919801348e-97,1.41048708327026e-17,2.1997130987264195e-78,1.3655162007320304e-16,4.667415180047719e-17,2.969329129244211e-17,3.707975882433937e-17,3.0712806813194853e-17,1.4935728576278078e-17,1.5415445722825824e-20,1.3481016315548732e-29,9.999873042090922e-21,1.9146568897093605e-41,1.3481016315550453e-29,2.658358309511738e-31,5.673276532355252e-23,1.4742147270411163e-17,2.095212058341741e-30,7.976625401109034e-37,1.0105482968263031e-42,2.8893681064049557e-62,2.0985942143717397e-43,7.184270512730328e-53,1.802601107016793e-51
