Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),HNOH(93),CH3OX(210),CH2X(34),CHX(35),CX(33),SX(680),CH2OX(648),CHOX(678),H2X(216),NO2X(213)
0.0,0.10054149576763871,0.0,0.2496445339910469,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4669560173501019e-25,0.10054149576763871,0.0,0.2496445339910469,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.8638836402984139e-62,1.6616020138457474e-20,1.5306642220450307e-59,0.0,4.6480674700450534e-104,7.168277969560619e-42,3.791709849760309e-67,6.007013243907396e-47,6.911001447682304e-72,3.5631794372141253e-40,9.695637469772141e-28,-3.9022790790855186e-116,5.6325271655958535e-24,9.289566497984045e-74,7.926996027343343e-68,1.0331544205340402e-111,1.6616021108021232e-20,1.1241091506506921e-89,3.017271006311062e-19,1.0313210849736018e-19,6.560291258583154e-20,8.193215222138916e-20,6.786361192086602e-20,3.3002274719155916e-20,2.6104144659241055e-23,8.168566033254291e-35,5.604597213658888e-24,3.911432581960948e-49,8.168566033254295e-35,1.5061685106556517e-36,2.7929951932238393e-26,3.257453372201622e-20,9.074146375908486e-36,1.6654633661271862e-44,1.22891047503349e-50,3.929217498257066e-75,4.7334251710237555e-49,6.396512280083966e-61,1.2279187076059528e-59,4.545920035305627e-38
4.1074768485802855e-25,0.10054149576763871,0.0,0.2496445339910469,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.8167009191573958e-61,4.652485638768092e-20,2.3131397566911358e-58,0.0,2.82764630364054e-102,4.3296399010823e-41,4.501517933777809e-66,3.6282359993200675e-46,1.0443905387737515e-70,2.1521603800773308e-39,2.7147784915361996e-27,1.8703797624478252e-115,1.577107606366839e-23,1.403839289175353e-72,9.41092971076615e-67,6.28518262289646e-110,4.652485910245946e-20,3.5340830794524654e-88,8.448358817670202e-19,2.8876990379260575e-19,1.8368815524033042e-19,2.294100262198887e-19,1.9001811337842133e-19,9.240636921363782e-20,7.309160504616434e-23,4.933813884085637e-34,1.5692872198244955e-23,4.643652761304076e-48,4.9338138840856395e-34,9.097257804390191e-36,7.820386544039894e-26,9.120869442164537e-20,5.480784401335736e-35,1.977238105037629e-43,1.4589821914306714e-49,2.3903664909174544e-73,2.858988803293161e-48,7.593939378903066e-60,1.5520827500873315e-58,2.7457357013245982e-37
9.388518511040652e-25,0.10054149576763871,0.0,0.2496445339910469,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,3.030078312783716e-60,1.0634252888612784e-19,2.48837019456127e-57,0.0,1.2765347130370728e-100,2.084535244741162e-40,4.419617001306128e-65,1.746839451328271e-45,1.1235076833468188e-69,1.036172580341867e-38,6.205207980654171e-27,1.1304105744663311e-113,3.6048173859813465e-23,1.5101862464442744e-71,9.239706650478653e-66,2.837431891077474e-108,1.0634253509133591e-19,7.88420137998716e-87,1.931053444038539e-18,6.600454943830856e-19,4.1985864054933644e-19,5.243657742168832e-19,4.343271162935177e-19,2.1121455820260657e-19,1.670665258211685e-22,2.3754190024704146e-33,3.5869422167417366e-23,4.559165817533801e-47,2.375419002470416e-33,4.379938029031718e-35,1.7875169257724573e-25,2.084770158209036e-19,2.6387617515447024e-34,1.94126408954929e-42,1.4324790436586528e-48,1.0791566315530745e-71,1.3764800397259267e-47,7.455774713626752e-59,1.5651647331406162e-57,1.3219535462668762e-36
1.9950601835961387e-24,0.10054149576763871,0.0,0.2496445339910469,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.785164005749764e-59,2.259778738830217e-19,2.287240917143106e-56,0.0,4.819952239478632e-99,9.10371313696219e-40,3.90910118758964e-64,7.628906819762395e-45,1.0326971243242733e-68,4.525237885261931e-38,1.3186066958890115e-26,4.455903804495123e-112,7.660236945210361e-23,1.388121342660764e-70,8.172415992023955e-65,1.0713603058172176e-106,2.2597788706908883e-19,1.4766129827356252e-85,4.1034885685803385e-18,1.4025966755640008e-18,8.921996111673814e-19,1.1142772702108549e-18,9.229451221236533e-19,4.488309361805639e-19,3.5501636737580703e-22,1.037407886223363e-32,7.622252210576329e-23,4.032530534698707e-46,1.0374078862233643e-32,1.912834008579264e-34,3.798473473330421e-25,4.430136586194196e-19,1.1524165746852425e-33,1.7170260909245106e-41,1.2670856306548417e-47,4.0749247972874994e-70,6.011449967119761e-47,6.594548300193216e-58,1.4007807433137388e-56,5.7733184448381466e-36
4.1074768485802856e-24,0.10054149576763871,0.0,0.2496445339910469,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.3827664446770204e-58,4.652485638768093e-19,1.956782759303618e-55,0.0,1.6722653779837395e-97,3.800621083502032e-39,3.28583509003247e-63,3.1849184219197013e-44,8.8349413186997e-68,1.8891977376109217e-37,2.7147784915362e-26,1.574433955192409e-110,1.577107606366839e-22,1.187567033622486e-69,6.869408227635535e-64,3.7170466837791276e-105,4.652485910245946e-19,2.55047288268684e-84,8.448358817658987e-18,2.887699037925652e-18,1.8368815524036043e-18,2.294100262198728e-18,1.900181133783697e-18,9.240636921365578e-19,7.30916050503605e-22,4.330973710832033e-32,1.5692872198245957e-22,3.3895848926064933e-45,4.3309737108320446e-32,7.985705443915537e-34,7.8203865877304615e-25,9.120869442164496e-19,4.811112273010462e-33,1.4432638675393522e-40,1.0651865420777737e-46,1.4139436490933656e-68,2.5096620256044246e-46,5.543115197575236e-57,1.1839470592395876e-55,2.4102468027190427e-35
8.33231017854858e-24,0.10054149576763871,0.0,0.24964453399104689,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,1.9701173746421363e-57,9.437899438643845e-19,1.617905825859782e-54,0.0,5.569342152582958e-96,1.5526777693996405e-38,2.693926129992403e-62,1.3011430966833178e-43,7.304900333314301e-67,7.717989188183213e-37,5.507122082830576e-26,5.28944578482288e-109,3.1992754300584447e-22,9.81903388693785e-69,5.631956161693422e-63,1.2379317958766646e-103,9.43789998935606e-19,4.2376415404410935e-83,1.7138099315796482e-17,5.8579037626482356e-18,3.726245434876578e-18,4.653746246174193e-18,3.854653157102872e-18,1.8745292040488626e-18,1.4827154168332842e-21,1.7693440770675255e-31,3.1834112173586965e-22,2.7789864850526013e-44,1.7693440770675352e-31,3.2624212411755494e-33,1.5864212893666992e-24,1.850233515410502e-18,1.9654962868871523e-32,1.183274883376806e-39,8.735088160254584e-46,4.710108087058945e-67,1.0252788256831554e-45,4.54458073975513e-56,9.732605184130523e-55,9.846644633273391e-35
1.6781976838485166e-23,0.10054149576763871,0.0,0.24964453399104686,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,1.602066730177444e-56,1.9008727038395344e-18,1.3156541480891199e-53,0.0,1.8179261977144902e-94,6.276172164200645e-38,2.1816112270696932e-61,5.259428431676633e-43,5.940223634336594e-66,3.119734629893896e-36,1.1091809265419332e-25,1.7339537624582033e-107,6.443611077441655e-22,7.98467528646986e-68,4.560904546472438e-62,4.040815936858698e-102,1.900872814757628e-18,6.908419283324738e-82,3.451758031199227e-17,1.179831321209054e-17,7.504973199824642e-18,9.373038214124001e-18,7.763597203737572e-18,3.77546022787474e-18,2.9863141497889755e-21,7.151971653287944e-31,6.411659212427604e-22,2.250495305686381e-43,7.151971653288021e-31,1.3187228274595346e-32,3.1951865814085864e-24,3.726526657798577e-18,7.944849767468389e-32,9.582466246715102e-39,7.077213666062554e-45,1.5381663180400657e-65,4.144340941135477e-45,3.680319309053678e-55,7.892044894525712e-54,3.98017119507176e-34
3.368131015835834e-23,0.10054149576763871,0.0,0.24964453399104677,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070591,0.0,1.2921248567411156e-55,3.815038223789835e-18,1.0611227332785514e-52,0.0,5.875224371468672e-93,2.523621519940303e-37,1.755950515055453e-60,2.114793040570575e-42,4.791005560472091e-65,1.2544315735889357e-35,2.2261183630596842e-25,5.615699025625473e-106,1.2932282372208077e-21,6.439929883264988e-67,3.671013458366357e-61,1.305922127948475e-100,3.815038446401671e-18,1.1157110783909218e-80,6.927654230406701e-17,2.3679132110963685e-17,1.5062428729729238e-17,1.8811622150019124e-17,1.5581485296992378e-17,7.577322275531569e-18,5.9935116168856936e-21,2.875776346274726e-30,1.286815520256824e-21,1.81139441068409e-42,2.8757763462747865e-30,5.30252649087209e-32,6.412717288910683e-24,7.479112942574604e-18,3.1945887628065725e-31,7.712801615999538e-38,5.701690151918303e-44,4.97566784459503e-64,1.6664212647507729e-44,2.962241160127998e-54,6.356330510735056e-53,1.600409332109478e-33
6.747997679810468e-23,0.10054149576763871,0.0,0.2496445339910466,0.031075110263184432,0.3194096818763551,0.35048479213953954,0.20701222018021492,0.09201819554070584,0.0,1.037904953698585e-54,7.643369263690432e-18,8.523514856990732e-52,0.0,1.8893847741430823e-91,1.0120853389053769e-36,1.4090397082449108e-59,8.48126595699339e-42,3.848396212230557e-64,5.030831668325627e-35,4.459993236095185e-25,1.8078250720692156e-104,2.5909624961740912e-21,5.172901900649281e-66,2.945758214766426e-60,4.199651405643121e-99,7.643369709689748e-18,1.793472585897659e-79,1.387944662869492e-16,4.7440769908664104e-17,3.0177339789572287e-17,3.7688790021791405e-17,3.121726148344361e-17,1.5181046370865515e-17,1.2007906555820467e-20,1.1533149370983069e-29,2.5781147182860795e-21,1.4535299369403104e-41,1.1533149370983561e-29,2.1265502850914587e-31,1.2847779197588161e-23,1.498428551212616e-17,1.2811726657739833e-30,6.189036157167092e-37,4.583805891718104e-43,1.603045993289809e-62,6.683094595124284e-44,2.3770119750218014e-53,5.102204821154603e-52,6.41835722232773e-33
1.3507731007759737e-22,0.10054149576763871,0.0,0.2496445339910463,0.031075110263184432,0.31940968187635504,0.3504847921395395,0.20701222018021487,0.0920181955407057,0.0,8.320092872526793e-54,1.5300031343491614e-17,6.832652157388151e-51,0.0,6.060979197171303e-90,4.0536222686225234e-36,1.1289464275851784e-58,3.396930187630697e-41,3.084965900002552e-63,2.0149567351948414e-34,8.927742982166188e-25,5.802381729672056e-103,5.186431014080656e-21,4.14672115018841e-65,2.360193020237053e-59,1.3472110639540598e-97,1.5300032236265872e-17,2.876241540472549e-78,2.778303142476444e-16,9.49640455038815e-17,6.040716190939382e-17,7.544312576526408e-17,6.248881385611256e-17,3.0388494561614556e-17,2.4036696452655365e-20,4.619275407173842e-29,5.160713114349102e-21,1.1645927411112496e-40,4.6192754071742357e-29,8.517293175429306e-31,2.5717904989636266e-23,2.999463065122731e-17,5.131370744319416e-30,4.958758074963772e-36,3.6863373430203327e-42,5.161325695586113e-61,2.6767237203563684e-43,1.904502150253105e-52,4.088633341846507e-51,2.570690686281862e-32
