Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),HNOH(93),CH3OX(210),CH2X(34),CHX(35),CX(33),SX(680),CH2OX(648),CHOX(678),H2X(216),NO2X(213),N2OX(730)
0.0,0.0521079599565058,0.0,0.12938406457200388,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0635874299203237e-25,0.0521079599565058,0.0,0.12938406457200388,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,3.441305332338918e-80,2.851036979497799e-27,6.722607889898136e-79,0.0,1.2970612248339582e-132,1.276553587416143e-53,3.725722575126523e-89,1.6821422769365284e-62,1.37158486953873e-99,1.405313785486353e-48,4.003516559075664e-42,-6.60940308460689e-147,5.4979459587075025e-37,7.848271577103023e-105,5.326870923683757e-90,3.3694879141573303e-147,2.851036979497803e-27,5.845935629379388e-115,3.055620849938028e-19,1.0444292884644625e-19,6.641037983386921e-20,8.297351881362683e-20,6.872616583122925e-20,3.3421737230862794e-20,8.300401634421787e-26,1.2163453925607991e-36,5.4960299739738155e-37,5.194429110588544e-52,1.2163453925607986e-36,6.167825305046734e-39,1.926140572207002e-40,3.298855959899006e-20,8.803355530495618e-41,2.1518832982712796e-47,4.258965836241991e-58,1.362531101335733e-81,4.448403269324793e-60,8.456246889411772e-72,4.110074299660943e-68,7.899193958955875e-45,1.0400419827737496e-111
5.778044803776907e-25,0.0521079599565058,0.0,0.12938406457200388,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,5.20050061823057e-79,7.982903542593838e-27,1.0159205043215817e-77,0.0,8.989640158439211e-131,1.9219162916837072e-52,4.4232175569791775e-88,1.0160139352696635e-61,2.1441160950278948e-98,8.488095264337573e-48,1.120984636541186e-41,-6.609403084606545e-147,1.539424868438172e-36,1.313871092043551e-103,6.569103996342367e-89,2.3452947405976694e-145,7.98290354259385e-27,1.8380556940234957e-113,8.5557383798261915e-19,2.9244020077004954e-19,1.8594906353483378e-19,2.323258526781551e-19,1.924332643274417e-19,9.35808642464158e-20,2.324112457677313e-25,7.346726171067227e-36,1.538888404542e-36,6.16682624009072e-51,7.346726171067224e-36,3.725366484300677e-38,5.425980226384622e-40,9.236796687717217e-20,5.317225485441567e-40,2.554715299494003e-46,8.632813095457934e-57,1.405580149941754e-79,2.686835574667859e-59,1.0039256307094888e-70,6.213338510324172e-67,4.771113151209349e-44,8.025429749908586e-110
1.3206959551490072e-24,0.0521079599565058,0.0,0.12938406457200388,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,5.594461252676729e-78,1.8246636668785916e-26,1.0928809194452461e-76,0.0,4.3607073763505374e-129,2.0646566300031037e-51,4.342820933803049e-87,4.891669741331427e-61,2.2833951536317445e-97,4.0866524881943163e-47,2.5622505978084256e-41,-6.609403084589907e-147,3.5186854135733006e-36,1.4049557241233812e-102,6.941370495894344e-88,1.1400685352893408e-143,1.8246636668785942e-26,4.1006011418662857e-112,1.9555973439601374e-18,6.68434744617256e-19,4.2502643093676297e-19,5.310305204072117e-19,4.398474613198658e-19,2.1389911827752183e-19,5.312257046304433e-25,3.5371324015668044e-35,3.517459266148563e-36,6.054626571302004e-50,3.537132401566799e-35,1.7936035987862638e-37,1.2556806031559922e-39,2.111267814335364e-19,2.560013905802329e-39,2.5082334606034325e-45,1.6051608992186904e-55,1.19721536124368e-77,1.2935956707131917e-58,9.856601374252692e-70,6.689231202142585e-66,2.2970856032643692e-43,8.74650591970066e-108
2.8064789046916404e-24,0.0521079599565058,0.0,0.12938406457200388,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,5.142273732007396e-77,3.877410292117007e-26,1.004545851772124e-75,0.0,1.8697928087319746e-127,1.8966600228598124e-50,3.841316639495991e-86,2.1363206917093922e-60,2.096890278654637e-96,1.784748507567669e-46,5.444782520342905e-41,-6.609403083940291e-147,7.4772065038447e-36,1.290687227761084e-101,7.007697233741595e-87,4.904968793496395e-142,3.8774102921170123e-26,7.679972116378545e-111,4.1556443559147154e-18,1.420423832311669e-18,9.031811657406214e-19,1.1284398558653249e-18,9.346758553047108e-19,4.545356263397339e-19,1.1288546224186072e-24,1.5447586485522145e-34,7.47460117863099e-36,5.3552486358523515e-49,1.5447586485522098e-34,7.833138138222302e-37,2.7343043629190766e-39,4.486444105462649e-19,1.1180242071601123e-38,2.2185020102797217e-44,2.7674254935556604e-54,8.789132934844609e-76,5.64947215197638e-58,8.718052293012916e-69,6.158182897194224e-65,1.0031976327873964e-42,7.155184914475137e-106
5.778044803776907e-24,0.0521079599565058,0.0,0.12938406457200388,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,4.399323441198083e-76,7.982903542593838e-26,8.594101255157504e-75,0.0,8.034900130214625e-126,1.6221904053211729e-49,3.229094498566499e-85,8.918718352317477e-60,1.793754553839194e-95,7.450973690648647e-46,1.1209846365411861e-40,-6.609403061057428e-147,1.5394248684392063e-35,1.1041446935734874e-100,7.348997809808987e-86,2.117878840702782e-140,7.982903542593848e-26,1.3265241956860213e-109,8.55573837982204e-18,2.9244020077004944e-18,1.8594906353483384e-18,2.3232585267815512e-18,1.9243326432743888e-18,9.358086424641574e-19,2.324112458245896e-24,6.449063271357348e-34,1.5388885760673063e-35,4.501409156370237e-48,6.449063271357312e-34,3.270180977467433e-36,5.901386277357342e-39,9.236796687717218e-19,4.66752159538616e-38,1.8647811139742998e-43,4.593347208251216e-53,6.012941996105048e-74,2.3585434133377493e-57,7.328048254245038e-68,5.284938443482342e-64,4.188152637038406e-42,5.149638549009748e-104
1.1721176601947439e-23,0.0521079599565058,0.0,0.12938406457200385,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,3.6374456957564774e-75,1.6193890043547498e-25,7.105769111392013e-74,0.0,3.706690151690656e-124,1.3410821232991619e-48,2.6477943568989805e-84,3.6435874575356e-59,1.483093711128177e-94,3.043965871914862e-45,2.273997405554978e-40,-6.609402293451517e-147,3.1228333045505046e-35,9.129218928332001e-100,8.416568126102098e-85,9.824630955721919e-139,1.6193890043547516e-25,2.2040397909797596e-108,1.7355926427629357e-17,5.932358358478143e-18,3.772109574563774e-18,4.712895868614002e-18,3.903646219213693e-18,1.8983546747130022e-18,4.7146281309043145e-24,2.634652774102385e-33,3.1217457953066055e-35,3.6905271900783523e-47,2.6346527741023548e-33,1.335975632993809e-35,1.3074887685882255e-38,1.873750185222635e-18,1.9068271988891738e-37,1.5288544821816107e-42,7.483826497968558e-52,3.9767076376853234e-72,9.63541941701648e-57,6.00797670072055e-67,4.3969496845296444e-63,1.7109970082856782e-41,3.490592689581219e-102
2.3607440198288504e-23,0.0521079599565058,0.0,0.12938406457200383,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,2.9579104306198143e-74,3.2615863045454815e-25,5.778293431764472e-73,0.0,1.8827966316403954e-122,1.090475301512158e-47,2.1448802683226626e-83,1.472796306287224e-58,1.2060254834601425e-93,1.2304196742550052e-44,4.580022943582561e-40,-6.609377149465075e-147,6.289650176780404e-35,7.423723044452991e-99,1.0689112268885318e-83,5.015992746978932e-137,3.261586304545484e-25,3.593141130217578e-107,3.495630252321466e-17,1.1948271060033435e-17,7.597347452994647e-18,9.4921705522789e-18,7.862273371092104e-18,3.8234467392106846e-18,9.49565948023652e-24,1.0649687757658154e-32,6.287461445108744e-35,2.988684601904287e-46,1.0649687757657908e-32,5.400227115278664e-35,3.07792408215256e-38,3.77389121812446e-18,7.707638402421335e-37,1.238096700354143e-41,1.208241668325299e-50,2.5868588151682082e-70,3.8947905852981607e-56,4.865415299367636e-66,3.6198627556063553e-62,6.916123472375896e-41,2.2983629678394035e-100
4.737996739097063e-23,0.0521079599565058,0.0,0.12938406457200374,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070591,0.0,2.3856619199591098e-73,6.545980904926944e-25,4.660402985785228e-72,0.0,1.043404192199602e-120,8.794796904143883e-47,1.7273967687220137e-82,5.922049171646129e-58,9.727030760778037e-93,4.947463394356121e-44,9.192074019637728e-40,-6.608563131810736e-147,1.2623283921269418e-34,5.987500966558563e-98,1.4838396629494755e-82,2.790391869179698e-135,6.545980904926945e-25,5.802932523068225e-106,7.015705471426791e-17,2.3980096463144003e-17,1.5247823209856404e-17,1.9050719919608688e-17,1.5779527674848123e-17,7.67363086820602e-18,1.9057722194962397e-23,4.2821926083259356e-32,1.2618897590007186e-34,2.4055533772965167e-45,4.2821926083257364e-32,2.1714075740760254e-34,7.961734836718629e-38,7.574173283928107e-18,3.0991576342150555e-36,9.965129697209338e-41,1.9418590770787353e-49,1.6690455701928758e-68,1.5660781643504974e-55,3.916109514287217e-65,2.991068430956923e-61,2.7809428300262493e-40,1.491887044537985e-98
9.492502177633489e-23,0.0521079599565058,0.0,0.12938406457200358,0.031075110263184432,0.3194096818763551,0.35048479213953954,0.20701222018021492,0.09201819554070584,0.0,1.9162933919719032e-72,1.3114770105689866e-24,3.74348912178866e-71,0.0,6.152680403250082e-119,7.06434660706243e-46,1.387748887665569e-81,2.3750065879530234e-57,7.812839587375418e-92,1.9841541018454643e-43,1.841617617174806e-39,-6.58236451338707e-147,2.52905514103643e-34,4.809215282456969e-97,2.1913043648463244e-81,1.6494115474727842e-133,1.3114770105689849e-24,9.328044549674962e-105,1.4055855909590505e-16,4.804374726936504e-17,3.0548774723579987e-17,3.816781865426821e-17,3.161403628235695e-17,1.537399912619657e-17,3.818184768866002e-23,1.7173507616841875e-31,2.5281789260980717e-34,1.9303050888203424e-44,1.717350761684028e-31,8.708315574536278e-34,2.3101116855600273e-37,1.517473741553538e-17,1.2428608276720182e-35,7.996148813497527e-40,3.1138562201384986e-48,1.0724891783762987e-66,6.2806738846304895e-55,3.14243125723511e-64,2.517483208065995e-60,1.115282455548602e-39,9.615603939238108e-97
