Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),HNOH(93),CH3OX(210),CH2X(34),CHX(35),CX(33),SX(680),CH2OX(648),CHOX(678),H2X(216),NO2X(213),N2OX(730),H2NX(201),H3NX(202)
0.0,0.11302162890393913,0.0,0.28063270456848083,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3461972162975503e-25,0.11302162890393913,0.0,0.28063270456848083,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.2333418396848887e-60,7.933705050334023e-20,2.0074037550130883e-57,0.0,5.0669185161934046e-101,3.0121570425131914e-40,9.825328883714855e-65,3.090010671968275e-45,4.726071278540459e-69,3.083552846020081e-39,3.6564043567249146e-26,-1.489387605274867e-111,1.8660977796983496e-22,2.2554386832783903e-70,2.2054763081352593e-65,5.3891770556437566e-108,7.93370870673859e-20,7.294473393921456e-87,2.9357158993543866e-19,1.0034450668049336e-19,7.03805540045306e-20,7.971757307896863e-20,6.602929736407061e-20,3.211024213775933e-20,1.6105491574488357e-20,1.2538722405318254e-34,1.8531764999268924e-22,1.5206672555838592e-48,3.7756630917452084e-34,8.804432541632853e-34,1.292127975119352e-24,3.169406273475451e-20,3.3022995154980084e-35,3.332880818842695e-44,9.756658501790436e-50,1.8752908218807794e-74,9.262860860697448e-48,1.1486942782716847e-59,4.090198241373483e-58,2.1118863261846757e-37,5.401632041585094e-100,2.2580999695284277e-20,1.3595580471676744e-20
3.7693522056331414e-25,0.11302162890393913,0.0,0.28063270456848083,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.8638260440289105e-59,2.221437414093527e-19,3.033588437122638e-56,0.0,3.0824537574729346e-99,1.819342854251283e-39,1.1664630450828618e-63,1.8663664458688375e-44,7.142038916130501e-68,1.8624659189961275e-38,1.0237932198829762e-25,1.4347301620231774e-110,5.225073783155378e-22,3.4084189381703796e-69,2.61834147406457e-64,3.278499410311523e-106,2.2214384378868055e-19,2.2911927759936442e-85,8.220004518191518e-19,2.8096461870537576e-19,1.9706555121269436e-19,2.2320920462111015e-19,1.8488203261939345e-19,8.990867798572896e-20,4.509537640856507e-20,7.573388332812395e-34,5.188894199795302e-22,1.805336165829176e-47,2.2805005074141188e-33,5.317877255146016e-33,3.617958330508935e-24,8.874337565731253e-20,1.9945889054170533e-34,3.956796104562771e-43,1.158314110012132e-48,1.1408344223155072e-72,5.594767959850358e-47,1.3637298471617105e-58,4.9400560474004307e-57,1.2755793410155443e-36,4.1681411474563174e-98,6.322679914679594e-20,3.806762532069342e-20
8.615662184304322e-25,0.11302162890393913,0.0,0.28063270456848083,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.005018996955821e-58,5.077571232213775e-19,3.2633960019778156e-55,0.0,1.3915669712364627e-97,8.759352688226866e-39,1.145240334710412e-62,8.98575103408374e-44,7.683079556097835e-67,8.966971676226371e-38,2.340098788303945e-25,7.931535918757461e-109,1.1943025790069438e-21,3.6666215586321003e-68,2.5707031878898474e-63,1.480071350656436e-104,5.077573572312698e-19,5.11040632513097e-84,1.878858175586273e-18,6.422048427551178e-19,4.504355456290566e-19,5.10192467705385e-19,4.2258750313002174e-19,2.0550554968167961e-19,1.0307514607670914e-19,3.646260475466805e-33,1.1860329599532134e-21,1.772489753108603e-46,1.0979628270795264e-32,2.56032898310649e-32,8.269619041987097e-24,2.028420015024281e-19,9.603086961912054e-34,3.8848058713844905e-42,1.137247314275343e-47,5.15030605882603e-71,2.693639938274455e-46,1.3389180507459265e-57,4.887060295220284e-56,6.141365436545035e-36,4.5426441136914504e-96,1.4451839804981906e-19,8.70117150187209e-20
1.8308282141646685e-24,0.11302162890393913,0.0,0.28063270456848083,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.8429578917199468e-57,1.0789838868454273e-18,2.999623158756358e-54,0.0,5.2542921138095345e-96,3.825439452876299e-38,1.0129521066464017e-61,3.924313553399708e-43,7.062073790097605e-66,3.916112114445473e-37,4.972709925145884e-25,3.1217082775127016e-107,2.537892980389755e-21,3.370256915649314e-67,2.273757861108397e-62,5.588467811529186e-103,1.0789843841164482e-18,9.570393250978544e-83,3.992573623119291e-18,1.3646852908545106e-18,9.571755344619198e-19,1.0841589938739015e-18,8.979984441512093e-19,4.366992930736261e-19,2.1903468541295987e-19,1.592417745475683e-32,2.520320039900585e-21,1.567747113816855e-45,4.795092126516617e-32,1.1181629327870166e-31,1.7572940467739404e-23,4.3103925319265756e-19,4.193920354554442e-33,3.436066785771096e-41,1.0058959834444617e-46,1.9446834763380472e-69,1.1763833292916612e-45,1.1842578531111165e-56,4.3371977338775134e-55,2.682095634254536e-35,3.7161649386010044e-94,3.0710159585586474e-19,1.8489989441475234e-19
3.769352205633141e-24,0.11302162890393913,0.0,0.28063270456848083,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.5766892772203318e-56,2.221437414093527e-18,2.566240765172699e-53,0.0,1.8229580262653734e-94,1.5970456719363382e-37,8.514472806283394e-61,1.638323658277579e-42,6.041752809630924e-65,1.634899718959821e-36,1.023793219882976e-24,1.1029711042477057e-105,5.225073783155378e-21,2.8833257474389644e-66,1.9112304926788435e-61,1.938899100510861e-101,2.2214384378868053e-18,1.6529785700750194e-81,8.220004518180438e-18,2.80964618705293e-18,1.9706555121282014e-18,2.232092046210803e-18,1.8488203261933083e-18,8.990867798577008e-19,4.509537640853116e-19,6.64803061930212e-32,5.18889419979535e-21,1.3177859130131003e-44,2.0018565712434926e-31,4.668110133570537e-31,3.617958333042796e-23,8.874337565731098e-19,1.7508791760018189e-32,2.888221149382878e-40,8.455390844694063e-46,6.74719022456734e-68,4.9111688281895335e-45,9.954400824130119e-56,3.651483856479199e-54,1.119722130143113e-34,2.6745508957546096e-92,6.322679914679535e-19,3.806762532067212e-19
7.646400188570086e-24,0.11302162890393913,0.0,0.28063270456848083,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,1.3036371845794478e-55,4.506344468589725e-18,2.1218174908693498e-52,0.0,6.071211380014429e-93,6.524452708062401e-37,6.980679230174004e-60,6.693086715910162e-42,4.995438059046568e-64,6.679098806593116e-36,2.0768376746197515e-24,3.705521881609718e-104,1.0599435388686623e-20,2.3839894860354882e-65,1.5669422397926872e-60,6.457343569143545e-100,4.506346545427519e-18,2.7463917331452463e-80,1.6674866308283158e-17,5.699567979448309e-18,3.997615467462986e-18,4.52795815088408e-18,3.750464090276401e-18,1.823861753426577e-18,9.147919214294163e-19,2.715937427883573e-31,1.0526042519584964e-20,1.080400508759699e-43,8.17823728324534e-31,1.9070753062451306e-30,7.339286910054083e-23,1.8002227633339868e-18,7.152912612973735e-32,2.3679381601529853e-39,6.932615817574841e-45,2.2472158555104922e-66,2.0063727137415925e-44,8.161219214934418e-55,2.9960182563258e-53,4.574430257969036e-34,1.8128976851066024e-90,1.2826007826921206e-18,7.722289707902828e-19
1.5400496154443976e-23,0.11302162890393913,0.0,0.2806327045684808,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,1.0600961082408163e-54,9.076158577582122e-18,1.72542674532124e-51,0.0,1.9817445365175855e-91,2.6372881299442704e-36,5.653135028227307e-59,2.7054526638204787e-41,4.0622072674808924e-63,2.699798527227007e-35,4.182926584093303e-24,1.21472147757729e-102,2.1348158599749106e-20,1.93862065774863e-64,1.2689504680444033e-59,2.1077845171711958e-98,9.076162760508943e-18,4.477265288550973e-79,3.358458988841033e-17,1.1479411564233218e-17,8.051535378141434e-18,9.119690360228526e-18,7.553751618438164e-18,3.673411700567232e-18,1.84246823611523e-18,1.0978253324548178e-30,2.1200339159164532e-20,8.749363432686985e-43,3.305774268652606e-30,7.708703302939248e-30,1.4781944081970964e-22,3.62580077685563e-18,2.891321547350833e-31,1.9176176549715324e-38,5.614820303962448e-44,7.3360689673664416e-65,8.1100792998014325e-44,6.60916691374061e-54,2.4271752408862505e-52,1.8490578491183232e-33,1.1936932419439851e-88,2.5832663651404135e-18,1.5553344059559012e-18
3.090868808619176e-23,0.11302162890393913,0.0,0.28063270456848066,0.03107511026318443,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,8.550059159150428e-54,1.8215786795566915e-17,1.3916191779779983e-50,0.0,6.404656057156744e-90,1.0604419806122466e-35,4.5501348844445296e-58,1.087850617109119e-40,3.276317324787826e-62,1.0855771136526056e-34,8.395104403040405e-24,3.934078496761183e-101,4.284560502187404e-20,1.5635677918306228e-63,1.0213617595021727e-58,6.811995514397156e-97,1.8215795190671788e-17,7.230757902628008e-78,6.74040370483516e-17,2.3039098733779645e-17,1.615937519953387e-17,1.8303154778908985e-17,1.5160326674744004e-17,7.372511594860158e-18,3.697820865477275e-18,4.41430737769537e-30,4.254893243832502e-20,7.04224886804712e-42,1.3292372941022998e-29,3.099635693993911e-29,2.9667258497381927e-22,7.276956803898476e-18,1.1625876004553401e-30,1.5434654209982661e-37,4.520275048979018e-43,2.3713962707895165e-63,3.2610272165917833e-43,5.319632516044484e-53,1.9539701011933604e-51,7.434980286786057e-33,7.748364848064311e-87,5.184597530036832e-18,3.1215452762811204e-18
6.192507194968732e-23,0.11302162890393913,0.0,0.2806327045684805,0.031075110263184425,0.3194096818763551,0.3504847921395395,0.20701222018021492,0.09201819554070585,0.0,6.867872488793157e-53,3.649504323153648e-17,1.1178242032493441e-49,0.0,2.0596415053311155e-88,4.2528468192094013e-35,3.651196690643122e-57,4.362767527687975e-40,2.631716249049065e-61,4.35364976197748e-34,1.6819460040934605e-23,1.2664720294412717e-99,8.58404978661238e-20,1.2559426808625422e-62,8.195785316122839e-58,2.1906357825509346e-95,3.6495060050997445e-17,1.1623201987124105e-76,1.3504293136698182e-16,4.615847307277894e-17,3.2375054842460846e-17,3.667008361623617e-17,3.0373476787284926e-17,1.4770711383492474e-17,7.408526124163036e-18,1.7703346931842798e-29,8.52461189966514e-20,5.650961211273535e-41,5.330836065264822e-29,1.2430925478790355e-28,5.943788761451272e-22,1.45792688579824e-17,4.662495638301676e-30,1.2385336411213295e-36,3.6288075282337596e-42,7.62930654205175e-62,1.3078177665124516e-42,4.268670074311844e-52,1.5680852124654563e-50,2.981759632622069e-32,4.994024703718328e-85,1.0387259859829005e-17,6.253967016907485e-18
