Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),HNOH(93),CH3OX(210),CH2X(34),CHX(35),CX(33),SX(680),CH2OX(648),CHOX(678),H2X(216),NO2X(213),N2OX(730),H2NX(201),H3NX(202),NOX(214)
0.0,0.10172235144988963,0.0,0.2525765986500759,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5044992857982007e-25,0.10172235144988963,0.0,0.2525765986500759,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,3.236943165823226e-62,2.0345963975992367e-20,2.8461275098758864e-59,0.0,1.1618633013731232e-103,1.1371625757738232e-41,7.578146348965408e-67,9.772293013634582e-47,1.5451765734306307e-71,4.792295285922148e-40,1.4760660918804678e-27,-1.2753780104499563e-115,8.424286315882915e-24,2.3585331597902498e-73,1.595606919388045e-67,3.059643058689925e-111,2.0345965452058482e-20,2.557088651349728e-89,3.112610205106736e-19,1.063908587301637e-19,7.459693333483293e-20,8.452102996291603e-20,7.00079543993452e-20,3.404507479365315e-20,1.70514762830436e-20,9.14891728915654e-35,8.381033599536309e-24,8.145265480712705e-49,2.334342952363093e-34,1.0121072551363335e-33,4.325271633397864e-26,3.3603818111686254e-20,1.1130140546137247e-35,1.9845873309890842e-44,1.694565786449109e-50,5.513358700124082e-75,6.925426936154718e-49,9.598186113704998e-61,1.9941620524366084e-59,5.742268172327812e-38,7.284723334629753e-101,2.3941638940100132e-20,1.4414794881820113e-20,8.732683014079263e-56
4.212598000234962e-25,0.10172235144988963,0.0,0.2525765986500759,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,4.891668523839791e-61,5.696869913277862e-20,4.301067898063794e-58,0.0,7.068181388644415e-102,6.86846196796918e-41,8.996775345742999e-66,5.902464980235289e-46,2.3350708377683677e-70,2.894546352696977e-39,4.13298505726531e-27,7.524934504721651e-115,2.358800168447217e-23,3.5642153110750207e-72,1.894304539282686e-66,1.8613301672562511e-109,5.696870326576375e-20,8.039009276408195e-88,8.715308574298034e-19,2.978944044444552e-19,2.088714133375388e-19,2.3665888389616374e-19,1.9602227231816269e-19,9.532620942223027e-20,4.774413359251915e-20,5.5259460426506074e-34,2.3466894078701756e-23,9.670059178702168e-48,1.4099431432273115e-33,6.1131278210231434e-33,1.2110760577399614e-25,9.409069071272149e-20,6.722604878292772e-35,2.3561020756114375e-43,2.011812546968728e-49,3.3540844710377327e-73,4.182957869430823e-48,1.1394966554174042e-59,2.5168189822312173e-58,3.4683299760859985e-37,5.62121887685251e-99,6.703658903228033e-20,4.0361425669095394e-20,1.0367441274314997e-54
9.628795429108485e-25,0.10172235144988963,0.0,0.2525765986500759,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,5.262233779150967e-60,1.3021416944635116e-19,4.626892576139269e-57,0.0,3.190914959180167e-100,3.3068687857814127e-40,8.833087385105048e-65,2.841782808364937e-45,2.511962651894706e-69,1.3935994691461594e-38,9.446822988034996e-27,4.4030091725187965e-113,5.391543242165066e-23,3.8342201872078074e-71,1.8598394389426808e-65,8.402934148878198e-108,1.3021417889317428e-19,1.7934157486312868e-86,1.992070531267732e-18,6.809014958730252e-19,4.774203733429768e-19,5.409345917626541e-19,4.48050908155782e-19,2.1788847867939034e-19,1.0912944821145845e-19,2.6605051476868062e-33,5.3638615037033e-23,9.494121444318861e-47,6.788269305471924e-33,2.943207897935989e-32,2.7681738480945494e-25,2.150644359147918e-19,3.236644853455523e-34,2.3132349814105835e-42,1.9752604211035038e-48,1.514232528940568e-71,2.0139141530238143e-47,1.1187645734083107e-58,2.5364720031431588e-57,1.6698515845129275e-36,6.126279305186928e-97,1.5322648921664058e-19,9.225468724364224e-20,1.0178815321211091e-53
2.046119028685553e-24,0.10172235144988963,0.0,0.2525765986500759,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,4.836899446151533e-59,2.767051100734962e-19,4.252911420896191e-56,0.0,1.2048287852435215e-98,1.4441964871727583e-39,7.812765761483778e-64,1.2410812127315926e-44,2.3089264501459215e-68,6.086215013121114e-38,2.0074498849574365e-26,1.7346617694677634e-111,1.1457029389600767e-22,3.52430893001137e-70,1.6450069379776762e-64,3.1727880803478045e-106,2.7670513014799537e-19,3.358837230101765e-85,4.233149878942265e-18,1.4469156787301135e-18,1.0145182933539573e-18,1.149486007495615e-18,9.521081798309584e-19,4.630130171937338e-19,2.319000774492899e-19,1.1619124957229677e-32,1.139820569536969e-22,8.397442899995844e-46,2.96461554950118e-32,1.285376214022658e-31,5.882369435020673e-25,4.570119263189319e-19,1.4135278314195364e-33,2.0460301304168924e-41,1.747186078075217e-47,5.7177457707345844e-70,8.795292208813212e-47,9.895345955677094e-58,2.2694715321405754e-56,7.292680578856319e-36,5.0116768534600166e-95,3.256062895853605e-19,1.9604121039272108e-19,9.003046880195784e-53
4.212598000234962e-24,0.10172235144988963,0.0,0.2525765986500759,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,4.138069310421129e-58,5.696869913277863e-19,3.6384552597516845e-55,0.0,4.180110832573458e-97,6.029236120189247e-39,6.567100378474052e-63,5.181269755829057e-44,1.9753351893548357e-67,2.54087496059591e-37,4.13298505726531e-26,6.129111447272452e-110,2.358800168447216e-22,3.015120489077934e-69,1.3827274777669613e-63,1.1007875973055613e-104,5.696870326576374e-19,5.801529563169335e-84,8.715308574286031e-18,2.9789440444440834e-18,2.088714133376337e-18,2.3665888389614558e-18,1.9602227231810614e-18,9.532620942225136e-19,4.774413359247643e-19,4.8507559467115793e-32,2.346689407870302e-22,7.058556741338432e-45,1.2376686333429586e-31,5.366192666728468e-31,1.2110760633740714e-24,9.409069071272097e-19,5.901200356102924e-33,1.7198115834788306e-40,1.4687675964727224e-46,1.983954251352182e-68,3.671861361456201e-46,8.317634514962438e-57,1.9179325469623637e-55,3.0445505849682044e-35,3.6069402298112025e-93,6.70365890322798e-19,4.0361425669081924e-19,7.567603377073999e-52
8.545555943333781e-24,0.10172235144988963,0.0,0.2525765986500759,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,3.4214357282711624e-57,1.1556507538363665e-18,3.008345169590001e-54,0.0,1.392151485348001e-95,2.46313974706223e-38,5.384105660218103e-62,2.116717755925306e-43,1.6332453337957561e-66,1.0380303281118703e-36,8.384055401881058e-26,2.0591267162319454e-108,4.784994627421496e-22,2.492959927082999e-68,1.133643571896557e-62,3.666082438801897e-103,1.1556508376769216e-18,9.639306275547277e-83,1.767962596495237e-17,6.0430007758711966e-18,4.2371058134227715e-18,4.800794501892817e-18,3.976451809880271e-18,1.933760248280445e-18,9.685238528749586e-19,1.9816920805011244e-31,4.760427084537192e-22,5.7870312765854e-44,5.056280208536946e-31,2.192264798911801e-30,2.456754313065199e-24,1.9086968687437563e-18,2.410832826153525e-32,1.4100054039091538e-39,1.2044343735271107e-45,6.60874577104878e-67,1.5000751760000594e-45,6.819299305503833e-56,1.576537763187339e-54,1.2437982551988918e-34,2.4449015359256417e-91,1.359885091797664e-18,8.18760349286778e-19,6.204378463864293e-51
1.7211471829531418e-23,0.10172235144988963,0.0,0.25257659865007587,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,2.782254712463569e-56,2.3275782788535264e-18,2.446336330580198e-53,0.0,4.544214651319803e-94,9.956405187781676e-38,4.360188359982007e-61,8.556111603501736e-43,1.3281279811906335e-65,4.195884552998475e-36,1.6886196091112554e-25,6.750103170088873e-107,9.637383545370055e-22,2.0272336106731793e-67,9.180540286900915e-62,1.1966704607948274e-101,2.3275784477154894e-18,1.5714484234668296e-81,3.5608260746200256e-17,1.2171114238722116e-17,8.533889173522336e-18,9.669205827754252e-18,8.008909983274695e-18,3.894756556397794e-18,1.9506888867723294e-18,8.010316234691864e-31,9.587902437871867e-22,4.686487966697492e-43,2.0438293032559236e-30,8.8614848301706e-30,4.948110852235926e-24,3.844276791976811e-18,9.744971170405346e-32,1.1418588699933533e-38,9.757870385898343e-45,2.1580858854651977e-65,6.063543702448097e-45,5.5224453795905715e-55,1.2783570511061783e-53,5.027631413745255e-34,1.6098329567233842e-89,2.738923494747357e-18,1.6490525344777439e-18,5.024466539413386e-50
3.4543303601926687e-23,0.10172235144988963,0.0,0.25257659865007576,0.03107511026318443,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070591,0.0,2.2439892197007063e-55,4.671433328887846e-18,1.973058875235563e-52,0.0,1.4686118694487345e-92,4.003427144673383e-37,3.509458926321024e-60,3.4403748446221105e-42,1.0711833315705672e-64,1.6871467245899624e-35,3.3890477469575543e-25,2.1861337137464875e-105,1.934216138126717e-21,1.635037348588948e-66,7.389298678509916e-61,3.8674327485658207e-100,4.671433667792622e-18,2.53789196024186e-80,7.146553030835691e-17,2.4427341164410716e-17,1.7127455893748273e-17,1.940602847947198e-17,1.607382633004758e-17,7.81674917263844e-18,3.915018954555001e-18,3.220912927321121e-30,1.924285314454479e-21,3.772093230837794e-42,8.218147737514975e-30,3.563164075972954e-29,9.930824089731281e-24,7.715436638442771e-18,3.918409587748412e-31,9.190672567097149e-38,7.860500300591941e-44,6.980256428298673e-64,2.4381242540551274e-44,4.444944482932999e-54,1.0295864721172213e-52,2.0215884791406823e-33,1.0449563300543245e-87,5.497000300646596e-18,3.309636904855872e-18,4.044127789632309e-49
6.920696714671724e-23,0.10172235144988963,0.0,0.2525765986500756,0.031075110263184425,0.3194096818763551,0.35048479213953954,0.20701222018021492,0.09201819554070584,0.0,1.802494174632403e-54,9.35914342895648e-18,1.5848681881384732e-51,0.0,4.722837075974502e-91,1.6055536703453803e-36,2.81611978062974e-59,1.3797441872192587e-41,8.60432705366027e-64,6.766212960421168e-35,6.789904022650152e-25,7.037676557325475e-104,3.8751717053061384e-21,1.3133509155320583e-65,5.92944870006447e-60,1.2437087995440119e-98,9.359144107946882e-18,4.0795860449606964e-79,1.431800694313137e-16,4.893979501573499e-17,3.4314589334307303e-17,3.887967378288686e-17,3.2203659023529475e-17,1.5660734405143523e-17,7.843679090072058e-18,1.2917301427091857e-29,3.855275455790492e-21,3.02686725961524e-41,3.295844808385838e-29,1.42898816086355e-28,1.9896251201337568e-23,1.5457756331374087e-17,1.5714571309326173e-30,7.374934300413807e-37,6.318015907610485e-43,2.2484092011813556e-62,9.777968734359022e-44,3.566788014003886e-53,8.26439602658293e-52,8.107473978900492e-33,6.735018070162687e-86,1.1013153912444464e-17,6.630805645596906e-18,3.245157860912105e-48
