Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),HNOH(93),CH3OX(210),CH2X(34),CHX(35),CX(33),SX(680),CH2OX(648),CHOX(678),H2X(216),NO2X(213),N2OX(730),H2NX(201),H3NX(202),NOX(214),CNOX(740),NO2X(206),H2NO3(231),SX(544)
0.0,0.09278304896952998,0.0,0.2303803105913429,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6345017735413845e-25,0.09278304896952998,0.0,0.2303803105913429,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,7.938434261234707e-64,5.044551458450574e-21,4.075898936380527e-61,0.0,9.08266480785389e-102,4.6160298119750874e-43,5.979756120957961e-69,3.151769502724356e-48,4.562901783317709e-74,7.490131210756459e-41,6.114912686980183e-29,-6.780676965645984e-119,4.137527261913144e-25,2.551742121366578e-76,4.4437087296665094e-65,6.043873091544624e-110,5.044551519600445e-21,9.381657775531938e-92,3.229566798992363e-19,1.103885043194613e-19,7.738652937000425e-20,8.769691487132807e-20,7.263850925584937e-20,3.532432138222802e-20,3.1710303241699504e-20,6.463193182323536e-35,2.0239657475606194e-23,4.222393798090201e-49,1.4271971421895043e-34,1.9980465413467245e-33,3.1290621910963344e-26,3.486648444280819e-20,3.7276730384598296e-36,1.1289211616269676e-44,2.8911974455834384e-51,1.4359419462503545e-75,5.47826514414884e-50,8.24857776779212e-62,1.4713704348688813e-60,1.4772271837233927e-38,8.719582369724846e-102,2.484124806490459e-20,1.495643202873043e-20,2.4929684864894885e-56,5.568928337846883e-107,1.403150637941253e-20,1.9857195372067358e-23,3.436790529374974e-64
4.576604965915877e-25,0.09278304896952998,0.0,0.2303803105913429,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.1996561855742266e-62,1.4124744083661606e-20,6.159498472701292e-60,0.0,5.52542833582724e-100,2.7880820268959806e-42,7.099166467539427e-68,1.9036687796455113e-47,6.895457174949684e-73,4.524039251296902e-40,1.7121755523544512e-28,-1.8373842404985331e-119,1.1585076333356805e-24,3.85619269380913e-75,5.275571003861988e-64,3.676783008568907e-108,1.4124744254881246e-20,2.9497118682992413e-90,9.042787037177774e-19,3.0908781209448995e-19,2.1668228223602014e-19,2.455513616397179e-19,2.0338782591637492e-19,9.890809987023913e-20,8.878884907675238e-20,3.903768682123431e-34,5.667104093169736e-23,5.012825917092693e-48,8.62027073882461e-34,1.2068201109733523e-32,8.761374135927155e-26,9.762615643986293e-20,2.2515145086458672e-35,1.340255199479624e-43,3.432578217168618e-50,8.735907851138387e-74,3.3088721470664193e-49,9.792711525924216e-61,2.014311243751062e-59,8.922452189689294e-38,6.728420313468705e-100,6.955549458173281e-20,4.1878009680444623e-20,2.959652187160331e-55,4.297378947830711e-105,3.928821786235509e-20,5.56001470417886e-23,1.0805819012273158e-62
1.0460811350664863e-24,0.09278304896952998,0.0,0.2303803105913429,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.2905353809992231e-61,3.2285129334083676e-20,6.626107382945464e-59,0.0,2.4944424725167517e-98,1.342341499913972e-41,6.9700037367947e-67,9.16534571392243e-47,7.417818171103898e-72,2.178130156087978e-39,3.913544119667317e-28,2.412606152276316e-117,2.6480174476244135e-24,4.148316131863175e-74,5.179586895304984e-63,1.6598756044545719e-106,3.228512972544285e-20,6.580629641617613e-89,2.066922751354522e-18,7.064864276445402e-19,4.95273787968085e-19,5.612602551764948e-19,4.648864592374128e-19,2.260756568462641e-19,2.029459407468331e-19,1.8794965774197077e-33,1.295338078438798e-22,4.921622211053958e-47,4.150289289487083e-33,5.810319342235229e-32,2.0025998029018474e-25,2.2314550043397237e-19,1.0840073097083134e-34,1.3158704948202657e-42,3.3704404328625268e-49,3.94416934465421e-72,1.5930795039190756e-48,9.61454224614185e-60,2.0948797542897212e-58,4.2957766502676274e-37,7.332961590714856e-98,1.5898398761538917e-19,9.572116498387072e-20,2.905804067852181e-54,4.683893048529119e-103,8.980164082824022e-20,1.270860503812311e-22,2.4107187768208023e-61
2.2229224120162834e-24,0.09278304896952998,0.0,0.2303803105913429,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.1862243548051734e-60,6.860589983492782e-20,6.0905342627033514e-58,0.0,9.418540151394414e-97,5.862358176841408e-41,6.164889375029147e-66,4.002747268459933e-46,6.818252876775956e-71,9.512466637660695e-39,8.316281254293048e-28,9.737840718582906e-116,5.627037076201879e-24,3.813017217115612e-73,4.581285951948783e-62,6.267374453058444e-105,6.860590066656606e-20,1.232477966225822e-87,4.3922108466266634e-18,1.5012836587446122e-18,1.0524567994323473e-18,1.1926780422500369e-18,9.878837258794354e-19,4.80410770798325e-19,4.312601240868945e-19,8.208255341551133e-33,2.75259341668245e-22,4.353119110079116e-46,1.8125403705806758e-32,2.5375191075092562e-31,4.25552458289198e-25,4.74184188422191e-19,4.734144656793997e-34,1.1638725373294697e-41,2.981676368097755e-48,1.4895186518567033e-70,6.957396733074274e-48,8.503953735488989e-59,1.8994494564061161e-57,1.876078523328709e-36,5.998817886140446e-96,3.378409736827014e-19,2.0340747559071372e-19,2.5701507908312736e-53,3.832371361157089e-101,1.9082848676001046e-19,2.7005785706011607e-22,4.5150094693956134e-60
4.576604965915877e-24,0.09278304896952998,0.0,0.2303803105913429,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.0148399098500209e-59,1.4124744083661609e-19,5.210580289526912e-57,0.0,3.267729113778324e-95,2.4474192901730757e-40,5.1819609865562326e-65,1.671068190344454e-45,5.833158884971933e-70,3.971267567943068e-38,1.7121755523544513e-27,3.442770731333951e-114,1.158507633335681e-23,3.2621165070495434e-72,3.850846885810591e-61,2.1744433466345072e-103,1.4124744254881246e-19,2.128798250639542e-86,9.04278703716555e-18,3.0908781209446417e-18,2.1668228223614015e-18,2.455513616397073e-18,2.0338782591632695e-18,9.890809987024906e-19,8.87888490766617e-19,3.4267850252681566e-32,5.667104093169768e-22,3.6590589071242745e-45,7.566999247888797e-32,1.0593642762210572e-30,8.761374148359729e-25,9.762615643986273e-19,1.9764121531464165e-33,9.78304973361537e-41,2.5072206771306617e-47,5.169743841608249e-69,2.904576179432063e-47,7.148085516334396e-58,1.6150589560465676e-56,7.832258528101428e-36,4.317392800354233e-94,6.955549458173243e-19,4.1878009680436295e-19,2.160366602896135e-52,2.759130278600455e-99,3.9288217862355093e-19,5.560014704178861e-22,7.798556054807059e-59
9.283970073715065e-24,0.09278304896952998,0.0,0.23038031059134287,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,8.390892625436416e-59,2.865305228399926e-19,4.308208546130011e-56,0.0,1.0882902280880547e-93,9.998507616460462e-40,4.2484847048781774e-64,6.826858813681064e-45,4.822968568327519e-69,1.6223923807746863e-37,3.473270406204743e-27,1.1566476488428081e-112,2.350115484766668e-23,2.697181011176589e-71,3.157156935375353e-60,7.241804211051104e-102,2.8653052631330523e-19,3.537029355532268e-85,1.8343939418221734e-17,6.270067045344245e-18,4.395554868221626e-18,4.981184764690956e-18,4.125867325730088e-18,2.006421454510996e-18,1.8011452241244616e-18,1.3999534960641913e-31,1.1496125446144462e-21,2.9999175630881526e-44,3.0913660978681912e-31,4.327848730410391e-30,1.7773073301245147e-24,1.9804163163514968e-18,8.074288130604697e-33,8.020734863948433e-40,2.0571158382227652e-46,1.7230139934763372e-67,1.1866141432867425e-46,5.860432375435487e-57,1.3314678266975011e-55,3.1997331690322157e-35,2.9264694217936907e-92,1.4109828900865624e-18,8.495253392315141e-19,1.7711990649068168e-51,1.8715092193697505e-97,7.969895623506317e-19,1.1278886971334261e-21,1.2957417522332162e-57
1.869870028931344e-23,0.09278304896952998,0.0,0.2303803105913428,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,6.823334530586734e-58,5.770966868467455e-19,3.5033636408058465e-55,0.0,3.5523605628126864e-92,4.0415576457438116e-39,3.4405330750817045e-63,2.7595254845713044e-44,3.921957941928977e-68,6.557969401315349e-37,6.995460113905329e-27,3.791653455885174e-111,4.733331187628645e-23,2.1933028046401533e-70,2.5567475411182905e-59,2.3638455091289497e-100,5.770966938422908e-19,5.766249916150906e-84,3.6946244180247776e-17,1.2628444894141627e-17,8.853018959950548e-18,1.0032527061277968e-17,8.309845458860337e-18,4.041102366128708e-18,3.627658690833747e-18,5.658835864398521e-31,2.315416815209407e-21,2.4294110207040536e-43,1.2495796034497672e-30,1.749385653176239e-29,3.579647169481568e-24,3.988725820257223e-18,3.2637560338216396e-32,6.495398437621282e-39,1.6684079146176612e-45,5.6325182754429e-66,4.796484090457623e-46,4.745930079610658e-56,1.081187228846399e-54,1.2933833062546473e-34,1.9269188770265726e-90,2.8418387786250114e-18,1.711015824085228e-18,1.434362924198543e-50,1.2339724909743097e-95,1.6052043298047932e-18,2.271663150564506e-21,2.1123860844726693e-56
3.7528160720510193e-23,0.09278304896952998,0.0,0.23038031059134273,0.03107511026318443,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070591,0.0,5.503266491187101e-57,1.1582290148602513e-18,2.825589694389478e-54,0.0,1.1480615500323267e-90,1.6250933619830816e-38,2.7692403572196587e-62,1.1095930605121205e-43,3.1632011628494675e-67,2.636930653271615e-36,1.4039839529306497e-26,1.2279903536829237e-109,9.49976259335261e-23,1.7689781697930227e-69,2.0578928531495226e-58,7.639540219134596e-99,1.158229028900261e-18,9.312508504964574e-83,7.415085370395449e-17,2.5345200591729082e-17,1.776794714344227e-17,2.0135211654448972e-17,1.6677801725107272e-17,8.110464189366935e-18,7.280685624226708e-18,2.275393012610959e-30,4.647025356399419e-21,1.955401343444885e-42,5.024504626964088e-30,7.034202770617613e-29,7.184326883315551e-24,8.005344828068622e-18,1.3123416850501172e-31,5.228060772677038e-38,1.3469077941946655e-44,1.8257062362417748e-64,1.9286451570809712e-45,3.819937414677189e-55,8.714040486922563e-54,5.200637389385539e-34,1.2507795107811233e-88,5.703550555701795e-18,3.4339967937903002e-18,1.15450006814944e-49,8.031719023801997e-94,3.221633864713114e-18,4.559212057426666e-21,3.4115091688933506e-55
7.518708158290369e-23,0.09278304896952998,0.0,0.23038031059134254,0.031075110263184425,0.3194096818763551,0.35048479213953954,0.20701222018021492,0.09201819554070584,0.0,4.420522926191905e-56,2.320493670887262e-18,2.269667304718411e-53,0.0,3.691993892003939e-89,6.517357703578859e-38,2.222141016144141e-61,4.449964450279501e-43,2.5408551962593995e-66,1.0575271315679463e-35,2.8128598360108844e-26,3.953188624524176e-108,1.9032625404800577e-22,1.4209394671375004e-68,1.651329413165393e-57,2.456761645398604e-97,2.3204936990161998e-18,1.4969585027629542e-81,1.4856007274998647e-16,5.077871198687478e-17,3.559780351056124e-17,4.0340580840778886e-17,3.341371425754689e-17,1.6249187835854582e-17,1.4586739490910182e-17,9.125343674973407e-30,9.310242438779801e-21,1.5690864312396434e-41,2.01505108187471e-29,2.821029923403741e-28,1.4393686451463023e-23,1.6038582843691206e-17,5.263075017713174e-31,4.195187950642819e-37,1.087273046956486e-43,5.905759415247715e-63,7.73472968761578e-45,3.0652592040570204e-54,6.997149121809381e-53,2.0856881973359437e-33,8.061602542241936e-87,1.1426974109854908e-17,6.879958733191024e-18,9.264135968157529e-49,5.204881753772627e-92,6.454492934529752e-18,9.134309871150984e-21,5.483901352043607e-54
