Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),HNOH(93),CH3OX(210),CH2X(34),CHX(35),CX(33),SX(680),CH2OX(648),CHOX(678),H2X(216),NO2X(213),N2OX(730),H2NX(201),H3NX(202),NOX(214),CNOX(740),NO2X(206),H2NO3(231),SX(544),SX(876)
0.0,0.1547348997255798,0.0,0.3842067560186146,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.466162710743983e-28,0.1547348997255798,0.0,0.3842067560186146,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.4804077479861325e-63,1.0874799969275958e-20,1.5007588602867062e-59,0.0,3.3930017078103053e-100,4.5603666754778377e-41,3.078914378199105e-66,4.967901457461909e-46,4.393919246866061e-70,1.375888432374078e-41,4.219460287295699e-25,-1.5334739981044481e-112,2.425840767113943e-21,6.040050158372938e-70,2.8114197515058774e-61,6.74381672500623e-106,1.0875236976140002e-20,1.930153318803814e-89,1.9050928402553126e-21,6.511720063851815e-22,4.578442134077635e-22,5.173163307412019e-22,4.284881302139494e-22,2.0837504204325837e-22,1.884042024624863e-22,1.4638436955608837e-38,2.6712132156869557e-19,2.857790046774164e-54,6.990648633850739e-38,6.317873621604754e-38,1.5683796857775914e-21,2.0567430250269573e-22,2.481453363560505e-38,4.713396474013878e-50,2.455912879389695e-54,5.652424892612525e-84,2.820092861442336e-49,1.9395969329591567e-63,3.7701154714286595e-61,1.8785289171047446e-40,7.44750427682721e-111,1.4653632136117338e-22,8.822666737405048e-23,2.4791207658482947e-60,2.3758365878834687e-112,8.277061291859233e-23,2.662638755481945e-19,9.251250538381765e-70,-3.043459523019465e-129
2.0905255590083152e-27,0.1547348997255798,0.0,0.3842067560186146,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.2371921739378863e-62,3.044943991397269e-20,2.267946782223582e-58,0.0,2.0641285134012526e-98,2.7544614719887574e-40,3.655287149797996e-65,3.0006124803069947e-45,6.640090765865356e-69,8.310366131539431e-41,1.181448880442796e-24,1.5118101336235398e-111,6.79235414791904e-21,9.12772379933506e-69,3.337717528987777e-60,4.1025928113960565e-104,3.045066353319201e-20,5.817596639444669e-88,5.334259952714872e-21,1.8232816178785072e-21,1.2819637975417393e-21,1.4484857260753648e-21,1.199766764599058e-21,5.834501177211239e-22,5.275317668949616e-22,8.841615921187743e-38,7.479397003923477e-19,3.3927683435302895e-53,4.222351774845847e-37,3.815995667449271e-37,4.391463120177257e-21,5.7588804700754785e-22,1.4987978315877959e-37,5.595744293939593e-49,2.9156597732409198e-53,3.438645903008269e-82,1.7033360883111332e-48,2.3026894788090644e-62,4.478088614847301e-60,1.134631465931266e-39,5.746827933252519e-109,4.103016998112854e-22,2.470346686473411e-22,2.9432121732150975e-59,1.833301945087304e-110,2.3175771617205853e-22,7.455388515349447e-19,2.9087411895119122e-68,6.18396109234905e-127
4.778344134876149e-27,0.1547348997255798,0.0,0.3842067560186146,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.4066692507801317e-61,6.959871980336612e-20,2.439753655470919e-57,0.0,9.318462783239476e-97,1.3261546292291702e-39,3.5887825992289266e-64,1.4446657438299236e-44,7.143106641246776e-68,4.001083561343816e-40,2.7004545838692476e-24,8.339983248718913e-110,1.552538090952924e-20,9.819188741465864e-68,3.276990862355249e-59,1.852106503091461e-102,6.960151664729602e-20,1.2856933867117664e-86,1.2192594177633979e-20,4.167500840865153e-21,2.9302029658096974e-21,3.3108245167436902e-21,2.7423240333692745e-21,1.333600269076857e-21,1.205786895759912e-21,4.256857466691058e-37,1.7095764580396519e-18,3.3310400785199696e-52,2.0328806227237952e-36,1.837237649162662e-36,1.003762998897659e-20,1.3163155360172517e-21,7.2160663811927095e-37,5.493934930080558e-48,2.8626120609879954e-52,1.5523691345217381e-80,8.200830041073741e-48,2.2607941850570462e-61,4.3975812820757845e-59,5.4627620909405976e-39,6.2631741991131e-107,9.378324567115096e-22,5.646506711939213e-22,2.889663164672778e-58,1.998022143161708e-108,5.29731922678991e-22,1.7040888035084452e-18,6.489241584188286e-67,3.428712570167059e-124
1.0153981286611817e-26,0.1547348997255798,0.0,0.3842067560186146,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.212143673980054e-60,1.4789727958215302e-19,2.242553941874698e-56,0.0,3.5184742418175987e-95,5.791665677859075e-39,3.174237567348254e-63,6.309234850976625e-44,6.565745652208458e-67,1.747378309115077e-39,5.738465990722151e-24,3.2823408582768048e-108,3.2991434432749626e-20,9.025526150655499e-67,2.898461307012496e-58,6.993201749923005e-101,1.4790322287550405e-19,2.3989004035829278e-85,2.590926262747214e-20,8.855939286838427e-21,6.226681302345638e-21,7.035502098080335e-21,5.8274385709097016e-21,2.8339005717883308e-21,2.562297153489811e-21,1.8590814933623307e-36,3.63284997333426e-18,2.9462672266222996e-51,8.878123764990448e-36,8.023699499438031e-36,2.1329963726575254e-20,2.7971705140366585e-21,3.151445771679229e-36,4.859323228786312e-47,2.53194796055547e-51,5.861450502408851e-79,3.5815179340311734e-47,1.9996468540032632e-60,3.889995010275293e-58,2.385731724723026e-38,5.123665376519743e-105,1.9928939705119583e-21,1.1998826762870775e-21,2.5558743447589686e-57,1.634506176944461e-106,1.1256803356928558e-21,3.6211887074554465e-18,1.2153631308906203e-65,1.2571070024502483e-121
2.0905255590083154e-26,0.1547348997255798,0.0,0.3842067560186146,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.8925354867094243e-59,3.044943991397268e-19,1.9185521111433993e-55,0.0,1.2207221640743062e-93,2.4179064113403487e-38,2.6681379375174824e-62,2.6339813527463053e-43,5.617133638163843e-66,7.294960468447346e-39,1.1814488804427958e-23,1.1597251602247135e-106,6.792354147919042e-20,7.721527641863762e-66,2.4363313739389647e-57,2.426266553983466e-99,3.045066353319201e-19,4.136005970746925e-84,5.3342599527148264e-20,1.8232816178784893e-20,1.2819637975417617e-20,1.4484857260753604e-20,1.1997667645990539e-20,5.834501177211309e-21,5.2753176689496044e-21,7.761299273863882e-36,7.479397003923477e-18,2.4765151298937544e-50,3.7064419056676696e-35,3.3497365941748337e-35,4.3914631201772615e-20,5.758880470075467e-21,1.3156665733214285e-35,4.084553969922479e-46,2.128254840091947e-50,2.033609487948082e-77,1.4952132351361933e-46,1.6808236685509178e-59,3.269927512725296e-57,9.959960318489353e-38,3.6875391831978534e-103,4.103016998112855e-21,2.470346686473374e-21,2.148366389751898e-56,1.1763659755328071e-104,2.3175771617205857e-21,7.455388515349449e-18,2.0992375691483054e-64,3.823674891362106e-119
4.2407804197025826e-26,0.1547348997255798,0.0,0.3842067560186146,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.5647849384585114e-58,6.176886382548744e-19,1.5862959866530896e-54,0.0,4.065514478428622e-92,9.877936633768937e-38,2.1875006832813128e-61,1.07606732729208e-42,4.644354716747919e-65,2.9802293800595354e-38,2.3966534431839573e-23,3.89619168107693e-105,1.3778775557207197e-19,6.384308373996954e-65,1.9974516572968055e-56,8.080480631910996e-98,6.177134602447522e-19,6.865842417402845e-83,1.082092733264997e-19,3.698656996267751e-20,2.600555132156196e-20,2.9383567586100053e-20,2.433812579615215e-20,1.183570238805739e-20,1.0701358699869173e-20,3.1707439983327616e-35,1.517249106510191e-17,2.03039672822883e-49,1.5142024566866116e-34,1.3684766979340708e-34,8.908396615216742e-20,1.1682300382153064e-20,5.37492724328189e-35,3.348764122798295e-45,1.7448719310621433e-49,6.772768773433173e-76,6.108433941594041e-46,1.3780407945662489e-58,2.6809447486107043e-56,4.068968775605559e-37,2.499534130971196e-101,8.323263053314649e-21,5.011274706845901e-21,1.7613605651487358e-55,7.973791749586658e-103,4.7013708137760456e-21,1.5123788131137454e-17,3.487914617893404e-63,1.0650710461606395e-116
8.541290141091117e-26,0.1547348997255798,0.0,0.3842067560186146,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.272457124663784e-57,1.2440771164851694e-18,1.289949551809204e-53,0.0,1.3270516382306071e-90,3.992819921995187e-37,1.771494768106624e-60,4.3496361852778624e-42,3.7767121241682235e-64,1.2046563651882497e-37,4.82706256866628e-23,1.2772256818714902e-103,2.775161837578351e-19,5.191613541824075e-64,1.617588139510355e-55,2.637603461299897e-96,1.2441271100704164e-18,1.118800513611135e-81,2.1794262092519937e-19,7.44940775304615e-20,5.2377378013852214e-20,5.918098823679259e-20,4.901904209647509e-20,2.383810480975005e-20,2.1553440761708223e-20,1.2816654199609943e-34,3.0558679187458773e-17,1.6442679121097762e-48,6.120648430070799e-34,5.531601613648755e-34,1.794226360529573e-19,2.352914020630817e-20,2.172631529291577e-34,2.711916009052016e-44,1.41304257627436e-48,2.210744603676586e-74,2.469126664646399e-45,1.1159731635592601e-57,2.1711227450383304e-55,1.6447422363132234e-36,1.6458055105146589e-99,1.6763755163718247e-20,1.0093130747590697e-20,1.426395452013963e-54,5.2503027031115557e-101,9.468958117886965e-21,3.046058736271346e-17,5.686181131362005e-62,2.8428627688658694e-114
1.7142309583868186e-25,0.1547348997255798,0.0,0.3842067560186146,0.031075110263184432,0.3194096818763551,0.3504847921395395,0.20701222018021495,0.09201819554070598,0.0,1.0262827689663766e-56,2.4968540729457602e-18,1.040391045165854e-52,0.0,4.288801583582172e-89,1.605495329579963e-36,1.425853105934351e-59,1.7489695797052963e-41,3.046055148934319e-63,4.843870261710159e-37,9.687880819630926e-23,4.136508807318719e-102,5.569730401293612e-19,4.1872244005977026e-63,1.3019756616655583e-54,8.524278615689451e-95,2.4969544097217447e-18,1.8064575491931567e-80,4.374093161225858e-19,1.4950909266602444e-19,1.0512103139843893e-19,1.1877582953817628e-19,9.838087469711989e-20,4.784290965313735e-20,4.3257604885386004e-20,5.153520283970348e-34,6.13310554321725e-17,1.3234498637413662e-47,2.4610858141417303e-33,2.224232679980403e-33,3.6009997585453845e-19,4.7222819854618066e-20,8.736055822382855e-34,2.1827859351832313e-43,1.1373396740022002e-47,7.144745022109333e-73,9.92824972239207e-45,8.9823228950221e-57,1.7475181269948467e-54,6.613436193823924e-36,1.0683064221463318e-97,3.3644739384525453e-20,2.0256842829079247e-20,1.148087153380626e-53,3.4080165637814114e-99,1.9004132726108805e-20,6.113418582586549e-17,9.183197715710274e-61,7.430483759575684e-112
3.434434846942232e-25,0.1547348997255798,0.0,0.3842067560186146,0.031075110263184432,0.31940968187635504,0.3504847921395394,0.20701222018021495,0.09201819554070598,0.0,8.24366131684997e-56,5.00240798586694e-18,8.356986663693907e-52,0.0,1.3792143155931817e-87,6.438754346998034e-36,1.1441573204209613e-58,7.014150260381734e-41,2.4467571472092234e-62,1.9426086223383044e-36,1.9409517321560218e-22,1.3316390886240768e-100,1.1158867528724133e-18,3.363406349591406e-62,1.0447534729234867e-53,2.7412802545749815e-93,5.002609009024402e-18,2.903499385615855e-79,8.763427065173073e-19,2.995391229371302e-19,2.1060833816763732e-19,2.37965512140938e-19,1.9710453989840514e-19,9.585251933991989e-20,8.666593313274028e-20,2.0667921307005888e-33,1.2287580792159993e-16,1.0619851676913714e-46,9.870054862242394e-33,8.920167859101722e-33,7.214546554577059e-19,9.461017915123652e-20,3.503549113545799e-33,1.7515482455068047e-42,9.126435843152061e-47,2.297643230061124e-71,3.981672190488995e-44,7.2077484362978395e-56,1.4022771027229928e-53,2.652283706886675e-35,6.8855155480525205e-96,6.740670782613994e-20,4.058426699205218e-20,9.212676365846442e-53,2.1965564781126083e-97,3.807448194255247e-20,1.224813827521695e-16,1.47617221224094e-59,1.922010976296121e-109
