Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),HNOH(93),CH3OX(210),CH2X(34),CHX(35),CX(33),SX(680),CH2OX(648),CHOX(678),H2X(216),NO2X(213),N2OX(730),H2NX(201),H3NX(202),NOX(214),CNOX(740),NO2X(206),H2NO3(231),SX(544),SX(876),SX(882),H3NO3(822),HNO(87),H2NOX(203),CH3NX(670),CH2NX(679),HNO2(94),HONO(92),SX(685),HNO(549),SX(1060),SX(540),SX(1177),SX(858),SX(1228),SX(1291)
0.0,0.135789383521573,0.0,0.3371650392840657,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8414583220790485e-26,0.135789383521573,0.0,0.3371650392840657,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,3.99785949995881e-127,9.153618098483596e-61,8.595741767983595e-20,1.246280696508213e-55,-9.271088289199145e-96,6.6558518056287095e-96,1.1137457890375176e-39,5.222203667029033e-64,1.2784894848234127e-44,6.121919666012903e-68,1.295270196357657e-39,6.313122561468458e-25,-2.3791068819177403e-109,3.2048757339865507e-21,2.07372841334176e-68,2.482539802254173e-59,5.044951868458678e-102,8.595805249863008e-20,2.4177978439872815e-86,4.401689035178841e-20,1.504523359678865e-20,1.2971293380062363e-20,1.1952517864889768e-20,9.900155334237026e-21,4.8144747509724555e-21,4.338684113212599e-21,5.346495217442848e-36,2.8823898896377003e-19,1.7094271341948093e-50,2.1255685164184713e-35,3.4311050251234714e-35,1.2634929550948418e-21,4.752074560433786e-21,4.4945149499814406e-36,3.1483511970584786e-46,5.6554477307039e-51,1.1764538743685044e-77,1.2484749534620433e-47,2.1178361499325387e-60,2.1422788931419713e-58,3.430703459211906e-38,1.7480303778229764e-103,3.3857001893119612e-21,2.038464195470308e-21,8.51090828601467e-57,1.0011848382033079e-105,1.9124028583823678e-21,2.862976096914163e-19,5.207801973916067e-65,-2.731853697376427e-119,-1.2734779804380727e-117,1.7325771095566795e-38,8.339218922462919e-39,2.4072373754862037e-21,2.241963096042031e-77,1.0345009900615298e-81,5.061753132859462e-38,2.4839645202018443e-39,2.389017014150996e-82,1.03624346214577e-40,9.807065480437083e-59,8.694281796675054e-72,-4.998226074098021e-122,4.0789702522338795e-80,-2.486456803642121e-121,0.0
5.156083301821336e-26,0.135789383521573,0.0,0.3371650392840657,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,6.275295977522133e-126,1.3832948198561192e-59,2.4068076950354073e-19,1.4936650077780161e-54,3.4030627511461425e-87,4.0490795024371625e-94,6.727024565819618e-39,6.199800193497928e-63,7.722076488333413e-44,9.251444999282908e-67,7.823431986000242e-39,1.7676743172111683e-24,2.3472231116956658e-108,8.973652055162344e-21,3.133818378243495e-67,2.9472712532361525e-58,3.069090417356507e-100,2.4068254699616427e-19,7.48782704741307e-85,1.2324729298500585e-19,4.212665407100787e-20,3.6319621464175094e-20,3.3467050021691237e-20,2.7720434935863546e-20,1.3480529302723045e-20,1.2148315516995197e-20,3.2292831113355106e-35,8.070691690985559e-19,2.029431893716086e-49,1.2838433839167592e-34,2.0723874351745656e-34,3.5377802742656e-21,1.3305808769214584e-20,2.7146870296051725e-35,3.737722540911636e-45,6.7141480124256825e-50,7.156943505417416e-76,7.540788718907678e-47,2.5142950771989736e-59,2.549387813223813e-57,2.0721448893639916e-37,1.3488585597988547e-101,9.479960530073492e-21,5.7076997473167836e-21,1.0104150317156702e-55,7.725591213222471e-104,5.3547280034706296e-21,8.016333071359655e-19,1.6374162634137138e-63,5.550813741061583e-117,2.587561416486569e-115,1.0464765741722343e-37,5.036888229167657e-38,6.7402646513613756e-21,1.3638955569430144e-75,6.293374798366192e-80,3.0572988922471155e-37,1.500314570201915e-38,1.453355730834261e-80,6.258910511360577e-40,1.1642948138374877e-57,2.7336213583027356e-70,1.0155824323213327e-119,2.349278019166013e-78,7.598805804111027e-119,2.1255046601575818e-172
1.178533326130591e-25,0.135789383521573,0.0,0.3371650392840657,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,2.4801056632009832e-124,1.4880854475000956e-58,5.501274731509501e-19,1.4726591816488583e-53,3.062756484123006e-86,1.8279480377638173e-92,3.238772754570616e-38,6.087000594292209e-62,3.7178474218664834e-43,9.952282362648675e-66,3.766645731008057e-38,4.040398439339813e-24,1.294772334210396e-106,2.0511204697513926e-20,3.3712188070030663e-66,2.893648393507457e-57,1.3855341199964317e-98,5.501315359912325e-19,1.664957759108582e-83,2.817080982514338e-19,9.628949501944488e-20,8.301627763240251e-20,7.649611433529373e-20,6.336099413911606e-20,3.0812638406224906e-20,2.776757832456007e-20,1.5547608092324259e-34,1.844729529368128e-18,1.992508267617496e-48,6.181153245744956e-34,9.977653413058883e-34,8.086354912607287e-21,3.041327718677613e-20,1.307004947179177e-34,3.669718154559177e-44,6.591991321163912e-49,3.2309868845482426e-74,3.630565164663026e-46,2.468549816358465e-58,2.505665799884359e-56,9.976485659388221e-37,1.4700520407234054e-99,2.1668481211596556e-20,1.3046170851009416e-20,9.920314698178966e-55,8.419728369804554e-102,1.2239378293647152e-20,1.832304702025064e-18,3.652985609392024e-62,3.0776624494061746e-114,1.434679994734191e-112,5.038334234590826e-37,2.425044862652297e-37,1.5406319203111746e-20,6.157276498748026e-74,2.8411306522134767e-78,1.4719578110355316e-36,7.223368824746973e-38,6.561143456493982e-79,3.0133959879200875e-39,1.143111552399737e-56,6.098558796255314e-69,5.630922540928542e-117,1.053514869085255e-76,3.932544336482255e-116,2.7612785125091754e-168
2.504383318027506e-25,0.135789383521573,0.0,0.3371650392840657,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,8.581162535394907e-123,1.3678069011052776e-57,1.169020880445769e-18,1.3050007542018464e-52,2.484235818142234e-85,6.901983981575174e-91,1.4144571521288123e-37,5.383883092566811e-61,1.6236816457257342e-42,9.147862118534214e-65,1.6449931493742134e-37,8.585846683597103e-24,5.095788470389258e-105,4.358630998221709e-20,3.098730893489835e-65,2.5593992345319466e-56,5.231513207457034e-97,1.169029513981369e-18,3.114163933074141e-82,5.986297087842619e-19,2.046151769163132e-19,1.7640958996886504e-19,1.6255424296249695e-19,1.3464211254561912e-19,6.547685661323133e-20,5.900610393968856e-20,6.790048926152888e-34,3.9200502499072715e-18,1.762350998269537e-47,2.6994720158515004e-33,4.357503381906633e-33,1.7183504189291348e-20,6.462821402189897e-20,5.708033983630358e-34,3.2458241485818203e-43,5.83054342958293e-48,1.219959532723877e-72,1.5855631908920466e-45,2.1834043571283563e-57,2.21729011286078e-55,4.3569933931991174e-36,1.2025938451163237e-97,4.604552257464267e-20,2.772311305839342e-20,8.774406006550242e-54,6.887862481879242e-100,2.60086788740002e-20,3.893647491803261e-18,6.841637762629888e-61,1.1283975944701305e-111,5.260127860975771e-110,2.2003729291369853e-36,1.0590808031528739e-36,3.273842830661257e-20,2.324870448984988e-72,1.0727572080362161e-76,6.428426478731515e-36,3.1546349406563527e-37,2.4773636635889765e-77,1.3160291969253213e-38,1.0110692227711222e-55,1.1421925629171295e-67,2.0645281486509526e-114,3.9635862423910384e-75,1.3822623420084665e-113,1.8898480372141984e-164
5.156083301821336e-25,0.135789383521573,0.0,0.3371650392840657,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,2.8355503415054096e-121,1.1701876012075544e-56,2.4068076950354068e-18,1.0979033086243351e-51,1.9907917262672139e-84,2.394618872651785e-89,5.905080173937402e-37,4.525478142600514e-60,6.778551248533736e-42,7.826188637998714e-64,6.8675225810882005e-37,1.7676743172111682e-23,1.800457105545931e-103,8.973652055162343e-20,2.651029518876438e-64,2.1513292719966026e-55,1.8150549599281252e-95,2.406825469961642e-18,5.375536408926584e-81,1.2324729298498076e-18,4.2126654071002705e-19,3.631962146418211e-19,3.346705002168962e-19,2.77204349358617e-19,1.3480529302725506e-19,1.2148315516994044e-19,2.8347117642886233e-33,8.07069169098556e-18,1.4813622036591772e-46,1.1269764274051118e-32,1.8191718843203066e-32,3.5377802742662206e-20,1.3305808769214375e-19,2.3829918239186954e-33,2.728310770962099e-42,4.900926026497558e-47,4.232608860922784e-71,6.61941420321302e-45,1.835282922142084e-56,1.8641850620892735e-54,1.8189589740741493e-35,8.65515524425483e-96,9.479960530073492e-20,5.707699747315635e-20,7.37541694612875e-53,4.95724737882503e-98,5.3547280034706294e-20,8.016333071359655e-18,1.1817227839790737e-59,3.4321863938697365e-109,1.5999455392544582e-107,9.186123834869532e-36,4.421453872690589e-36,6.740264651361463e-20,8.066055594230294e-71,3.7218954109904114e-75,2.683741511042086e-35,1.3169979886110278e-36,8.595130504702965e-76,5.494162836298608e-38,8.498646032298743e-55,1.9728536052761586e-66,6.279567114310523e-112,1.3724640753985882e-73,4.1158097297638336e-111,9.894215504143917e-161
1.0459483269408995e-24,0.135789383521573,0.0,0.3371650392840657,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,9.210328455688546e-120,9.675337378905694e-56,4.8823813242146826e-18,9.005140807433857e-51,1.5929737168864947e-83,7.975080639636506e-88,2.4124179292766996e-36,3.7102603991872046e-59,2.7692593637069065e-41,6.470844109546553e-63,2.805607056118456e-36,3.585853614914084e-23,6.048783135302375e-102,1.8203694169043608e-19,2.1919224720913823e-63,1.7637897150227088e-54,6.044890832572956e-94,4.882417381922188e-18,8.928719632808716e-80,2.5001593719804565e-18,8.545692682973636e-19,7.367694639878573e-19,6.789030147256662e-19,5.623288229845805e-19,2.7346216585534594e-19,2.464372576304239e-19,1.1580722500793503e-32,1.6371974573142135e-17,1.2145102346944629e-45,4.6040664293033887e-32,7.431910728617109e-32,7.176639984941486e-20,2.6991783503262955e-19,9.735299140570726e-33,2.236834005173254e-41,4.0180801077757405e-46,1.4096371436624054e-69,2.704246688160742e-44,1.5046758226860845e-55,1.5285383281871047e-53,7.431040920791328e-35,5.866746051253973e-94,1.9230777075291936e-19,1.1578476630266191e-19,6.046812416360189e-52,3.360187385655267e-96,1.0862448235611847e-19,1.6261704230472442e-17,1.9634500797406283e-58,9.560233170962542e-107,4.456595218189657e-105,3.752831322384165e-35,1.8063081754817932e-35,1.3673108292762025e-19,2.6863332813667763e-69,1.2395481063094994e-73,1.0963959755898902e-34,5.380366509338085e-36,2.862540719478409e-74,2.2445447887476915e-37,6.96770348384415e-54,3.2779257687564354e-65,1.7491525839574843e-109,4.566274427518123e-72,1.1344027227196046e-108,4.569379327359993e-157
2.1066283204584313e-24,0.135789383521573,0.0,0.3371650392840657,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,2.968864487478707e-118,7.86782367259199e-55,9.833528582573234e-18,7.294138768198593e-50,1.2744131004603895e-82,2.6031991483501437e-86,9.751378984209236e-36,3.0046650662754318e-58,1.1193789114581704e-40,5.261982964823882e-62,1.1340712298804847e-35,7.222212210319916e-23,1.9828750217307163e-100,3.6663778396806126e-19,1.782434951777527e-62,1.4283626405618019e-53,1.9731530473829458e-92,9.833601205843281e-18,1.4553771186535717e-78,5.0355322562399845e-18,1.7211747234716724e-18,1.4839159626804261e-18,1.3673680437430925e-18,1.1325777702363778e-18,5.507759115117014e-19,4.963454625513095e-19,4.6811131946446106e-32,3.2974540337455287e-17,9.83541876359954e-45,1.8610372634134251e-31,3.0040971425357084e-31,1.4454359406296403e-19,5.436373297135861e-19,3.935163557586981e-32,1.8114461672504322e-40,3.253953302173499e-45,4.601301347975137e-68,1.093099748524022e-43,1.2185254925505619e-54,1.2379165013609973e-52,3.003745552306041e-34,3.862929039577925e-92,3.8732410165728815e-19,2.3320030396159194e-19,4.89686546896874e-51,2.2125031270481443e-94,2.1877888699894285e-19,3.275244654869802e-17,3.2009191791908197e-57,2.5517951165217342e-104,1.1895460207915723e-102,1.5169544231181434e-34,7.301386449129791e-35,2.753879557556376e-19,8.768639228921796e-68,4.0461015173558594e-72,4.43180783196883e-34,2.1748301677337528e-35,9.343831872126407e-73,9.072808907960115e-37,5.642626931128563e-53,5.343846306561015e-64,4.668805204503447e-107,1.489749444578505e-70,3.0120767154378895e-106,1.986033963390989e-153
4.227988307493495e-24,0.135789383521573,0.0,0.3371650392840657,0.031075110263184432,0.3194096818763551,0.3504847921395395,0.20701222018021495,0.09201819554070598,9.534743487272186e-117,6.345684823432323e-54,1.9735823099290334e-17,5.871573509176816e-49,1.0195341942804676e-81,8.413089821214024e-85,3.9209866027393986e-35,2.4184158453184398e-57,4.500973370900226e-40,4.243979889554465e-61,4.5600505370844237e-35,1.449492940113158e-22,6.4218721151743195e-99,7.358394685233117e-19,1.4375983617491612e-61,1.149670517865354e-52,6.376889693266784e-91,1.9735968853685467e-17,2.3502524006753292e-77,1.0106278024751958e-17,3.4543856338188315e-18,2.9782089600675485e-18,2.7442981017774885e-18,2.2730756647394524e-18,1.1054034028251076e-18,9.961618723927553e-19,1.8822550272840245e-31,6.617967186608158e-17,7.916400683041285e-44,7.483148984794039e-31,1.2079342485139285e-30,2.900979824902376e-19,1.09107631907544e-18,1.5823119517310555e-31,1.4580094612563087e-39,2.619077350189425e-44,1.4870681520348726e-66,4.3953060124198504e-43,9.80775325701309e-54,9.964094732290045e-52,1.207792875629368e-33,2.507460252692277e-90,7.773567634660252e-19,4.680313792791274e-19,3.941423347095941e-50,1.4361610065567481e-92,4.390876962845916e-19,6.573393118514915e-17,5.16949302448467e-56,6.6697106799337875e-102,3.1091661057564963e-100,6.099607017278765e-34,2.9358553785329993e-34,5.527017014116969e-19,2.83387266660345e-66,1.3076365892223677e-70,1.7820104374357006e-33,8.744896451951954e-35,3.0197793502365563e-71,3.648136558232453e-36,4.541677051619946e-52,8.630326057466739e-63,1.2203051112731034e-104,4.813382701137698e-69,7.85221302889504e-104,8.378383016192808e-150
8.470708281563623e-24,0.135789383521573,0.0,0.3371650392840657,0.031075110263184432,0.31940968187635504,0.35048479213953937,0.20701222018021495,0.09201819554070596,3.05661657424448e-115,5.09719914332549e-53,3.954041213272452e-17,4.711814211170065e-48,8.156286946344171e-81,2.705523604590932e-83,1.5724909991626788e-34,1.9406264094013998e-56,1.8050916326852738e-39,3.4089954448173735e-60,1.8287842186157445e-34,2.9040363782754907e-22,2.0673510752788776e-97,1.4742428376338118e-18,1.1547571841096293e-60,9.225381868666518e-52,2.05071215874839e-89,3.954070414936983e-17,3.7778128702498596e-76,2.024776956174758e-17,6.920807454507319e-18,5.966794954849734e-18,5.498158217844455e-18,4.554071453743526e-18,2.2146583854547007e-18,1.995794692074345e-18,7.548684518555586e-31,1.3258993492333415e-16,6.352412990643745e-43,3.0010774349218753e-30,4.844356598334511e-30,5.812067593454857e-19,2.1859542977989086e-18,6.345778574233867e-31,1.1699607601556487e-38,2.1016649235528953e-43,4.782233763476211e-65,1.7627142957488782e-42,7.8701043176206545e-53,7.995664741800142e-51,4.8437896298403694e-33,1.6161240069450705e-88,1.5574220870834973e-18,9.376935299129002e-19,3.162744013876093e-49,9.256516432631509e-91,8.79705314855889e-19,1.3169690045805144e-16,8.309809056021871e-55,1.7252251065144458e-99,8.042399900241981e-98,2.4462152255204934e-33,1.1774093161346006e-33,1.1073291927239135e-18,9.113309721204462e-65,4.205205073561417e-69,7.146658877765437e-33,3.507094602286308e-34,9.711250117771157e-70,1.46306592675072e-35,3.644409809093725e-51,1.3872997077640789e-61,3.1565318063899923e-102,1.5477136749296895e-67,2.028450288799358e-101,3.4826456208444614e-146
