Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539)
0.0,0.04692242069448014,0.0,1.1650837058439418,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8982225388440436e-26,0.04692242069448014,0.0,1.1650837058439418,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,9.679791507070091e-88,5.090387541633226e-30,1.128342070639015e-86,0.0,-2.6466224563930117e-187,8.511552015773035e-57,7.070320972490867e-141,7.441882355275733e-73,0.0,5.741098905213191e-96,1.292533614781796e-46,-1.8311777906733046e-158,4.82190501349128e-41,0.0,3.3776861157223826e-142,-5.725135149960472e-174,5.090387541633226e-30,0.0,2.6672387122730165e-19,9.116779755186567e-20,2.917371452853861e-20,7.242723896117587e-20,5.999078388762224e-20,2.917369521659702e-20,1.9311941587404705e-26,3.430303368800113e-38,4.821905072315782e-41,4.0334215856574537e-56
5.315023108763323e-26,0.04692242069448014,0.0,1.1650837058439418,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.4628100925483471e-86,1.4253085116573034e-29,1.7051505371504002e-85,0.0,7.546775208123646e-186,1.2862459485104372e-55,1.9941043807647677e-139,4.4948969425865425e-72,2.2929832005895093e-108,8.675948665558177e-95,3.619094121389029e-46,-1.831177790673304e-158,1.3501334037777215e-40,3.1222994402619484e-114,3.1921092227014276e-140,-5.725135149960472e-174,1.4253085116573034e-29,5.1613242052074206e-141,7.468268394364432e-19,2.5526983314522387e-19,8.168640067990812e-20,2.0279626909129245e-19,1.6797419488534225e-19,8.168634660647166e-20,5.407343644473318e-26,2.0719032347552687e-37,1.3501334393077205e-40,4.788478106492529e-55
1.2148624248601878e-25,0.04692242069448014,0.0,1.1650837058439418,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.573624345721273e-85,3.2578480266452646e-29,1.834323137397603e-84,0.0,9.961060345135035e-184,1.383676849558157e-54,4.337751900034152e-138,2.164099388914183e-71,2.625231786797378e-107,9.333189668226985e-94,8.272215134603495e-46,-1.831177790673304e-158,3.0860192086355613e-40,3.5747142571162304e-113,8.884417436552893e-139,-5.72513514996047e-174,3.2578480266452646e-29,1.2334511518975286e-139,1.7070327758547198e-18,5.834739043319404e-19,1.867117729826471e-19,4.635343293515256e-19,3.8394101688078227e-19,1.8671164938622096e-19,1.2359642615939012e-25,9.975322196470729e-37,3.0860193796972108e-40,4.7013562002423284e-54
2.581582652827899e-25,0.04692242069448014,0.0,1.1650837058439418,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.44643188531838e-84,6.922927056621188e-29,1.686058989316198e-83,0.0,1.0982577449020553e-181,1.2718343432617617e-53,8.041939837843239e-137,9.45119059120018e-71,2.4263505908278793e-106,8.57880927208197e-93,1.7578457161032427e-45,-1.831177790673298e-158,6.557790818353847e-40,3.3039025709710617e-112,2.3142081126841777e-137,-5.725135149960332e-174,6.922927056621188e-29,2.307954584904077e-138,3.6274446486912475e-18,1.2398820467053733e-18,3.9676251758812515e-19,9.85010449871992e-19,8.158746608716622e-19,3.9676225494571955e-19,2.62642405588704e-25,4.356485278376143e-36,6.5577915654250175e-40,4.158296317949408e-53
5.315023108763321e-25,0.04692242069448014,0.0,1.1650837058439418,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.2374529305139551e-83,1.4253085116573035e-28,1.442458963002667e-82,0.0,1.2182492917837927e-179,1.0880798407330904e-52,1.3823682489556456e-135,3.945686024767194e-70,2.0770216195543958e-105,7.339351947237684e-92,3.619094121389029e-45,-1.831177790673094e-158,1.3501334037800854e-39,2.8282298093066646e-111,6.26614935365805e-136,-5.725135149950549e-174,1.4253085116573035e-28,3.9709648437660216e-137,7.468268394364203e-18,2.552698331452239e-18,8.168640067990811e-19,2.0279626909129246e-18,1.6797419488534216e-18,8.168634660647166e-19,5.4073436444733175e-25,1.81874684613782e-35,1.3501337156675927e-39,3.4952986113853794e-52
1.0781904020634168e-24,0.04692242069448014,0.0,1.1650837058439418,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,1.0231500129423103e-82,2.891340123647673e-28,1.1926529650337858e-81,0.0,1.411730042846282e-177,8.996449686929146e-52,2.2917184452887377e-134,1.6119414856821447e-69,1.7174397376839915e-104,6.068318119126815e-91,7.341590931960602e-45,-1.8311777906662282e-158,2.73884204767366e-39,2.338595908716527e-110,1.79713049495966e-134,-5.725135149292628e-174,2.891340123647673e-28,6.5824105585936536e-136,1.51499158857097e-17,5.17833090094597e-18,1.657066985220993e-18,4.11386717299479e-18,3.4074765248169386e-18,1.6570658883027108e-18,1.0969182821645874e-24,7.430174308955796e-35,2.7388433218358933e-39,2.86565697866101e-51
2.171566584437586e-24,0.04692242069448014,0.0,1.1650837058439418,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,8.320085984792862e-82,5.823403347628411e-28,9.698455840892897e-81,0.0,1.7030124525871655e-175,7.315761538804476e-51,3.733242370354989e-133,6.515725212396956e-69,1.396605060301753e-103,4.934655514397024e-90,1.4786584553103748e-44,-1.8311777904413214e-158,5.516259335477501e-39,1.9017231338311088e-109,5.396373800460928e-133,-5.725135106140106e-174,5.82340334762841e-28,1.0717913888696375e-134,3.0513210868399085e-17,1.0429596039933434e-17,3.3374729420648174e-18,8.28567613715852e-18,6.862945676743967e-18,3.337470732778699e-18,2.2092861175990984e-24,3.0033952539462014e-34,5.51626448584497e-39,2.3206833184941275e-50
4.358318949185924e-24,0.04692242069448014,0.0,1.1650837058439418,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,6.710450762549489e-81,1.1687529795589888e-27,7.82215598641987e-80,0.0,2.1101348591110802e-173,5.90042593826727e-50,6.031191389223186e-132,2.6199444507042424e-68,1.1264137246390657e-102,3.979978442533964e-89,2.967657179539004e-44,-1.8311777831601336e-158,1.1071093911151956e-38,1.5338101653076811e-108,1.6683616072559319e-131,-5.725132310459941e-174,1.1687529795589883e-27,1.7298789079738784e-133,6.123980083377132e-17,2.093212631790836e-17,6.698284855752466e-18,1.6629294065485983e-17,1.3773883980597994e-17,6.698280421730676e-18,4.43402178846812e-24,1.2076520221995546e-33,1.1071114620553025e-38,1.867887829609853e-49
8.7318236786826e-24,0.04692242069448014,0.0,1.1650837058439416,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070587,0.0,5.390198982447112e-80,2.3415782691512844e-27,6.283181075461248e-79,0.0,2.6553215067399615e-171,4.73954268286235e-49,9.71035654445053e-131,1.0507149046119669e-67,9.047968749043041e-102,3.196935125555923e-88,5.945654627996262e-44,-1.831177548806685e-158,2.2180763062767948e-38,1.2320398925461685e-107,5.2437625180023954e-130,-5.724952294026452e-174,2.341578269151282e-27,2.7798696214833895e-132,1.2269298076448977e-16,4.193718687385821e-17,1.3419908683127767e-17,3.33165299221409e-17,2.7595760588305938e-17,1.3419899799634625e-17,8.883493130206156e-24,4.843224744588662e-33,2.218084611672875e-38,1.4988623477953442e-48
