Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511)
0.0,0.07659248437779444,0.0,1.9017913871006356,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.506237300558824e-26,0.07659248437779444,0.0,1.9017913871006356,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,3.080946433518406e-71,1.1083804469919316e-23,5.158715207318551e-69,0.0,-2.991818082560964e-149,5.807908595060628e-49,4.624892135484774e-109,4.150774822168656e-57,7.769000408381903e-84,1.2455321021875257e-76,1.7845011152655403e-33,-1.6154519533092915e-130,2.1921217646359236e-29,5.250850488970519e-87,8.184772690041793e-110,-2.0971561506376738e-146,1.1083804471703815e-23,7.887004868192137e-109,2.704027052895074e-19,9.242524480421286e-20,2.95794439053643e-20,7.342620389257076e-20,6.081821691102862e-20,2.957607833734811e-20,3.365568016192713e-24,1.6206132203259996e-36,2.1921217646359808e-29,2.77458816053941e-52,1.6206132203259992e-36
4.217464441564707e-26,0.07659248437779444,0.0,1.9017913871006356,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,4.655926250347925e-70,3.103465251577408e-23,7.795850421312429e-68,0.0,5.7757512718064615e-148,3.507978972346371e-48,1.3042935819059292e-107,2.507067992589868e-56,1.1740513415575388e-82,1.8822481128288032e-75,4.9966031227435125e-33,-1.6154151164719333e-130,6.137940940980587e-29,7.935085259514951e-86,2.30823771231344e-108,-2.097066908305864e-146,3.103465252077068e-23,2.2242615647839513e-107,7.571275748106157e-19,2.5879068545179593e-19,8.282244293502006e-20,2.0559337089919809e-19,1.7029100735087998e-19,8.281301934457469e-20,9.423590445344847e-24,9.788503850769035e-36,6.137940940981139e-29,3.2939910641923877e-51,9.788503850769034e-36
9.639918723576473e-26,0.07659248437779444,0.0,1.9017913871006356,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,5.008632998059276e-69,7.093634860748362e-23,8.386420138248091e-67,0.0,6.098584145005027e-146,1.6889430285259845e-47,2.8371234352349487e-106,1.2070453182866453e-55,1.2629908582929233e-81,2.024836627887668e-74,1.1420807137699458e-32,-1.6136035787040666e-130,1.4029579293669915e-28,8.536202624137683e-85,5.0209219494860433e-107,-2.0881927796356094e-146,7.093634861890441e-23,4.838254743220593e-106,1.730577313852813e-18,5.91521566746962e-19,1.8930844099433167e-19,4.699277049124527e-19,3.8923658823058225e-19,1.8928690135902793e-19,2.1539635303670118e-23,4.712743244708005e-35,1.4029579293673033e-28,3.2340599599247354e-50,4.712743244708004e-35
2.0484827287600006e-25,0.07659248437779444,0.0,1.9017913871006356,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,4.603796636693662e-68,1.507397407909027e-22,7.708564960005338e-66,0.0,4.8204237584528103e-144,7.376076785454038e-47,5.259548705915983e-105,5.271484024154193e-55,1.160906192928434e-80,1.861173709659965e-73,2.4269215167611345e-32,-1.5428361780657867e-130,2.981285599904858e-28,7.8462408697554455e-84,9.307945660430983e-106,-1.3890193731407376e-146,1.5073974081517185e-22,8.969308891192273e-105,3.677476791937129e-18,1.2569833293372938e-18,4.0228043711295514e-19,9.985963729389617e-19,8.271277499899848e-19,4.022346653879344e-19,4.5771725020404683e-23,2.058178789814019e-34,2.9812855999063126e-28,2.860489409989709e-49,2.0581787898140177e-34
4.217464441564707e-25,0.07659248437779444,0.0,1.9017913871006356,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,3.9386449492662346e-67,3.1034652515774083e-22,6.594839616465001e-65,0.0,3.416547430198124e-142,3.0793825952309287e-46,9.039820419510037e-104,2.2007408107138213e-54,9.931796893296752e-80,1.5922732930540363e-72,4.996603122743512e-32,9.501109283623904e-131,6.137940940980594e-28,6.712624255860898e-83,1.5997989161286848e-104,4.80927637053607e-145,3.103465252077067e-22,1.54159503156956e-103,7.571275748105452e-18,2.5879068545179556e-18,8.282244293502034e-19,2.0559337089919788e-18,1.702910073508782e-18,8.281301934457475e-19,9.423590445420985e-23,8.592491294168446e-34,6.137940940986853e-28,2.4044137065128816e-48,8.592491294168437e-34
8.555427867174121e-25,0.07659248437779444,0.0,1.9017913871006356,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,3.2565478099786747e-66,6.295600938914171e-22,5.4527409265871405e-64,0.0,2.299182194182082e-140,1.2580411230295818e-45,1.498283944447708e-102,8.990744295810195e-54,8.21180173348382e-79,1.3165223502434946e-71,1.013596633470827e-31,8.457662420194134e-129,1.2451251623132082e-27,5.5501275441616e-82,2.651552283748571e-103,3.37545407270383e-143,6.295600939927765e-22,2.5550807095927574e-102,1.535887366044085e-17,5.2497539048792735e-18,1.6801124138247048e-18,4.170608381098011e-18,3.4544747205463454e-18,1.6799212495613749e-18,1.9116426332316442e-22,3.510313059754925e-33,1.2451251623158022e-27,1.9712836251566629e-47,3.5103130597549185e-33
1.7231354718392945e-24,0.07659248437779444,0.0,1.9017913871006356,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,2.6481705956973076e-65,1.2679872313587696e-21,4.4340783646710724e-63,0.0,1.508580682160002e-138,5.085307283115437e-45,2.4395670144653988e-101,3.634202594000121e-53,6.677700791523014e-78,1.0705741109681315e-70,2.041469275863778e-31,2.8238802641177928e-127,2.5077872987435123e-27,4.513271544730566e-81,4.317374980609322e-102,2.2161139270102303e-141,1.267987231562916e-21,4.1602865741292495e-101,3.093406948510666e-17,1.0573448005601884e-17,3.3838883827737276e-18,8.399957725310062e-18,6.957604014621349e-18,3.3835033617926333e-18,3.850209810664504e-22,1.4189246638299866e-32,2.507787298754071e-27,1.5963965886312212e-46,1.4189246638299808e-32
3.4583208420830594e-24,0.07659248437779444,0.0,1.9017913871006356,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,2.1358455219979987e-64,2.544841506293475e-21,3.57624483662739e-62,0.0,9.775419105099783e-137,2.0448632634741392e-44,3.9374710476079087e-100,1.4612968792437638e-52,5.385807604685384e-77,8.634568047064113e-70,4.097214560649681e-31,9.15067848789877e-126,5.033111571604146e-27,3.6401170053137535e-80,6.96829115093603e-101,1.4360222237410349e-139,2.544841506703194e-21,6.714719303655061e-100,6.208446113441832e-17,2.1220836207047004e-17,6.791440320671854e-18,1.6858656413734117e-17,1.3963862602770858e-17,6.790667586255164e-18,7.7273441657453025e-22,5.705433666686481e-32,5.033111571646749e-27,1.284918857894777e-45,5.705433666686435e-32
6.928691582570589e-24,0.07659248437779444,0.0,1.9017913871006353,0.031075110263184432,0.3194096818763551,0.35048479213953954,0.20701222018021492,0.09201819554070587,0.0,1.7156272755310187e-63,5.098550056162885e-21,2.8726343373164354e-61,0.0,6.295148795494095e-135,8.201486585711215e-44,6.327410432085567e-99,5.86045406677099e-52,4.3261735608660006e-76,6.935754623355984e-69,8.208705130221485e-31,2.9458681624191288e-124,1.008376011732551e-26,2.923939936723196e-79,1.1197954919240756e-99,9.247582457970141e-138,5.0985500569837495e-21,1.079037365947341e-98,1.2438524443296193e-16,4.251561260993684e-17,1.3606544196468422e-17,3.377605379058205e-17,2.797637977906788e-17,1.3604996035180289e-17,1.5481612876767197e-21,2.2881340820989464e-31,1.008376011749667e-26,1.0310664620974233e-44,2.288134082098909e-31
