Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2X(216),CH3OX(210)
0.0,0.08478463093452131,0.0,2.105202386104164,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.461659850328776e-26,0.08478463093452131,0.0,2.105202386104164,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,7.238071234648452e-69,8.758286256902539e-23,2.188319294628532e-66,0.0,1.15057292599072e-113,4.684959833789532e-47,1.6832209101357075e-73,9.349517899170583e-55,3.877900387755791e-80,6.757122903298774e-43,1.5466335633107364e-31,-2.0580375810669028e-126,1.3240968151405804e-27,8.069018066506176e-83,3.1706530102165948e-74,1.4667470071946146e-122,8.758286272368874e-23,9.611330754063087e-98,2.7607649990780403e-19,9.436458138001916e-20,6.000949917393167e-20,7.496688818432586e-20,6.209435085885561e-20,3.019666604160615e-20,7.544720074805663e-24,2.9918727943882735e-36,1.3240968151403465e-27,7.477884883072868e-52,2.9918727943882735e-36,4.1651591175561654e-38,6.668204598915973e-64,2.9805288412250706e-20
4.0926475809205726e-26,0.08478463093452131,0.0,2.105202386104164,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.0938173248835246e-67,2.452320151932711e-22,3.306988117895725e-65,0.0,6.999496800260772e-112,2.829715877235119e-46,1.9983198645833652e-72,5.647108811099033e-54,5.860283065976437e-79,4.0813022335924595e-42,4.330573977270063e-31,-2.0539709550777583e-126,3.707471082393625e-27,1.2193900102094379e-81,3.7641992801765334e-73,8.922938096645423e-121,2.452320156263285e-22,3.0219559685105103e-96,7.730141997418457e-19,2.6422082786405356e-19,1.6802659768700873e-19,2.099072869161124e-19,1.7386418240479554e-19,8.455066491649721e-20,2.112521620946542e-23,1.807091167810517e-35,3.7074710823930024e-27,8.877744933184108e-51,1.8070911678105167e-35,2.5157561070048733e-37,9.895466806381328e-63,8.345480755430199e-20
9.354623042104166e-26,0.08478463093452131,0.0,2.105202386104164,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.1766787643637903e-66,5.605303204417625e-22,3.557506910723513e-64,0.0,3.159907482614858e-110,1.3623865221731835e-45,1.9619622930641497e-71,2.718839805078806e-53,6.304225102365452e-78,1.9649713402792835e-41,9.898454805188713e-31,-1.853985095952624e-126,8.474219616899716e-27,1.3117641290343986e-80,3.6957132277528886e-72,4.028240840808605e-119,5.605303214316079e-22,6.741817420852783e-95,1.7668895994099062e-18,6.039333208321221e-19,3.8406079471316303e-19,4.797880843796853e-19,3.974038454966747e-19,1.9325866266627945e-19,4.8286208478823165e-23,8.700366086081102e-35,8.474219616898444e-27,8.716222619709735e-50,8.700366086081098e-35,1.2112282713867577e-36,1.0582602911206718e-61,1.9075384583840455e-19
1.9878573964471353e-25,0.08478463093452131,0.0,2.105202386104164,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.081570508348884e-65,1.1911269309387454e-21,3.269961755422067e-63,0.0,1.1931209731826513e-108,5.949901063136825e-45,1.7353334299481166e-70,1.187388773194664e-52,5.794668991413648e-77,8.581546087189442e-41,2.1034216461026014e-30,5.958426914327492e-126,1.80077166859119e-26,1.2057372316404458e-79,3.268816591024176e-71,1.5209871378976147e-117,1.1911269330421668e-21,1.262667781697705e-93,3.754640398745936e-18,1.283358306768258e-18,8.161291887654723e-19,1.0195496793068309e-18,8.4448317168043e-19,4.106746581658442e-19,1.0260819301769162e-22,3.799678448873109e-34,1.800771668590984e-26,7.709400199052806e-49,3.7996784488731078e-34,5.289752079311053e-36,9.704585707920785e-61,4.0535192240660965e-19
4.092647580920573e-25,0.08478463093452131,0.0,2.105202386104164,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,9.253063408645207e-65,2.452320151932711e-21,2.797521126288507e-62,0.0,4.1394911399133093e-107,2.4839675628125644e-44,1.4586523099725353e-69,4.9571143901402445e-52,4.957461320900501e-76,3.5826265633290096e-40,4.330573977270062e-30,2.811689015044301e-124,3.707471082393629e-26,1.0315335867992227e-78,2.7476374631575412e-70,5.27701124861252e-116,2.4523201562632846e-21,2.180944582878301e-92,7.730141997417631e-18,2.642208278640526e-18,1.680265976870094e-18,2.09907286916112e-18,1.7386418240479286e-18,8.455066491649749e-19,2.1125216209604034e-22,1.5862909555846647e-33,3.707471082393469e-26,6.480215393512822e-48,1.5862909555846633e-33,2.2083673641415306e-35,8.293836148378948e-60,8.345480755430199e-19
8.302227949867448e-25,0.08478463093452131,0.0,2.105202386104164,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,7.650611762969624e-64,4.9747065939206425e-21,2.3130445659696032e-61,0.0,1.378623529119154e-105,1.0147826104878421e-43,1.1958912924616944e-68,2.0251429750319456e-51,4.098924888022753e-75,1.4636198493461277e-39,8.784878639604983e-30,9.513170794778556e-123,7.520869909998512e-26,8.528919174692991e-78,2.2526794556646065e-69,1.757465268065738e-114,4.974706602705519e-21,3.623672037699562e-91,1.568114519475956e-17,5.359908222385046e-18,3.4085395530793503e-18,4.258119248869691e-18,3.526959128782879e-18,1.715170631163241e-18,4.285401002551849e-22,6.480516147556796e-33,7.520869909999261e-26,5.312872097725064e-47,6.480516147556785e-33,9.021901255103554e-35,6.854125776023475e-59,1.6929403818158405e-18
1.6721388687761196e-24,0.08478463093452131,0.0,2.105202386104164,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,6.221350427502171e-63,1.0019479477896506e-20,1.8809294269744706e-60,0.0,4.50005778468719e-104,4.101920119203033e-43,9.684637753214631e-68,8.185951697583007e-51,3.3331776457182787e-74,5.916185443737436e-39,1.7693487964274826e-29,3.119203309163701e-121,1.5147667565208303e-25,6.935575428155262e-77,1.8242786458847152e-68,5.736660640226492e-113,1.001947949558999e-20,5.9074999845330975e-90,3.158315158943757e-17,1.0795308109874022e-17,6.865086705497911e-18,8.576212008286808e-18,7.103593738252594e-18,3.4544985951597925e-18,8.631159765832635e-22,2.619528241381079e-32,1.5147667565214139e-25,4.302501570248819e-46,2.6195282413810705e-32,3.6467967351503585e-34,5.57232528603374e-58,3.4097249943614816e-18
3.3559710163548696e-24,0.08478463093452131,0.0,2.105202386104164,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,5.017744503677615e-62,2.0109025245848232e-20,1.5170377242029068e-59,0.0,1.454341544014115e-102,1.649369312723975e-42,7.79503902610498e-67,3.291535174474601e-50,2.6883285239245038e-73,2.3788721465979467e-38,3.5510706613614513e-29,1.0102125748506428e-119,3.0401262875627976e-25,5.593792841281878e-76,1.468338835790681e-67,1.8539904270530857e-111,2.010902528135892e-20,9.540628251103182e-89,6.338716437877024e-17,2.166610788485172e-17,1.3778181010335227e-17,1.7212397527120924e-17,1.4256862957191272e-17,6.933154523152972e-18,1.7322677292785765e-21,1.0533007847555818e-31,3.0401262875657056e-25,3.4630275729132924e-45,1.0533007847555747e-31,1.4663609280469775e-33,4.4937513543809904e-57,6.843294219452763e-18
6.72363531151237e-24,0.08478463093452131,0.0,2.105202386104164,0.031075110263184432,0.3194096818763551,0.35048479213953954,0.20701222018021492,0.09201819554070585,0.0,4.030525262005928e-61,4.028811678175168e-20,1.2185672001303418e-58,0.0,4.6769484903883406e-101,6.614750942092458e-42,6.255027932726264e-66,1.3200528224731546e-49,2.1594116679929265e-72,9.54034128443012e-38,7.114514391229388e-29,3.252111576809603e-118,6.09084534964677e-25,4.493238613622141e-75,1.1782505229342374e-66,5.962160745083036e-110,4.0288116852896775e-20,1.533628126595624e-87,1.2699518995734215e-16,4.3407707434806056e-17,2.7604369620010642e-17,3.4484768564788703e-17,2.856340139506562e-17,1.3890466379139635e-17,3.470571234825829e-21,4.224207247160138e-31,6.090845349659554e-25,2.7788615334043036e-44,4.224207247160081e-31,5.880763167725848e-33,3.6094146399563104e-56,1.3710432669635328e-17
1.3458963901827368e-23,0.08478463093452131,0.0,2.1052023861041635,0.031075110263184432,0.31940968187635504,0.3504847921395395,0.20701222018021487,0.09201819554070573,0.0,3.2309648764518177e-60,8.064629985355859e-20,9.768324392682192e-58,0.0,1.5003252328328912e-99,2.6493844964022845e-41,5.0116340968093146e-65,5.287096648854281e-49,1.7310357334450811e-71,3.821112729362952e-37,1.4241401850965258e-28,1.0437952876818871e-116,1.219228347381487e-24,3.601886900196485e-74,9.440359546609471e-66,1.912610523063509e-108,8.064629999597241e-20,2.4595220667114615e-86,2.54211241114112e-16,8.689090653471061e-17,5.5256746839364605e-17,6.902951064012244e-17,5.71764782708023e-17,2.7805090091114185e-17,6.947178246546832e-21,1.6918862336647952e-30,1.219228347386831e-24,2.2264708060715885e-43,1.6918862336647493e-30,2.355372657113729e-32,2.8933098681616716e-55,2.7444709570000448e-17
2.692962108245737e-23,0.08478463093452131,0.0,2.105202386104163,0.031075110263184432,0.31940968187635493,0.3504847921395394,0.20701222018021478,0.09201819554070548,0.0,2.587392328978875e-59,1.6136266599717237e-19,7.822581973828156e-57,0.0,4.806984673555042e-98,1.0604713727784807e-40,4.012354639137923e-64,2.1162165166935448e-48,1.3862325185109186e-70,1.5294409024616854e-36,2.8495176770436988e-28,3.345144789567591e-115,2.439515972215167e-24,2.8844307789728644e-73,7.5580554901572254e-65,6.127931923702357e-107,1.613626662821234e-19,3.939814957969353e-85,5.086433434261564e-16,1.7385730473450307e-16,1.1056150127808505e-16,1.3811899479078265e-16,1.1440263202222754e-16,5.563433751506813e-17,1.390039227249484e-20,6.77195411743405e-30,2.4395159722370073e-24,1.782530434424404e-42,6.77195411743368e-30,9.427628908692498e-32,2.316963798066433e-54,5.491326337073067e-17
5.387093544371737e-23,0.08478463093452131,0.0,2.1052023861041618,0.031075110263184432,0.3194096818763547,0.3504847921395393,0.20701222018021462,0.09201819554070496,0.0,2.0709625465692154e-58,3.227953982843999e-19,6.261236111672364e-56,0.0,1.5391948006747349e-96,4.243483887228831e-40,3.211103265612942e-63,8.467622566437329e-48,1.1095478619608553e-69,6.119755798878069e-36,5.700272660938043e-28,1.0712469957998874e-113,4.88009122188277e-24,2.3087136977722095e-72,6.048785792512465e-64,1.9621622511067344e-105,3.2279539885442425e-19,6.30737005536031e-84,1.0175075480442636e-15,3.4779010113402163e-16,2.211710101555759e-16,2.7629796309207393e-16,2.288549395248857e-16,1.1129283236299553e-16,2.7806820334414845e-20,2.7096637348461013e-29,4.880091221971058e-24,1.426566094928416e-41,2.7096637348458054e-29,3.7722795705636e-31,1.8545016784703841e-53,1.09850370972191e-16
1.0775356416623737e-22,0.08478463093452131,0.0,2.1052023861041596,0.031075110263184432,0.31940968187635427,0.35048479213953904,0.20701222018021428,0.09201819554070395,0.0,1.657189613065989e-57,6.456608628588547e-19,5.010257412142736e-55,0.0,4.9270105131190204e-95,1.6978435567827044e-39,2.5693706798905353e-62,3.3876004050434964e-47,8.878630833218932e-69,2.448300814117322e-35,1.140178262872672e-27,3.42927199514791e-112,9.76124172121895e-24,1.8474387022737017e-71,4.8400186343804255e-63,6.280946378725029e-104,6.456608639990214e-19,1.0094725947646719e-82,2.035235957256552e-15,6.956556939327931e-16,4.423900279107578e-16,5.526558996945401e-16,4.577595545294324e-16,2.226098220589283e-16,5.561967649835086e-20,1.0840419366448235e-28,9.761241721573953e-24,1.1414696212104256e-40,1.084041936644587e-28,1.5091574655626711e-30,1.4839798150742508e-52,2.1972458617511125e-16
2.1551882161127735e-22,0.08478463093452131,0.0,2.105202386104155,0.031075110263184432,0.3194096818763533,0.3504847921395385,0.20701222018021362,0.09201819554070191,0.0,1.325919541268704e-56,1.291391792007763e-18,4.0087134007902655e-54,0.0,1.5769300342000027e-93,6.793316536783058e-39,2.055692018015712e-61,1.3551504455646943e-46,7.103803951375012e-68,9.794000302361276e-35,2.2804802564304043e-27,1.0975721396362713e-110,1.9523542719895193e-23,1.4781380822854896e-70,3.872496137086786e-62,2.010270770328138e-102,1.2913917942881975e-18,1.61539089879506e-81,4.0706927755854225e-15,1.3913868795292736e-15,8.848280634219219e-16,1.105371772899006e-15,9.155687845354477e-16,4.452438014511058e-16,1.1124538898660684e-19,4.336520657125032e-28,1.9523542721318917e-23,9.132624043379475e-40,4.33652065712314e-28,6.037121179373076e-30,1.18734506114424e-51,4.3947301658095014e-16
4.310493365013573e-22,0.08478463093452131,0.0,2.105202386104146,0.031075110263184432,0.3194096818763515,0.35048479213953737,0.20701222018021226,0.09201819554069784,0.0,1.0608027774397028e-55,2.5828536503055763e-18,3.207173721454635e-53,0.0,5.04684397666138e-92,2.718548893792034e-38,1.6446321702944586e-60,5.420822357206863e-46,5.683402896977564e-67,3.9177595357988654e-34,4.561084243545854e-27,3.5125590437937787e-109,3.904814471726323e-23,1.1825853185838756e-69,3.0983257136152582e-61,6.43373375178288e-101,2.582853654866477e-18,2.5848132511890616e-80,8.141606411860344e-15,2.7828492507179837e-15,1.7697041344474512e-15,2.210803519306074e-15,1.8311872445351663e-15,8.905117602367078e-16,2.224968146046547e-19,1.734678847473324e-27,3.904814472296554e-23,7.30644608270924e-39,1.7346788474718106e-27,2.4149467446409164e-29,9.499562196338366e-51,8.789698773926211e-16
8.621103662815173e-22,0.08478463093452131,0.0,2.105202386104127,0.031075110263184432,0.31940968187634783,0.35048479213953515,0.20701222018020954,0.0920181955406897,0.0,8.486690805413314e-55,5.165777366901186e-18,2.565820179972738e-52,0.0,1.6152307962080293e-90,1.0883310642965196e-37,1.315737738735543e-59,2.1683730586576426e-45,4.546866216324571e-66,1.5671356978579944e-33,9.122292217776693e-27,1.1240714083318002e-107,7.80973487120615e-23,9.460981968830634e-69,2.4790101808547293e-60,2.059111845001556e-99,5.165777376022744e-18,4.1358514585481514e-79,1.6283433682878905e-14,5.565773993078403e-15,3.5394562765113143e-15,4.421667012112752e-15,3.662424164485352e-15,1.7810476778129013e-15,4.449996684068936e-19,6.938856561661028e-27,7.809734873488553e-23,5.84529560907864e-38,6.93885656164892e-27,9.659983575593566e-29,7.60022138293499e-50,1.757963599015936e-15
1.7242324258418373e-21,0.08478463093452131,0.0,2.1052023861040903,0.031075110263184432,0.3194096818763405,0.3504847921395307,0.20701222018020413,0.09201819554067342,0.0,6.789460080328204e-54,1.0331624800092339e-17,2.0526886256004586e-51,0.0,5.169980425226369e-89,4.360483675702453e-37,1.0526039190564396e-58,8.673580466965089e-45,3.6375505334348886e-65,6.26860655907631e-33,1.8244708166238137e-26,3.597112531813825e-106,1.5619575670190682e-22,7.568905344955743e-68,1.9836969278842266e-59,6.590806137422001e-98,1.0331624818334111e-17,6.617482541454238e-78,3.256708821879088e-14,1.1131623477731238e-14,7.078960560690261e-15,8.843393997696278e-15,7.324898004188724e-15,3.562119512985245e-15,8.900053862759448e-19,2.775570859275619e-26,1.5619575679323262e-22,4.676291985174879e-37,2.775570859265935e-26,3.864032788191515e-28,6.080807255406165e-49,3.515951042262458e-15
