Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2X(216),CH3OX(210),CH2X(34)
0.0,0.06662394546715897,0.0,1.654272565949557,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.669372973206606e-26,0.06662394546715897,0.0,1.654272565949557,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,6.103578588184018e-75,4.269453194779283e-25,4.579619456980021e-73,0.0,1.7895312490078756e-123,7.282322303837238e-52,4.315300856387692e-81,9.617765832092286e-61,1.1556590739960844e-89,8.409448935208285e-46,1.6775761497825212e-36,-6.736848173117883e-137,4.02335672493616e-32,1.5917425288979567e-93,7.008746735328469e-82,9.436867045084961e-135,4.269453194796058e-25,1.7583962082335072e-106,2.795072695740621e-19,9.553723875388393e-20,6.074862080272224e-20,7.589849274336079e-20,6.286598993513942e-20,3.0571916401242856e-20,1.0292326124634963e-24,7.08214132219599e-37,4.0233567249409773e-32,7.47885956920742e-53,7.082141322195989e-37,6.238900127359838e-39,1.1723080775206058e-66,3.0175675168866916e-20,1.4306832240793e-39
4.674244324978497e-26,0.06662394546715897,0.0,1.654272565949557,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,9.223727962461957e-74,1.1954468945381992e-24,6.920720923387576e-72,0.0,1.0886668097984845e-121,4.4032608529651284e-51,5.12312519098874e-80,5.809130562583742e-60,1.7464320856122226e-88,5.0793071568658044e-45,4.69721321939106e-36,-6.736848028703191e-137,1.1265398829821261e-31,2.4054412597016847e-92,8.320802067539235e-81,5.7409484502547205e-133,1.1954468945428964e-24,5.528679006122968e-105,7.826203548073697e-19,2.6750426851087504e-19,1.7009613824762232e-19,2.125157796814102e-19,1.760247718183903e-19,8.560136592348003e-20,2.8818513149000686e-24,4.277613358606379e-36,1.1265398829850384e-31,8.878902080563053e-52,4.277613358606378e-36,3.768295676927829e-38,1.7713072958722282e-65,8.449189047282738e-20,8.641326673438974e-39
1.068398702852228e-25,0.06662394546715897,0.0,1.654272565949557,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,9.922465639237013e-73,2.732450044658741e-24,7.444995758822573e-71,0.0,4.914783351045759e-120,2.12467122161649e-50,5.029914720900482e-79,2.796846303972437e-59,1.8787319498772604e-87,2.4454677503585693e-44,1.0736487358608136e-35,-6.736840926772399e-137,2.574948303959152e-31,2.58766393716953e-91,8.16944882275944e-80,2.591750032667827e-131,2.7324500446694772e-24,1.233417872931421e-103,1.7888465252739687e-18,6.114383280248573e-19,3.887911731374225e-19,4.85750353557509e-19,4.023423355848918e-19,1.9566026496795435e-19,6.5870887197823304e-24,2.0594866964945947e-35,2.5749483039731786e-31,8.717358713868173e-51,2.0594866964945942e-35,1.8142721570399712e-37,1.9053952484062285e-64,1.931243210807483e-19,4.1604268156226047e-38
2.2703472435609845e-25,0.06662394546715897,0.0,1.654272565949557,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,9.120455412749786e-72,5.806456344899825e-24,6.843233762175486e-70,0.0,1.855744169661894e-118,9.319960490522749e-50,4.448902659274307e-78,1.2214562606757203e-58,1.7268783394887728e-86,1.0680000147714523e-43,2.281503563704229e-35,-6.736563491109509e-137,5.471765145913227e-31,2.3785089732063767e-90,7.225848537091025e-79,9.786039751912827e-130,5.806456344922639e-24,2.310055170988791e-102,3.8012988662070986e-18,1.2993064470528214e-18,8.261812429170229e-19,1.0322195013097064e-18,8.549774631178937e-19,4.15778063056903e-19,1.3997563529583315e-23,8.994319479188909e-35,5.471765145974492e-31,7.710405061470083e-50,8.994319479188905e-35,7.923403161785538e-37,1.7513545106836772e-63,4.1038918229659015e-19,1.8169676945807112e-37
4.674244324978498e-25,0.06662394546715897,0.0,1.654272565949557,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,7.802741624189827e-71,1.1954468945381993e-23,5.854530558369298e-69,0.0,6.438545990070978e-117,3.9250865805812584e-49,3.73957083664699e-77,5.09933944417533e-58,1.4773807765189686e-85,4.458689825447434e-43,4.6972132193910596e-35,-6.726790171377953e-137,1.1265398829821464e-30,2.0348645027701493e-89,6.073867892457165e-78,3.395290558541222e-128,1.1954468945428962e-23,3.990045837731122e-101,7.826203548073091e-18,2.6750426851087495e-18,1.700961382476224e-18,2.1251577968141014e-18,1.760247718183893e-18,8.560136592348001e-19,2.8818513149331143e-23,3.754951329028314e-34,1.1265398830077252e-30,6.481060040922041e-49,3.7549513290283104e-34,3.307864847560876e-36,1.498313274409323e-62,8.449189047282739e-19,7.58548245406845e-37
9.482038487813523e-25,0.06662394546715897,0.0,1.654272565949557,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,6.451457665108573e-70,2.425049414634633e-23,4.8406390811801935e-68,0.0,2.1443761502155204e-115,1.6314542988559855e-48,3.065926246649157e-76,2.0832465502945178e-57,1.2215269957736655e-84,1.821520277161856e-42,9.528632530764721e-35,-6.398941798602337e-137,2.2852666197638293e-30,1.682465321309013e-88,4.979898978226715e-77,1.1308126482524721e-126,2.425049414644161e-23,6.629520835571941e-100,1.5876012911804e-17,5.426515161220605e-18,3.4505216615946283e-18,4.311034387822891e-18,3.570788228315874e-18,1.736484851590594e-18,5.846041238941025e-23,1.5340201389529393e-33,2.285266619868331e-30,5.313564590702575e-48,1.5340201389529362e-33,1.351370723216021e-35,1.2388393427859884e-61,1.7139783495916414e-18,3.0989170906847274e-36
1.9097626813483573e-24,0.06662394546715897,0.0,1.654272565949557,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,5.246218230168839e-69,4.8842544548275e-23,3.936327309516466e-67,0.0,7.000067765665007e-114,6.820371425563713e-48,2.4828667898359276e-75,8.420815638756737e-57,9.933254663566578e-84,7.362876196323746e-42,1.9191471153512044e-34,4.340191111863206e-137,4.602720093327335e-30,1.368152857611295e-87,4.0331349186146075e-76,3.6914162890306324e-125,4.8842544548466893e-23,1.0807792166645315e-98,3.197563163926153e-17,1.0929460113444309e-17,6.949642219831443e-18,8.682787569840465e-18,7.191869248579765e-18,3.497427236302181e-18,1.1774421087190213e-22,6.200754670366042e-33,4.602720093749757e-30,4.3030623690160814e-47,6.200754670366018e-33,5.462456528951244e-35,1.0074181746413566e-60,3.4520972393183762e-18,1.2526318354761834e-35
3.8328803464823676e-24,0.06662394546715897,0.0,1.654272565949557,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,4.231265059938438e-68,9.802664535213234e-23,3.174790578375101e-66,0.0,2.2626027009882594e-112,2.924003471657726e-47,1.9984275604632547e-74,3.385972932251417e-56,8.011529743029695e-83,2.9605801354358185e-41,3.851714839900669e-34,3.5201157944136946e-135,9.237627040454913e-30,1.1034648444045305e-86,3.246674408035547e-75,1.1931670798934248e-123,9.802664535251744e-23,1.7454613218208685e-97,6.417486909415942e-17,2.1935350017891687e-17,1.3947883336305095e-17,1.7426293933875603e-17,1.443403128910726e-17,7.01931200572535e-18,2.363118078462209e-22,2.493296181044377e-32,9.237627042153468e-30,3.4634789525495457e-46,2.4932961810443576e-32,2.196429745633499e-34,8.125453514432418e-60,6.928335018771846e-18,5.03677751770014e-35
7.679115676750387e-24,0.06662394546715897,0.0,1.6542725659495567,0.031075110263184432,0.3194096818763551,0.35048479213953954,0.20701222018021492,0.09201819554070585,0.0,3.3987822022076834e-67,1.9639484695984703e-22,2.550164445069418e-65,0.0,7.278132020031721e-111,1.318284827061974e-46,1.6036128440298756e-73,1.3579265871736102e-55,6.43529637527912e-82,1.187325049492697e-40,7.716850288999599e-34,1.1542215455070617e-133,1.850744093471233e-29,8.86362972018242e-86,2.6059844493623502e-74,3.8381085292607387e-122,1.963948469606185e-22,2.8057780966700734e-96,1.2857334400388653e-16,4.394712982678633e-17,2.7944365569252495e-17,3.4913306661945826e-17,2.891835537016111e-17,1.4063081544571667e-17,4.7344700183219795e-22,9.999232839960494e-32,1.8507440941524323e-29,2.779223737135451e-45,9.99923283996034e-32,8.808665657997056e-34,6.5272354968705955e-59,1.3880810577678785e-17,2.0199730599782194e-34
1.5371586337286428e-23,0.06662394546715897,0.0,1.6542725659495565,0.031075110263184432,0.31940968187635504,0.3504847921395395,0.20701222018021487,0.09201819554070573,0.0,2.7245446199181844e-66,3.9313125017527635e-22,2.0442724497643512e-64,0.0,2.336003909718968e-109,6.446563063734174e-46,1.284842636485146e-72,5.438789256163822e-55,5.158686574135689e-81,4.7554932525446315e-40,1.5447121187197454e-33,3.706675660438568e-132,3.704706872323621e-29,7.105296317239442e-85,2.0891328771337838e-73,1.2319117611663833e-120,3.9313125017682015e-22,4.499704344256644e-95,2.5737029382306595e-16,8.79706894445752e-17,5.593733003514763e-17,6.988733211808605e-17,5.788700353226422e-17,2.815062062226422e-17,9.477173899535104e-22,4.004908708139479e-31,3.704706875051976e-29,2.2267610098199003e-44,4.0049087081393535e-31,3.528060839444332e-33,5.233079534323291e-58,2.778576169549266e-17,8.090428363448284e-34
3.0756527658358514e-23,0.06662394546715897,0.0,1.6542725659495559,0.031075110263184432,0.31940968187635493,0.3504847921395394,0.20701222018021478,0.09201819554070546,0.0,2.181845398851429e-65,7.866040566061347e-22,1.637075937722636e-63,0.0,7.492420414301452e-108,3.5141512009206735e-45,1.0286568452480144e-71,2.1769330918517326e-54,4.13113313827343e-80,1.9034366183263306e-39,3.0907662983593165e-33,1.187932657069294e-130,7.412632430032014e-29,5.689999702747582e-84,1.674456589739426e-72,3.9513506808162917e-119,7.866040566092222e-22,7.207905439325619e-94,5.149641934603258e-16,1.760178086801512e-16,1.1192325896693942e-16,1.3983538303036562e-16,1.158242998564521e-16,5.6325698777649e-17,1.8962581667935687e-21,1.603007192586695e-30,7.412632440952557e-29,1.782762773879232e-43,1.603007192586595e-30,1.412143775475878e-32,4.191818364212389e-57,5.559566393112035e-17,3.2382797718603e-33
6.152641030050268e-23,0.06662394546715897,0.0,1.6542725659495547,0.031075110263184432,0.3194096818763547,0.35048479213953926,0.20701222018021462,0.09201819554070495,0.0,1.74636063221573e-64,1.5735496694678514e-21,1.310324265456591e-62,0.0,2.4041635609566853e-106,2.1534382270554215e-44,8.232405016939476e-71,8.710567954071646e-54,3.3065808800362726e-79,7.616225814315984e-39,6.182874657638455e-33,3.804229919111804e-129,1.4828483545463267e-28,4.55430594821753e-83,1.3430833252991664e-71,1.2680084103689551e-117,1.5735496694740202e-21,1.1539355887514089e-92,1.0301519927304498e-15,3.5211204715129636e-16,2.238951168305288e-16,2.7973148485492127e-16,2.3169889250475456e-16,1.1267585508841725e-16,3.7933397228634185e-21,6.414116783908275e-30,1.4828483589159695e-28,1.4267520371047831e-42,6.414116783907475e-30,5.650414508418878e-32,3.356932032595623e-56,1.1121546840237564e-16,1.2957337142177068e-32
1.2306617558479102e-22,0.06662394546715897,0.0,1.6542725659495523,0.031075110263184432,0.31940968187635427,0.350484792139539,0.20701222018021428,0.09201819554070392,0.0,1.397442317423647e-63,3.147440895191284e-21,1.0485248833038439e-61,0.0,7.728408651934497e-105,1.459468838654887e-43,6.587213141875904e-70,3.484794379750818e-53,2.64593461542927e-78,3.04698626456789e-38,1.2367091376196726e-32,1.2178087219676976e-127,2.9660185776383656e-28,3.6443674583613977e-82,1.0794862790658809e-70,4.076778610293707e-116,3.1474408952035942e-21,1.8468336925818566e-91,2.060527591253113e-15,7.043005240935588e-16,4.478388325577307e-16,5.595236885040186e-16,4.634480778010662e-16,2.253761677099487e-16,7.587502844562052e-21,2.5660643757654505e-29,2.966018595119786e-28,1.141618403202319e-41,2.5660643757648103e-29,2.2605337395185547e-31,2.689072115957571e-55,2.224550773448857e-16,5.183778587995375e-32
2.4614570615336768e-22,0.06662394546715897,0.0,1.6542725659495476,0.031075110263184432,0.3194096818763533,0.3504847921395384,0.2070122201802136,0.09201819554070187,0.0,1.118095395879153e-62,6.295223346638143e-21,8.389261079868157e-61,0.0,2.4944113226917176e-103,1.0622366395462656e-42,5.270332232820435e-69,1.3940311996036681e-52,2.1170156895902016e-77,1.2188937006593876e-37,2.4735524813313215e-32,3.897716271076159e-126,5.932359023845592e-28,2.9158630916249434e-81,8.713766458918302e-70,1.3162282353783171e-114,6.295223346662652e-21,2.95536337893169e-90,4.121278788228106e-15,1.408677477977973e-15,8.957262640122278e-16,1.1191080958021567e-15,9.269464483925165e-16,4.507767929529907e-16,1.5175829126195052e-20,1.0265092886954894e-28,5.932359093776974e-28,9.133814412326069e-41,1.026509288694977e-28,9.042870902312344e-31,2.156084941923613e-54,4.449342952299037e-16,2.0736801934407866e-31
