Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2X(216),CH3OX(210),CH2X(34),CHX(35)
0.0,0.10125681075141572,0.0,2.514206610957652,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3704731676558655e-26,0.10125681075141572,0.0,2.514206610957652,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.031025028197189e-65,1.7292892169989584e-21,1.7297508268925454e-62,0.0,5.3503400619105034e-108,3.600878940010617e-44,4.5001366328574913e-69,3.0061835857442276e-51,8.783934501023002e-75,3.6117723833585326e-41,1.1520664564701358e-28,-2.6280412146075254e-120,6.586693686538696e-25,1.27547055348515e-76,9.448767502947422e-70,1.318664697338262e-115,1.729289332205606e-21,1.3267595006159086e-92,2.828832382209728e-19,9.669116481504535e-20,6.150688809435363e-20,7.681521642013628e-20,6.362530332008814e-20,3.0941172740814565e-20,2.556975989670654e-23,7.407074157830796e-36,6.5866936865205015e-25,3.399936797608607e-51,7.407074157830796e-36,1.3808527916323324e-37,7.160775632579224e-62,3.054014559364235e-20,8.696170066088162e-37,1.4427290006306016e-46
3.837324869436424e-26,0.10125681075141572,0.0,2.514206610957652,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,3.069285021956774e-64,4.842009807597084e-21,2.613999449321231e-61,0.0,3.2548729878788336e-106,2.1749308800186176e-43,5.342562210542826e-68,1.8157348857895143e-50,1.3274281817946024e-73,2.181510519548554e-40,3.2257860781163813e-28,7.797401267757185e-121,1.8442742322308348e-24,1.9274911004267693e-75,1.1217576782172983e-68,8.022080940986664e-114,4.842010130175696e-21,4.1715028399949716e-91,7.9207306701871695e-19,2.7073526148212673e-19,1.722192866641904e-19,2.1508260597638151e-19,1.7815084929624653e-19,8.663528367428093e-20,7.15953277108047e-23,4.4738727913298075e-35,1.844274232225741e-24,4.0364049661209445e-50,4.4738727913298075e-35,8.340350861461857e-37,9.391765886154167e-61,8.551240766219859e-20,5.2524867190758504e-36,1.712807869297386e-45
8.77102827299754e-26,0.10125681075141572,0.0,2.514206610957652,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,3.301796767089907e-63,1.1067450988793335e-20,2.812021323943494e-60,0.0,1.4694052538061716e-104,1.0471355961261888e-42,5.245359259301764e-67,8.741981867344217e-50,1.427986663962315e-72,1.0503034090806613e-39,7.373225321408871e-28,1.6836537034865926e-118,4.2154839593847656e-24,2.073506969389751e-74,1.1013483409426823e-67,3.621550802545532e-112,1.1067451726115878e-20,9.306373308295617e-90,1.8104527246141776e-18,6.188234548162885e-19,3.9364408380386463e-19,4.916173850888715e-19,4.07201941248562e-19,1.9802350554121412e-19,1.6364646333910662e-22,2.1539771650972026e-34,4.215483959373125e-24,3.962966331292605e-49,2.1539771650972026e-34,4.015519918070672e-36,9.611100294226606e-60,1.9545693179931104e-19,2.5288462539563387e-35,1.6816449223561094e-44
1.8638435080119773e-25,0.10125681075141572,0.0,2.514206610957652,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,3.0349200784415925e-62,2.3518333351185838e-20,2.584732065313994e-59,0.0,5.548194655385202e-103,4.57311625761457e-42,4.6394608630999135e-66,3.817853153895171e-49,1.312565764618872e-71,4.5869509268653365e-39,1.566810380799385e-27,6.715068202356269e-117,8.957903413692628e-24,1.9059101386618005e-73,9.741301361379598e-67,1.3674286760429694e-110,2.3518334917996242e-20,1.742979233049789e-88,3.8472120398049916e-18,1.314999841484608e-18,8.364936780832163e-19,1.04468694331385e-18,8.653041251531879e-19,4.207999492750824e-19,3.4774873459613267e-22,9.406984180445182e-34,8.957903413667906e-24,3.5051988408625944e-48,9.406984180445182e-34,1.753683045377039e-35,8.6558784227428e-59,4.15345980073536e-19,1.1044135970890274e-34,1.4873958888543922e-43
3.837324869436424e-25,0.10125681075141572,0.0,2.514206610957652,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.5964380231538043e-61,4.842009807597084e-20,2.2112926998369803e-58,0.0,1.9249264690521155e-101,1.9091860174001949e-41,3.899746404008899e-65,1.5938785371615902e-48,1.1229276458893851e-70,1.9149617176566937e-38,3.225786078116381e-27,2.373379783901935e-115,1.844274232230835e-23,1.6305462499287836e-72,8.188150767593509e-66,4.744245320857043e-109,4.8420101301756966e-20,3.010561942166521e-87,7.920730670186181e-18,2.70735261482123e-18,1.7221928666419318e-18,2.1508260597638004e-18,1.7815084929624195e-18,8.663528367428265e-19,7.159532771118735e-22,3.927230718481947e-33,1.844274232225751e-23,2.9463308298188993e-47,3.9272307184819485e-33,7.321281501270414e-35,7.337230372642724e-58,8.551240766219855e-19,4.610709357302418e-34,1.2502458653147813e-42
7.784287592285316e-25,0.10125681075141572,0.0,2.514206610957652,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,2.1467851677318568e-60,9.822362752554084e-20,1.8283395664332378e-57,0.0,6.410808854489294e-100,7.799647848003282e-41,3.197247714900807e-64,6.511513894065431e-48,9.284582929128599e-70,7.823243453249911e-38,6.543737472750374e-27,7.973639246202024e-114,3.7412420139539794e-23,1.3481671711139535e-71,6.713140732599457e-65,1.5800317781213534e-107,9.822363406927841e-20,5.0020926738736554e-86,1.606776793094681e-17,5.492058161494408e-18,3.493591243759411e-18,4.3631042926636756e-18,3.6139172285808e-18,1.7574586116783453e-18,1.4523623621501112e-21,1.6044018908828312e-32,3.741242013943689e-23,2.4155800240964942e-46,1.6044018908828317e-32,2.990982380817597e-34,6.039955400195381e-57,1.734680269718884e-18,1.8836252110571888e-33,1.0250270944466393e-41
1.5678213037983103e-24,0.10125681075141572,0.0,2.514206610957652,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,1.7457300454937385e-59,1.9783068642468086e-19,1.4867753711284121e-56,0.0,2.0925947994493755e-98,3.152742377820284e-40,2.589214093999297e-63,2.632058026131188e-47,7.55006864351626e-69,3.1622800867047917e-37,1.3179640262018358e-26,2.613870292443637e-112,7.535177577400269e-23,1.0963071537561033e-70,5.4364754574483036e-64,5.157486922698565e-106,1.978306996043213e-19,8.154672689745419e-85,3.2361842452461083e-17,1.10614692548405e-17,7.036387997994566e-18,8.787660758463324e-18,7.278734699817237e-18,3.539670161549504e-18,2.9251805322536085e-21,6.485248964740837e-32,7.535177577379634e-23,1.9561993316547856e-45,6.485248964740846e-32,1.2090029000330281e-33,4.901066213913966e-56,3.4937926559126784e-18,7.613914227277172e-33,8.300935124743575e-41
3.1466063929378672e-24,0.10125681075141572,0.0,2.514206610957652,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,1.4079945251047382e-58,3.970448042229609e-19,1.1991381989517793e-55,0.0,6.762904895144307e-97,1.2677038535210284e-39,2.0840247597525792e-62,1.0583389560955987e-46,6.0894038810160255e-68,1.2715389146509003e-36,2.645144584055433e-26,8.465455817338932e-111,1.5123048704292847e-22,8.842114359584064e-70,4.375748478862195e-63,1.6668106788452726e-104,3.9704483067440695e-19,1.3169817503919559e-83,6.494999149546167e-17,2.2200291441531624e-17,1.412198150646566e-17,1.7636773690062204e-17,1.4608369642288806e-17,7.104093261292305e-18,5.870816872568694e-21,2.607690085561285e-31,1.5123048704251799e-22,1.574519407611437e-44,2.607690085561292e-31,4.8613474872554405e-33,3.9487005725453026e-55,7.012017428300253e-18,3.061521390141362e-32,6.6813146853247125e-40
6.304176571216981e-24,0.10125681075141572,0.0,2.514206610957652,0.031075110263184432,0.3194096818763551,0.35048479213953954,0.20701222018021492,0.09201819554070585,0.0,1.1309777725911285e-57,7.95473039819521e-19,9.632130133308121e-55,0.0,2.1748489260035774e-95,5.084059524541256e-39,1.6722986229949555e-61,4.244412567610761e-46,4.891340353221166e-67,5.0994397574295755e-36,5.299505699762627e-26,2.7252285435557134e-109,3.029879095807799e-22,7.102467108424672e-69,3.5112626884563664e-62,5.360213512317281e-103,7.954730928145779e-19,2.1170096457563702e-82,1.3012628958135098e-16,4.4477935814909634e-17,2.8293168523410973e-17,3.533499955325832e-17,2.926763952722673e-17,1.4232939460779853e-17,1.1762089553631223e-20,1.0458003560998944e-30,3.029879095799723e-22,1.2634526648396351e-43,1.0458003560998998e-30,1.9496177715517719e-32,3.170140897115986e-54,1.404846697307536e-17,1.2278069805192953e-31,5.361334151174022e-39
