Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2X(216),CH3OX(210),CH2X(34),CHX(35),CX(33),SX(655)
0.0,0.06210963536780779,0.0,1.5421822461826673,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7911155440930273e-26,0.06210963536780779,0.0,1.5421822461826673,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,4.886048360939391e-77,6.684841703068736e-26,2.465492471283453e-75,0.0,8.023907525361995e-127,1.8306944238609426e-53,1.1230388514031605e-83,8.861290810751259e-63,5.731132630550888e-93,9.02037740353706e-47,3.3038944866799475e-38,-1.7285490615840022e-140,1.2057240214157397e-33,3.414567676387864e-97,1.7468390124096988e-84,5.9947926411223634e-139,6.684841703072041e-26,1.9588562315995932e-109,2.895527195851979e-19,9.897083301269008e-20,6.293139113537798e-20,7.862627336937401e-20,6.51253843339197e-20,3.167066656406083e-20,5.4009103569018045e-25,4.595415641939049e-37,1.2057240214236035e-33,3.831786943540152e-53,4.595415641939049e-37,3.4917127000793776e-39,1.5282851591931758e-67,3.1260184480281465e-20,3.899807580683638e-40,1.737788047062534e-48,4.2628453503048194e-58,7.009324673734385e-84
5.015123523460477e-26,0.06210963536780779,0.0,1.5421822461826673,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,7.383796283051567e-76,1.8717556768592463e-25,3.725852222603593e-74,0.0,4.8815811900314e-125,1.1404624141988886e-52,1.3332717413456543e-82,5.352219649693759e-62,8.660904716601122e-92,5.448307951736384e-46,9.250904562703853e-38,-1.7285490608542417e-140,3.376027259964082e-33,5.1601159159607085e-96,2.073879474301996e-83,3.6471158336083854e-137,1.8717556768601715e-25,6.15895754600653e-108,8.107476148385504e-19,2.7711833243553223e-19,1.7620789517905835e-19,2.201535654342473e-19,1.8235107613497515e-19,8.867786637937031e-20,1.5122548999339837e-24,2.775631047731185e-36,3.37602726001158e-33,4.549097459370867e-52,2.775631047731185e-36,2.108994470849665e-38,2.3094780205314196e-66,8.752851654478811e-20,2.3554837685981372e-39,2.0631019613410702e-47,5.0859194772986107e-57,4.2848899241757736e-82
1.1463139482195375e-25,0.06210963536780779,0.0,1.5421822461826673,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,7.943151099411905e-75,4.278298689963992e-25,4.0081018007161524e-73,0.0,2.2038469299171294e-123,5.8345903251098786e-52,1.3090141358840508e-81,2.5768633677664652e-61,9.317007255773517e-91,2.623125748948577e-45,2.1144924714751662e-37,-1.7285490249665686e-140,7.716633737060811e-33,5.5510187016793836e-95,2.0362117866688597e-82,1.6465349283651788e-135,4.278298689966106e-25,1.3740295490938564e-106,1.8531374053452394e-18,6.334133312812165e-19,4.027609032664191e-19,5.032081495639937e-19,4.168024597370858e-19,2.0269226600998929e-19,3.456582628427506e-24,1.3363468686758753e-35,7.716633737289495e-33,4.466330861390398e-51,1.336346868675875e-35,1.0153900531856645e-37,2.4844208807298287e-65,2.0006518067380138e-19,1.1340640292606321e-38,2.0255657224482246e-46,5.046487919663498e-56,1.9546747312333e-80
2.435917139966517e-25,0.06210963536780779,0.0,1.5421822461826673,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,7.301124344784473e-74,9.091384716173482e-25,3.684136089989545e-72,0.0,8.321807604440191e-122,2.848317454217274e-51,1.1578082391610012e-80,1.1253839329654099e-60,8.563934946229773e-90,1.1455879302492067e-44,4.493296501884728e-37,-1.728547623020965e-140,1.6397846691254442e-32,5.102342666461933e-94,1.8011203392004564e-81,6.2173903181652255e-134,9.091384716177977e-25,2.5734052787361243e-105,3.937916986358555e-18,1.3460033289725851e-18,8.558669194411407e-19,1.0693173178234865e-18,8.857052269413064e-19,4.3072106527122716e-19,7.345238085438213e-24,5.836177865262589e-35,1.639784669225318e-32,3.950419067312151e-50,5.836177865262586e-35,4.434475129127484e-37,2.283629254652775e-64,4.25138508931828e-19,4.952755470379138e-38,1.7915899120630756e-45,4.558025336278118e-55,7.534262404933133e-79
5.015123523460476e-25,0.06210963536780779,0.0,1.5421822461826673,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,6.246265592044552e-73,1.8717556768592468e-24,3.1518559893792787e-71,0.0,2.8875688878334755e-120,1.4396534076524393e-50,9.732076891471388e-80,4.698256387860318e-60,7.326626657459805e-89,4.782604099355349e-44,9.250904562703853e-37,-1.7284982362098966e-140,3.37602725996424e-32,4.365161585303732e-93,1.5141418324073808e-80,2.157370294470314e-132,1.8717556768601718e-24,4.444917658327718e-104,8.107476148384935e-18,2.771183324355322e-18,1.762078951790584e-18,2.201535654342472e-18,1.823510761349744e-18,8.86778663793703e-19,1.5122548999554276e-23,2.4364893733560824e-34,3.3760272603811935e-32,3.3205652566807944e-49,2.43648937335608e-34,1.851306073606093e-36,1.9537365662299316e-63,8.752851654478811e-19,2.067677837898295e-37,1.5059392209336805e-44,3.9902091556511766e-54,2.7207514421151384e-77
1.0173536290448394e-24,0.06210963536780779,0.0,1.5421822461826673,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,5.164533182435596e-72,3.796990087343043e-24,2.6060154829375906e-70,0.0,9.619122533837692e-119,7.928191380180291e-50,7.978946278086403e-79,1.9193910347719655e-59,6.057796604335439e-88,1.9538498271157416e-43,1.87661206843421e-36,-1.726841543694455e-140,6.848512441642111e-32,3.6092000137716215e-92,1.2416991881964125e-79,7.186733717452364e-131,3.796990087344919e-24,7.385297168678713e-103,1.644659447243669e-17,5.621543315120794e-18,3.5745030164894715e-18,4.4659723273804424e-18,3.699121830166606e-18,1.798893860838654e-18,3.067717082816498e-23,9.953854097065647e-34,6.848512443345502e-32,2.7224000175295574e-48,9.953854097065629e-34,7.563189377083198e-36,1.6154637587508723e-62,1.7755784784799875e-18,8.447138015045298e-37,1.2346598738065332e-43,3.5320199514389167e-53,9.772446558420103e-76
2.0490361824424235e-24,0.06210963536780779,0.0,1.5421822461826673,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,4.199712613560107e-71,7.647458908310635e-24,2.11916851111518e-69,0.0,3.141351443088363e-117,4.8592803807491346e-49,6.461560244822793e-78,7.758485446771642e-59,4.926099593391919e-87,7.897773394912065e-43,3.7796552927618596e-36,-1.672574258592106e-140,1.3793482804998966e-31,2.9349415112295045e-91,1.0060691308963128e-78,2.3470380436997234e-129,7.647458908314413e-24,1.2039898337707765e-101,3.312483112053616e-17,1.1322263296651736e-17,7.199351145887249e-18,8.994845673456382e-18,7.450343967800277e-18,3.623124254928555e-18,6.178641448690076e-23,4.023506974468443e-33,1.379348281188435e-31,2.2046701171823374e-47,4.023506974468429e-33,3.057162071296299e-35,1.3137945247777855e-61,3.5761651045442e-18,3.414467743008126e-36,9.998594396144828e-43,3.282421428620735e-52,3.654197004675329e-74
4.1124012892375915e-24,0.06210963536780779,0.0,1.5421822461826673,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,3.38722036787397e-70,1.534839655024582e-23,1.7091861763662403e-68,0.0,1.0162062740981976e-115,3.2844783767778467e-48,5.200830143326439e-77,3.1196528750882226e-58,3.9730777822923775e-86,3.175659946424836e-42,7.585741741417159e-36,8.428847043747779e-142,2.768342353171713e-31,2.3671366543752133e-90,8.105912279529632e-78,7.592773855664825e-128,1.5348396550253398e-23,1.9444467975597908e-100,6.648130441671903e-17,2.272370325971361e-17,1.4449047404682816e-17,1.8052592365608258e-17,1.4952788243067405e-17,7.27158504310835e-18,1.2400490181042972e-22,1.617834458407204e-32,2.768342355940297e-31,1.774510312273708e-46,1.6178344584071922e-32,1.2292714230493628e-34,1.059827142504061e-60,7.177338356672623e-18,1.372942059354307e-35,8.047736424070341e-42,3.3214675258752414e-51,1.4810866731591352e-72
8.239131502827928e-24,0.06210963536780779,0.0,1.542182246182667,0.031075110263184432,0.3194096818763551,0.35048479213953954,0.20701222018021492,0.09201819554070585,0.0,2.7207996044220645e-69,3.075027183411619e-23,1.3729112863895426e-67,0.0,3.2742429280595515e-114,2.384466445641977e-47,4.1733455786105985e-76,1.2511203327954829e-57,3.1913921399767317e-85,1.273581673378955e-41,1.5197914638727757e-35,5.663093791952572e-139,5.54633049851713e-31,1.901412891208817e-89,6.517632269629557e-77,2.4465797896384244e-126,3.0750271834131363e-23,3.125641437326308e-99,1.3319425100902032e-16,4.552658318583729e-17,2.8948439922274e-17,3.6168085749911974e-17,2.9957676793600805e-17,1.4568506619467923e-17,2.484418764817173e-22,6.488239772359843e-32,5.546330509620391e-31,1.4239327708437073e-45,6.48823977235975e-32,4.92992821205829e-34,8.516392046300084e-60,1.437968486092947e-17,5.506108491059351e-35,6.457798114435175e-41,3.7557636331142e-50,6.6931918649699645e-71
