Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2X(216),CH3OX(210),CH2X(34),CHX(35),CX(33),SX(655),CH2OX(623)
0.0,0.045450764422602166,0.0,1.1285424806132116,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1174469879304426e-26,0.045450764422602166,0.0,1.1285424806132116,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,4.6740999364832644e-89,1.5525500363195949e-30,4.7085982728308204e-88,0.0,9.897271989454937e-148,3.273068931391369e-56,3.567834781404938e-98,4.128372061040323e-74,0.0,3.1189335270626314e-52,1.0706201276363326e-47,-1.06643609594489e-160,5.6006831626724443e-42,0.0,6.1355201168545986e-99,-1.884115981994553e-164,1.5525500363195949e-30,5.990342675335357e-126,2.9282469377544746e-19,1.000892131531663e-19,6.364198963538368e-20,7.951475798629836e-20,6.586130757779703e-20,3.202854820901321e-20,1.3789027915882056e-26,2.988771924867943e-38,5.6006833621313674e-42,6.567575508681322e-55,2.988771924867943e-38,1.0617889302454277e-40,1.4706854082342772e-72,3.1613427637342555e-20,2.29355235232843e-43,2.432164846888592e-50,4.172753916314335e-62,1.8325985113841914e-87,1.8423808011537966e-64
5.92885156620524e-26,0.045450764422602166,0.0,1.1285424806132116,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,7.063499824016102e-88,4.3471401016948665e-30,7.115633709913618e-87,0.0,8.795540823388563e-144,4.946259704589017e-55,4.23590073497758e-97,2.4935367248683553e-73,1.8525065347172815e-110,1.8838358503458294e-51,2.9977363573817313e-47,-1.0664360959448899e-160,1.5681912855490206e-41,1.5518639547325406e-116,1.032453372318309e-97,1.2391588187969161e-160,4.3471401016948665e-30,1.8834595902947092e-124,8.199091425712516e-19,2.8024979682886564e-19,1.781975709790743e-19,2.2264132236163543e-19,1.8441166121783166e-19,8.967993498523699e-20,3.860927816456626e-26,1.8052182426202386e-37,1.56819140602221e-41,7.797025643906469e-54,1.8052182426202386e-37,6.413205138695759e-40,2.276842621389959e-71,8.851759738455915e-20,1.3853054789625451e-42,2.887465835472719e-49,9.101816463795997e-61,2.032992482914694e-85,1.1127980038970225e-63
1.3551660722754831e-25,0.045450764422602166,0.0,1.1285424806132116,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,7.598590784745078e-87,9.936320232445408e-30,7.65467404019437e-86,0.0,6.374005142361586e-142,5.320959603275602e-54,4.159168185372913e-96,1.2005305953505262e-72,2.1209309509722404e-109,9.069858696698133e-51,6.851968816872528e-47,-1.06643609594489e-160,3.5844372241155174e-41,1.7767258747039953e-115,1.6238664788908503e-96,9.034882332877364e-159,9.936320232445408e-30,4.201894737518223e-123,1.874078040162853e-18,6.405709641802643e-19,4.0730873366645556e-19,5.088944511123095e-19,4.215123684979009e-19,2.0498270853768456e-19,8.824977866232063e-26,8.691348757515983e-37,3.5844378041420644e-41,7.655166012918951e-53,8.691348757515983e-37,3.087682209173766e-39,2.5780506454318344e-70,2.0232593687899236e-19,6.669648112914105e-42,2.834930506197914e-48,1.772232077569885e-59,1.8136079311750615e-83,5.357643369757236e-63
2.8797279035854015e-25,0.045450764422602166,0.0,1.1285424806132116,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,6.984414053090954e-86,2.1114680493946495e-29,7.035964227153177e-85,0.0,4.181397780565663e-140,4.890878250180928e-53,3.679329804485395e-95,5.243032517521211e-72,1.96025436377736e-108,3.9610455793695425e-50,1.4560433735854124e-46,-1.0664360959448897e-160,7.616929101260285e-41,1.6421254296506506e-114,2.513454981107814e-95,5.952196551670439e-157,2.1114680493946495e-29,7.869683810716416e-122,3.982415835346028e-18,1.3612132988830616e-18,8.655310590412181e-19,1.0814007086136578e-18,8.957137830580392e-19,4.355882556425797e-19,1.8753077965937326e-25,3.7957403445822886e-36,7.616931634388605e-41,6.770907646430097e-52,3.7957403445822886e-36,1.3484719414324239e-38,2.6077103290715204e-69,4.299426158678588e-19,2.912809288879135e-41,2.5074629079445563e-47,3.1304905239073657e-58,1.364394251464039e-81,2.3398236174675522e-62
5.928851566205239e-25,0.045450764422602166,0.0,1.1285424806132116,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,5.975313269603315e-85,4.347140101694867e-29,6.01941552884874e-84,0.0,2.6809348101469635e-138,4.18424917636815e-52,3.093694138151704e-94,2.188862866763579e-71,1.6780306641515582e-107,1.6536585560486075e-49,2.9977363573817313e-46,-1.0664360959448798e-160,1.568191285559693e-40,1.4057037067510945e-113,3.9225205919681993e-94,3.826367161369152e-155,4.347140101694866e-29,1.3592921730868023e-120,8.199091425712269e-18,2.8024979682886565e-18,1.781975709790743e-18,2.2264132236163545e-18,1.8441166121783158e-18,8.967993498523699e-19,3.8609278165965407e-25,1.584646874564984e-35,1.568192343090902e-40,5.691355854615094e-51,1.5846468745649833e-35,5.629604908347832e-38,2.638505701378445e-68,8.851759738455916e-19,1.2160394784859704e-40,2.1076719438118983e-46,5.260709293031477e-57,9.45200829823694e-80,9.76830300774079e-62
1.2027098891444913e-24,0.045450764422602166,0.0,1.1285424806132116,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,4.940504562537012e-84,8.8184842062953e-29,4.976969163364193e-83,0.0,1.7121467735144915e-136,3.459618079709116e-51,2.538029906570009e-93,8.942219019095781e-71,1.3875236138776685e-106,6.755734776958743e-49,6.08112232497437e-46,-1.0664360959445486e-160,3.181188036445864e-40,1.162342935025382e-112,6.183141851023554e-93,2.4472927957349953e-153,8.818484206295299e-29,2.2584842755177655e-119,1.6632442606444308e-17,5.685067307099846e-18,3.614865011289793e-18,4.516438253621747e-18,3.7409222704188666e-18,1.8192215382719503e-18,7.832167856849179e-25,6.473799540140962e-35,3.181192356805917e-40,4.666117386850846e-50,6.473799540140958e-35,2.2998772946267713e-37,2.8555826969834324e-67,1.7956426898010573e-18,4.967909384114256e-40,1.7279939851539443e-45,8.624930519670004e-56,6.290942022348221e-78,3.990670510556606e-61
2.4223593541924263e-24,0.045450764422602166,0.0,1.1285424806132116,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,4.017536260431741e-83,1.7761172415496167e-28,4.047188668282795e-82,0.0,1.0937084929900374e-134,2.813303944666457e-50,2.058006495206818e-92,3.614587901299733e-70,1.1283205214774816e-105,2.7307760117526337e-48,1.2247894260159647e-45,-1.0664360959336993e-160,6.407181538293576e-40,9.452058137722864e-112,9.813007292765886e-92,1.56455067776608e-151,1.776117241549616e-28,3.681899381092923e-118,3.3499144967906626e-17,1.1450205984722224e-17,7.280643614287893e-18,9.096488313632534e-18,7.534533586899963e-18,3.664065915111111e-18,1.5774647938342537e-24,2.616813281274278e-34,6.407199001879677e-40,3.7787428371346315e-49,2.6168132812742747e-34,9.296471744284623e-37,3.4183291148133117e-66,3.616576121711989e-18,2.008101394226441e-39,1.3993697717545088e-44,1.396857690131193e-54,4.105364710067274e-76,1.6130928257188757e-60
4.861658284288296e-24,0.045450764422602166,0.0,1.1285424806132116,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,3.2402885392843194e-82,3.56465488338979e-28,3.264204280524501e-81,0.0,6.991636573860921e-133,2.2690315415659125e-49,1.660719005090537e-91,1.4534098975774898e-69,9.100323042718723e-105,1.098033023936508e-47,2.45814381305302e-45,-1.0664360955824624e-160,1.2859168542290475e-39,7.623435082010345e-111,1.5634467327933845e-90,1.00056213364078e-149,3.564654883389788e-28,5.946277335317225e-117,6.723254969082423e-17,2.298048333996698e-17,1.4612200820284098e-17,1.8256588433654104e-17,1.512175621986213e-17,7.353754668789431e-18,3.165960810528161e-24,1.052209111237459e-33,1.2859238762602116e-39,3.0414609785230114e-48,1.0522091112374563e-33,3.7380704015401836e-36,4.5252904743027286e-65,7.258442985533852e-18,8.074431022000045e-39,1.1263271962912606e-43,2.248555663031719e-53,2.6530499633831145e-74,6.486175306091321e-60
9.740256144480036e-24,0.045450764422602166,0.0,1.1285424806132114,0.031075110263184432,0.3194096818763551,0.35048479213953954,0.20701222018021492,0.09201819554070585,0.0,2.6027759692032426e-81,7.141730167070138e-28,2.621986393283353e-80,0.0,4.47181367470982e-131,1.8226095259180226e-48,1.3394532849749728e-90,5.828823742750462e-69,-1.7307848667273067e-102,4.403603533258568e-47,4.92485258712713e-45,-1.066436363254097e-160,2.5763142551490187e-39,-1.4498964498824742e-108,2.4961131697849924e-89,6.400869279816694e-148,7.141730167070128e-28,9.55846714881912e-116,1.3469935913663122e-16,4.6041038050456487e-17,2.92753152322765e-17,3.6576788673697244e-17,3.0296201485786346e-17,1.4733132176146065e-17,6.342952845496911e-24,4.219829148089496e-33,2.5763424166346662e-39,2.440580890742835e-47,4.219829148089475e-33,1.499133420728902e-35,6.475726181290907e-64,1.4542176713177577e-17,3.2381627688478204e-38,9.037948643574586e-43,3.608561046965959e-52,1.7061809761779853e-72,2.601246399428949e-59
