Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2X(216),CH3OX(210),CH2X(34),CHX(35),CX(33),SX(655),CH2OX(623),CHOX(653)
0.0,0.07782336798655136,0.0,1.93235422710607,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6360620613101253e-26,0.07782336798655136,0.0,1.93235422710607,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,9.884255384607101e-71,1.7043055862381474e-23,1.8154141106345166e-68,0.0,1.0836809557152382e-116,1.419564698172254e-48,7.06094322956957e-76,1.204829530299892e-56,4.138988513970809e-83,8.708352027993245e-44,4.0620570108489776e-33,-1.0892997166970545e-129,4.683419002437472e-29,3.3412857299122025e-86,1.2618986156200993e-76,2.420463433735252e-126,1.7043055866443533e-23,1.796397418289571e-100,2.960597312122973e-19,1.0119496809275401e-19,6.434926408131258e-20,8.039321265332544e-20,6.658892311085552e-20,3.2382389789681296e-20,4.191198420625375e-24,2.134020854669241e-36,4.6834190024374895e-29,4.235538641299061e-52,2.134020854669241e-36,2.546483701883761e-38,9.772300348599024e-65,3.1962683093210686e-20,2.392336398991355e-38,1.960905051971138e-47,3.453907230572444e-55,2.7413249751506643e-81,1.531720107021772e-53,2.3084996682553524e-66
4.580973771668351e-26,0.07782336798655136,0.0,1.93235422710607,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.4937086737288263e-69,4.7720556414668123e-23,2.74345380399738e-67,0.0,6.592561073529283e-115,8.57418490115494e-48,8.382751803464774e-75,7.277170363011345e-56,6.254839441184841e-82,5.259844624907921e-43,1.1373759630377138e-32,-1.0892431756677185e-129,1.3113573206824926e-28,5.049350994295582e-85,1.4981261100690578e-75,1.472486254869306e-124,4.7720556426041883e-23,5.648160828982809e-99,8.289672473944267e-19,2.8334591065971117e-19,1.801779394276753e-19,2.2510099542931127e-19,1.8644898471039535e-19,9.067069141110763e-20,1.1735355577757959e-23,1.288948596220222e-35,1.3113573206825635e-28,5.0284314749502464e-51,1.2889485962202215e-35,1.5380761559385473e-37,1.470891604632909e-63,8.949551266098994e-20,1.4449711838471787e-37,2.327986476010296e-46,4.1007370546481237e-54,1.6677850962929907e-79,9.251589446410048e-53,2.74065080615236e-65
1.04707971923848e-25,0.07782336798655136,0.0,1.93235422710607,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.6068636293728223e-68,1.090755575192414e-22,2.9512824113837613e-66,0.0,2.9761974873577084e-113,4.1281149825767444e-47,8.230235432330772e-74,3.503644274112086e-55,6.728670846100799e-81,2.532388769740436e-42,2.599716486943346e-32,-1.0864626381022676e-129,2.997388161559984e-28,5.431861384547585e-84,1.4708692463527517e-74,6.647507487368515e-123,1.090755575452386e-22,1.2600736089304947e-97,1.8947822797586617e-18,6.476477957936254e-19,4.118352901204008e-19,5.145165609812828e-19,4.2616910790947433e-19,2.072472946539603e-19,2.682366989205076e-23,6.205732645378153e-35,2.997388161560458e-28,4.936943840298184e-50,6.205732645378152e-35,7.405174605089309e-37,1.5802876353016105e-62,2.0456117179654839e-19,6.956914231112863e-37,2.2856309233390564e-45,4.0266752785428223e-53,7.530187629571265e-78,4.454242071217129e-52,2.6907872133172143e-64
2.2250444033817705e-25,0.07782336798655136,0.0,1.93235422710607,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.4769845136184784e-67,2.3178555972838803e-22,2.7127369972458247e-65,0.0,1.1237557550864387e-111,1.8028685401802575e-46,7.279550040121589e-73,1.5301335034808626e-54,6.184807755462857e-80,1.1059607075551424e-41,5.52439753475461e-32,-9.778414327511658e-130,6.369449843314971e-28,4.9928164397019756e-83,1.3009674521009093e-73,2.5099728385028317e-121,2.3178555978363203e-22,2.3599784135933174e-96,4.026412344487037e-18,1.3762515660614533e-18,8.751499915058523e-19,1.0933476920852258e-18,9.056093543076298e-19,4.404005011396658e-19,5.700029852074693e-23,2.7102064854299363e-34,6.36944984331731e-28,4.3666709176336796e-49,2.7102064854299346e-34,3.2340343014040884e-36,1.4518207394339451e-61,4.346924900676653e-19,3.0382672089932234e-36,2.0216146613793084e-44,3.562522320659753e-52,2.8440206581241356e-76,1.945284535915393e-51,2.3799708179819662e-63
4.58097377166835e-25,0.07782336798655136,0.0,1.93235422710607,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.2635913472680523e-66,4.772055641466813e-22,2.3208036140717306e-64,0.0,3.898832226973516e-110,7.526723699222211e-46,6.118900442372036e-72,6.388006169650027e-54,5.291233247376495e-79,4.617168245242019e-41,1.1373759630377139e-31,2.8485944280159343e-129,1.311357320682496e-27,4.271459581013687e-82,1.0935419707898416e-72,8.708265210392e-120,4.772055642604188e-22,4.076275823589687e-95,8.289672473943405e-18,2.8334591065971066e-18,1.801779394276757e-18,2.251009954293111e-18,1.864489847103931e-18,9.06706914111077e-19,1.1735355577858145e-22,1.1314578571456315e-33,1.3113573206835267e-27,3.6704500179315026e-48,1.1314578571456303e-33,1.3501456587493113e-35,1.2417826142286331e-60,8.949551266098993e-19,1.2684167427919986e-35,1.6992889235986606e-43,2.996152593809141e-51,9.872540583020496e-75,8.121180007409115e-51,2.000508876510729e-62
9.29283250824151e-25,0.07782336798655136,0.0,1.93235422710607,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,1.0447617613820176e-65,9.680455729832678e-22,1.9188853080559907e-63,0.0,1.2984748970047065e-108,3.074995912989497e-45,5.016644283929929e-71,2.6097089558107776e-53,4.374893971349254e-78,1.886263882671449e-40,2.3072483821622193e-31,1.3120731029341834e-127,2.6601819933845006e-27,3.531725383511364e-81,8.965524949993515e-72,2.9002181866192584e-118,9.68045573213992e-22,6.772793246171862e-94,1.6816192732854618e-17,5.747874187668406e-18,3.655038199818574e-18,4.566334478708876e-18,3.782250832696494e-18,1.8393197400539006e-18,2.3806007029601927e-22,4.6223745320477604e-33,2.660181993388818e-27,3.0092566839497776e-47,4.622374532047751e-33,5.515785557717549e-35,1.0266204208353242e-59,1.8154803996943668e-18,5.18189619860066e-35,1.3931797087121635e-42,2.4591129705150366e-50,3.2915065642934316e-73,3.317767020596236e-50,1.640138042614819e-61
1.871654998138783e-24,0.07782336798655136,0.0,1.93235422710607,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,8.495829133916214e-65,1.9497255906564407e-21,1.5604056644704228e-62,0.0,4.238444743627929e-107,1.243030169359784e-44,4.06260862727329e-70,1.0548860855950097e-52,3.5575911211008346e-77,7.62458020140543e-40,4.646993220411231e-31,4.335776935651705e-126,5.357831338788535e-27,2.8719404284605997e-80,7.260526185453296e-71,9.466810130498633e-117,1.949725591121139e-21,1.1041362355537534e-92,3.3869233250670946e-17,1.1576704349810969e-17,7.361555810902233e-18,9.196983527540392e-18,7.61777280388146e-18,3.704545391939556e-18,4.794730993379703e-22,1.8684376912639436e-32,5.3578313388062035e-27,2.436974082910746e-46,1.8684376912639354e-32,2.229568712290337e-34,8.347877805664346e-59,3.656530945863302e-18,2.0946052383576454e-34,1.1282330202860782e-41,1.9958040174549582e-49,1.0767125559615426e-71,1.3410944762485478e-49,1.3282263103531806e-60
3.756398492768048e-24,0.07782336798655136,0.0,1.93235422710607,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,6.852193979050276e-64,3.913085626002786e-21,1.2585236979726843e-61,0.0,1.3697962480026466e-105,4.998713722816582e-44,3.26994089577269e-69,4.241650554601981e-52,2.86932612175699e-76,3.065810164863134e-39,9.326482896909254e-31,1.4045557088585544e-124,1.0753130029596709e-26,2.3163239987404947e-79,5.84392185357767e-70,3.059519099304484e-115,3.913085626935432e-21,1.7831829696783325e-91,6.79753142862792e-17,2.3234364674095953e-17,1.4774591033069664e-17,1.8458281625203355e-17,1.5288816746250762e-17,7.43499669571089e-18,9.62299157450173e-22,7.512905779697242e-32,1.0753130029668182e-26,1.9614887538801956e-45,7.512905779697178e-32,8.964997732425325e-34,6.73270167491732e-58,7.338632038201173e-18,8.422315084908412e-34,9.081000429788152e-41,1.6134001878605093e-48,3.494679969057675e-70,5.392481905459653e-49,1.069072087638972e-59
7.525885482026576e-24,0.07782336798655136,0.0,1.9323542271060699,0.031075110263184432,0.3194096818763551,0.35048479213953954,0.20701222018021492,0.09201819554070585,0.0,5.504054842267331e-63,7.839805696695478e-21,1.010914675666405e-60,0.0,4.405086117000486e-104,2.0051441775355823e-43,2.6239216890654837e-68,1.7010915848532342e-51,2.30479878164343e-75,1.229526997821149e-38,1.8685462249905294e-30,4.521627841431425e-123,2.154372741121346e-26,1.860597402891058e-78,4.689409306225609e-69,9.839016972423007e-114,7.839805698564015e-21,2.8664145438670054e-90,1.3618747635739807e-16,4.6549685322665355e-17,2.960066147740495e-17,3.698087782052903e-17,3.0630904630986814e-17,1.4895899303253653e-17,1.927951273787782e-21,3.013011240582367e-31,2.1543727411500967e-26,1.5739711947419757e-44,3.0130112405823144e-31,3.595365060267129e-33,5.408016950130438e-57,1.470283422287691e-17,3.377724681793055e-33,7.286930208411244e-40,1.3058917643357841e-47,1.1334399098918218e-68,2.1626264286909427e-48,8.578630225047337e-59
