Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2X(216),CH3OX(210),CH2X(34),CHX(35),CX(33),SX(655),CH2OX(623),CHOX(653),H2NX(201)
0.0,0.10504946994334764,0.0,2.608378338693322,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.413027823932719e-26,0.10504946994334764,0.0,2.608378338693322,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,9.594339310776333e-65,3.068629117476228e-21,1.0125612475543055e-61,0.0,7.069303770191813e-107,1.3488716454102474e-43,3.2918107728259217e-68,1.436994853059906e-50,8.97960899381341e-74,8.19440554092757e-41,4.0029114235104617e-28,-5.052014629355726e-119,2.1755538178954263e-24,1.9444497700344044e-75,7.068130744434145e-69,2.9241498061692004e-114,3.06862951776738e-21,1.380490307970998e-91,2.970791700511507e-19,1.0154341832051e-19,7.120402291683457e-20,8.067003504664267e-20,6.681821243088119e-20,3.24938938625633e-20,1.6280484488830735e-20,9.562840117507002e-36,2.175553817885609e-24,9.12242705747956e-51,2.5670877259022494e-35,9.154058245851935e-35,2.4692293904932448e-61,3.207274196682303e-20,1.4862518583399864e-36,2.1514474883704188e-46,2.7199165158271365e-52,7.120698344395938e-79,1.4886504462358978e-49,1.9377336214591524e-62,2.2850796461180497e-20
3.9564779070116135e-26,0.10504946994334764,0.0,2.608378338693322,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.4498965579339416e-63,8.59216152893344e-21,1.5301825579878732e-60,0.0,4.30060241036476e-105,8.14718475452673e-43,3.908037749505787e-67,8.679448912481832e-50,1.3569985111450825e-72,4.949420946720251e-40,1.1208151985829293e-27,1.2525801100107877e-118,6.0915506901071944e-24,2.9384524924759965e-74,8.391284820907883e-68,1.778903002546478e-112,8.592162649748665e-21,4.340383165476187e-90,8.318216761432147e-19,2.843215712974277e-19,1.993712641671374e-19,2.258760981305994e-19,1.8709099480646696e-19,9.098290281517741e-20,4.55853565687258e-20,5.775955430974236e-35,6.091550690079707e-24,1.0830145402639736e-49,1.5505209864449588e-34,5.529051180494542e-34,3.1691050441133756e-60,8.980367750710448e-20,8.97696122311879e-36,2.554198457863978e-45,3.2290873357137275e-51,4.331871554747779e-77,8.991448695263314e-49,2.300477355395951e-61,6.398223009130534e-20
9.043378073169402e-26,0.10504946994334764,0.0,2.608378338693322,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.559732554550543e-62,1.9639226351847857e-20,1.646100569706972e-59,0.0,1.9414975012113114e-103,3.9225187692152154e-42,3.836934636826376e-66,4.178781032698206e-49,1.4597970749062587e-71,2.3829331313017366e-39,2.5618633110466952e-27,8.76956065792671e-117,1.3923544434530728e-23,3.161053102149536e-73,8.238613199046881e-67,8.030818487323316e-111,1.9639228913711232e-20,9.683107964349934e-89,1.9013066883273115e-18,6.498778772512615e-19,4.557057466677454e-19,5.162882242985121e-19,4.27636559557637e-19,2.0796092072040635e-19,1.0419510072851488e-19,2.7808739061710478e-34,1.3923544434467904e-23,1.0633100978198184e-48,7.465091106923741e-34,2.6620001378937035e-33,3.215576773112157e-59,2.0526554858766736e-19,4.32202040217059e-35,2.507727191423475e-44,3.170342280031737e-50,1.9556170395322666e-75,4.3289954976517215e-48,2.258622309171688e-60,1.4624509735155482e-19
1.921717840548498e-25,0.10504946994334764,0.0,2.608378338693322,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.4336629358951044e-61,4.1733355997676695e-20,1.5130500217190259e-58,0.0,7.330725153819859e-102,1.7130670148401547e-41,3.3937252343950067e-65,1.8249834633860803e-48,1.3418050127275502e-70,1.0406895036978009e-38,5.4439595359742276e-27,3.464577057836841e-115,2.95875319233778e-23,2.905552402367015e-72,7.286960079183672e-66,3.0322842576735004e-109,4.1733361441636364e-20,1.8135353777771444e-87,4.040276712695384e-18,1.3809904891589234e-18,9.683747116689717e-19,1.0971124766343356e-18,9.08727689059971e-19,4.41916956530867e-19,2.214145890480889e-19,1.214480694923401e-33,2.9587531923244326e-23,9.404857399179151e-48,3.260201411895857e-33,1.162565397223155e-32,2.88549609797813e-58,4.36189290748793e-19,1.887539858146957e-34,2.218056300466088e-43,2.804141068442754e-49,7.38406175061757e-74,1.8905860667172438e-47,1.9977258543772174e-59,3.1077083187205298e-19
3.9564779070116135e-25,0.10504946994334764,0.0,2.608378338693322,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.2265288254504523e-60,8.592161528933437e-20,1.2944461487578562e-57,0.0,2.543369104913915e-100,7.151717690465324e-41,2.8526305468350065e-64,7.618946710923621e-48,1.1479424382383141e-69,4.344673817799793e-38,1.1208151985829293e-26,1.2242311964522451e-113,6.091550690107194e-23,2.485761252614747e-71,6.125129025477098e-65,1.0520402738980752e-107,8.592162649748663e-20,3.1324284092183456e-86,8.318216761431038e-18,2.8432157129742237e-18,1.993712641671463e-18,2.2587609813059734e-18,1.8709099480646142e-18,9.098290281517997e-19,4.558535656872201e-19,5.0702178303023195e-33,6.091550690079725e-23,7.90534932917891e-47,1.3610699122733715e-32,4.8534816819503273e-32,2.441829958386366e-57,8.980367750710441e-19,7.880107335415174e-34,1.8644099663716558e-42,2.3570650487411166e-48,2.5618906456012477e-72,7.892824665921602e-47,1.6792089526143663e-58,6.398223009130459e-19
8.025998039937844e-25,0.10504946994334764,0.0,2.608378338693322,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,1.0141177516243934e-59,1.7429813387264973e-19,1.0702731079271804e-56,0.0,8.470481035964556e-99,2.9217101305854506e-40,2.3387588710404934e-63,3.112588331521878e-47,9.491410069656078e-69,1.7749410177870723e-37,2.273653688553942e-26,4.112916185083913e-112,1.2357145685646022e-22,2.0552754735713068e-70,5.021750850682636e-64,3.5037333640881275e-106,1.7429815660918718e-19,5.204574205119427e-85,1.687409685890039e-17,5.767666160604731e-18,4.044388501676605e-18,4.582057990649213e-18,3.795274466073803e-18,1.8456531713937107e-18,9.247315189654162e-19,2.0713494208125773e-32,1.235714568559034e-22,6.481283001149872e-46,5.560414697813299e-32,1.9828056322842017e-31,2.0084846341311627e-56,1.8217317437155454e-18,3.219280960419172e-33,1.5285559299130702e-41,1.93248978388068e-47,8.532276062034376e-71,3.224476412546913e-46,1.3767169528812388e-57,1.2979252389950183e-18
1.6165038305790306e-24,0.10504946994334764,0.0,2.608378338693322,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,8.246637135795628e-59,3.510511710392805e-19,8.703283167204295e-56,0.0,2.7649060999745756e-97,1.1810020291308608e-39,1.8939875702954064e-62,1.2581579696068942e-46,7.718257039294982e-68,7.17459538254803e-37,4.5793306684959673e-26,1.3482710898473937e-110,2.4888335676723672e-22,1.6713158819569225e-69,4.066744054200116e-63,1.1436769307424605e-104,3.5105121683258824e-19,8.48476752608575e-84,3.3985857053831253e-17,1.161656705586537e-17,8.145740221687524e-18,9.228652009335552e-18,7.644003502091792e-18,3.717301457877713e-18,1.8624874255215402e-18,8.372725539203772e-32,2.4888335676611704e-22,5.2487110129406376e-45,2.2476085242382536e-31,8.014817389036614e-31,1.6291258601680186e-55,3.6691216810045425e-18,1.3012848298755663e-32,1.2378642169864424e-40,1.5650215497608568e-46,2.7851492057363025e-69,1.3033849208862299e-45,1.1149010822346471e-56,2.6141311151589096e-18
3.244311883749523e-24,0.10504946994334764,0.0,2.608378338693322,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,6.651211604965943e-58,7.045572453725419e-19,7.01951317243559e-55,0.0,8.935698818751503e-96,4.7487578619254406e-39,1.5244459699427689e-61,5.058997859991519e-46,6.225053915254631e-67,2.884873248305697e-36,9.190684628380018e-26,4.366601244188912e-109,4.9950715658878965e-22,1.34797680637409e-68,3.2732694419439876e-62,3.6961662472136946e-103,7.0455733727939025e-19,1.370292060603084e-82,6.820937744366163e-17,2.3314368846385148e-17,1.6348443661711895e-17,1.8521840046707655e-17,1.5341461574126206e-17,7.460598030846442e-18,3.737999238632722e-18,3.3666361147294195e-31,4.995071565865494e-22,4.2246192507528326e-44,9.037535022547833e-31,3.222722821683083e-30,1.312302029431155e-54,7.363901555582517e-18,5.232409018483443e-32,9.963408046560121e-40,1.2597318516353249e-45,9.001587587008373e-68,5.2408534418719443e-45,8.973693851748576e-56,5.246542867486479e-18
6.499927990090508e-24,0.10504946994334764,0.0,2.608378338693322,0.031075110263184432,0.3194096818763551,0.35048479213953954,0.20701222018021492,0.09201819554070585,0.0,5.342614869512417e-57,1.4115693940390647e-18,5.638454717602488e-54,0.0,2.873586872764462e-94,1.9044648134848838e-38,1.2232718849051762e-60,2.028884411066161e-45,5.000301837686937e-66,1.1569632016802249e-35,1.841339254814812e-25,1.4057112343992744e-107,1.000754756231895e-21,1.0827682770031116e-67,2.626592629408658e-61,1.188631693175302e-101,1.4115695781729939e-18,2.20270433680573e-81,1.3665641822319703e-16,4.670997242741871e-17,3.275385054177077e-17,3.7108216121449595e-17,3.0736377718188764e-17,1.4947191176786804e-17,7.48902286485081e-18,1.3501716584872342e-30,1.000754756227435e-21,3.389990891502141e-43,3.6244557576749724e-30,1.2924559912952166e-29,1.053455487337801e-53,1.4753461304738385e-17,2.098430001632638e-31,7.995007340565097e-39,1.0109619666913023e-44,2.89507578337266e-66,2.1018166330416183e-44,7.200824172375203e-55,1.0511366372140763e-17
