Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2X(216),CH3OX(210),CH2X(34),CHX(35),CX(33),SX(655),CH2OX(623),CHOX(653),H2NX(201),H3NX(202)
0.0,0.10054149576763871,0.0,2.496445339910469,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4585608170063371e-26,0.10054149576763871,0.0,2.496445339910469,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.8320660986476263e-65,1.6520928795343884e-21,1.4970925805158303e-62,0.0,4.5165796779478825e-108,3.1822837781321034e-44,3.72698328748011e-69,2.5297411747704918e-51,6.793026870802429e-75,3.522512901846385e-41,9.640150585328064e-29,-1.98511226828276e-120,5.572522825689639e-25,9.130988513983668e-77,7.791677854707464e-70,1.0039278275141575e-115,1.6520929759358956e-21,1.0977932060640716e-92,3.00000355296583e-19,1.0254189672381765e-19,7.189626087724672e-20,8.146326506706508e-20,6.747523721065834e-20,3.281340695162171e-20,1.643265822981222e-20,8.075338261442998e-36,5.572522825675673e-25,6.639777421782497e-51,2.0227987388488863e-35,9.42712723000901e-35,7.433273881953862e-62,3.2388113861116077e-20,8.970583238492294e-37,1.637032997735518e-46,1.2079157095486874e-52,3.818012720074714e-79,4.679402631465691e-50,6.287320314869051e-63,2.307548878631822e-20,1.3893302730223697e-20
4.0839702876177446e-26,0.10054149576763871,0.0,2.496445339910469,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.7686182901911455e-64,4.625860062696288e-21,2.2624063084601217e-61,0.0,2.74765582036598e-106,1.9220994093955427e-43,4.424674558910303e-68,1.5279636695613773e-50,1.0265622207156583e-73,2.1275977927152172e-40,2.699242163891858e-28,2.1154572181806473e-121,1.5603063911930987e-24,1.3798749842332078e-75,9.250279951757599e-69,6.107382875734659e-114,4.625860332620509e-21,3.4516085493183896e-91,8.400009948304249e-19,2.8711731082668915e-19,2.0130953045629154e-19,2.280971421877821e-19,1.8893066418984307e-19,9.187753946454093e-20,4.601144304347395e-20,4.877504309911575e-35,1.560306391189189e-24,7.882743755140186e-50,1.2217704382647277e-34,5.693984846925416e-34,9.893304819001717e-61,9.068671881112502e-20,5.4182322750946276e-36,1.943485574596078e-45,1.4340394532683923e-51,2.322686453726799e-77,2.8263591894048657e-49,7.4643066778115415e-62,6.461136860169102e-20,3.8901247644626276e-20
9.334789228840559e-26,0.10054149576763871,0.0,2.496445339910469,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.978353217441783e-63,1.0573394429020086e-20,2.433793467191261e-60,0.0,1.2404231786298707e-104,9.254081337761813e-43,4.344171719928403e-67,7.356487336232592e-50,1.1043287923326043e-72,1.0243467518569288e-39,6.169696374609961e-28,1.0823734807671808e-118,3.566414608441369e-24,1.4844065407412924e-74,9.081979715363883e-68,2.757164570567034e-112,1.0573395045989734e-20,7.700334769560419e-90,1.920002273898078e-18,6.562681390324311e-19,4.601360696143835e-19,5.213648964292157e-19,4.318415181482111e-19,2.1000580449037985e-19,1.051690126707963e-19,2.3483083664276306e-34,3.566414608432435e-24,7.739324562829691e-49,5.882298732572567e-34,2.741408598486579e-33,1.0181525515753268e-59,2.0728392871114289e-19,2.6086456043214814e-35,1.908125661182379e-44,1.4079525120157388e-50,1.0485746802790768e-75,1.3607702852296021e-48,7.328500559008263e-61,1.4768312823243662e-19,8.891713747343111e-20
1.9836427111286186e-25,0.10054149576763871,0.0,2.496445339910469,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.7376197319134013e-62,2.2468463161667686e-20,2.2370755020434296e-59,0.0,4.683601908661517e-103,4.0415005128319873e-42,3.84237069014657e-66,3.212771291958525e-49,1.0150684192502609e-71,4.4735913853449094e-39,1.3110604796046167e-27,4.328246099843608e-117,7.57863104293791e-24,1.3644253516675474e-73,8.032908217476042e-67,1.0410528816613331e-110,2.2468464472728185e-20,1.442186437353576e-88,4.080004832033261e-18,1.3945697954439106e-18,9.777891479305768e-19,1.1079004049120813e-18,9.176632260649417e-19,4.462623345420597e-19,2.234841519254366e-19,1.0255679592032674e-33,7.578631042918938e-24,6.845344930760905e-48,2.56895439833809e-33,1.1972451582111008e-32,9.191394840411448e-59,4.404783485111785e-19,1.1392640698087077e-34,1.687715537291314e-43,1.2453252979444626e-49,3.959241151967588e-74,5.942841341955001e-48,6.481975751810869e-60,3.138266474939277e-19,1.8894891713103948e-19
4.0839702876177444e-25,0.10054149576763871,0.0,2.496445339910469,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.3420913174524463e-61,4.625860062696288e-20,1.913865190531174e-58,0.0,1.6249590808864207e-101,1.6872469622889095e-41,3.229744085352838e-65,1.3412687708633151e-48,8.684124035311339e-71,1.8676363405589527e-38,2.6992421638918583e-27,1.5298791865934668e-115,1.5603063911930988e-23,1.167294614441452e-72,6.752143391585355e-66,3.611896072547649e-109,4.625860332620509e-20,2.4910175604190938e-87,8.40000994830314e-18,2.871173108266852e-18,2.0130953045630006e-18,2.2809714218778054e-18,1.8893066418983798e-18,9.187753946454276e-19,4.601144304346995e-19,4.28154434621714e-33,1.5603063911891985e-23,5.753924877278e-47,1.072487891337683e-32,4.998262857350383e-32,7.799648095837553e-58,9.068671881112496e-19,4.756203219730291e-34,1.4186265995829195e-42,1.046783138523148e-48,1.3736604231112053e-72,2.48101927519732e-47,5.448491187728626e-59,6.461136860169096e-19,3.8901247644625106e-19
8.284625440595996e-25,0.10054149576763871,0.0,2.496445339910469,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,1.9364863928750789e-60,9.383887555755328e-20,1.5824207500551675e-57,0.0,5.411792210798159e-100,6.892954827810756e-41,2.64793933422664e-64,5.479520574199877e-48,7.180201686888503e-70,7.629903845915336e-38,5.4756055324663414e-27,5.139812568291351e-114,3.1651929649917153e-23,9.651417604847572e-72,5.535815125593582e-65,1.202912200430293e-107,9.383888103315889e-20,4.1388622195531266e-86,1.7040020180840937e-17,5.824379733912663e-18,4.0837076178279975e-18,4.6271134558092256e-18,3.8325934735651655e-18,1.8638015148521952e-18,9.333749874531544e-19,1.7491505687816514e-32,3.1651929649838254e-23,4.717415251891052e-46,4.381462980296271e-32,2.0419534665285372e-31,6.423961779816242e-57,1.839644867311391e-18,1.9430642005142047e-33,1.1630757928670777e-41,8.582360500307045e-48,4.574967600344589e-71,1.0135773275810905e-46,4.4670022596617454e-58,1.3106877630628726e-18,7.891395950766536e-19
1.6685935746552497e-24,0.10054149576763871,0.0,2.496445339910469,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,1.5747185743338867e-59,1.8899942541873405e-19,1.2867982737661167e-56,0.0,1.7664991282199856e-98,2.7862429154753924e-40,2.144369925539982e-63,2.2149098260879544e-47,5.838820766005844e-69,3.0841291261857933e-37,1.1028332269615306e-26,1.6849024270828505e-112,6.374966112588947e-23,7.848372509574807e-71,4.483046656273602e-64,3.926505807249269e-106,1.8899943644706649e-19,6.747389430960356e-85,3.43200406459087e-17,1.1730792985204003e-17,8.22493224435859e-18,9.319397523671957e-18,7.719167136898378e-18,3.753853755265859e-18,1.879896101489782e-18,7.070346264130323e-32,6.37496611257315e-23,3.8202851782312083e-45,1.7710573902016893e-31,8.253902391977174e-31,5.21399480146526e-56,3.705200225711671e-18,7.854176120539778e-33,9.418889265273988e-41,6.950541807418907e-47,1.4934140827903673e-69,4.097041615134172e-46,3.617494244711695e-57,2.639835917154796e-18,1.589393832337376e-18
3.34885563584655e-24,0.10054149576763871,0.0,2.496445339910469,0.03107511026318443,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,1.2700675782983228e-58,3.7932052514109564e-19,1.0378494252612207e-55,0.0,5.709020035662505e-97,1.1203363156710008e-39,1.725975472395864e-62,8.906054995426505e-47,4.7092204735921576e-68,1.2401147571466229e-36,2.2133785743913236e-26,5.456838129309957e-111,1.279451240778341e-22,6.32999675579193e-70,3.6083460326119795e-63,1.268978851198432e-104,3.7932054727488164e-19,1.0897051483915158e-83,6.88800815760129e-17,2.3543619487785546e-17,1.6507381497422176e-17,1.8703965659396975e-17,1.5492314463563364e-17,7.533958236093699e-18,3.7729383295619036e-18,2.8429551362944e-31,1.2794512407752074e-22,3.074897868739616e-44,7.121343872067258e-31,3.3188578498313546e-30,4.2013520908942e-55,7.436310942512218e-18,3.158129636209009e-32,7.581141420017269e-40,5.5949219158355816e-46,4.826898763630422e-68,1.6474024139852888e-45,2.911674083003308e-56,5.2981322253386285e-18,3.1899023068584905e-18
6.709379758229151e-24,0.10054149576763871,0.0,2.496445339910469,0.031075110263184425,0.3194096818763551,0.35048479213953954,0.20701222018021492,0.09201819554070585,0.0,1.0201873481270771e-57,7.599627245858187e-19,8.336570990427701e-55,0.0,1.8359353500461605e-95,4.4930520642452044e-39,1.384986619027367e-61,3.571726386211406e-46,3.7827019827847746e-67,4.9734148310394634e-36,4.43446926925091e-26,1.7566840285042e-109,2.5633604998172347e-22,5.084597634242987e-69,2.8954705536414327e-62,4.0808459612629877e-103,7.599627689305116e-19,1.7516691621537082e-82,1.3800016343609597e-16,4.716927249294411e-17,3.307228000355892e-17,3.747310193084523e-17,3.103860911688756e-17,1.5094167197751433e-17,7.55902278570162e-18,1.140152163930459e-30,2.5633604998111043e-22,2.4674118893600064e-43,2.8559774025884703e-30,1.3310104373268314e-29,3.373189905153473e-54,1.4898532376113267e-17,1.2665512044899777e-31,6.083388408702058e-39,4.49040892013018e-45,1.5525429115260225e-66,6.606820498686936e-45,2.3364350807377526e-55,1.061472484170624e-17,6.390919255899399e-18
