Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2X(216),CH3OX(210),CH2X(34),CHX(35),CX(33),SX(655),CH2OX(623),CHOX(653),H2NX(201),H3NX(202),NO2X(213),NO2X(206),SX(544)
0.0,0.11302162890393913,0.0,2.8063270456848084,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.412731362583505e-26,0.11302162890393913,0.0,2.8063270456848084,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.425397913629338e-63,8.325818691647534e-21,2.303952465151915e-60,0.0,6.449089517642822e-105,1.446417921502269e-42,1.1355330831914575e-66,2.382237869368799e-49,5.462015932331062e-72,3.39588670428652e-40,3.837117657425402e-27,-2.2636208088742843e-116,1.9447674755109374e-23,2.606655993192487e-73,2.5489134676190135e-67,6.859254967960694e-112,8.325822528765411e-21,8.769328924011759e-90,3.080810056983941e-19,1.0530391084924966e-19,7.385902656347668e-20,8.365751635368856e-20,6.92927144004423e-20,3.369725147176007e-20,3.02866883585395e-20,1.380877281215292e-35,1.9447674754891055e-23,1.7574658290676564e-50,4.1581009742290343e-35,1.7375210412070857e-34,2.2333012164606066e-60,3.3260502912212365e-20,3.6367902832785885e-36,3.851877611823517e-46,1.1275931486602233e-51,2.3868314519698156e-78,1.0201098411903572e-48,1.3275691540662748e-61,2.369703790931448e-20,1.4267525361321832e-20,2.3257998335626192e-38,1.3385202616590181e-20,8.838323779910043e-66
3.955647815233814e-26,0.11302162890393913,0.0,2.8063270456848084,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.1540613511220288e-62,2.3312292336613094e-20,3.4817329848172117e-59,0.0,3.9232958765881495e-103,8.736364252499625e-42,1.3481048763658973e-65,1.4388716730987544e-48,8.254198476938738e-71,2.051115569389058e-39,1.0743929440791124e-26,1.789305386512179e-115,5.445348931430625e-23,3.9391785369125026e-72,3.0260700688842015e-66,4.172819524329487e-110,2.3312303080543153e-20,2.756937592952676e-88,8.626268159554953e-19,2.948509503778984e-19,2.0680527437773596e-19,2.3424104579032775e-19,1.9401960032123797e-19,9.435230412092848e-20,8.48027274039101e-20,8.340498778540381e-35,5.445348931369494e-23,2.086463432269124e-49,2.511492988434338e-34,1.0494627088890744e-33,2.7495661867696105e-59,9.312940815419462e-20,2.1966213308756252e-35,4.572949100324227e-45,1.33867902424973e-50,1.452026509133819e-76,6.161463440788537e-48,1.576090099707195e-60,6.635170614608055e-20,3.9949071011700975e-20,1.4047830994718216e-37,3.7478567326452505e-20,2.7789105098791523e-64
9.041480720534433e-26,0.11302162890393913,0.0,2.8063270456848084,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.31724090775844e-61,5.328523962654421e-20,3.745489465850362e-58,0.0,1.7711632963471855e-101,4.2061833256660603e-41,1.3235773617709473e-64,6.927547724124467e-48,8.879490060872005e-70,9.875238536065195e-39,2.455755300752257e-26,1.0091447481560373e-113,1.244651184327e-22,4.237588515013181e-71,2.9710135382360174e-65,1.883810198347649e-108,5.328526418409863e-20,6.150440427830034e-87,1.971718436469664e-18,6.739450294351934e-19,4.726977700062594e-19,5.354081046636051e-19,4.434733721628275e-19,2.1566240941926667e-19,1.9383480549464925e-19,4.015591133774098e-34,1.2446511843130275e-22,2.0485021703612667e-48,1.2091757633058055e-33,5.0527111878301257e-33,2.7425670997155088e-58,2.1286721863815907e-19,1.05757861404045e-34,4.489748543000265e-44,1.314323932375326e-49,6.55514630567638e-75,2.966479418179726e-47,1.547414605978762e-59,1.5166104261961265e-19,9.131216231245861e-20,6.7634259160000914e-37,8.566529674617716e-20,6.199596486907554e-63
1.921314653113567e-25,0.11302162890393913,0.0,2.8063270456848084,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.1299436198219774e-60,1.1323113420640644e-19,3.442750110239841e-57,0.0,6.687575603630115e-100,1.8369507705759292e-40,1.1706891874532427e-63,3.0254420940983753e-47,8.1617811673637e-69,4.3127761144438776e-38,5.218480014098546e-26,3.973221584712001e-112,2.644883766694875e-22,3.895073917507687e-70,2.6278278293615877e-64,7.112908872050725e-107,1.1323118639120957e-19,1.151899330432344e-85,4.189901677497867e-18,1.4321331875497733e-18,1.004482761263325e-18,1.1377422224101564e-18,9.423809158459987e-19,4.582826200159483e-19,4.1189896167611947e-19,1.7537141471434523e-33,2.644883766665184e-22,1.8118769711356061e-47,5.280788237270898e-33,2.206651722332918e-32,2.4428573405249902e-57,4.523428396060879e-19,4.618723656281851e-34,3.971131739868999e-43,1.1625062849663791e-48,2.475101978413402e-73,1.2955394983098593e-46,1.3686706950743025e-58,3.222797155666768e-19,1.9403834491397127e-19,2.9537657886245237e-36,1.8203875558562645e-19,1.1611158097926156e-61
3.9556478152338143e-25,0.11302162890393913,0.0,2.8063270456848084,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.822211609789474e-59,2.3312292336613093e-19,2.9453452016656006e-56,0.0,2.3202306468098716e-98,7.668907912214616e-40,9.840348013755221e-63,1.2630625183393375e-46,6.982575623700876e-68,1.80049913061271e-37,1.0743929440791124e-25,1.403842910560751e-110,5.445348931430625e-22,3.332317741825372e-69,2.2088476298384833e-63,2.467798516435989e-105,2.331230308054315e-19,1.9896112839453314e-84,8.626268159553736e-18,2.9485095037788935e-18,2.068052743777534e-18,2.3424104579032446e-18,1.940196003212311e-18,9.43523041209333e-19,8.480272740390275e-19,7.321411345003767e-33,5.4453489313695e-22,1.5229917680167934e-46,2.204625136536256e-32,9.212336560479241e-32,2.060143862131143e-56,9.312940815419445e-19,1.9282262050605468e-33,3.3379755032543995e-42,9.771593562500194e-48,8.587302585965201e-72,5.4086223779742185e-46,1.150450187803985e-57,6.635170614608047e-19,3.9949071011698626e-19,1.2331390717548997e-35,3.7478567326452505e-19,2.0055388123128895e-60
8.024314139474309e-25,0.11302162890393913,0.0,2.8063270456848084,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,1.5066397970926575e-58,4.729065016855799e-19,2.4352683701297246e-55,0.0,7.727336794171266e-97,3.1329991529297135e-39,8.067711830559287e-62,5.160022514567593e-46,5.7733285554489565e-67,7.355626436952748e-37,2.179482829417628e-25,4.716326589396432e-109,1.104627926090212e-21,2.755224749648018e-68,1.8109467411328321e-62,8.218799412703398e-104,4.729067196338753e-19,3.305762006378819e-83,1.7499001123663312e-17,5.981262136236972e-18,4.19519270880626e-18,4.751746928889362e-18,3.935826177944813e-18,1.914003883596187e-18,1.7202838987647138e-18,2.9910354262038186e-32,1.1046279260778143e-21,1.2486406667071118e-45,9.006613034219251e-32,3.7635400760955805e-31,1.6917264936277705e-55,1.889196565413655e-18,7.877433198660242e-33,2.736673985055818e-41,8.011388325558143e-47,2.859946297584943e-70,2.2095987203975173e-45,9.432085712314135e-57,1.3459917532490598e-18,8.103954405229748e-19,5.037775471489969e-35,7.602795086223222e-19,3.33223273202852e-59
1.6161646787955298e-24,0.11302162890393913,0.0,2.8063270456848084,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,1.2251744613553386e-57,9.524736583244776e-19,1.980319794676005e-54,0.0,2.5223314341509568e-95,1.2664083826928268e-38,6.533442210099115e-61,2.0857636020501133e-45,4.6947749002768857e-66,2.9732618121646326e-36,4.389662600094659e-25,1.5460772948539528e-107,2.224813991984511e-21,2.240503008799106e-67,1.4665516249401975e-61,2.6827530187061865e-102,9.524740972907629e-19,5.389220775286942e-82,3.524446705187384e-17,1.2046767401152483e-17,8.449472638864946e-18,9.570419870861366e-18,7.927086527409332e-18,3.854965568370235e-18,3.4647971482155678e-18,1.2090243418136912e-31,2.2248139919595466e-21,1.0111815850948982e-44,3.640616991784442e-31,1.5212830725862752e-30,1.3710795050594976e-54,3.805001533157063e-18,3.184184437118871e-32,2.216229538878024e-40,6.487903749312988e-46,9.33544551748921e-69,8.931551312226531e-45,7.638347553119786e-56,2.710941136825565e-18,1.6322049013347863e-18,2.0363493926760804e-34,1.5312671793379166e-18,5.4323803653234034e-58
3.2436312084917277e-24,0.11302162890393913,0.0,2.8063270456848084,0.03107511026318443,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070591,0.0,9.881475880760231e-57,1.911607971602273e-18,1.5971996564175366e-53,0.0,8.151739363442104e-94,5.092172671373353e-38,5.258682687568057e-60,8.38676370862763e-45,3.786506036974036e-65,1.1955354977908693e-35,8.810022141448723e-25,5.007229684906504e-106,4.465186123773106e-21,1.8070468443920413e-66,1.1804083380887502e-60,8.670194206838036e-101,1.911608852604538e-18,8.70360139954768e-81,7.073539890826042e-17,2.4177777930980932e-17,1.6958032498987253e-17,1.920776575480445e-17,1.5909607226336423e-17,7.736888937919687e-18,6.953823647115201e-18,4.8614337036113475e-31,4.465186123723025e-21,8.138869104941567e-44,1.4638760803813582e-30,6.117012326407085e-30,1.1039937152218985e-53,7.636611468643833e-18,1.280346548686754e-31,1.7838143287746058e-39,5.22214813244129e-45,3.017122202341442e-67,3.591337500207922e-44,6.148006631891738e-55,5.4408399039785565e-18,3.275823822957746e-18,8.18807134605052e-34,3.0732425207691053e-18,8.773308800622612e-57
6.498564267884123e-24,0.11302162890393913,0.0,2.8063270456848084,0.031075110263184425,0.3194096818763551,0.35048479213953954,0.20701222018021492,0.09201819554070584,0.0,7.937338805137636e-56,3.829876598157863e-18,1.2829576234780068e-52,0.0,2.621477227440146e-92,2.042189205344157e-37,4.219761676913409e-59,3.3634673543345896e-44,3.041527567929423e-64,4.7946320624617744e-35,1.7650741224156848e-24,1.6119445369959114e-104,8.945930387350287e-21,1.4515182968387677e-65,9.472033569779329e-60,2.7882045369515964e-99,3.829878363232088e-18,1.3990781393526773e-79,1.417172626208956e-16,4.843979899062753e-17,3.397515221925159e-17,3.8482457522686894e-17,3.187464862418281e-17,1.5500735677024023e-17,1.393187664490617e-17,1.9496523480855246e-30,8.945930387250042e-21,6.530929888644173e-43,5.8707978169091776e-30,2.4531955329507282e-29,8.860572205220347e-53,1.5299831339617178e-17,5.134762237622756e-31,1.4313986393192052e-38,4.1906355921674524e-44,9.703047147201366e-66,1.440286964039984e-43,4.933388134035082e-54,1.0900637438284467e-17,6.563061666201015e-18,3.2837828302080435e-33,6.157193203631483e-18,1.4102837662674731e-55
