Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2X(216),CH3OX(210),CH2X(34),CHX(35),CX(33),SX(655),CH2OX(623),CHOX(653),H2NX(201),H3NX(202),NO2X(213),NO2X(206),SX(544),SX(776),SX(660),CH2NX(654),H2NO3(231),CNO2X(729)
0.0,0.1547348997255798,0.0,3.842067560186146,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.409073522401982e-28,0.1547348997255798,0.0,3.842067560186146,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.4467074041312677e-63,1.079164701270642e-20,1.4450279849743887e-59,0.0,3.265249308738548e-99,1.844633644356744e-41,3.0088253129612525e-65,1.0215919314861456e-47,4.2938951296245537e-70,1.3549277190251077e-40,4.1871966503545475e-25,-1.4757589521931669e-112,2.3718840494378457e-21,5.902553165086913e-70,2.7474199911456893e-60,6.489900357350545e-105,1.0792080678045762e-20,1.1953438438462524e-88,1.8905257583177832e-20,6.46192891576705e-21,4.543433582103651e-21,5.133607285688066e-21,4.252117430635735e-21,2.0678172530454592e-21,1.8696359054234587e-21,1.4415430443101104e-37,2.6507880789359777e-19,2.7927347030976075e-53,6.884150913040135e-37,6.221625165086387e-37,1.5172458042054496e-60,2.0410163667051534e-21,2.4436501293603073e-37,4.606099708862508e-49,2.4000059534605895e-53,5.439601313485224e-83,2.7771306875514103e-48,1.8954435336532533e-62,1.454158475685123e-21,8.755205190883215e-22,1.8499108218997126e-39,8.213771657100906e-22,8.971524721648788e-69,-2.8621946299772186e-128,2.3049871385042348e-87,6.634570627334586e-87,2.6270693878983403e-19,3.315750983885768e-106
2.074540586272555e-27,0.1547348997255798,0.0,3.842067560186146,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.1862642504006836e-62,3.0216611635577987e-20,2.1837263042523133e-58,0.0,1.9864105068951497e-97,1.1141587211928733e-40,3.572077411547618e-64,6.170415266176322e-47,6.488934319889088e-69,8.183763422911652e-40,1.1724150620992732e-24,1.4548855789129223e-111,6.641275338425968e-21,8.919938343079983e-69,3.2617370134881626e-59,3.9481231007403033e-103,3.021782589852813e-20,3.7340001661487446e-87,5.29347212328979e-20,1.8093400964147727e-20,1.2721614029890237e-20,1.4374100399926582e-20,1.1905928805780057e-20,5.789888308527292e-21,5.2349805351856855e-21,8.706919987633074e-37,7.42220662102074e-19,3.3155346395174817e-52,4.1580271514762426e-36,3.75786159971218e-36,1.8034314933088766e-59,5.71484582677443e-21,1.4759646781309389e-36,5.468361574352179e-48,2.8492870706923318e-52,3.3091749410074764e-81,1.6773869352810146e-47,2.2502705631530972e-61,4.071643731918344e-21,2.4514574534472975e-21,1.1173461364274268e-38,2.299856063988253e-21,2.820790922063617e-67,5.815651600545047e-126,1.4022361637374405e-85,4.036133088530542e-85,7.355794286115358e-19,2.558582011177782e-104
4.7418070543372686e-27,0.1547348997255798,0.0,3.842067560186146,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.351883317108698e-61,6.906654088132109e-20,2.3491531099078752e-57,0.0,8.967606552785502e-96,5.364194637810408e-40,3.5070867847876853e-63,2.970789336761713e-46,6.980499434328575e-68,3.9401298069250117e-39,2.6798058562269102e-24,8.025968235021474e-110,1.518005791640221e-20,9.595662629419226e-68,3.202392741679414e-58,1.7823714919460317e-101,6.906931633949287e-20,8.31853683678653e-86,1.209936485323379e-19,4.135634506090903e-20,2.9077974925463465e-20,3.28550866284036e-20,2.721355155606869e-20,1.3234030419490991e-20,1.1965669794710133e-20,4.1920071728538125e-36,1.6965043705190262e-18,3.255211569930576e-51,2.0019110855120729e-35,1.809248598007122e-35,1.7715650392531404e-58,1.3062504746912978e-20,7.106134576139473e-36,5.36886982062103e-47,2.7974469478598145e-51,1.493919753341733e-79,8.075896039398942e-47,2.20932898282609e-60,9.306614244384787e-21,5.6033313221652395e-21,5.379540670084363e-38,5.256813860544578e-21,6.293029375994792e-66,3.224502460069468e-123,6.3303643391536165e-84,1.8221034111212392e-83,1.6813244082549394e-18,2.788467839325637e-102
1.0076339990466696e-26,0.1547348997255798,0.0,3.842067560186146,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.1617859623603504e-60,1.4676639937280733e-19,2.1592764315235503e-56,0.0,3.38599760505031e-94,2.3426847283547617e-39,3.101978544650635e-62,1.297421752987407e-45,6.416281614295868e-67,1.7207582031618855e-38,5.6945874444821845e-24,3.1587550492584567e-108,3.22576230723547e-20,8.820067143526751e-67,2.8324801140715583e-57,6.729895616527715e-100,1.4677229722142234e-19,1.557091181960691e-84,2.5711150313121743e-19,8.788223325443143e-20,6.179069671661018e-20,6.981705908535757e-20,5.782879705664591e-20,2.8122314641418515e-20,2.542704831375902e-20,1.830759666273854e-35,3.605071787352931e-18,2.8791977695055204e-50,8.742871659560987e-35,7.901463959659708e-35,1.5673046369268085e-57,2.7757822587190066e-20,3.1034356642459484e-35,4.7487045557877614e-46,2.474310155642647e-50,5.640756759319634e-78,3.526955973189712e-46,1.9541264654548595e-59,1.9776555269317673e-20,1.1907079059601084e-20,2.3493867438126343e-37,1.117072945365723e-20,1.1786147558214404e-64,1.1822351798369398e-120,2.39022513459376e-82,6.879915811721579e-82,3.572814367541747e-18,2.2811398377411655e-100
2.074540586272555e-26,0.1547348997255798,0.0,3.842067560186146,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.8494534042260798e-59,3.0216611635577977e-19,1.847306447756254e-55,0.0,1.1747598646203039e-92,9.780247582574733e-39,2.607399875007397e-61,5.416480420739563e-45,5.489264006970892e-66,7.183826766271108e-38,1.1724150620992732e-23,1.11605950337399e-106,6.641275338425967e-20,7.545753135609708e-66,2.3808702056069926e-56,2.3349134245070477e-98,3.0217825898528127e-19,2.6887606754943953e-83,5.293472123289745e-19,1.809340096414755e-19,1.2721614029890453e-19,1.4374100399926531e-19,1.1905928805780018e-19,5.789888308527409e-20,5.234980535185674e-20,7.643061220932336e-35,7.42220662102074e-18,2.4201392099491572e-49,3.6499768140938936e-34,3.2987056625287977e-34,1.317562833971617e-56,5.714845826774417e-20,1.2956232985493567e-34,3.991572309994001e-45,2.079806791582126e-49,1.95704057545453e-76,1.4724346905392366e-45,1.642561039166828e-58,4.0716437319183454e-20,2.4514574534472613e-20,9.808227177712275e-37,2.2998560639882533e-20,2.035763889892038e-63,3.5959412874306046e-118,8.292801431549523e-81,2.3869624190060145e-80,7.355794286115361e-18,1.6417529209998885e-98
4.2083537607243256e-26,0.1547348997255798,0.0,3.842067560186146,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.5291638395373536e-58,6.129655503217247e-19,1.5273886944096264e-54,0.0,3.912440831212746e-91,3.9955502591878165e-38,2.137703949996367e-60,2.2128089872762661e-44,4.5386296329213705e-65,2.9348276365171334e-37,2.3783276974013827e-23,3.749493329847733e-105,1.3472301400806963e-19,6.238974613080432e-65,1.9519812406756008e-55,7.776236569284527e-97,6.129901825129991e-19,4.4668154665157153e-82,1.0738186307244806e-18,3.670375624155605e-19,2.580670274634971e-19,2.915888938270799e-19,2.4152027006010806e-19,1.1745201997298727e-19,1.0619531942805197e-19,3.122439895697583e-34,1.5056476288356357e-17,1.9841763429686388e-48,1.4911346243681568e-33,1.3476288972583672e-33,1.0802768482753825e-55,1.159297296288522e-19,5.293043925882285e-34,3.272532140276699e-44,1.7051512928966347e-48,6.517762320962017e-75,6.015376154459444e-45,1.3466707792664904e-57,8.259620141891502e-20,4.9729565484215035e-20,4.006980836667652e-36,4.665422301233314e-20,3.382452150479996e-62,1.0016366604776172e-115,2.7618491605985603e-79,7.949581583169867e-79,1.492175412326259e-17,1.1128336051062756e-96
8.475980109627868e-26,0.1547348997255798,0.0,3.842067560186146,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.2434906386015204e-57,1.2345644182536146e-18,1.2420471200644773e-53,0.0,1.2770858502877542e-89,1.6150652981852598e-37,1.7311680824249685e-59,8.944527724288443e-44,3.690738241838233e-64,1.1863042545369858e-36,4.790152968005602e-23,1.2291359273080014e-103,2.7134353525568953e-19,5.073430541088781e-64,1.5807650172303415e-54,2.5382931319743834e-95,1.234614029568435e-18,7.281546763125626e-81,2.1627614675154614e-18,7.392446679637181e-19,5.1976880179269765e-19,5.872846734827057e-19,4.864422340647212e-19,2.365582937484218e-19,2.138863475804417e-19,1.26214012935972e-33,3.032501562302759e-17,1.6068374457816722e-47,6.027404563610556e-33,5.4473314700410145e-33,8.748598288345753e-55,2.334922723510674e-19,2.1395329832001422e-33,2.650181373163342e-43,1.3808757722203614e-47,2.1275062470726872e-73,2.4315112192206324e-44,1.09056891184697e-56,1.663557296183782e-19,1.0015954738369731e-19,1.619685720292648e-35,9.396554775723435e-20,5.514250692125825e-61,2.673545187682756e-113,9.015135952021985e-78,2.5948759170633557e-77,3.005367379755705e-17,7.327396384424275e-95
1.701123280743495e-25,0.1547348997255798,0.0,3.842067560186146,0.031075110263184432,0.3194096818763551,0.3504847921395395,0.20701222018021495,0.09201819554070598,0.0,1.0029202485741571e-56,2.4777621541173943e-18,1.0017559985789773e-52,0.0,4.127320790913125e-88,6.494106531406813e-37,1.393394680955375e-58,3.596555258474336e-43,2.976714098217402e-63,4.770077231936579e-36,9.61380350921404e-23,3.9807621009088555e-102,5.445845777509292e-19,4.0919055290314613e-63,1.2723372093153675e-53,8.203324791884056e-94,2.477861723679307e-18,1.1759321548323589e-79,4.340647141097297e-18,1.4836588790599837e-18,1.04317235045116e-18,1.1786762327939435e-18,9.762861620739367e-19,4.747708412993236e-19,4.292684038852179e-19,5.075009949216258e-33,6.086209429237006e-17,1.2933225680635518e-46,2.4235928655395057e-32,2.1903480258692874e-32,7.041727398939765e-54,4.686173577954947e-19,8.60296802430101e-33,2.1330965294360233e-42,1.1114490293319718e-46,6.875733015603597e-72,9.776999670722799e-44,8.777847376042486e-56,3.338747860173047e-19,2.0101951118265157e-19,6.512685044930802e-35,1.8858819724703678e-19,8.905529597094602e-60,6.987932838381221e-111,2.913536352277163e-76,8.386191128178817e-76,6.031751314614596e-17,4.756275904012469e-93
3.4081738203049115e-25,0.1547348997255798,0.0,3.842067560186146,0.031075110263184432,0.31940968187635504,0.3504847921395394,0.20701222018021495,0.09201819554070598,0.0,8.056000847976065e-56,4.964157625844954e-18,8.046648958868467e-52,0.0,1.3272845126862211e-86,2.6044271755539984e-36,1.1181114785355104e-57,1.4423795185137807e-42,2.3910586443452917e-62,1.9130143169251754e-35,1.9261104591630916e-22,1.281500575244659e-100,1.0910666627414082e-18,3.286841048286795e-62,1.02097048147699e-52,2.638066314780863e-92,4.96435711190105e-18,1.8902447508278202e-78,8.696418488260459e-18,2.9724873012523175e-18,2.0899794477683297e-18,2.3614593514163635e-18,1.9559740180923248e-18,9.511959364012579e-19,8.600325164947575e-19,2.0353059750037774e-32,1.2193625163105497e-16,1.0378099102607624e-45,9.71969136921648e-32,8.784275240834188e-32,5.650580493677796e-53,9.388675286843364e-19,3.4501749540376726e-32,1.711675626736874e-41,8.918679687817064e-46,2.211132986564441e-70,3.921014154945994e-43,7.043669709735706e-55,6.689128988151586e-19,4.0273943878051922e-19,2.6118779899752625e-34,3.778334962266416e-19,1.4315378731344585e-58,1.8075382507473197e-108,9.36949750876904e-75,2.6968737432164423e-74,1.2084519184332374e-16,3.065545147197295e-91
