Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208)
0.0,0.07865737607768974,0.0,19.530626480090362,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3796196150721231e-27,0.07865737607768974,0.0,19.530626480090362,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.083798778449076e-73,1.8060143997012613e-24,2.1675812986420348e-73,0.0,-5.935205023314562e-154,1.0176559720058268e-66,6.205976320297345e-112,7.634059781238228e-59,6.333548510778939e-86,5.73145347968063e-79,5.5758171139497975e-34,-1.5564213635173647e-133,2.9997566064299493e-43,5.755936994579791e-89,1.116392878342295e-112,-1.8097514307533898e-150,1.806014400258843e-24,1.2866550647149178e-111,2.5098839618117054e-19,8.578931906478042e-20,3.920367333729051e-60,6.815436677283488e-20
3.8629349222019445e-27,0.07865737607768974,0.0,19.530626480090362,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.6378367139929784e-72,5.056840319163531e-24,3.2756488585093154e-72,0.0,1.145800361145834e-152,6.146642070927765e-66,1.7501846180567196e-110,4.610972107867889e-58,9.571258522111503e-85,8.661372498495317e-78,1.5612287919059432e-33,-1.556410274123806e-133,8.399318498003857e-43,8.698371988963907e-88,3.14840659881252e-111,-1.809727367662769e-150,5.0568403207247595e-24,3.6285731529234056e-110,7.027675093072771e-19,2.402100933813852e-19,2.367901869572346e-59,1.9083222696393766e-19
8.829565536461588e-27,0.07865737607768974,0.0,19.530626480090362,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.761909998149935e-71,1.1558492158088071e-23,3.523793565578068e-71,0.0,1.2098441758405477e-150,2.9593435666114456e-65,3.8070338325113126e-109,2.219984584384076e-57,1.029632315820503e-83,9.317509292849434e-77,3.5685229529278696e-33,-1.5558649272185005e-133,1.9198442281151674e-42,9.35731165718473e-87,6.848472101597675e-110,-1.807334568661864e-150,1.1558492161656592e-23,7.89293918826025e-109,1.6063257355594882e-18,5.490516420145947e-19,1.1400428206484078e-58,4.361879473461432e-19
1.8762826764980874e-26,0.07865737607768974,0.0,19.530626480090362,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.6194988386616623e-70,2.456179583593715e-23,3.238973382936377e-70,0.0,9.562810027766729e-149,1.292423084466351e-64,7.057599117222238e-108,9.695255922172547e-57,9.464094882796227e-83,8.564396305619233e-76,7.583111274971723e-33,-1.5345610473769262e-133,4.0796689847447296e-42,8.600981535860128e-86,1.269591326270152e-108,-1.618811110110538e-150,2.456179584352026e-23,1.463217903918714e-107,3.413442188063904e-18,1.1667347392810138e-18,4.978866513835892e-58,9.268993881105543e-19
3.8629349222019444e-26,0.07865737607768974,0.0,19.530626480090362,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.385515352784623e-69,5.0568403191635315e-23,2.7710099212097274e-69,0.0,6.777781265098677e-147,5.395611963744734e-64,1.2130209659275892e-106,4.0475784960125076e-56,8.096732425681187e-82,7.327021350983723e-75,1.561228791905943e-32,-7.840820820969803e-134,8.399318498003854e-42,7.358320785713021e-85,2.1821031681920058e-107,1.1723339484531298e-149,5.056840320724759e-23,2.514897723050336e-106,7.027675093072708e-18,2.402100933813852e-18,2.0785787603431413e-57,1.9083222696393767e-18
7.836239413609658e-26,0.07865737607768974,0.0,19.530626480090362,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,1.1455708869222077e-68,1.0258161790303163e-22,2.291124588934035e-68,0.0,4.5611363170110324e-145,2.2042835417470025e-63,2.010493292653786e-105,1.6535678848553244e-55,6.694534945007512e-81,6.0581229436936855e-74,3.1670641207234844e-32,2.439091621201514e-132,1.7038617524522097e-41,6.084001921600241e-84,3.61667617333229e-106,9.089051487390259e-148,1.0258161793470225e-22,4.1682585420845676e-105,1.42561409030902e-17,4.872833322879527e-18,8.491672459550466e-57,3.8711680326970204e-18
1.5782848396425088e-25,0.07865737607768974,0.0,19.530626480090362,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,9.315592200853153e-68,2.0660804732582427e-22,1.8631044656869092e-67,0.0,2.9927286844992596e-143,8.910066510956788e-63,3.2735671419435834e-104,6.683985773343566e-55,5.443884637257474e-80,4.9263649670519936e-73,6.378734778358568e-32,8.490332666143585e-131,3.4317215577558577e-41,4.9474093220984805e-83,5.888820237217591e-105,5.975352587965071e-146,2.0660804738961157e-22,6.786928485278834e-104,2.8713072523124746e-17,9.814298101010878e-18,3.432469778311798e-56,7.796859558812307e-18
3.167606636205595e-25,0.07865737607768974,0.0,19.530626480090362,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,7.513362590491477e-67,4.1466090617140954e-22,1.5026612471709136e-66,0.0,1.9392440575602833e-141,3.582698556641379e-62,5.283550569091228e-103,2.6876012822240413e-54,4.3906901782127973e-79,3.973291815754495e-72,1.2802076093628733e-31,2.7546212008139788e-129,6.887441168363145e-41,3.990264850483609e-82,9.504581706410507e-104,3.872055010447551e-144,4.1466090629943023e-22,1.0954129938075947e-102,5.762693576319205e-17,1.969722765727357e-17,1.3801810013086438e-55,1.5648242611042873e-17
6.346250229331766e-25,0.07865737607768974,0.0,19.530626480090362,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070587,0.0,6.035141426868442e-66,8.307666238625802e-22,1.2070192319518759e-65,0.0,1.2488194125806752e-139,1.436822361709057e-61,8.490523936532682e-102,1.0778483200771553e-53,3.5268411271155067e-78,3.1915640632922932e-71,2.5648758724169064e-31,8.868256438222048e-128,1.3798880389577694e-40,3.205197727819942e-81,1.527361439926723e-102,2.4934961817991035e-142,8.307666241190676e-22,1.760299273893885e-101,1.154546622433195e-16,3.946308676979895e-17,5.535143116288019e-55,3.135100871550399e-17
