Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),CH3OX(210),H2NOX(204)
0.0,0.05435919745378708,0.0,13.497388727775332,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6580489214469523e-27,0.05435919745378708,0.0,13.497388727775332,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,7.913074697370583e-85,9.845142942931879e-29,1.5826148970270103e-84,0.0,1.8916364752595746e-138,9.803320686940802e-58,1.8501948598516986e-91,1.5922947396912545e-69,4.464794497196387e-103,5.160530089096923e-50,6.234926847430409e-43,-1.5848490342556696e-152,1.0092121269639427e-51,5.109551808009781e-108,2.651277496348315e-92,2.1378734932714255e-152,9.845142942931942e-29,4.4629790707758194e-119,2.5076008837753703e-19,8.571128210646326e-20,5.449973252594361e-20,6.809237118251008e-20,5.640025469140703e-20,2.707212225187538e-20,2.742761027406825e-20
4.6425369800514665e-27,0.05435919745378708,0.0,13.497388727775332,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.1958238482666427e-83,2.756640024020926e-28,2.3916476323876956e-83,0.0,1.1510728073955915e-136,1.4814778523493595e-56,2.1965513925079314e-90,9.617460227735173e-69,3.2344151544675325e-102,3.1169601738145413e-49,1.7457795172805143e-42,-1.584849034255659e-152,6.093851221510703e-51,3.556085331358819e-107,3.1478465036357786e-91,1.300920781844597e-150,2.7566400240209436e-28,1.4032320147899872e-117,7.02128247457104e-19,2.3999158989809715e-19,1.5259925107264212e-19,1.9065863931102825e-19,1.579207131359397e-19,7.580194230525107e-20,7.679730876739109e-20
1.0611513097260495e-26,0.05435919745378708,0.0,13.497388727775332,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.2864127274021429e-82,6.300891483476402e-28,2.5728253858004692e-82,0.0,5.197312843450995e-135,1.5937062719405178e-55,2.1565872927011355e-89,4.630393103022166e-68,4.140649393779872e-101,1.5006821499093848e-48,3.99035318235546e-42,-1.5848490342550309e-152,2.9335358474650877e-50,4.524963938808776e-106,3.0910758166662263e-90,5.873935738448165e-149,6.300891483476442e-28,3.130533432420245e-116,1.6048645656162368e-18,5.48552205481365e-19,3.4879828816603913e-19,4.357911755680645e-19,3.60961630025005e-19,1.732615824120024e-19,1.7553670575403677e-19
2.2549465331678553e-26,0.05435919745378708,0.0,13.497388727775332,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.1824349258786932e-81,1.3389394402387356e-27,2.3648697883329847e-81,0.0,1.963011941861095e-133,1.4648906355000304e-54,1.9074772322905846e-88,2.022214319407893e-67,3.769080734282071e-100,6.55387321315309e-48,8.479500512505356e-42,-1.5848490342307432e-152,1.2810728923711781e-49,4.117021273440128e-105,2.734906754229923e-89,2.218593416357787e-147,1.3389394402387439e-27,5.863142656001783e-115,3.4103372019344995e-18,1.1656734366479005e-18,7.411963623528332e-19,9.260562480821372e-19,7.670434638031356e-19,3.681808626255051e-19,3.7301549972732814e-19
4.642536980051467e-26,0.05435919745378708,0.0,13.497388727775332,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.0115979736222199e-80,2.7566400240209257e-27,2.0231958929869415e-80,0.0,6.814797667798259e-132,1.253244779933964e-53,1.6033498746074307e-87,8.44234670984303e-67,3.221125615820943e-99,2.736113053239188e-47,1.7457795172805143e-41,-1.584849033376098e-152,5.3480681578679795e-49,3.518306263994588e-104,2.3003411972430385e-88,7.702232430263742e-146,2.7566400240209433e-27,1.0127120877631935e-113,7.02128247457101e-18,2.3999158989809717e-18,1.5259925107264214e-18,1.9065863931102825e-18,1.5792071313593968e-18,7.580194230525105e-19,7.679730876739108e-19
9.417717873818689e-26,0.05435919745378708,0.0,13.497388727775332,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,8.364087669775951e-80,5.592041191585307e-27,1.672817489099686e-79,0.0,2.2724074425991635e-130,1.0362070194287512e-52,1.3145236332229392e-86,3.448974097960844e-66,2.6629616442272824e-98,1.1177914594187497e-46,3.541438449340472e-41,-1.5848490047105012e-152,2.1848285289851433e-48,2.9086292309473036e-103,1.8883971212480447e-87,2.568429044210843e-144,5.592041191585342e-27,1.6826362802088725e-112,1.424317301984398e-17,4.8684008236471145e-18,3.0955848074735976e-18,3.8676466831665725e-18,3.2035344664719186e-18,1.5376965439065213e-18,1.5578882635670763e-18
1.8968079661353135e-25,0.05435919745378708,0.0,13.497388727775332,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,6.801537185809082e-79,1.1262843526714068e-26,1.3603074006952458e-78,0.0,7.435764260064546e-129,8.426263393089361e-52,1.0645361871357767e-85,1.394130474747198e-65,2.1654440672599214e-97,4.5182917984486324e-46,7.132756313460387e-41,-1.5848480657432982e-152,8.831362595777771e-48,2.365212245229183e-102,1.5332222458312758e-86,8.40508826643072e-143,1.126284352671414e-26,2.743121812209752e-111,2.8686954110389685e-17,9.8053706729794e-18,6.23476940096795e-18,7.789767263279154e-18,6.4521891366969594e-18,3.097050785614543e-18,3.1377186153534073e-18
3.8068803236422024e-25,0.05435919745378708,0.0,13.497388727775332,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,5.485686142960889e-78,2.2604448196971596e-26,1.0971371991953756e-77,0.0,2.4149052220119378e-127,6.796086688881541e-51,8.56832732633818e-85,5.605737322872645e-65,1.7465059071298923e-96,1.8167852599869272e-45,1.4315392041700217e-40,-1.5848176674410442e-152,3.5510393290946754e-47,1.9076257217099956e-101,1.2404280871128289e-85,2.730151978177268e-141,2.2604448196971733e-26,4.4301490539688083e-110,5.757451629148021e-17,1.967931037164397e-17,1.2513138587956656e-17,1.5634008423504314e-17,1.2949498477147033e-17,6.215759269030586e-18,6.29737931892607e-18
7.627025038655981e-25,0.05435919745378708,0.0,13.497388727775332,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021492,0.09201819554070587,0.0,4.406401434436263e-77,4.5287657537486636e-26,8.812802632979323e-77,0.0,7.841833108413465e-126,5.458986415558482e-50,6.875565479769143e-84,2.2481513892016412e-64,1.4020500712001392e-95,7.286121469615408e-45,2.868066349817987e-40,-1.5838398478532865e-152,1.4241230492761948e-46,1.5313929025065518e-100,1.0055682899506868e-84,8.868341224389947e-140,4.5287657537486923e-26,7.121335216779606e-109,1.1534964065365767e-16,3.9427189768973106e-17,2.5069876961934065e-17,3.132249074395463e-17,2.5944117158047154e-17,1.2453176235862672e-17,1.2616700726071395e-17
1.5267314468683536e-24,0.05435919745378708,0.0,13.497388727775332,0.031075110263184432,0.3194096818763551,0.3504847921395395,0.2070122201802149,0.09201819554070576,0.0,3.5322761527922987e-76,9.065407621851673e-26,7.064552116868409e-76,0.0,2.56425917220988e-124,4.3760532990479316e-49,5.508855134965106e-83,9.004331852187536e-64,1.1243370682919485e-94,2.918249008624978e-44,5.741120641113919e-40,-1.5524471086431726e-152,5.703915291863027e-46,1.228060138138819e-99,8.220277186322974e-84,2.901715729165967e-138,9.065407621851729e-26,1.1420683285638822e-107,2.308998893779983e-16,7.892294856363137e-17,5.0183353709888885e-17,6.269945538485526e-17,5.193335451984729e-17,2.492801016952684e-17,2.5255343540362045e-17
3.0547893328738647e-24,0.05435919745378708,0.0,13.497388727775332,0.031075110263184432,0.319409681876355,0.3504847921395394,0.2070122201802148,0.09201819554070552,0.0,2.8286857242491907e-75,1.813869135805769e-25,5.657371297983254e-75,0.0,8.527634139409124e-123,3.50439177463097e-48,4.410491240531475e-82,3.604079337478785e-63,9.004236396802887e-94,1.1680601210902813e-43,1.1487229223705779e-39,-5.463771493062158e-153,2.2830515816450098e-45,9.834901030396404e-99,6.843009498815556e-83,9.66113002190545e-137,1.8138691358057804e-25,1.8294358668351809e-106,4.620003868266223e-16,1.5791446615294787e-16,1.0041030720579852e-16,1.2545338466665655e-16,1.0391182924344707e-16,4.987767803685518e-17,5.053262916894334e-17
6.110905104884887e-24,0.05435919745378708,0.0,13.49738872777533,0.031075110263184432,0.31940968187635477,0.3504847921395393,0.20701222018021465,0.09201819554070506,0.0,2.2640950602365792e-74,3.6285258830469717e-25,4.52819000097795e-74,0.0,2.930249211110139e-121,2.8049337676710757e-47,3.529825486186689e-81,1.4421011880650204e-62,7.20654472281993e-93,4.6737619531262315e-43,2.297944638888949e-39,3.166895764622172e-151,9.1351781023277e-45,7.871367542477746e-98,5.89550959725679e-82,3.326685434191933e-135,3.6285258830469947e-25,2.9287997350266565e-105,9.242013817236412e-16,3.1589750133158066e-16,2.0086421419761768e-16,2.509612432302589e-16,2.0786877869064469e-16,9.977701377151177e-17,1.010872004261059e-16
1.2223136648906933e-23,0.05435919745378708,0.0,13.497388727775329,0.031075110263184432,0.3194096818763543,0.35048479213953904,0.20701222018021434,0.09201819554070413,0.0,1.8117347525351173e-73,7.257839377529375e-25,3.623469411014895e-73,0.0,1.0658308439666207e-119,2.2445152920911087e-46,2.824544009523401e-80,5.769343792159812e-62,5.766539446620765e-92,1.8698091183519648e-42,4.596388071925687e-39,1.0629046904353747e-149,3.6546656806753505e-44,6.298517969186957e-97,5.387866365066503e-81,1.2141721704824556e-133,7.2578393775294205e-25,4.68744190074314e-104,1.8486033715167633e-15,6.318635716888455e-16,4.017720281812557e-16,5.019769603574634e-16,4.1578267758503224e-16,1.9957568524082478e-16,2.0219634294043093e-16
2.444759973695102e-23,0.05435919745378708,0.0,13.497388727775325,0.031075110263184432,0.3194096818763535,0.35048479213953854,0.20701222018021373,0.09201819554070229,0.0,1.4495713061691012e-72,1.451646636649417e-24,2.89914253958878e-72,0.0,4.229626920447678e-118,1.795839572608714e-45,2.260085492338595e-79,2.307925338219114e-61,4.6140146782381507e-91,7.479845190959247e-42,9.19327493799915e-39,3.406984082823621e-148,1.4619851686784141e-43,5.039669741268515e-96,5.383704957865868e-80,4.8416462177453725e-132,1.4516466366494261e-24,7.500997079471616e-103,3.697407351099342e-15,1.263795712403373e-15,8.035876561485307e-16,1.0040083946118712e-15,8.316104753737766e-16,3.9917302817945017e-16,4.0441462796908076e-16
4.88965259130392e-23,0.05435919745378708,0.0,13.497388727775316,0.031075110263184432,0.3194096818763518,0.35048479213953754,0.2070122201802125,0.0920181955406986,0.0,1.1597304510722623e-71,2.9033720344423714e-24,2.3194608479485554e-71,0.0,1.8774284264810304e-116,1.4367625992121768e-44,1.808531414059194e-78,9.232077008961848e-61,3.6913966782725353e-90,2.992059824228812e-41,1.8387048670146023e-38,1.0903733705115967e-146,5.84817847598919e-43,4.031937789502682e-95,6.024054092099382e-79,2.161138941445669e-130,2.9033720344423898e-24,1.200246742919567e-101,7.395015310249845e-15,2.5276599938324178e-15,1.607218912083077e-15,2.0080712631206818e-15,1.663266070951143e-15,7.98367714056698e-16,8.088511980263791e-16
9.779437826521555e-23,0.05435919745378708,0.0,13.4973887277753,0.031075110263184432,0.3194096818763485,0.35048479213953554,0.20701222018021004,0.0920181955406912,0.0,9.278137242087186e-71,5.8068228300282654e-24,1.8556274114710976e-70,0.0,9.36072997029731e-115,1.1494464569299887e-43,1.447462982986476e-77,3.692905936139137e-60,2.9532128170893627e-89,1.1968482796940244e-40,3.6774596134439553e-38,3.4893637624239526e-145,2.3393189514963352e-42,3.225654513846076e-94,7.566439921978445e-78,1.0830895430828606e-128,5.8068228300283014e-24,1.9204645596913e-100,1.4790231228492216e-14,5.055388556690465e-15,3.2144814239521528e-15,4.016197000138283e-15,3.326577262105385e-15,1.596757085811182e-15,1.6177243381409712e-15
