Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),CH3OX(210),H2NOX(204),HOX(29),H2NO(88)
0.0,0.054791484931128634,0.0,13.604725708399238,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7008042813312098e-27,0.054791484931128634,0.0,13.604725708399238,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.7023910446546207e-84,1.3163667378507048e-28,4.3242941200844275e-83,0.0,6.412885156221358e-138,1.2207204721537627e-57,4.5863830406398873e-91,5.529925092707089e-69,8.929588994392773e-103,7.457412388884535e-50,1.0977651619555109e-42,-5.585227967381639e-152,9.88758700350999e-38,1.0219103616019562e-107,6.604178213979023e-92,9.468611208702514e-152,1.3163667378507156e-28,1.2782333151030924e-118,2.5824708695761268e-19,8.827038252622936e-20,5.612706895585654e-20,7.012541994101057e-20,5.80842093810174e-20,2.7880420502888346e-20,2.82465224083934e-20,1.2604457480238318e-25,9.887587003650638e-38
4.762251987727387e-27,0.054791484931128634,0.0,13.604725708399238,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.572653346682061e-83,3.6858268659819735e-28,6.534873274272033e-82,0.0,3.902074937037421e-136,1.7693767503212713e-56,5.444954060872016e-90,3.3400747559950827e-68,1.1491621133910074e-101,4.504277082886259e-49,3.0737424534754314e-42,-5.585227967381566e-152,2.768524360982847e-37,1.3884393417099879e-106,7.840975696210507e-91,5.761444889833684e-150,3.6858268659820044e-28,4.018970048733899e-117,7.230918434813154e-19,2.4715707107344224e-19,1.5715579307639834e-19,1.9635117583482962e-19,1.626357862668487e-19,7.806517740808736e-20,7.90902627435015e-20,3.5292480944667293e-25,2.768524361067798e-37
1.0885147400519743e-26,0.054791484931128634,0.0,13.604725708399238,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.767543073474123e-82,8.42474712224451e-28,7.029918465139579e-81,0.0,1.7618043359578648e-134,1.8735904030357435e-55,5.345888415947899e-89,1.608102216959222e-67,1.277733070084169e-100,2.168615522687623e-48,7.02569703651527e-42,-5.5852279673777255e-152,6.328055682246738e-37,1.5500326117015423e-105,7.699310511482514e-90,2.601329100977483e-148,8.424747122244583e-28,8.966101094702111e-116,1.6527813565287199e-18,5.649304481678679e-19,3.592132413174819e-19,4.488026876224677e-19,3.717389400385113e-19,1.784346912184854e-19,1.8077774341371774e-19,8.066852787352523e-25,6.328055682655742e-37
2.3130938226104456e-26,0.054791484931128634,0.0,13.604725708399238,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.5438488902065063e-81,1.790258763476959e-27,6.4617062177608384e-80,0.0,6.653871294565777e-133,1.7104957267298942e-54,4.728378171152186e-88,7.023004867738006e-67,1.1779422825625566e-99,9.47091373388336e-48,1.492960620259495e-41,-5.585227967227274e-152,1.3447118324775307e-36,1.429483035564926e-104,6.811707768894347e-89,9.824615799078752e-147,1.790258763476974e-27,1.6792515052678783e-114,3.512160382623525e-18,1.2004772023567195e-18,7.633281377996491e-19,9.537057111977439e-19,7.899452475818364e-19,3.791737188392815e-19,3.8415270475415016e-19,1.714206217312411e-24,1.3447118326561537e-36
4.762251987727388e-26,0.054791484931128634,0.0,13.604725708399238,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.176316282793932e-80,3.685826865981974e-27,5.528125711588117e-79,0.0,2.3096692864332174e-131,1.45874290698659e-53,3.9744874436877903e-87,2.9319662841533e-66,1.0080758857329487e-98,3.9539200485865804e-47,3.073742453475431e-41,-5.585227961925356e-152,2.768524360983559e-36,1.2233896347908152e-103,5.728599188535489e-88,3.410343120772072e-145,3.6858268659820044e-27,2.900489374992943e-113,7.230918434813122e-18,2.4715707107344223e-18,1.5715579307639834e-18,1.9635117583482962e-18,1.6263578626684865e-18,7.806517740808736e-19,7.909026274350151e-19,3.5292480944667294e-24,2.768524361729275e-36
9.660568317961272e-26,0.054791484931128634,0.0,13.604725708399238,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,1.7994203884444726e-79,7.476963070992005e-27,4.57076124181173e-78,0.0,7.699703350721248e-130,1.2042741889311913e-52,3.258526057294909e-86,1.1978038947807265e-65,8.33527561690031e-98,1.6153053530819462e-46,6.235306119907302e-41,-5.585227784063878e-152,5.616149417996873e-36,1.011564228908015e-102,4.701485641908836e-87,1.136937107831049e-143,7.476963070992066e-27,4.819206477038548e-112,1.4668434539192253e-17,5.013757727489828e-18,3.188017516692652e-18,3.983123852649401e-18,3.2991830928417864e-18,1.583607884564058e-18,1.604402472796745e-18,7.159331848775365e-24,5.6161494210433666e-36
1.9457200978429043e-25,0.054791484931128634,0.0,13.604725708399238,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,1.4632587758655028e-78,1.5059235481012064e-26,3.716867132561499e-77,0.0,2.518233787435492e-128,9.785597571343331e-52,2.6388407022700464e-85,4.8417148550695066e-65,6.778138047809506e-97,6.529322502263078e-46,1.2558433452771047e-40,-5.585221957932707e-152,1.1311399532028534e-35,8.225913545613536e-102,3.81521402453743e-86,3.7186623881214616e-142,1.5059235481012188e-26,7.856522862484558e-111,2.954346674795028e-17,1.0098131761000639e-17,6.420936688549989e-18,8.02234804125161e-18,6.644833553188384e-18,3.1895201055304266e-18,3.2314021635202047e-18,1.4419499357392632e-23,1.1311399544342946e-35
3.905046629936458e-25,0.054791484931128634,0.0,13.604725708399238,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,1.1801712129250734e-77,3.022378030105219e-26,2.997787995172825e-76,0.0,8.170312690504041e-127,7.88949679636985e-51,2.123971497818499e-84,1.9468322485879015e-64,5.4668168966795765e-96,2.6254118611563567e-45,2.520468811849853e-40,-5.585033341181553e-152,2.2701899760111983e-35,6.634501363537019e-101,3.083419098221591e-85,1.2066617865387234e-140,3.0223780301052423e-26,1.2688305408749705e-109,5.929353116546535e-17,2.0266879828022266e-17,1.2886775032264663e-17,1.610079641845603e-17,1.3336134473881572e-17,6.4013445474631636e-18,6.485401544967123e-18,2.893983437462717e-23,2.270189980962769e-35
7.823699694123566e-25,0.054791484931128634,0.0,13.604725708399238,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021492,0.09201819554070587,0.0,9.479776986852138e-77,6.055286994113242e-26,2.407986344432445e-75,0.0,2.647913322134531e-125,6.3360963752847275e-50,1.70435806089083e-83,7.807668058842578e-64,4.390376808753673e-95,1.0529075807391743e-44,5.04971974499535e-40,-5.578963693611789e-152,4.5482900216359396e-35,5.328139155213509e-100,2.4944757329358926e-84,3.911665193909118e-139,6.055286994113286e-26,2.0396080368365105e-108,1.187936600004916e-16,4.060437596206551e-17,2.581845171969401e-17,3.2257693172864864e-17,2.6718736315267916e-17,1.2824993431328637e-17,1.2993400307860964e-17,5.798050440909621e-23,4.548290041493951e-35
