Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),CH3OX(210),H2NOX(204),HOX(29),H2NO(88),HNOX(526)
0.0,0.04692242069448014,0.0,11.650837058439418,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8639657557030632e-27,0.04692242069448014,0.0,11.650837058439418,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,9.165125451242337e-91,4.998522494965163e-31,1.0683491087344823e-89,0.0,7.980215756654269e-148,3.1818920487232646e-58,1.3291819078165827e-98,7.175702211699631e-75,-6.812735744013041e-108,1.0990646173052935e-52,1.269207559570708e-47,-1.7025258973405062e-162,4.734885208914903e-42,-6.497131103528062e-114,1.7559510947862131e-99,4.0234190526734614e-164,4.998522494965163e-31,3.4062604345735963e-127,2.6191036721068643e-19,8.95225133945735e-20,5.692313241066182e-20,7.112016133048673e-20,5.890814408536429e-20,2.827590916097485e-20,2.864720428626352e-20,1.8963423444008373e-26,4.7348852145860355e-42,3.3076087870227625e-39
5.219104115968577e-27,0.04692242069448014,0.0,11.650837058439418,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.3850337581912346e-89,1.3995862985902455e-30,1.6144891731210486e-88,0.0,5.094117227428523e-146,4.8084559261397925e-57,1.578006939165764e-97,4.334124135866579e-74,-6.810564676725522e-108,6.638350288523974e-52,3.553781166797983e-47,-1.7025258973405062e-162,1.3257678584964853e-41,-6.494174814020643e-114,2.115013241978479e-98,2.572130961629876e-162,1.3995862985902455e-30,1.0709827571454264e-125,7.333490281899218e-19,2.5066303750480583e-19,1.5938477074985311e-19,1.991364517253629e-19,1.6494280343902005e-19,7.91725456507296e-20,8.021217200153786e-20,5.309758564322344e-26,1.325767861921849e-41,1.997795707361749e-38
1.1929380836499606e-26,0.04692242069448014,0.0,11.650837058439418,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.4899561143569835e-88,3.199054396777704e-30,1.736793779089823e-87,0.0,2.3655818396748895e-144,5.172709878989996e-56,1.5493009418459656e-96,2.0866942031622533e-73,-6.787879238945751e-108,3.1960799071237937e-51,8.122928381252533e-47,-1.7025258973405092e-162,3.0303265337077245e-41,-6.463284605290084e-114,2.137439236191975e-97,1.195432432663444e-160,3.199054396777704e-30,2.389303614856643e-124,1.6762263501483917e-18,5.729440857252705e-19,3.6430804742823566e-19,4.551690325151152e-19,3.770121221463315e-19,1.8096581863023908e-19,1.8334210743208653e-19,1.213659100416536e-25,3.0303265501993763e-41,9.618526352662195e-38
2.534993427756166e-26,0.04692242069448014,0.0,11.650837058439418,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.3695263659277035e-87,6.797990593152621e-30,1.596412706203135e-86,0.0,9.418282918332704e-143,4.754608598478777e-55,1.3703468546992424e-95,9.113141808858537e-73,-6.5830013789971856e-108,1.3958120639777228e-50,1.7261222810161633e-46,-1.7025258973405198e-162,6.439443884135201e-41,-6.1843074076922066e-114,1.998057546359042e-96,4.766640532296284e-159,6.797990593152621e-30,4.474901241134731e-123,3.561980994065329e-18,1.2175061821661996e-18,7.7415460078500075e-19,9.672341940946198e-19,8.011507595609545e-19,3.8455236458925805e-19,3.896019782931839e-19,2.5790255883851386e-25,6.439443956158578e-41,4.200663159518909e-37
5.219104115968577e-26,0.04692242069448014,0.0,11.650837058439418,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.1716586395358193e-86,1.3995862985902454e-29,1.365764680421807e-85,0.0,3.604738964369837e-141,4.067666584450114e-54,1.1518720666359385e-94,3.8045573126431463e-72,-4.846147548983385e-108,5.827240600952667e-50,3.553781166797983e-46,-1.7025258973405462e-162,1.3257678585010145e-40,-3.819275801758635e-114,1.860133423608846e-95,1.8290891276320263e-157,1.3995862985902454e-29,7.729279064701499e-122,7.333490281899195e-18,2.506630375048058e-18,1.5938477074985311e-18,1.991364517253629e-18,1.6494280343902002e-18,7.917254565072959e-19,8.021217200153786e-19,5.309758564322344e-25,1.3257678885693565e-40,1.7536941788794692e-36
1.05873254923934e-25,0.04692242069448014,0.0,11.650837058439418,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,9.68750020824751e-86,2.8391607771402123e-29,1.1292406490754896e-84,0.0,1.4250259568257604e-139,3.363224925291531e-53,9.443955708983112e-94,1.5542858018629876e-71,9.448513931995472e-108,2.3806179236679584e-49,7.209098938361623e-46,-1.7025258973401032e-162,2.689414798683999e-40,1.5645416974586043e-113,1.8212221843545236e-94,7.259207061786914e-156,2.8391607771402123e-29,1.2842312767146569e-120,1.487650885756689e-17,5.084878760811775e-18,3.2332339209255915e-18,4.0396251635716474e-18,3.3459825840486916e-18,1.6060716403433718e-18,1.627161203459768e-18,1.0771224516196756e-24,2.6894149215229873e-40,7.164412937042786e-36
2.1323768245243045e-25,0.04692242069448014,0.0,11.650837058439418,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,7.877714283414925e-85,5.718309734240146e-29,9.182797418796423e-84,0.0,6.117060045448193e-138,2.7349184674141356e-52,7.6483044723523245e-93,6.282671720049191e-71,1.2542214322163485e-106,9.622838275524154e-49,1.4519734481488902e-45,-1.7025258973203108e-162,5.416708679081954e-40,1.7356388655739562e-112,1.9545563069341825e-93,3.131730020560193e-154,5.718309734240144e-29,2.093621104283239e-119,2.996254600890211e-17,1.0241375532339208e-17,6.512006347779712e-18,8.136146456207685e-18,6.739091683365674e-18,3.2347640080155238e-18,3.277240170348547e-18,2.1694156419945577e-24,5.416709175616783e-40,2.895970258260206e-35
4.279665375094234e-25,0.04692242069448014,0.0,11.650837058439418,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,6.353661959372743e-84,1.1476607648440013e-28,7.406258788030915e-83,0.0,2.924192813344921e-136,2.2058107485208804e-51,6.15657504945193e-92,2.5262346664377025e-70,1.0597105554626563e-105,3.869300947807979e-48,2.914100556774346e-45,-1.702525896658538e-162,1.0871296440005805e-39,1.44576168802118e-111,2.345373985852885e-92,1.504778941311359e-152,1.1476607648440009e-28,3.3812036757630913e-118,6.013462031157191e-17,2.0554369075394078e-17,1.3069551201487954e-17,1.632918904147976e-17,1.3525309881999636e-17,6.492148743359827e-18,6.5773981041261046e-18,4.354002022744321e-24,1.0871298436550513e-39,1.164456903906512e-34
8.574242476234091e-25,0.04692242069448014,0.0,11.650837058439418,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021492,0.09201819554070587,0.0,5.103606812728073e-83,2.2993203476839746e-28,5.949109828321331e-82,0.0,1.549627554314892e-134,1.7718271204859288e-50,4.941153205863338e-91,1.0131330898485437e-69,8.560083421399846e-105,1.5517627387856407e-47,5.838354774025258e-45,-1.7025258752748105e-162,2.1780471962365262e-39,1.1658836949562952e-110,3.121259951278307e-91,8.007764846253909e-151,2.299320347683973e-28,5.435186156940961e-117,1.2047876891690898e-16,4.1180356161503817e-17,2.6184640908904437e-17,3.2715274212023906e-17,2.7097746279267548e-17,1.3006918214048435e-17,1.317771397168122e-17,8.723174784243846e-24,2.1780479969402524e-39,4.6699930007447176e-34
