Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),CH3OX(210),H2NOX(204),HOX(29),H2NO(88),HNOX(526),H3NX(202)
0.0,0.07659248437779444,0.0,19.017913871006357,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4778457393791201e-27,0.07659248437779444,0.0,19.017913871006357,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.909988443550992e-74,1.0874882202096817e-24,4.872464341974464e-72,0.0,1.4740415429099701e-121,5.591028428294673e-51,1.6569246270358076e-78,3.995770947163125e-59,7.337907996825667e-87,4.5479990383270455e-45,1.7508644681246715e-34,-1.4970491092274106e-134,2.150801742106319e-30,4.9594871758820195e-90,2.932296540327698e-79,2.3229144661046383e-131,1.0874882203847678e-24,3.183775256197814e-104,2.65305795959527e-19,9.068309103373172e-20,5.76643717633666e-20,7.204216927914305e-20,5.967183438177555e-20,2.864248050325227e-20,2.901858913079415e-20,3.3021293201764e-24,2.150801742106267e-30,1.5600940787685989e-37,1.2286564579914127e-20
4.137968070261536e-27,0.07659248437779444,0.0,19.017913871006357,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,4.397574535899535e-73,3.0449670165871084e-24,7.363268113596285e-71,0.0,8.967314228642912e-120,3.3769893029733175e-50,1.967100917253632e-77,2.4134456520865283e-58,1.1089046533744053e-85,2.746991419149535e-44,4.9024205107490805e-34,-1.4970457598748505e-134,6.022244877897695e-30,7.494776982292232e-89,3.4812224748008047e-78,1.4131422592380978e-129,3.0449670170773502e-24,1.0010298814221792e-102,7.428562286866754e-19,2.5391265489444883e-19,1.6146024093742645e-19,2.0171807398160055e-19,1.6708113626897152e-19,8.019894540910633e-20,8.125204956622361e-20,9.245962096493921e-24,6.022244877897585e-30,9.422968235762339e-37,3.440238082375955e-20
9.458212732026368e-27,0.07659248437779444,0.0,19.017913871006357,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,4.730710012918017e-72,6.959924609341963e-24,7.921067831466174e-70,0.0,4.048274340167164e-118,1.6258830330221766e-49,1.9313113453826877e-76,1.1619701914350373e-57,1.1929090236720285e-84,1.3225581203455048e-43,1.1205532595997899e-33,-1.4968810476169145e-134,1.3765131149480452e-29,8.062539068695476e-88,3.4178849135281766e-77,6.37959973765712e-128,6.959924610462514e-24,2.2332425988106014e-101,1.6979570941409704e-18,5.80371782615883e-19,3.690519792855462e-19,4.6106988338651555e-19,3.8189974004336343e-19,1.833118752208145e-19,1.8571897043708255e-19,2.1133627649128963e-23,1.3765131149480376e-29,4.536753581059086e-36,7.86340133114504e-20
2.0098702055556032e-26,0.07659248437779444,0.0,19.017913871006357,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,4.348337531434959e-71,1.4789839794851672e-23,7.280826016930349e-69,0.0,1.5285514006083136e-116,7.100728669062132e-49,1.708223013716004e-75,5.074629102897171e-57,1.0964889128631275e-83,5.775958778675348e-43,2.3811756766495534e-33,-1.4904465925622871e-134,2.925090369264599e-29,7.410862457071881e-87,3.0230805780802845e-76,2.4088155359129374e-126,1.4789839797232842e-23,4.1826162297441634e-100,3.608158825049554e-18,1.2332900380587512e-18,7.842354559817857e-19,9.797735021963455e-19,8.11536947592147e-19,3.895377348442308e-19,3.9465281217880046e-19,4.4908958754399047e-23,2.9250903692646557e-29,1.9813194800361212e-35,1.6709727828683211e-19
4.137968070261536e-26,0.07659248437779444,0.0,19.017913871006357,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,3.720094306379046e-70,3.044967016587109e-23,6.228899945212125e-68,0.0,5.303255152060717e-115,2.9644731165950823e-48,1.4358643714047268e-74,2.1185577561858897e-56,9.380693500112312e-83,2.4113490901209992e-42,4.902420510749081e-33,-1.26377787271279e-134,6.022244877897714e-29,6.3401488574704106e-86,2.5410815118364717e-75,8.357300527849207e-125,3.04496701707735e-23,7.224429393615543e-99,7.428562286866687e-18,2.5391265489444878e-18,1.614602409374265e-18,2.0171807398160053e-18,1.6708113626897137e-18,8.019894540910635e-19,8.125204956622363e-19,9.245962096493921e-23,6.022244877898135e-29,8.271618805631113e-35,3.4402380823759544e-19
8.394163799673402e-26,0.07659248437779444,0.0,19.017913871006357,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,3.0758459120845026e-69,6.176933090790993e-23,5.150174929815878e-67,0.0,1.766205558435074e-113,1.2111319307854506e-47,1.1772083633073e-73,8.654999702393218e-56,7.756138790717053e-82,9.851147836977912e-42,9.944910178948136e-33,6.339879124400151e-134,1.2216553895163975e-28,5.242157681812088e-85,2.0833323649915983e-74,2.7833302910256663e-123,6.176933091785482e-23,1.200349748791461e-97,1.5069369210500836e-17,5.150799570715959e-18,3.275336316159224e-18,4.091995215055325e-18,3.389360192884844e-18,1.6268928925847286e-18,1.6482558626291082e-18,1.8756094538601951e-22,1.2216553895166067e-28,3.3792261783759375e-34,6.978768681391218e-19
1.6906555258497135e-25,0.07659248437779444,0.0,19.017913871006357,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,2.50122681335094e-68,1.2440865239198758e-22,4.188036720985604e-66,0.0,5.765190239168501e-112,4.895976407356552e-47,9.533338543745735e-73,3.498489261246781e-55,6.307163253917703e-81,3.9819914620091675e-41,2.0029889515346246e-32,2.5540832014266857e-132,2.4605171929696626e-28,4.262835567297818e-84,1.6871369128984126e-73,9.085255495855627e-122,1.2440865241201744e-22,1.956873043159161e-96,3.0350983057768656e-17,1.03741456142589e-17,6.596804129729143e-18,8.241624165533962e-18,6.826457853275092e-18,3.2766997695720595e-18,3.319726596562853e-18,3.777635942281801e-22,2.4605171929705814e-28,1.3659372504776903e-33,1.405582987942174e-18
3.39313381761446e-25,0.07659248437779444,0.0,19.017913871006357,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,2.017330038131561e-67,2.4968729536014294e-22,3.3778033375244197e-65,0.0,1.863210594090045e-110,1.968962200630796e-46,7.673260251058725e-72,1.406727145032567e-54,5.086955656964853e-80,1.6011412534391896e-40,4.0199848188142465e-32,8.318812637776242e-131,4.938240799876245e-28,3.438131316849455e-83,1.3579551280117507e-72,2.936198783166809e-120,2.496872954003426e-22,3.160355191771256e-95,6.091421075230237e-17,2.0820837701344776e-17,1.3239739756868989e-17,1.6540882066491237e-17,1.370065317405554e-17,6.57631352354672e-18,6.6626680644303456e-18,7.581688919125012e-22,4.938240799880085e-28,5.492373608068011e-33,2.8209952275482755e-18
6.798090401143953e-25,0.07659248437779444,0.0,19.017913871006357,0.03107511026318443,0.31940968187635516,0.35048479213953954,0.20701222018021492,0.09201819554070587,0.0,1.6204291937409977e-66,5.0024458129645365e-22,2.713235333525297e-64,0.0,5.9918107364492755e-109,7.898918532770618e-46,6.157308121418332e-71,5.641605025673932e-54,4.086119424186512e-79,6.421292554219725e-40,8.05397655337349e-32,2.678487632598574e-129,9.893688013689612e-28,2.7616940472928464e-82,1.0896743726121158e-71,9.442382960312461e-119,5.002445813769927e-22,5.080178669048828e-94,1.2204066614136206e-16,4.1714221875516484e-17,2.6525611011148715e-17,3.313939786840575e-17,2.744904381561624e-17,1.3175541031496041e-17,1.3348551000165344e-17,1.5189794872811431e-21,9.893688013705307e-28,2.2026874692489182e-32,5.6518197067604656e-18
