Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),CH3OX(210),H2NOX(204),HOX(29),H2NO(88),HNOX(526),H3NX(202),NX(608)
0.0,0.09987580875752079,0.0,24.79916331449241,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3115287376984795e-27,0.09987580875752079,0.0,24.79916331449241,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.0125499152979836e-68,1.3413046730151972e-22,7.95963595588237e-66,0.0,1.6855361712785998e-112,2.0359302828572794e-46,1.900776932421977e-71,1.5449501568607823e-53,3.2451488754246935e-78,2.473018305635715e-42,6.906433325883503e-30,-7.257518406445562e-125,4.035144350158287e-26,4.05747978663592e-80,3.957731777557248e-72,3.39737277612568e-120,1.3413047420795314e-22,4.74284339831714e-96,2.688639169070298e-19,9.189927782914056e-20,5.84567042336369e-20,7.300835530115804e-20,6.047211695050654e-20,2.9026616136243146e-20,2.9407768905324995e-20,2.2319192068762028e-23,4.0351443501490605e-26,6.29826552915366e-37,1.2451344556342935e-20,1.348900312819799e-53
3.672280465555743e-27,0.09987580875752079,0.0,24.79916331449241,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.5301654318560823e-67,3.755653084442553e-22,1.202860185596889e-64,0.0,1.0253939041513835e-110,1.2297018910551368e-45,2.2566023741720682e-70,9.331498947439127e-53,4.904068980541865e-77,1.4937030566039728e-41,1.933801331247381e-29,-6.622178675951455e-125,1.1298404180443205e-25,6.131663453564283e-79,4.69861916645161e-71,2.066787645512003e-118,3.7556532778226884e-22,1.491224779851059e-94,7.528189673396831e-19,2.5731797792159363e-19,1.6367877185418338e-19,2.0442339484324258e-19,1.693219274614183e-19,8.127452518148081e-20,8.234175293491e-20,6.249373779253369e-23,1.1298404180417372e-25,3.804152379608812e-36,3.486376475776022e-20,1.6014144513796658e-52
8.39378392127027e-27,0.09987580875752079,0.0,24.79916331449241,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.6460821461387866e-66,8.584349907297264e-22,1.2939820980117082e-63,0.0,4.6291182318955105e-109,5.920485265629253e-45,2.2155455924331363e-69,4.492715056151156e-52,5.2755736238004157e-76,7.191537232788663e-41,4.420117328565442e-29,2.4622140860300423e-124,2.582492384101305e-25,6.596163739538279e-78,4.613132160326133e-70,9.330467377066003e-117,8.584350349309e-22,3.3268399344693384e-93,1.7207290682049868e-18,5.881553781064997e-19,3.7412290709527634e-19,4.6725347392741165e-19,3.8702154848324173e-19,1.8577034327195616e-19,1.8820972099408008e-19,1.4284282924007705e-22,2.5824923840954e-25,1.8315356158778855e-35,7.968860516059479e-20,1.5722782046227584e-51
1.7836790832699324e-26,0.09987580875752079,0.0,24.79916331449241,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.513033087280968e-65,1.8241743553006688e-21,1.1893924815562758e-62,0.0,1.7478669649610923e-107,2.585631462383791e-44,1.9596249862540646e-68,1.9620866992131938e-51,4.849161061569604e-75,3.14073324815736e-40,9.392749323201565e-29,1.245175925342358e-122,5.487796316215273e-25,6.06301089557431e-77,4.0802631542295515e-69,3.5230069484387164e-115,1.8241744492281627e-21,6.230802624197448e-92,3.656549269935585e-18,1.2498301784763115e-18,7.950111775774625e-19,9.929136320957496e-19,8.22420790526888e-19,3.9476197945290687e-19,3.9994565711242044e-19,3.0354101213516377e-22,5.487796316202726e-25,7.998797222025158e-35,1.6933828596626386e-19,1.3906622665047017e-50
3.672280465555743e-26,0.09987580875752079,0.0,24.79916331449241,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.2944316609891239e-64,3.755653084442553e-21,1.01755030898608e-61,0.0,6.064162468756776e-106,1.0794502387985082e-43,1.6471828772137227e-67,8.19132573167587e-51,4.148559380556418e-74,1.3111943056480565e-39,1.933801331247381e-28,4.424203603052441e-121,1.129840418044321e-24,5.1870334694779107e-76,3.429707036235421e-68,1.2222947708497863e-113,3.7556532778226884e-21,1.0762161723922981e-90,7.528189673396742e-18,2.5731797792159333e-18,1.636787718541836e-18,2.0442339484324244e-18,1.693219274614179e-18,8.127452518148082e-19,8.234175293491018e-19,6.249373779253372e-22,1.129840418041738e-24,3.3393403835572774e-34,3.486376475776017e-19,1.168935428684635e-49
7.449483230127363e-26,0.09987580875752079,0.0,24.79916331449241,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,1.070261129159784e-63,7.618610542726323e-21,8.413302729633117e-61,0.0,2.0196192919820427e-104,4.4099064537708985e-43,1.3504600413442922e-66,3.3464238377667294e-50,3.430109121116484e-73,5.356656570739187e-39,3.92285412910183e-28,1.4865821013463354e-119,2.291961990889908e-24,4.2887395799566287e-75,2.8118810438007883e-67,4.0707519174668125e-112,7.618610935011738e-21,1.788149240320856e-89,1.5271470480318898e-17,5.219878980695172e-18,3.3203408004705867e-18,4.1468745811057725e-18,3.4348162427887534e-18,1.648711796538611e-18,1.6703612738224677e-18,1.2677301095056845e-21,2.2919619908846707e-24,1.3642295066768047e-33,7.072363708002768e-19,9.583638885395636e-49
1.5003888759270605e-25,0.09987580875752079,0.0,24.79916331449241,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,8.703185757857171e-63,1.534452545929386e-20,6.841558055141896e-60,0.0,6.592373749032529e-103,1.7825547069270682e-42,1.0936375545325934e-65,1.3526780199391445e-49,2.7893077714812644e-72,2.1652462314627404e-38,7.900959724810728e-28,4.8732452295492975e-118,4.616205136581082e-24,3.4875318008362788e-74,2.2771341743530413e-66,1.3287612267951467e-110,1.534452624938984e-20,2.915134545853709e-88,3.0758032094162584e-17,1.0513277383653626e-17,6.687446964328105e-18,8.35215584645246e-18,6.918010179137874e-18,3.3206448859862163e-18,3.3642487627692112e-18,2.5533155726663807e-21,4.61620513657054e-24,5.514433787519467e-33,1.424433817245623e-18,7.761079242010807e-48
3.0112699817557087e-25,0.09987580875752079,0.0,24.79916331449241,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,7.019434608268234e-62,3.079635529242894e-20,5.5179644239333595e-59,0.0,2.1305412848877952e-101,7.167574157166212e-42,8.80254648222458e-65,5.4390588252346596e-49,2.249677767313083e-71,8.706359865722764e-38,1.5857170916228525e-27,1.5782821301123504e-116,9.264691427963431e-24,2.812820741890453e-73,1.832835693166503e-65,4.294326686368256e-109,3.0796356878146036e-20,4.707950060947113e-87,6.173115532184743e-17,2.110007418957045e-17,1.3421659292043203e-17,1.67627183771458e-17,1.3884398051836002e-17,6.664511064881427e-18,6.752023740662745e-18,5.124486498987777e-21,9.2646914279423e-24,2.2173295726006925e-32,2.858828710136301e-18,6.246791772604552e-47
6.033032193413006e-25,0.09987580875752079,0.0,24.79916331449241,0.03107511026318443,0.3194096818763551,0.35048479213953954,0.20701222018021492,0.09201819554070587,0.0,5.6383916105907694e-61,6.170001495869908e-20,4.432329105081574e-58,0.0,6.851501504974132e-100,2.874517878953869e-41,7.06348918725542e-64,2.181305856770797e-48,1.8070635254311553e-70,3.491639707617234e-37,3.1769593299064115e-27,5.08085993411795e-115,1.8561664010728128e-23,2.2594105876404194e-72,1.4707352213449115e-64,1.38099111096619e-107,6.170001813565839e-20,7.56789220807196e-86,1.2367740177720708e-16,4.2273667801403747e-17,2.6890083947473654e-17,3.358384343853234e-17,2.78171737972318e-17,1.335224342267185e-17,1.3527573696450002e-17,1.0266828351630593e-20,1.8561664010685898e-23,8.892483311019114e-32,5.7276184959176006e-18,5.012656988310959e-46
