Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),CH3OX(210),H2NOX(204),HOX(29),H2NO(88),HNOX(526),H3NX(202),NX(608),OX(27)
0.0,0.07540679193649383,0.0,18.723506437831414,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.529144400293722e-27,0.07540679193649383,0.0,18.723506437831414,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.290286712217543e-74,7.952467351015195e-25,1.973665061028175e-72,0.0,3.974086390953796e-122,2.9018731081727755e-51,5.871132270014985e-79,1.7457144677884671e-59,1.9606298997008829e-87,3.1238320609411136e-45,8.668141209166832e-35,-3.561340643457181e-135,1.1358107749493915e-30,1.112980947459283e-90,1.029106077340662e-79,4.4175862790811845e-132,7.95246735188201e-25,9.774354194403929e-105,2.7238192618161156e-19,9.310175421738005e-20,5.920196556710076e-20,7.396364924326127e-20,6.126337771443805e-20,2.940642130293026e-20,2.97925613495616e-20,2.9829146088981083e-24,1.1358107749493752e-30,1.497668485637844e-37,1.2614266922922068e-20,7.528761513839292e-55,1.6846426585783853e-39
4.281604320822422e-27,0.07540679193649383,0.0,18.723506437831414,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.949881279503088e-73,2.2266908582842546e-24,2.9826026402257386e-71,0.0,2.417630746614386e-120,1.7527395655036725e-50,6.970208231138269e-78,1.054411538544234e-58,2.9629039172072965e-86,1.8867945648084327e-44,2.4270795385667124e-34,-3.5613366987767375e-135,3.1802701698582966e-30,1.6819368096118033e-89,1.221754746500791e-78,2.687433381360488e-130,2.226690858526963e-24,3.0732133304880566e-103,7.62669393308512e-19,2.6068491180866406e-19,1.6576550358788214e-19,2.070982178811316e-19,1.7153745760042656e-19,8.233797964820472e-20,8.341917177877248e-20,8.352160904914697e-24,3.180270169858279e-30,9.04591765325258e-37,3.531994738418179e-20,8.938145669230009e-54,1.017524165781344e-38
9.786524161879821e-27,0.07540679193649383,0.0,18.723506437831414,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.0975933023177426e-72,5.0895791046497245e-24,3.2085478164122383e-70,0.0,1.0914341043193274e-118,8.438767775888803e-50,6.843391774456915e-77,5.076537672328861e-58,3.1873568286447e-85,9.08410363321676e-44,5.547610373866772e-34,-3.5611427098755694e-135,7.269188959676111e-30,1.8093508679832414e-88,1.19952607806488e-77,1.2132359136488542e-128,5.0895791052044865e-24,6.856169881666169e-102,1.7432443275623107e-18,5.958512269912323e-19,3.788925796294449e-19,4.733673551568723e-19,3.920856173724035e-19,1.8820109633875367e-19,1.9067239263719427e-19,1.9090653496947855e-23,7.2691889596762e-30,4.3552199562348516e-36,8.073130830670121e-20,8.775524420531079e-53,4.898940851145936e-38
2.079636384399462e-26,0.07540679193649383,0.0,18.723506437831414,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.9280496283323633e-71,1.0815355597380665e-23,2.9492082273931424e-69,0.0,4.12104765696713e-117,3.6855025561913595e-49,6.052902526186395e-76,2.2170573740913533e-57,2.9297300587114303e-84,3.967266717395216e-43,1.1788672044466892e-33,-3.5535645679612784e-135,1.544702653931175e-29,1.6631051713276233e-87,1.0609672725258615e-76,4.5809481368985975e-127,1.0815355598559533e-23,1.2840847401089355e-100,3.7043941960699e-18,1.2661838573563684e-18,8.051467317125705e-19,1.0059056297083534e-18,8.331819369163573e-19,3.999273297198515e-19,4.0517883435403785e-19,4.056763868101408e-23,1.5447026539312496e-29,1.9020389767600625e-35,1.7155403015174006e-19,7.761851970307757e-52,2.1394961763945407e-37
4.281604320822422e-26,0.07540679193649383,0.0,18.723506437831414,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.649487049458303e-70,2.2266908582842546e-23,2.5231097300376587e-68,0.0,1.4297829777363754e-115,1.5386839908462264e-48,5.08782928904682e-75,9.255778108214452e-57,2.506445746641058e-83,1.6562557587109787e-42,2.4270795385667127e-33,-3.286606805110097e-135,3.180270169858309e-29,1.4228214884465278e-86,8.918069889776041e-76,1.5893438350382296e-125,2.2266908585269624e-23,2.217937059202461e-99,7.626693933085049e-18,2.6068491180866406e-18,1.6576550358788217e-18,2.0709821788113155e-18,1.715374576004264e-18,8.233797964820472e-19,8.34191717787725e-19,8.352160904914618e-23,3.180270169858691e-29,7.940638310851852e-35,3.5319947384181773e-19,6.524304267708911e-51,8.93197537578252e-37
8.685540193668341e-26,0.07540679193649383,0.0,18.723506437831414,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,1.3638277904441098e-69,4.5170014553766304e-23,2.086155916953317e-67,0.0,4.7617749642291855e-114,6.28650997849809e-48,4.171309846581019e-74,3.781287365808531e-56,2.0723778132308222e-82,6.766345197280891e-42,4.92350420680676e-33,5.66855587805464e-135,6.451405201712595e-29,1.176416321316929e-85,7.311573623270656e-75,5.293179346842019e-124,4.5170014558689804e-23,3.685135595909161e-98,1.5471293407115223e-17,5.288179639547184e-18,3.3626716442113245e-18,4.2011352770172396e-18,3.479759854180074e-18,1.6702847300064388e-18,1.6922174846550995e-18,1.6942954978540899e-22,6.451405201714302e-29,3.2440098466309964e-34,7.1649036122197275e-19,5.349018820528592e-50,3.6490033841870604e-36
1.749341193936018e-25,0.07540679193649383,0.0,18.723506437831414,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,1.1090421093104025e-68,9.097622649561383e-23,1.6964273456657615e-66,0.0,1.55432310761134e-112,2.5414989615962997e-47,3.378034865061743e-73,1.5284568108432567e-55,1.685223220539539e-81,2.7350649132928703e-41,9.916353543286856e-33,2.9900745969863666e-133,1.2993675265421254e-28,9.566422150670461e-85,5.921103700314938e-74,1.7277824196085307e-122,9.097622650553016e-23,6.007701101524008e-97,3.116049235517507e-17,1.065084068246827e-17,6.772704860876332e-18,8.461441473429087e-18,7.008530410531682e-18,3.3640945970552216e-18,3.40826901838985e-18,3.41245431257929e-22,1.2993675265428438e-28,1.3112806472632438e-33,1.4430721359822825e-18,4.3317741235421844e-49,1.474985510432934e-35
3.5109155430743857e-25,0.07540679193649383,0.0,18.723506437831414,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,8.944826389683962e-68,1.8258865037930886e-22,1.3682301115805365e-65,0.0,5.0233066116913115e-111,1.022240082865011e-46,2.718936346283363e-72,6.145857612428009e-55,1.3591935787689068e-80,1.0997575723825628e-40,1.9902052216247047e-32,9.795634868320394e-132,2.607821539283891e-28,7.715666031958055e-84,4.7658223038621065e-73,5.5838975923491525e-121,1.8258865039921085e-22,9.702453326338297e-96,6.253889025129278e-17,2.1376162768310433e-17,1.3592771294206352e-17,1.6982053866252777e-17,1.4066071523234857e-17,6.751714331152788e-18,6.840372085859351e-18,6.8487719420294655e-22,2.6078215392868366e-28,5.272601810427458e-33,2.8962356855028987e-18,3.4865886704583606e-48,5.93085186523111e-35
7.034064241351122e-25,0.07540679193649383,0.0,18.723506437831414,0.03107511026318443,0.3194096818763551,0.35048479213953954,0.20701222018021492,0.09201819554070585,0.0,7.184970996720725e-67,3.6581349814669895e-22,1.0990368331669507e-64,0.0,1.6154219973175016e-109,4.102162731857191e-46,2.1817751924687458e-71,2.4647637827837287e-54,1.0917781985827893e-79,4.4105197438503924e-40,3.9873449562167424e-32,3.154555206120564e-130,5.224729564767557e-28,6.1976425527756365e-83,3.824276946426918e-72,1.795699949781182e-119,3.6581349818657205e-22,1.5596410351044594e-94,1.2529568604352024e-16,4.282680693999472e-17,2.7232904160866424e-17,3.4023278651900146e-17,2.8181153748641e-17,1.3526953799347918e-17,1.3704578220798371e-17,1.3721407200928921e-21,5.224729564779483e-28,2.1145491488611602e-32,5.802562784544119e-18,2.797767830358107e-47,2.3785368617905174e-34
1.4080361637904593e-24,0.07540679193649383,0.0,18.723506437831414,0.03107511026318442,0.31940968187635504,0.3504847921395395,0.20701222018021487,0.09201819554070573,0.0,5.759643574886377e-66,7.322631936814792e-22,8.810140552554744e-64,0.0,5.1821392129936126e-108,1.6450256330223895e-45,1.748075154209412e-70,9.871911270761485e-54,8.751953611955993e-79,1.766508412423116e-39,7.981624425400816e-32,1.0124947363688067e-128,1.0458545615735423e-27,4.9681776203066175e-82,3.064082809155843e-71,5.760456416282904e-118,7.322631937612938e-22,2.501239691573715e-93,2.5080927762794324e-16,8.572809528336315e-17,5.4513169894186666e-17,6.810572822319481e-17,5.641131819945253e-17,2.7077432735738174e-17,2.743299049067645e-17,2.746667771872424e-21,1.045854561578342e-27,8.469226025240277e-32,1.1615216982626513e-17,2.241618850589988e-46,9.52655382955548e-34
2.8172956431011535e-24,0.07540679193649383,0.0,18.723506437831414,0.03107511026318441,0.31940968187635493,0.3504847921395394,0.20701222018021478,0.09201819554070548,0.0,4.612386136391264e-65,1.4651625847510394e-21,7.055257780438043e-63,0.0,1.6603395502438e-106,6.600567031294011e-45,1.3995230463881763e-69,3.951337202630057e-53,7.00866103628768e-78,7.070637303477314e-39,1.597018336376896e-31,3.244834198147505e-127,2.0926177717673296e-27,3.9785714656018815e-81,2.4531413710084912e-70,1.8456307407697461e-116,1.465162584910735e-21,4.0066408365166125e-92,5.018364607966618e-16,1.715306719700994e-16,1.0907370136082758e-16,1.3627062736578385e-16,1.1287164710107254e-16,5.417839060851867e-17,5.48898150304328e-17,5.4957218754300504e-21,2.092617771786587e-27,3.3898975540967696e-31,2.3240525378791116e-17,1.7946580806986417e-45,3.813104223399853e-33
5.635814601722542e-24,0.07540679193649383,0.0,18.723506437831414,0.031075110263184387,0.3194096818763547,0.3504847921395393,0.20701222018021462,0.09201819554070498,0.0,3.691778332878942e-64,2.9309613668901594e-21,5.647065756528805e-62,0.0,5.316413966670757e-105,2.654032740979314e-44,1.1200438103310258e-68,1.5810495665571272e-52,5.609769475309098e-77,2.8291759145497875e-38,3.1947301240505233e-31,1.0391236081662705e-125,4.186144192155764e-27,3.1844697079102843e-80,1.963277912117569e-69,5.909719357343041e-115,2.930961367209608e-21,6.414353644785923e-91,1.0038908271335896e-15,3.431358253435696e-16,2.1819476429411115e-16,2.7260042565096087e-16,2.2579230490430037e-16,1.0838030635407965e-16,1.0980346410994623e-16,1.0993830082539562e-20,4.1861441922329096e-27,1.3564005762429945e-30,4.649114217111956e-17,1.436271897787012e-44,1.5257383691847737e-32
1.1272852518965319e-23,0.07540679193649383,0.0,18.72350643783141,0.031075110263184342,0.31940968187635427,0.35048479213953904,0.20701222018021428,0.09201819554070398,0.0,2.9541706184518786e-63,5.862558931168397e-21,4.518796697471862e-61,0.0,1.7018087223053101e-103,1.0721445343511704e-43,8.962052694426474e-68,6.325227783878705e-52,4.48895211628849e-76,1.1318545906918758e-37,6.390153699397774e-31,3.326438724342069e-124,8.373197032936065e-27,2.548220938043592e-79,1.5709514350118333e-68,1.8917299635738565e-113,5.862558931807313e-21,1.0265949454027698e-89,2.0079995598054057e-15,6.863461320905003e-16,4.3643689016068516e-16,5.452600222213103e-16,4.516336205107071e-16,2.1678413784520138e-16,2.196307622689761e-16,2.1990046496735606e-20,8.37319703324488e-27,5.426485539984725e-30,9.299237575577343e-17,1.149235738147979e-43,6.103946977893274e-32
2.2546928353450873e-23,0.07540679193649383,0.0,18.723506437831407,0.031075110263184248,0.3194096818763534,0.3504847921395385,0.20701222018021362,0.09201819554070197,0.0,2.363635712150234e-62,1.1725754059724863e-20,3.615495050756079e-60,0.0,5.446829591423306e-102,4.3718028608308485e-43,7.170323681430983e-67,2.5302970317454985e-51,3.5916163629542517e-75,4.5277868387516076e-37,1.2781000850092255e-30,1.0646593426384009e-122,1.6747302714510397e-26,2.0388348506303863e-78,1.256929787617642e-67,6.054703026041486e-112,1.1725754061002567e-20,1.6427906415321314e-88,4.01621702514088e-15,1.372766745584324e-15,8.729211418938607e-16,1.0905792153619915e-15,9.03316251723325e-16,4.3359180082744407e-16,4.3928535858704765e-16,4.3982479325035785e-20,1.674730271574612e-26,2.17077087557687e-29,1.8599484292506908e-16,9.194758878111258e-43,2.44177750553477e-31
4.5095080022421986e-23,0.07540679193649383,0.0,18.723506437831396,0.03107511026318406,0.31940968187635155,0.35048479213953737,0.2070122201802123,0.09201819554069796,0.0,1.8910282639815994e-61,2.3452144316837756e-20,2.8925791288960508e-59,0.0,1.7432491238274857e-100,1.8150955499604534e-42,5.736532479575595e-66,1.012159997803384e-50,2.8734749694344844e-74,1.8111884333214765e-36,2.556269515148113e-30,3.4072282517889865e-121,3.349551407771399e-26,1.6311711268845595e-77,1.0056704640614623e-66,1.937803942664235e-110,2.3452144319392433e-20,2.6286560252021437e-87,8.032651955779205e-15,2.745607972571819e-15,1.7458896453603212e-15,2.1812176016432825e-15,1.8066815141477787e-15,8.672071267919261e-16,8.78594551223238e-16,8.796734498126848e-20,3.3495514082657825e-26,8.683436834053976e-29,3.7199977726361203e-16,7.356156310310812e-42,9.767507465010006e-31
