Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),CH3OX(210),H2NOX(204),HOX(29),H2NO(88),HNOX(526),H3NX(202),NX(608),OX(27),HNX(525)
0.0,0.08478463093452131,0.0,21.05202386104164,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4604667682690501e-27,0.08478463093452131,0.0,21.05202386104164,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,7.220361437710975e-72,8.751137292521595e-24,2.182965010553623e-69,0.0,1.1458847945006807e-117,4.677314744021935e-49,1.6791024787813662e-75,9.33426101223817e-57,3.868412110717863e-83,6.746096381799396e-44,1.545371121329491e-32,-2.05099099127242e-130,1.323016019116027e-28,8.049275145992326e-86,3.162895182937309e-76,1.4607705916136205e-126,8.751137307975307e-24,9.57998172430811e-101,2.7585115204792037e-19,9.428755614799085e-20,5.996051632962527e-20,7.490569634865628e-20,6.204366625121361e-20,2.978095980058255e-20,3.017201796735707e-20,7.538561685650514e-24,1.3230160191157847e-28,2.9869905464015395e-37,1.2774930083312322e-20,7.459588321320263e-54,4.158362257823815e-39,2.9869905464015395e-37
4.08930695115334e-27,0.08478463093452131,0.0,21.05202386104164,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.0911410204741105e-70,2.4503184419060472e-23,3.2988967239596343e-68,0.0,6.970976581005961e-116,2.825098242678755e-48,1.993430462816241e-74,5.637893651391855e-56,5.84594438166164e-82,4.0746422146068355e-43,4.327039139722575e-32,-2.0505859856610595e-130,3.704444853524876e-28,1.2164064600600076e-84,3.7549891638192886e-75,8.886580600636333e-125,2.4503184462330863e-23,3.0120995831095377e-99,7.7238322573417635e-19,2.6400515721437436e-19,1.6788944572295075e-19,2.0973594977623762e-19,1.737222655033981e-19,8.338668744163113e-20,8.448165030859983e-20,2.110797271982239e-23,3.7044448535242e-28,1.8041422900265306e-36,3.5769804233274507e-20,8.85602325507142e-53,2.511650803725679e-38,1.8041422900265306e-36
9.34698731692192e-27,0.08478463093452131,0.0,21.05202386104164,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.173799718214073e-69,5.600727867213823e-23,3.548802558369408e-67,0.0,3.147032053892997e-114,1.3601633295732818e-47,1.9571618492884898e-73,2.714403102358861e-55,6.288800200040452e-81,1.961764827827264e-42,9.890375176508744e-32,-2.030668885993123e-130,8.467302522342576e-28,1.3085545619209633e-83,3.6866706331103945e-74,4.011827277921382e-123,5.600727877104197e-23,6.719828468710953e-98,1.7654473731066865e-18,6.034403593471414e-19,3.8374730450960184e-19,4.793964566314003e-19,3.9707946400776705e-19,1.905981427237283e-19,1.931009149910853e-19,4.824679478816996e-23,8.467302522341044e-28,8.686168508935681e-36,8.175955253319887e-20,8.694896147330903e-52,1.2092517445753073e-37,8.686168508935681e-36
1.986234804845908e-26,0.08478463093452131,0.0,21.05202386104164,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.0789241689219239e-68,1.1901546717829373e-22,3.2619609559817085e-66,0.0,1.1882594272636843e-112,5.940191794056862e-47,1.7310874915677564e-72,1.185451148554248e-54,5.7804908487068466e-80,8.567542404885232e-42,2.1017047250081077e-31,-1.2526109306126136e-130,1.799301785997798e-27,1.2027870865048954e-82,3.260818434108822e-73,1.5147896502108442e-121,1.1901546738846417e-22,1.2585495016412302e-96,3.751575667851698e-18,1.2823107636126755e-18,8.15463022082904e-19,1.0187174703417255e-18,8.437938610165047e-19,4.050210532879226e-19,4.1033944435605633e-19,1.0252443892488037e-22,1.7993017859974783e-27,3.7934779939299565e-35,1.7373904913304755e-19,7.690537175748341e-51,5.281120067437714e-37,3.7934779939299565e-35
4.08930695115334e-26,0.08478463093452131,0.0,21.05202386104164,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,9.23042341769793e-68,2.4503184419060473e-22,2.7906762739215916e-65,0.0,4.122623977503362e-111,2.479914131669421e-46,1.4550833425503657e-71,4.94902518868868e-54,4.9453316213103725e-79,3.57678030163004e-41,4.3270391397225755e-31,2.6156299259603684e-129,3.70444485352488e-27,1.029009675523858e-81,2.740914388609562e-72,5.255509016847788e-120,2.450318446233086e-22,2.1738312842635946e-95,7.723832257341682e-18,2.640051572143743e-18,1.6788944572295086e-18,2.0973594977623755e-18,1.737222655033979e-18,8.338668744163112e-19,8.448165030859985e-19,2.110797271983623e-22,3.704444853524247e-27,1.5837023877020969e-34,3.576980423327448e-19,6.464359885843001e-50,2.2047636690995088e-36,1.5837023877020969e-34
8.295451243768204e-26,0.08478463093452131,0.0,21.05202386104164,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,7.631892580639971e-67,4.970645982152267e-22,2.3073851096661787e-64,0.0,1.3730059258098853e-109,1.0131266496208254e-45,1.1929652367237937e-70,2.0218382722948375e-53,4.0888958178374456e-78,1.4612314606832765e-40,8.77770796915151e-31,9.455948168000692e-128,7.51473098857905e-27,8.508050988194197e-81,2.2471672405807117e-71,1.7503039486826473e-118,4.970645990929975e-22,3.6118531906491633e-94,1.5668345436321505e-17,5.355533189205877e-18,3.405757327522719e-18,4.2546435526036765e-18,3.524080243068922e-18,1.6915585166730884e-18,1.7137706205458833e-18,4.281903037455704e-22,7.514730988577866e-27,6.469941003127596e-34,7.256160287321391e-19,5.299872794587917e-49,9.007178984947889e-36,6.469941003127595e-34
1.6707739828997933e-25,0.08478463093452131,0.0,21.05202386104164,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,6.206128299312012e-66,1.0011301062644707e-21,1.8763272510983984e-63,0.0,4.4817201171291936e-108,4.0952264445677746e-45,9.660941785220465e-70,8.172593560743108e-53,3.3250221724016855e-77,5.906531194891696e-40,1.767904562800938e-30,3.1063091997811726e-126,1.5135303258687415e-26,6.918605765463507e-80,1.8198143348339112e-70,5.713283736075269e-117,1.0011301080323749e-21,5.888232284984269e-93,3.1557371794280566e-17,1.0786496423330137e-17,6.859483068109145e-18,8.569211662286273e-18,7.097795419138789e-18,3.406941801186643e-18,3.451678855465655e-18,8.62411456840964e-22,1.5135303258685432e-26,2.6152535989207783e-33,1.461452001530926e-18,4.2919743975386553e-48,3.640845758122332e-35,2.6152535989207766e-33
3.353231699945739e-25,0.08478463093452131,0.0,21.05202386104164,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,5.005467305832789e-65,2.0092611223629585e-21,1.5133259026335839e-62,0.0,1.448414561341764e-106,1.6466778026895484e-44,7.775966433467091e-69,3.286163926402497e-52,2.681750839242551e-76,2.3749902155980046e-39,3.5481720945725116e-30,1.0060945163439117e-124,3.037644779890424e-26,5.580106193553125e-79,1.4647449640166367e-69,1.846434662605761e-115,2.0092611259111298e-21,9.509510868152022e-92,6.333542451019635e-17,2.164842289157863e-17,1.3766934549282017e-17,1.7198347881651457e-17,1.4245225771278453e-17,6.837708370213752e-18,6.927495325305206e-18,1.73085376303566e-21,3.0376447798901877e-26,1.0515819698228496e-32,2.9331239471284938e-18,3.4545543884728143e-47,1.4639680663233724e-34,1.0515819698228488e-32
6.71814713403763e-25,0.08478463093452131,0.0,21.05202386104164,0.03107511026318443,0.3194096818763551,0.35048479213953954,0.20701222018021492,0.09201819554070585,0.0,4.020663549034304e-64,4.0255231545599346e-21,1.2155856631883458e-61,0.0,4.657884565957632e-105,6.603956679550276e-44,6.2397233524561905e-68,1.3178987117612995e-51,2.1541281139464685e-75,9.524773004884277e-39,7.10870715811566e-30,3.238860337334809e-123,6.085873687933826e-26,4.482244753854414e-78,1.1753656948516677e-68,5.9378576960732166e-114,4.025523161668637e-21,1.528626098432391e-90,1.2689152994201852e-16,4.3372275828075513e-17,2.7581837511627833e-17,3.445662032038177e-17,2.854008647555747e-17,1.369924150826797e-17,1.3879128264984332e-17,3.467738375440688e-21,6.085873687934004e-26,4.217314030521067e-32,5.876467838323602e-18,2.772062336513318e-46,5.871166721708047e-34,4.217314030521061e-32
