Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),CH3OX(210),H2NOX(204),HOX(29),H2NO(88),HNOX(526),H3NX(202),NX(608),OX(27),HNX(525),H2X(216)
0.0,0.06662394546715897,0.0,16.54272565949557,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.66801020766366e-27,0.06662394546715897,0.0,16.54272565949557,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,6.088643115082155e-78,4.2659678959308834e-26,4.5684131159416005e-76,0.0,1.7822449421888986e-127,7.270433288949446e-54,4.3047412971167654e-83,9.602069627180639e-63,1.1528306158180153e-92,8.395724704863582e-47,1.676206687709465e-37,-6.714877016368463e-141,4.0200723229482735e-33,1.587845227640532e-96,6.991588080705345e-84,9.398444831326193e-139,4.265967895947645e-26,1.7526614666046155e-109,2.79279098349243e-19,9.54592484790133e-20,6.069902965170915e-20,7.583653424017889e-20,6.281467030418708e-20,3.01510417460098e-20,3.0546959513284255e-20,1.0283924151178401e-24,4.0200723229487456e-33,7.070583259403953e-38,1.2933681547656897e-20,7.460558779874361e-55,6.228718235164829e-40,7.070583259403953e-38,1.1694394524629167e-68
4.6704285814582474e-27,0.06662394546715897,0.0,16.54272565949557,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,9.20115747551201e-77,1.1944710108606472e-25,6.903785900810924e-75,0.0,1.0842273369739215e-125,4.396068293560474e-53,5.110588869360892e-82,5.799650054817106e-62,1.7421597870996228e-91,5.0710177217376034e-46,4.693378725586502e-37,-6.714877001985837e-141,1.1256202504255179e-32,2.399556672865276e-95,8.300415157897185e-83,5.717536820302118e-137,1.1944710108653407e-25,5.510648108384442e-108,7.819814753778799e-19,2.672858957412372e-19,1.6995728302478565e-19,2.1234229587250089e-19,1.7588107685172383e-19,8.442291688882742e-20,8.553148663719593e-20,2.8794987623301793e-24,1.1256202504258049e-32,4.270632288679988e-37,3.621430833343931e-20,8.857175383466846e-54,3.762145814039803e-39,4.270632288679988e-37,1.7669729023832195e-67
1.0675265329047423e-26,0.06662394546715897,0.0,16.54272565949557,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,9.898185339326594e-76,2.7302194533957653e-25,7.426777834323934e-74,0.0,4.894722558627654e-124,2.12119683580095e-52,5.017606460174876e-81,2.7922818475841296e-61,1.8741346395000682e-90,2.4414767441743297e-45,1.0727722801340577e-36,-6.714876294686823e-141,2.5728462866869047e-32,2.5813318347545474e-94,8.149400412186288e-82,2.5811705672147885e-135,2.7302194534064927e-25,1.229395279168269e-106,1.787386229435152e-18,6.109391902656851e-19,3.884737897709386e-19,4.853538191371448e-19,4.020138899467973e-19,1.9296666717446269e-19,1.9550054088501926e-19,6.581711456755766e-24,2.57284628668829e-32,2.0561256118346702e-36,8.277556190500414e-20,8.69602731382156e-53,1.8113112627863033e-38,2.0561256118346695e-36,1.9007327381519483e-66
2.2684938824225774e-26,0.06662394546715897,0.0,16.54272565949557,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,9.09813763400481e-75,5.801716338466001e-25,6.82648835088924e-73,0.0,1.8481556463778916e-122,9.304686698130259e-52,4.438016096483964e-80,1.219462842651941e-60,1.7226527270841216e-89,1.0662570375176748e-44,2.279641095284872e-36,-6.714848664174853e-141,5.4672983592097e-32,2.372688841328317e-93,7.208058711765882e-81,9.746017370322321e-134,5.801716338488796e-25,2.302521298088832e-105,3.79819573754969e-18,1.298245779314581e-18,8.255068032632445e-19,1.0313768656664328e-18,8.542795161369441e-19,4.100541677457332e-19,4.1543864938066595e-19,1.3986136845610573e-23,5.467298359215761e-32,8.979640739443022e-36,1.7589806904813379e-19,7.691537679699277e-52,7.910472158663169e-38,8.979640739443022e-36,1.7470689356806239e-65
4.670428581458248e-26,0.06662394546715897,0.0,16.54272565949557,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,7.783648294603514e-74,1.1944710108606471e-24,5.840204506462425e-72,0.0,6.412121178102328e-121,3.918626418368542e-51,3.73041994810019e-79,5.091017316331175e-60,1.4737656008325282e-88,4.451413238518672e-44,4.693378725586502e-36,-6.713875314853493e-141,1.125620250425538e-31,2.029885154846193e-92,6.058818311223733e-80,3.38135202126845e-132,1.1944710108653403e-24,3.9770329458422707e-104,7.819814753778738e-18,2.6728589574123724e-18,1.6995728302478563e-18,2.1234229587250088e-18,1.758810768517237e-18,8.442291688882743e-19,8.553148663719593e-19,2.8794987623334723e-23,1.1256202504280699e-31,3.7488232441359763e-35,3.621430833343931e-19,6.465200869698646e-51,3.3024664082878456e-37,3.748823244135975e-35,1.494646887763189e-64
9.474297979529588e-26,0.06662394546715897,0.0,16.54272565949557,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,6.435670930977819e-73,2.4230697648887413e-24,4.828794024424909e-71,0.0,2.135511185747205e-119,1.6287467710349017e-50,3.0584236698284167e-78,2.0798466895258353e-59,1.218537924788439e-87,1.8185475539722713e-43,9.520853986189761e-36,-6.681224075889421e-141,2.2834010794347087e-31,1.6783483363289594e-91,4.9674027640499497e-79,1.1261352944112805e-130,2.4230697648982617e-24,6.607899721075764e-103,1.5863052786236727e-17,5.422085313607956e-18,3.44770488421708e-18,4.307515144842161e-18,3.567873273277822e-18,1.7125791711733563e-18,1.7350673003545457e-18,5.841268917884114e-23,2.283401079445056e-31,1.5315166163199338e-34,7.346331119069116e-19,5.300562283962876e-50,1.3491652846125666e-36,1.5315166163199334e-34,1.2358078829247577e-63
1.908203677567227e-25,0.06662394546715897,0.0,16.54272565949557,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,5.233380720153159e-72,4.88026727294493e-24,3.926695106080794e-70,0.0,6.970710644291557e-118,6.808874699787438e-50,2.4767908053211838e-77,8.407072857938753e-59,9.908947927987981e-87,7.3508599738939e-43,1.9175804507396278e-35,-5.611686996343798e-141,4.598962737453192e-31,1.3648049791079592e-90,4.022759815790082e-78,3.675918584057783e-129,4.880267272964105e-24,1.0772544293129984e-101,3.1949528851152274e-17,1.0920538025999122e-17,6.94396899215553e-18,8.675699517076465e-18,7.185998282798984e-18,3.4492791757435203e-18,3.494572168319719e-18,1.176480922900865e-22,4.598962737495024e-31,6.190635031604611e-34,1.4796131690519481e-18,4.2925327639107155e-49,5.4535417933861455e-36,6.190635031604609e-34,1.0049529925158948e-62
3.8297514367957633e-25,0.06662394546715897,0.0,16.54272565949557,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,4.220911143040053e-71,9.794662289057308e-24,3.1670218573536983e-69,0.0,2.2528432564647524e-116,2.918936405798755e-49,1.9935367522815818e-76,3.3804470205274516e-58,7.99192552236209e-86,2.955748465246043e-42,3.8485705549809313e-35,2.9013775448076235e-140,9.230086053490722e-31,1.1007646649127548e-89,3.237912578118268e-77,1.1880097989108862e-127,9.794662289095788e-24,1.7397687808330354e-100,6.412248098098164e-17,2.191744345078145e-17,1.393649720803243e-17,1.7412068261545068e-17,1.442224830184128e-17,6.9226791848838485e-18,7.013581904250067e-18,2.361188985135072e-22,9.230086053658941e-31,2.489227118806199e-33,2.9695732833420204e-18,3.455003810305822e-48,2.1928451695822257e-35,2.489227118806197e-33,8.105570069585183e-62
7.672846955252836e-25,0.06662394546715897,0.0,16.54272565949557,0.03107511026318443,0.3194096818763551,0.35048479213953954,0.20701222018021492,0.09201819554070585,0.0,3.390465373084744e-70,1.962345232128206e-23,2.5439241858638527e-68,0.0,7.244999425692525e-115,1.3158963533132231e-48,1.5996877532893914e-75,1.3557104494198572e-57,6.419549182270977e-85,1.1853873336448663e-41,7.710550763463539e-35,1.1434741424229183e-138,1.8492332685568042e-30,8.841940386884021e-89,2.598293958901015e-76,3.820567155617518e-126,1.9623452321359147e-23,2.7966275032892432e-99,1.2846838524063348e-16,4.391125430034609e-17,2.792155363978624e-17,3.4884805750482277e-17,2.8894748339925747e-17,1.3869479203164505e-17,1.4051601376110752e-17,4.730605109640688e-22,1.84923326862427e-30,9.982914080452878e-33,5.949493511922159e-18,2.7724229692307033e-47,8.794289904076945e-35,9.98291408045286e-33,6.511262629679853e-61
